"Leeloo", "ליילו"
"Hello $1", "שלום $1"
"$1 packs", "חבילות $1"
"$1 cards", "$1 כרטיסים"
"ACTIVE", "פעיל"
"This is a test voice!", "זהו קול מבחן!"
"New Profile", "פרופיל חדש"
"Create a new application user profile.", "צור פרופיל משתמש חדש ליישום."
"Profile Name", "שם פרופיל"
"You can give your child's name", "אתה יכול לתת את שם ילדך"
"Profile Avatar", "פרופיל אוואטר"
"Choose an avatar that looks like the user of this profile", "בחר אווטאר שנראה כמו המשתמש בפרופיל זה"
"Assistive Cards Packs", "חבילות כרטיסי עזר"
"We will set default cards for this profile. You can add or remove the assistive card packs after creating", "אנו נקבע כרטיסי ברירת מחדל לפרופיל זה. תוכל להוסיף או להסיר את חבילות הכרטיסים המסייעות לאחר היצירה"
"Change Avatar", "להחליף דמות"
"Choose an avatar to symbolize this profile", "בחר אווטרה כדי לסמל פרופיל זה"
"My Account", "החשבון שלי"
"Make changes to the owner of this account.", "בצע שינויים בבעלים של חשבון זה."
"Your Name", "השם שלך"
"Name of account handler or parent", "שם מטפל החשבון או ההורה"
"Email Address", "כתובת דוא"ל"
"We will send updates and analytics", "אנו נשלח עדכונים ואנליטיקה"
"Account ID", "מזהה חשבון"
"This is an unchangeable ID we might ask from you", "זהו זיהוי שאינו ניתן להחלפה שאנו עשויים לבקש מכם"
"Language", "שפה"
"Choose the language for app interface and assistive cards", "בחר את השפה לממשק האפליקציות וכרטיסי העזרה"
"Based On Your Device", "מבוסס על המכשיר שלך"
"Languages from your native settings", "שפות מההגדרות המקוריות שלך"
"Supported Languages", "שפות נתמכות"
"All the languages that assistive cards support", "כל השפות בהן תומכים כרטיסי העזר"
"Text-to-Speech Voice", "טקסט לדיבור"
"Select the text-to-speech voice driver", "בחר את מנהל ההתקן הקולי לטקסט לדיבור"
"Based On Your Location", "בהתבסס על המיקום שלך"
"Voice drivers that match with both your language and location", "מנהלי התקנים קוליות התואמים לשפה וגם למיקום שלך"
"All Supported Voice Drivers", "כל נהגי הקול הנתמכים"
"List of all accents and supported voice drivers for your language", "רשימת כל הדגשים ומנהלי ההתקן הקולי הנתמכים לשפה שלך"
"Notifications", "התראות"
"Choose when and why you would like to be notified by the app", "בחר מתי ולמה ברצונך לקבל הודעה על ידי האפליקציה"
"Reminders", "תזכורות"
"We will remind you to use and practice the app", "אנו נזכיר לכם להשתמש באפליקציה ולתרגל אותה"
"Daily Reminders", "תזכורות יומיות"
"We will send you reminder to practice daily", "אנו נשלח לך תזכורת להתאמן מדי יום"
"Weekly Reminders", "תזכורות שבועיות"
"We will send you reminder to practice weekly", "אנו נשלח לך תזכורת להתאמן שבועי"
"Tips & Promotions", "טיפים ומבצעים"
"Decide if you like us to send you tips for using the app or new promotions", "החלט אם תרצה שנשלח לך טיפים לשימוש באפליקציה או במבצעים חדשים"
"Usability Tips", "טיפים לשימושיות"
"How to effectively use the app", "כיצד להשתמש באפליקציה בצורה יעילה"
"Promotions", "מבצעים"
"Let us notify you when we have a discount for the subscription", "הרשו לנו להודיע לכם כאשר יש לנו הנחה למנוי"
"Subscriptions", "מנויים"
"Manage your subscriptions and Leeloo Premium purchases and switch between plans.", "נהל את המנויים שלך ורכישות Leeloo Premium והחלף בין תוכניות."
"In order to cancel a subscription, please go to your device or market settings and subscriptions.", "כדי לבטל מנוי, אנא היכנס למכשיר שלך או להגדרות והמנויים בשוק."
"You can't downgrade your lifetime premium subscription.", "אינך יכול לשדרג את מנוי הפרמיה שלך לכל החיים."
"One-time payment", "תשלום חד פעמי"
"Recurring payment", "תשלום חוזר"
"Sign Out", "התנתק"
"Send Feedback", "שלח משוב"
"Open Source Licenses", "רישיונות קוד פתוח"
"Privacy Policy", "מדיניות פרטיות"
"Terms of Service", "תנאי השירות"
"Remove My Data", "הסר את הנתונים שלי"
"Learn how we collect data and ask us to remove the collected data", "למדו כיצד אנו אוספים נתונים ומבקשים מאיתנו להסיר את הנתונים שנאספו"
"We do not collect Personally Identifiable Information (PII) for kids, minors or intellectually disabled users with appointed guardians.", "איננו אוספים מידע המאפשר זיהוי אישי (PII) לילדים, קטינים או משתמשים בעלי מוגבלות שכלית עם אפוטרופוסים ממונים."
"Following the guidelines of Children's Online Privacy Protection Act (COPPA), you can ask us to remove all your or your child's anonymous data anytime you want.", "בהתאם להנחיות החוק להגנת הפרטיות המקוונת של ילדים (COPPA), אתה יכול לבקש מאיתנו להסיר את כל הנתונים האנונימיים של ילדך או של ילדך בכל עת שתרצה."
"To learn more, read our Privacy Policy in the previous menu.", "למידע נוסף קרא את מדיניות הפרטיות שלנו בתפריט הקודם."
"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "כשתבקש מאיתנו להסיר את הנתונים שלך, אנו נסיר את חשבונך וכל הנתונים שאספנו עליך או על ילדך. בנוסף אם יש לך מנוי, זה יסתיים. ונתונים שהוסרו לא יהיו ניתנים לשחזור."
"I understand, remove my data.", "אני מבין, הסר את הנתונים שלי."
"Parents Only", "הורים בלבד"
"Drag and drop the key over padlock in order to unlock the Settings", "גרור ושחרר את המפתח מעל המנעול כדי לבטל את נעילת ההגדרות"
"Create a profile!", "צור פרופיל!"
"Choose a profile name or tell us the person who is going to use this application.", "בחר שם פרופיל או ספר לנו את מי שמתכוון להשתמש ביישום זה."
"Your Name", "השם שלך"
"Choose an avatar!", "בחר אווטרה!"
"Choose an avatar for the person who is going to use this AAC application.", "בחר אווטרה עבור האדם שהולך להשתמש ביישום AAC זה."
"Boy", "ילד"
"Girl", "נערה"
"Mixed", "מעורב"
"Congratulations, $1!", "מזל טוב, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "פרופיל המשתמש שלך הושלם. אתה יכול להתחיל להשתמש באפליקציית Leeloo AAC"
"Welcome to", "ברוך הבא ל"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "תודה שהורדת את Leeloo AAC, בואו נתחיל בהגדרת פרופיל leeloo שלך."
"View other sign in options", "הצג אפשרויות כניסה אחרות"
"Who is using the app?", "מי משתמש באפליקציה?"
"Search cards and phrases...", "חפש כרטיסים וביטויים ..."
"Unlock Leeloo Premium!", "בטל את נעילת Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "הפונקציונליות של Leeloo AAC תמיד תהיה חופשית. Leeloo Premium מציעה חבילת כרטיסי עזר נוספים +50."
"Monthly", "חודשי"
"Try 3 days for FREE", "נסה 3 ימים בחינם"
"Then $1/year", "ואז $1 לשנה"
"Lifetime", "לכל החיים"
"One-time Payment", "תשלום חד פעמי"
"SAVE $1%", "חסוך $1%"
"$1/mo", "$1 / יום"
"See the packs you will unlock", "ראה את החבילות שתבטל את הנעילה"
"Scroll the cards right to see all of the premium assistive cards.", "גלול את הכרטיסים ימינה כדי לראות את כל הכרטיסים המסייעים בפרמיה."
"$1 cards", "$1 כרטיסים"
"$1 phrases", "ביטויים של $1"
"Start 3 days FREE Trial", "התחל ניסיון של 3 ימים בחינם"
"Cancel anytime without cost", "בטל בכל עת ללא עלות"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "ניסיון חינם למשך 3 ימים חל רק לתכנית שנתית ובתקופה זו; אתה יכול לבטל את המנוי ללא עלות."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "הקפד לבדוק לפני תום פלטפורמת המוכרים, אם יש לך בעיות או בעיות צרו איתנו קשר ואנחנו נעשה כל שביכולנו כדי לפתור את הבעיות העומדות בפניך."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "תוכניות חודשיות ושנתיות הן תכניות חוזרות ותוכנית חיים היא תכנית תשלום חד פעמית, עבור מנויים, אלא אם חידוש אוטומטי כבה, תחויב במחיר התקופה בסיום התקופה הנוכחית."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "זכור שההחזרים מטופלים על ידי הפלטפורמות וזמני ההחזר והמדיניות עשויים להיות שונים ביחס לפלטפורמה ולשוק ממנו אתה נרשם."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "אנא דווח לנו על רכישות מקריות באותו יום או לפחות תוך 24 שעות באמצעות הדף 'שלח משוב' בהגדרות האפליקציה."
"Leeloo Premium", "Leeloo פרימיום"
"Subscribe to get more", "הירשמו כדי לקבל יותר"
"Try 3 days for free", "נסה 3 ימים בחינם"
"Next", "הבא"
"Start", "התחל"
"USE", "להשתמש"
"USING", "משתמשים"
"ADD", "הוסף"
"REMOVE", "הסר"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "המכשיר שלך אינו תומך במנהל התקן קולי בשפה זו. על מנת להשתמש ביכולות TTS עליכם להתקין מנהל התקן קולי. אתה יכול לנסות את אפליקציית 'Google TTS' להתקנה וניהול של מנהלי התקנים!"
"Confirm Sign Out", "אשר את היציאה"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "זכור שאתה יכול להמשיך להתחבר ולא צריך לצאת מהחשבון שלך בכל פעם."
"Remove Profile", "הסר את הפרופיל"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "האם אתה בטוח שברצונך להסיר פרופיל זה, גם הנתונים שנוצרו על ידי פרופיל זה יוסרו."
"OK", "בסדר"
"Cancel", "בטל"