"activities","Activities","Činnosti"
"walking","Walking","Chůze"
"walking_2","I like walking","rád chodím"
"walking_3","I don't like walking","Nemám rád chůzi"
"walking_4","Do you want to walk together?","Chcete chodit spolu?"
"running","Running","Běh"
"running_2","I like running.","Rád běhám."
"running_3","I don't like running.","Nemám rád běh."
"running_4","Do you want to go running?","Chcete běžet?"
"talking","Talking","Mluvící"
"talking_2","I like talking.","Rád mluvím."
"talking_3","I don't like talking.","Nerad mluvím."
"talking_4","Do you want to talk with me?","Chceš se mnou mluvit?"
"reading","Reading","Čtení"
"reading_2","I like reading.","Rád čtu."
"reading_3","I don't like reading.","Nelíbí se mi čtení."
"reading_4","Do you want to read together?","Chcete číst společně?"
"football","Football","Fotbal"
"football_2","I like playing football.","Rád hraju fotbal."
"football_3","I don't like playing football.","Nemám rád fotbal."
"football_4","Do you want to play football?","Chcete hrát fotbal?"
"basketball","Basketball","Basketball"
"basketball_2","I like playing basketball.","Ráda hraji basketbal."
"basketball_3","I don't like playing basketball.","Nemám rád basketbal."
"basketball_4","Do you want to play basketball?","Chcete hrát basketbal?"
"swimming","Swimming","Plavání"
"swimming_2","I like swimming.","Mám rád plavání."
"swimming_3","I don't like swimming.","Nemám rád plavání."
"swimming_4","Do you want to go to swimming?","Chcete jít na koupání?"
"painting","Painting","Malování"
"painting_2","I like painting.","Mám rád malování."
"painting_3","I don't like painting.","Nemám rád malování."
"painting_4","Do you want to paint together?","Chcete malovat společně?"
"drawing","Drawing","Výkres"
"drawing_2","I like drawing.","Ráda kreslím."
"drawing_3","I don't like drawing.","Nelíbí se mi kreslení."
"drawing_4","Do you want to draw together?","Chcete se spojit?"
"cycling","Cycling","Cyklistika"
"cycling_2","I like cycling.","Ráda jezdím na kole."
"cycling_3","I don't like cycling.","Nemám rád jízdu na kole."
"cycling_4","Do you want to go cycling?","Chcete jet na kole?"
"skating","Skating","Jízda na bruslích"
"skating_2","I like skating.","Mám rád bruslení."
"skating_3","I don't like skating.","Nemám rád bruslení."
"skating_4","Do you want to go skating?","Chcete bruslit?"
"sightseeing","Sightseeing","Prohlížení památek"
"sightseeing_2","I like sightseeing.","Líbí se mi poznávání."
"sightseeing_3","I don't like sightseeing.","Nemám rád prohlídky památek."
"sightseeing_4","Do you want to go for sightseeing?","Chcete jít na prohlídku?"
"video-games","Video games","Videohry"
"video-games_2","I like playing video games.","Rád hraji videohry."
"video-games_3","I don't like playing video games.","Nelíbí se mi hraní videoher."
"video-games_4","Do you want to play games?","Chcete hrát hry?"
"tidying","Tidying","Úklid"
"tidying_2","I like tidying my room.","Rád uklízím pokoj."
"tidying_3","I don't like tidying my room.","Nemám rád uklízení svého pokoje."
"tidying_4","Can you help me tidy my room?","Můžete mi pomoci uklidit můj pokoj?"
"toys","Toys","Hračky"
"toys_2","I like toys.","Mám rád hračky."
"toys_3","I don't like toys.","Nemám rád hračky."
"toys_4","Do you want to play with my toys?","Chcete si hrát s mými hračkami?"
"puzzle","Puzzle","Hádanka"
"puzzle_2","I like solving puzzle.","Líbí se mi řešení hádanky."
"puzzle_3","I don't like solving puzzle.","Nemám rád řešení hádanek."
"puzzle_4","Do you want to solve puzzles with me?","Chcete se mnou vyřešit hádanky?"
"comics","Comics","Komiks"
"comics_2","I like reading comics.","Rád čtu komiksy."
"comics_3","I don't like reading comics.","Nelíbí se mi čtení komiksu."
"comics_4","Do you want to read comics?","Chcete číst komiksy?"
"chess","Chess","Šachy"
"chess_2","I like playing chess.","Ráda hraji šachy."
"chess_3","I don't like playing chess.","Nemám rád šachy."
"chess_4","Do you want to play chess with me?","Chcete se mnou hrát šachy?"
"using-leeloo","Using Leeloo","Používání Leeloo"
"using-leeloo_2","I like using leeloo.","Rád používám leeloo."
"using-leeloo_3","I don't like using leeloo.","Nemám rád leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Můžete vyměnit balíčky karet na leelou?"
"texting","Texting","Psaní"
"texting_2","I like texting.","Mám rád textové zprávy."
"texting_3","I don't like texting.","Nemám rád textové zprávy."
"knitting","Knitting","Pletení"
"knitting_2","I like knitting.","Mám rád pletení."
"knitting_3","I don't like knitting.","Nemám rád pletení."
"knitting_4","I want to learn how to knit.","Chci se naučit plést."
"bowling","Bowling","Kuželky"
"bowling_2","I like bowling.","Mám rád bowling."
"bowling_3","I don't like bowling.","Nemám rád bowling."
"bowling_4","Do you want to play bowling with me?","Chcete se mnou hrát bowling?"
"watching-tv","Watching TV","Sledování televize"
"watching-tv_2","I like watching tv.","Rád se dívám na televizi."
"watching-tv_3","I don't like watching tv.","Nemám rád sledování televize."
"watching-tv_4","Do you want to watch tv?","Chcete se dívat na televizi?"
"fishing","Fishing","Rybolov"
"fishing_2","I like fishing.","Mám rád rybaření."
"fishing_3","I don't like fishing.","Nelíbí se mi rybaření."
"fishing_4","Do you want to go to fishing?","Chcete jít na rybaření?"
"exercising","Exercising","Cvičení"
"exercising_2","I like exercising.","Ráda cvičím."
"exercising_3","I don't like exercising.","Nemám rád cvičení."
"exercising_4","Do you want to exercise with me?","Chcete se mnou cvičit?"
"tennis","Tennis","Tenis"
"tennis_2","I like playing tennis.","Rád hraji tenis."
"tennis_3","I don't like playing tennis.","Nemám rád tenis."
"tennis_4","Do you want to play tennis with me?","Chcete si se mnou hrát tenis?"
"animals","Animals","Zvířata"
"cat","Cat","Kočka"
"cat_2","I like cats.","Mám rád kočky."
"cat_3","I saw a cat.","Viděl jsem kočku."
"cat_4","What noise does a cat make?","Jaký hluk dělá kočka?"
"cat_5","Can we get a cat as pet?","Můžeme získat kočku jako domácího mazlíčka?"
"dog","Dog","Pes"
"dog_2","I like dog.","Mám ráda psa."
"dog_3","I saw a dog.","Viděl jsem psa."
"dog_4","What noise does a dog make?","Jaký hluk dělá pes?"
"dog_5","Can we get a dog as pet?","Můžeme získat psa jako domácího mazlíčka?"
"fish","Fish","Ryba"
"fish_2","I like fish.","Mám rád ryby."
"fish_3","I saw a fish.","Viděl jsem rybu."
"fish_4","What noise does a fish make?","Jaký hluk ryby vydávají?"
"fish_5","Can we get a fish as pet?","Můžeme získat rybu jako domácího mazlíčka?"
"rabbit","Rabbit","Králičí"
"rabbit_2","I like rabbits.","Mám rád králíky."
"rabbit_3","I saw a rabbit.","Viděl jsem králíka."
"rabbit_4","What noise does a rabbit make?","Jaký hluk dělá králík?"
"rabbit_5","Can we get a rabbit as pet?","Můžeme získat králíka jako domácího mazlíčka?"
"butterfly","Butterfly","Motýl"
"butterfly_2","I like butterflies.","Mám rád motýly."
"butterfly_3","I saw a butterfly.","Viděl jsem motýla."
"butterfly_4","What noise does a butterfly make?","Jaký hluk má motýl?"
"kangaroo","Kangaroo","Klokan"
"kangaroo_2","I like kangaroos.","Mám rád klokani."
"kangaroo_3","I saw a kangaroo.","Viděl jsem klokan."
"kangaroo_4","What noise does a kangaroo make?","Jaký hluk klokan vydává?"
"turtle","Turtle","Želva"
"turtle_2","I like turtles.","Mám rád želvy."
"turtle_3","I saw a turtle.","Viděl jsem želvu."
"turtle_4","What noise does a turtle make?","Jaký hluk způsobuje želva?"
"giraffe","Giraffe","Žirafa"
"giraffe_2","I like giraffes.","Mám rád žirafy."
"giraffe_3","I saw a giraffe.","Viděl jsem žirafu."
"giraffe_4","What noise does a giraffe make?","Jaký hluk dělá žirafa?"
"frog","Frog","Žába"
"frog_2","I like frogs.","Mám rád žáby."
"frog_3","I saw a frog.","Viděl jsem žábu."
"frog_4","What noise does a frog make?","Jaký hluk vytváří žába?"
"swan","Swan","Labuť"
"swan_2","I like swans.","Mám rád labutě."
"swan_3","I saw a swan.","Viděl jsem labuť."
"swan_4","What noise does a swan make?","Jaký hluk dělá labuť?"
"spider","Spider","Pavouk"
"spider_2","I like spiders.","Mám rád pavouky."
"spider_3","I saw a spider.","Viděl jsem pavouka."
"spider_4","What noise does a spider make?","Jaký šum vydává pavouk?"
"cow","Cow","Kráva"
"cow_2","I like cows.","Mám rád krávy."
"cow_3","I saw a cow.","Viděl jsem krávu."
"cow_4","What noise does a cow make?","Jaký hluk kráva vydává?"
"duck","Duck","Kachna"
"duck_2","I like ducks.","Mám rád kachny."
"duck_3","I saw a duck.","Viděl jsem kachnu."
"duck_4","What noise does a duck make?","Jaký hluk kachna dělá?"
"horse","Horse","Kůň"
"horse_2","I like horses.","Mám rád koně."
"horse_3","I saw a horse.","Viděl jsem koně."
"horse_4","What noise does a horse make?","Jaký hluk dělá kůň?"
"chicken","Chicken","Kuře"
"chicken_2","I like chickens.","Mám rád kuřata."
"chicken_3","I saw a chicken.","Viděl jsem kuře."
"chicken_4","What noise does a chicken make?","Jaký hluk kuře dělá?"
"bee","Bee","Včela"
"bee_2","I like bees.","Mám rád včely."
"bee_3","I saw a bee.","Viděl jsem včelu."
"bee_4","What noise does a bee make?","Jaký hluk včela dělá?"
"pig","Pig","Prase"
"pig_2","I like pigs.","Mám rád prasata."
"pig_3","I saw a pig.","Viděl jsem prase."
"pig_4","What noise does a pig make?","Jaký hluk vydává prase?"
"dove","Dove","Holubice"
"dove_2","I like doves.","Mám rád holubice."
"dove_3","I saw a dove.","Viděl jsem holubici."
"dove_4","What noise does a dove make?","Jaký hluk dělá holubice?"
"crab","Crab","Krab"
"crab_2","I like crabs.","Mám rád kraby."
"crab_3","I saw a crab.","Viděl jsem kraba."
"crab_4","What noise does a crab make?","Jaký hluk dělá krab?"
"penguin","Penguin","Tučňák"
"penguin_2","I like penguins.","Mám rád tučňáky."
"penguin_3","I saw a penguin.","Viděl jsem tučňáka."
"penguin_4","What noise does a penguin make?","Jaký hluk tučňák vydává?"
"elephant","Elephant","Slon"
"elephant_2","I like elephants.","Mám rád slony."
"elephant_3","I saw an elephant.","Viděl jsem slona."
"elephant_4","What noise does an elephant make?","Jaký hluk způsobuje slon?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Mám rád zebry."
"zebra_3","I saw a zebra.","Viděl jsem zebru."
"zebra_4","What noise does a zebra make?","Jaký hluk způsobuje zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Mám rád pandy."
"panda_3","I saw a panda.","Viděl jsem pandu."
"panda_4","What noise does a panda make?","Jaký hluk panda vydává?"
"monkey","Monkey","Opice"
"monkey_2","I like monkeys.","Mám rád opice."
"monkey_3","I saw a monkey.","Viděl jsem opici."
"monkey_4","What noise does a monkey make?","Jaký hluk dělá opice?"
"camel","Camel","Velbloud"
"camel_2","I like camels.","Mám rád velbloudy."
"camel_3","I saw a camel.","Viděl jsem velblouda."
"camel_4","What noise does a camel make?","Jaký hluk dělá velbloud?"
"mouse","Mouse","Myš"
"mouse_2","I like mice.","Mám rád myši."
"mouse_3","I saw a mouse.","Viděl jsem myš."
"mouse_4","What noise does a mouse make?","Jaký hluk dělá myš?"
"tiger","Tiger","Tygr"
"tiger_2","I like tigers.","Líbí se mi tygři."
"tiger_3","I saw a tiger.","Viděl jsem tygra."
"tiger_4","What noise does a tiger make?","Jaký hluk tygr vydává?"
"jellyfish","Jellyfish","Medúza"
"jellyfish_2","I like jellyfishes.","Mám rád medúzy."
"jellyfish_3","I saw a jellyfish.","Viděl jsem medúzu."
"jellyfish_4","What noise does a jellyfish make?","Jaký hluk medúza dělá?"
"crocodile","Crocodile","Krokodýl"
"crocodile_2","I like crocodiles.","Mám rád krokodýly."
"crocodile_3","I saw a crocodile.","Viděl jsem krokodýla."
"crocodile_4","What noise does a crocodile make?","Jaký hluk dělá krokodýl?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Mám rád koaly."
"koala_3","I saw a koala.","Viděl jsem koalu."
"koala_4","What noise does a koala make?","Jaký hluk dělá koala?"
"ostrich","Ostrich","Pštros"
"ostrich_2","I like ostriches.","Mám rád pštrosi."
"ostrich_3","I saw an ostrich.","Viděl jsem pštrosa."
"ostrich_4","What noise does an ostrich make?","Jaký hluk dělá pštros?"
"racoon","Racoon","Mýval"
"racoon_2","I like racoons.","Mám rád racoony."
"racoon_3","I saw a racoon.","Viděl jsem racoona."
"racoon_4","What noise does a racoon make?","Jaký hluk vydává racoon?"
"bat","Bat","Netopýr"
"bat_2","I like bats.","Mám rád netopýry."
"bat_3","I saw a bat.","Viděl jsem netopýra."
"bat_4","What noise does a bat make?","Jaký hluk dělá netopýr?"
"eagle","Eagle","Orel"
"eagle_2","I like eagles.","Mám rád orly."
"eagle_3","I saw an eagle.","Viděl jsem orla."
"eagle_4","What noise does an eagle make?","Jaký hluk vydává orel?"
"hippopotamus","Hippopotamus","Hroch"
"hippopotamus_2","I like hippopotamus.","Líbí se mi hroch."
"hippopotamus_3","I saw a hippopotamus.","Viděl jsem hrocha."
"hippopotamus_4","What noise does a hippopotamus make?","Jaký hluk způsobuje hroch?"
"seal","Seal","Těsnění"
"seal_2","I like seals.","Mám rád těsnění."
"seal_3","I saw a seal.","Viděl jsem pečeť."
"seal_4","What noise does a seal make?","Jaký hluk vytváří těsnění?"
"walrus","Walrus","Mrož"
"walrus_2","I like walruses.","Mám rád mrože."
"walrus_3","I saw a walrus.","Viděl jsem mrož."
"walrus_4","What noise does a walrus make?","Jaký hluk vydává mrož?"
"seahorse","Seahorse","Mořský koník"
"seahorse_2","I like seahorses.","Mám rád mořské koníky."
"seahorse_3","I saw a seahorse.","Viděl jsem mořského koníka."
"seahorse_4","What noise does a seahorse make?","Jaký hluk vydává mořský koník?"
"bull","Bull","Býk"
"bull_2","I like bulls.","Mám rád býky."
"bull_3","I saw a bull.","Viděl jsem býka."
"bull_4","What noise does a bull make?","Jaký hluk býk vydává?"
"pelican","Pelican","Pelikán"
"pelican_2","I like pelicans.","Mám rád pelikány."
"pelican_3","I saw a pelican.","Viděl jsem pelikána."
"pelican_4","What noise does a pelican make?","Jaký hluk způsobuje pelikán?"
"beaver","Beaver","Bobr"
"beaver_2","I like beavers.","Mám rád bobři."
"beaver_3","I saw a beaver.","Viděl jsem bobra."
"beaver_4","What noise does a beaver make?","Jaký hluk dělá bobr?"
"goldfish","Goldfish","Zlatá rybka"
"goldfish_2","I like goldfishes.","Mám rád zlaté rybky."
"goldfish_3","I saw a goldfish.","Viděl jsem zlatou rybku."
"goldfish_4","What noise does a goldfish make?","Jaký hluk vytváří zlatá rybka?"
"goldfish_5","Can we get a goldfish as pet?","Můžeme získat zlatou rybku jako domácího mazlíčka?"
"rhinoceros","Rhinoceros","Nosorožec"
"rhinoceros_2","I like rhinoceros.","Mám rád nosorožce."
"rhinoceros_3","I saw a rhinoceros.","Viděl jsem nosorožce."
"rhinoceros_4","What noise does a rhinoceros make?","Jaký hluk nosorožci vydávají?"
"snake","Snake","Had"
"snake_2","I like snakes.","Mám rád hady."
"snake_3","I saw a snake.","Viděl jsem hada."
"snake_4","What noise does a snake make?","Jaký hluk vytváří had?"
"lion","Lion","Lev"
"lion_2","I like lions.","Mám rád lvy."
"lion_3","I saw a lion.","Viděl jsem lva."
"lion_4","What noise does a lion make?","Jaký hluk dělá lev?"
"squid","Squid","Oliheň"
"squid_2","I like squids.","Mám ráda chobotnice."
"squid_3","I saw a squid.","Viděl jsem chobotnici."
"squid_4","What noise does a squid make?","Jaký hluk dělá chobotnice?"
"whale","Whale","Velryba"
"whale_2","I like whales.","Mám rád velryby."
"whale_3","I saw a whale.","Viděl jsem velrybu."
"whale_4","What noise does a whale make?","Jaký hluk způsobuje velryba?"
"beetle","Beetle","Brouk"
"beetle_2","I like beetles.","Mám rád brouky."
"beetle_3","I saw a beetle.","Viděl jsem brouka."
"beetle_4","What noise does a beetle make?","Jaký hluk způsobuje brouk?"
"dolphin","Dolphin","Delfín"
"dolphin_2","I like dolphins.","Mám rád delfíny."
"dolphin_3","I saw a dolphin.","Viděl jsem delfína."
"dolphin_4","What noise does a dolphin make?","Jaký hluk vydává delfín?"
"starfish","Starfish","Mořská hvězdice"
"starfish_2","I like starfishes.","Mám rád hvězdice."
"starfish_3","I saw a starfish.","Viděl jsem hvězdice."
"starfish_4","What noise does a starfish make?","Jaký hluk vytváří hvězdice?"
"parakeet","Parakeet","Andulka"
"parakeet_2","I like parakeets.","Mám rád papoušky."
"parakeet_3","I saw a parakeet.","Viděl jsem papouška."
"parakeet_4","What noise does a parakeet make?","Jaký hluk dělá papoušek?"
"owl","Owl","Sova"
"owl_2","I like owls.","Mám rád sovy."
"owl_3","I saw an owl.","Viděl jsem sova."
"owl_4","What noise does an owl make?","Jaký hluk vydává sova?"
"sheep","Sheep","Ovce"
"sheep_2","I like sheeps.","Mám rád ovce."
"sheep_3","I saw a sheep.","Viděl jsem ovci."
"sheep_4","What noise does a sheep make?","Jaký hluk způsobuje ovce?"
"clothes","Clothes","Oblečení"
"pants","Pants","Kalhoty"
"pants_2","My pants are dirty.","Moje kalhoty jsou špinavé."
"pants_3","Can you help me wear my pants?","Můžete mi pomoci nosit kalhoty?"
"shirt","Shirt","Košile"
"shirt_2","My shirt is dirty.","Moje košile je špinavá."
"shirt_3","Can you help me wear my shirt?","Můžete mi pomoci nosit košili?"
"skirt","Skirt","Sukně"
"skirt_2","My skirt is dirty.","Moje sukně je špinavá."
"skirt_3","Can you help me wear my skirt?","Můžete mi pomoci nosit sukni?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Moje spodní prádlo je špinavé."
"panty_3","Can you help me wear my panty?","Můžete mi pomoci nosit kalhotky?"
"jacket","Jacket","Bunda"
"jacket_2","My jacket is dirty.","Moje bunda je špinavá."
"jacket_3","Can you help me wear my jacket?","Můžete mi pomoci nosit moji bundu?"
"tie","Tie","Kravata"
"tie_2","I like wearing tie.","Mám rád kravatu."
"tie_3","Can you help me tie my tie?","Můžete mi pomoci uvázat mou kravatu?"
"baseball-cap","Baseball cap","Baseballová čepice"
"baseball-cap_2","I like wearing baseball cap.","Ráda nosím kšiltovku."
"baseball-cap_3","Which baseball cap should I wear?","Kterou baseballovou čepici bych měl nosit?"
"dress","Dress","Šaty"
"dress_2","My dress is dirty.","Moje šaty jsou špinavé."
"dress_3","Can you help me wear my dress?","Můžete mi pomoci nosit moje šaty?"
"shoes","Shoes","Obuv"
"shoes_2","My shoes are dirty.","Moje boty jsou špinavé."
"shoes_3","Can you help me wear my shoes?","Můžete mi pomoci nosit boty?"
"boots","Boots","Boty"
"boots_2","My boots are dirty.","Moje boty jsou špinavé."
"boots_3","Can you help me wear my boots?","Můžete mi pomoci nosit boty?"
"sneakers","Sneakers","Tenisky"
"sneakers_2","I want to wear my sneakers.","Chci nosit své tenisky."
"sneakers_3","Can you help me wear my sneakers?","Můžete mi pomoci nosit moje tenisky?"
"slippers","Slippers","Bačkory"
"slippers_2","I want to wear my slippers.","Chci nosit pantofle."
"slippers_3","Can you help me wear my slippers?","Můžete mi pomoci nosit pantofle?"
"belt","Belt","Pás"
"belt_2","I like wearing belt.","Rád nosím pás."
"belt_3","Can you help me wear my belt?","Můžete mi pomoci nosit můj opasek?"
"socks","Socks","Ponožky"
"socks_2","My socks are dirty.","Moje ponožky jsou špinavé."
"socks_3","Can you help me wear my socks?","Můžete mi pomoci nosit ponožky?"
"swimsuit","Swimsuit","Plavky"
"swimsuit_2","I want to wear my swimsuit.","Chci nosit plavky."
"swimsuit_3","Can you help me wear my swimsuit?","Můžete mi pomoci nosit plavky?"
"sweater","Sweater","Svetr"
"sweater_2","My sweater is dirty.","Můj svetr je špinavý."
"sweater_3","Can you help me wear my sweater?","Můžete mi pomoci nosit svetr?"
"scarf","Scarf","Šátek"
"scarf_2","I like wearing scarf.","Ráda nosím šátek."
"scarf_3","Can you help me wear my scarf?","Můžete mi pomoci nosit šátek?"
"denim-shorts","Denim shorts","Džínové šortky"
"denim-shorts_2","My denim shorts are dirty.","Moje džínové kraťasy jsou špinavé."
"denim-shorts_3","Can you help me wear my denim shorts?","Můžete mi pomoci nosit moje džínové kraťasy?"
"hoodies","Hoodies","Mikiny"
"hoodies_2","I like wearing hoodies.","Ráda nosí mikiny."
"hoodies_3","Can you help me wear my hoodie?","Můžete mi pomoci nosit moji mikinu?"
"swimming-shorts","Swimming shorts","Plavecké šortky"
"swimming-shorts_2","My swimming shorts are dirty.","Moje plavecké šortky jsou špinavé."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Můžete mi pomoci nosit moje plavecké šortky?"
"bow-tie","Bow tie","Motýlek"
"bow-tie_2","I like wearing bow tie.","Mám rád motýlek."
"bow-tie_3","Can you help me wear my bow tie?","Můžete mi pomoci nosit motýlek?"
"leather-jacket","Leather jacket","Kožená bunda"
"leather-jacket_2","I like wearing leather jacket.","Ráda nosí koženou bundu."
"leather-jacket_3","Can you help me wear my leather jacket?","Můžete mi pomoci nosit moji koženou bundu?"
"bathrobe","Bathrobe","Župan"
"bathrobe_2","I like wearing bathrobe.","Mám rád župan."
"bathrobe_3","Can you help me wear my bathrobe?","Můžete mi pomoci nosit můj župan?"
"jumpsuit","Jumpsuit","Kombinéza"
"jumpsuit_2","I like wearing jumpsuit.","Ráda nosí kombinézu."
"jumpsuit_3","Can you help me wear my jumpsuit?","Můžete mi pomoci nosit kombinézu?"
"fedora-hat","Fedora hat","Klobouk Fedora"
"fedora-hat_2","I like wearing fedora hat.","Mám rád klobouk fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Můžete mi pomoci nosit klobouk fedora?"
"t-shirt","T-shirt","tričko"
"t-shirt_2","I like wearing t-shirt.","Ráda nosím tričko."
"t-shirt_3","Can you help me wear my t-shirt?","Můžete mi pomoci nosit moje tričko?"
"sleeveless","Sleeveless","Bez rukávů"
"sleeveless_2","I like wearing sleeveless.","Ráda nosím bez rukávů."
"sleeveless_3","Can you help me wear my sleeveless?","Můžete mi pomoci nosit můj bez rukávů?"
"boxers","Boxers","Boxeři"
"boxers_2","I like wearing boxers.","Ráda nosím boxerky."
"boxers_3","Can you help me wear my boxers?","Můžete mi pomoci nosit moje boxery?"
"vest","Vest","Vesta"
"vest_2","I like wearing vest.","Rád nosím vestu."
"vest_3","Can you help me wear my vest?","Můžete mi pomoci nosit vestu?"
"pamela-hat","Pamela hat","Pamela klobouk"
"pamela-hat_2","I like wearing pamela hat.","Ráda nosí klobouk Pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Můžete mi pomoci nosit klobouk pamela?"
"high-heels","High heels","Vysoké podpatky"
"high-heels_2","I like wearing high heels.","Ráda nosí vysoké podpatky."
"high-heels_3","Can you help me wear my high heels?","Můžete mi pomoci nosit vysoké podpatky?"
"overalls","Overalls","Montérky"
"overalls_2","I like wearing overalls.","Ráda nosím kombinézy."
"overalls_3","Can you help me wear my overalls?","Můžete mi pomoci nosit moje kombinézy?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Ráda nosím kimono."
"kimono_3","Can you help me wear my kimono?","Můžete mi pomoci nosit moje kimono?"
"raincoat","Raincoat","Pláštěnka"
"raincoat_2","I like wearing raincoat.","Ráda nosím pláštěnku."
"raincoat_3","Can you help me wear my raincoat?","Můžete mi pomoci nosit pláštěnku?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Ráda nosím šátek."
"bandana_3","Can you help me wear my bandana?","Můžete mi pomoci nosit můj šátek?"
"beret","Beret","Baret"
"beret_2","I like wearing beret.","Ráda nosí baret."
