"activities","Activities","Činnosti"
"beret_3","Can you help me wear my beret?","Můžete mi pomoci nosit můj baret?"
"knit-hat","Knit hat","Pletený klobouk"
"knit-hat_2","I like wearing knit hat.","Mám rád na sobě pletený klobouk."
"knit-hat_3","Can you help me wear my knit hat?","Můžete mi pomoci nosit můj pletený klobouk?"
"suspenders","Suspenders","Šle"
"suspenders_2","I like wearing suspenders.","Ráda nosím podvazky."
"suspenders_3","Can you help me wear my suspenders?","Můžete mi pomoci nosit moje podvazky?"
"mitten","Mitten","Mitten"
"mitten_2","I like wearing mitten.","Ráda nosí rukavice."
"mitten_3","Can you help me wear my mitten?","Můžete mi pomoci nosit rukavice?"
"suit","Suit","Oblek"
"suit_2","I like wearing suit.","Ráda nosí oblek."
"suit_3","Can you help me wear my suit?","Můžete mi pomoci nosit můj oblek?"
"coat","Coat","Kabát"
"coat_2","I like wearing coat.","Ráda nosím kabát."
"coat_3","Can you help me wear my coat?","Můžete mi pomoci nosit kabát?"
"trench-coat","Trench coat","Plášť"
"trench-coat_2","I like wearing trench coat.","Rád nosím trenčkot."
"trench-coat_3","Can you help me wear my trench coat?","Můžete mi pomoci nosit kabát?"
"colors","Colors","Barvy"
"crayons","Crayons","Pastelky"
"crayons_2","I like crayons.","Mám rád pastelky."
"crayons_3","Can you give me crayons?","Můžeš mi dát pastelky?"
"crayons_4","I want to draw using my crayons.","Chci kreslit pomocí svých pastelek."
"red","Red","Červené"
"red_2","It is red.","Je to červené."
"red_3","My favorite color is red.","Moje oblíbená barva je červená."
"red_4","Can you give me red paint?","Můžeš mi dát červenou barvu?"
"blue","Blue","Modrý"
"blue_2","It is blue.","Je to modré."
"blue_3","My favorite color is blue.","Moje oblíbená barva je modrá."
"blue_4","Can you give me blue paint?","Můžete mi dát modrou barvu?"
"orange","Orange","oranžový"
"orange_2","It is orange color.","Je to oranžová barva."
"orange_3","My favorite color is orange.","Moje oblíbená barva je oranžová."
"orange_4","Can you give me orange paint?","Můžeš mi dát oranžovou barvu?"
"green","Green","Zelený"
"green_2","It is green.","Je to zelené."
"green_3","My favorite color is green.","Moje oblíbená barva je zelená."
"green_4","Can you give me green paint?","Můžete mi dát zelenou barvu?"
"yellow","Yellow","Žlutá"
"yellow_2","It is yellow.","Je žlutá."
"yellow_3","My favorite color is yellow.","Moje oblíbená barva je žlutá."
"yellow_4","Can you give me yellow paint?","Můžeš mi dát žlutou barvu?"
"purple","Purple","Nachový"
"purple_2","It is purple.","Je fialová."
"purple_3","My favorite color is purple.","Moje oblíbená barva je fialová."
"purple_4","Can you give me purple paint?","Můžete mi dát fialové barvy?"
"pink","Pink","Růžový"
"pink_2","It is pink.","Je růžová."
"pink_3","My favorite color is pink.","Moje oblíbená barva je růžová."
"pink_4","Can you give me pink paint?","Můžeš mi dát růžovou barvu?"
"brown","Brown","Hnědý"
"brown_2","It is brown.","To je hnědé."
"brown_3","My favorite color is brown.","Moje oblíbená barva je hnědá."
"brown_4","Can you give me brown paint?","Můžeš mi dát hnědou barvu?"
"black","Black","Černá"
"black_2","It is black.","Je to černé."
"black_3","My favorite color is black.","Moje oblíbená barva je černá."
"black_4","Can you give me black paint?","Můžete mi dát černou barvu?"
"white","White","Bílý"
"white_2","It is white.","Je to bílé."
"white_3","My favorite color is white.","Moje oblíbená barva je bílá."
"white_4","Can you give me white paint?","Můžete mi dát bílou barvu?"
"gray","Gray","Šedá"
"gray_2","It is gray.","Je šedá."
"gray_3","My favorite color is gray.","Moje oblíbená barva je šedá."
"gray_4","Can you give me gray paint?","Můžete mi dát šedou barvu?"
"transparent","Transparent","Průhledný"
"transparent_2","It is transparent.","Je to průhledné."
"transparent_3","I can see behind transparent color.","Vidím za průhlednou barvou."
"transparent_4","Can you help me erase?","Můžete mi pomoci vymazat?"
"cyan","Cyan","Tyrkysová"
"cyan_2","It is cyan.","Je to azurová."
"cyan_3","My favorite color is cyan.","Moje oblíbená barva je azurová."
"cyan_4","Can you give me cyan paint?","Můžeš mi dát azurovou barvu?"
"violet","Violet","fialový"
"violet_2","It is violet.","Je fialová."
"violet_3","My favorite color is violet.","Moje oblíbená barva je fialová."
"violet_4","Can you give me violet paint?","Můžeš mi dát fialovou barvu?"
"turquoise","Turquoise","Tyrkysový"
"turquoise_2","It is turquoise.","Je tyrkysová."
"turquoise_3","My favorite color is turquoise.","Moje oblíbená barva je tyrkysová."
"turquoise_4","Can you give me turquoise paint?","Můžete mi dát tyrkysovou barvu?"
"lime","Lime","Limetka"
"lime_2","It is lime.","Je to vápno."
"lime_3","My favorite color is lime.","Moje oblíbená barva je vápno."
"lime_4","Can you give me lime paint?","Můžeš mi dát vápennou barvu?"
"plum","Plum","Švestka"
"plum_2","It is plum.","Je to švestka."
"plum_3","My favorite color is plum.","Moje oblíbená barva je švestka."
"plum_4","Can you give me plum paint?","Můžete mi dát švestkové barvy?"
"tan","Tan","Opálení"
"tan_2","It is tan color.","Je to hnědá barva."
"tan_3","My favorite color is tan color.","Moje oblíbená barva je hnědá."
"tan_4","Can you give me tan color paint?","Můžete mi dát pálení barvy barvy?"
"avocado","Avocado","Avokádo"
"avocado_2","It is avocado color.","Je to avokádová barva."
"avocado_3","My favorite color is avocado color.","Moje oblíbená barva je avokádová barva."
"avocado_4","Can you give me avocado color paint?","Můžeš mi dát avokádovou barvu?"
"barbie-pink","Barbie pink","Barbie růžová"
"barbie-pink_2","It is barbie pink color.","Je to barbie růžová barva."
"barbie-pink_3","My favorite color is barbie pink.","Moje oblíbená barva je barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Můžete mi dát barbie růžové barvy?"
"blizzard-blue","Blizzard blue","Blizzard blue"
"blizzard-blue_2","It is blizzard blue color.","Je to vánice modrá barva."
"blizzard-blue_3","My favorite color is blizzard blue color.","Moje oblíbená barva je blizzard blue color."
"blizzard-blue_4","Can you give me blizzard blue paint?","Můžete mi dát blizzard blue paint?"
"conversation","Conversation","Konverzace"
"me","Me","Mě"
"me_2","My name is {name}","Jmenuji se {name}"
"me_3","I'm {name}","Jsem {name}"
"me_4","Do you know my name?","Znáš mé jméno?"
"me_5","What is your name?","Jak se jmenuješ?"
"me_6","Nice to meet you!","Rád vás poznávám!"
"me_7","Do you like me?","Máš mě rád?"
"me_8","Can we be friends?","Můžeme být přátelé?"
"me_9","I'm using assistive communication app.","Používám pomocnou komunikační aplikaci."
"me_10","Who are you?","Kdo jsi?"
"hello","Hello","Ahoj"
"hello_2","Hello.","Ahoj."
"hello_3","Hi.","Ahoj."
"hello_4","Greetings.","Pozdravy."
"hello_5","How are you?","Jak se máte?"
"hello_6","Nice to meet you!","Rád vás poznávám!"
"help","Help","Pomoc"
"help_2","Help me.","Pomoz mi."
"help_3","Can you help me?","Můžeš mi pomoci?"
"help_4","I need help","potřebuji pomoci"
"help_5","Do you need help?","Potřebuješ pomoc?"
"yes","Yes","Ano"
"yes_2","Yes.","Ano."
"yes_3","Yes please.","Ano prosím."
"yes_4","Alright.","V pořádku."
"yes_5","Agreed.","Souhlasím."
"yes_6","I want to.","Chci."
"yes_7","I would like to.","Rád bych."
"no","No","Ne"
"no_2","No.","Ne."
"no_3","Nope.","Ani náhodou."
"no_4","Never.","Nikdy."
"no_5","I don't want to.","Nechci."
"no_6","I don't like it.","Nelíbí se mi to."
"no_7","You don't like it?","Nelíbí se ti to?"
"no_8","Why you don't like it?","Proč se vám to nelíbí?"
"toilet","Toilet","Toaleta"
"toilet_2","I need to go to the toilet.","Musím jít na záchod."
"toilet_3","I need to pee.","Potřebuji čůrat."
"toilet_4","I need to poop.","Potřebuji kakat."
"toilet_5","Can you help me go to the toilet?","Můžete mi pomoci jít na záchod?"
"toilet_6","Can you help me clean?","Můžete mi pomoci vyčistit?"
"toilet_7","I peed myself.","Nakoukl jsem se."
"toilet_8","I pooped myself.","Nasadil jsem se."
"what","What","Co"
"what_2","What is that?","Co je to?"
"what_3","What does it mean?","Co to znamená?"
"what_4","What do you mean?","Co myslíš?"
"what_5","Can you explain it?","Můžeš to vysvětlit?"
"what_6","Can you repeat what you said?","Můžeš opakovat, co jsi řekl?"
"what_7","I don't understand.","Nerozumím."
"sleep","Sleep","Spát"
"sleep_2","I want to sleep.","Chci spát."
"sleep_3","I don't want to sleep.","Nechci spát."
"sleep_4","I'm tired.","Jsem unavený."
"sleep_5","Are you tired?","Jsi unavený?"
"sleep_6","When am I going to sleep?","Kdy jdu spát?"
"sleep_7","I want to take a nap.","Chci si zdřímnout."
"bath","Bath","Lázeň"
"bath_2","I want to take a bath.","Chci se vykoupat."
"bath_3","I like taking a bath.","Ráda se vykoupám."
"bath_4","I want to wash my hands.","Chci si umýt ruce."
"bath_5","I want to take a shower.","Chci se osprchovat."
"bath_6","I want to clean myself.","Chci se vyčistit."
"bath_7","Can you help me take a bath?","Můžete mi pomoci vykoupat se?"
"bath_8","I don't want to take a bath.","Nechci se vykoupat."
"listen","Listen","Poslouchat"
"listen_2","Listen to me.","Poslouchej mě."
"listen_3","Can you listen to me?","Můžeš mě poslouchat?"
"listen_4","Listen to music.","Poslouchat hudbu."
"listen_5","Listening to my parents.","Poslouchání mých rodičů."
"listen_6","Listen to what my application is saying!","Poslouchejte, co říká moje aplikace!"
"morning","Morning","Ráno"
"morning_2","Good morning.","Dobré ráno."
"morning_3","I like mornings.","Mám ráda rána."
"morning_4","In the morning.","Ráno."
"morning_5","Morning time.","Ranní čas."
"morning_6","Is it morning?","Je ráno?"
"night","Night","Noc"
"night_2","Good night!","Dobrou noc!"
"night_3","I like nights.","Mám rád noci."
"night_4","At night.","V noci."
"night_5","Night time.","Noční čas."
"night_6","Is it night?","Je noc?"
"look","Look","Dívej se"
"look_2","Look at me.","Podívej se na mě."
"look_3","Look at this.","Podívejte se na to."
"look_4","Are you looking?","Hledáš?"
"look_5","Look at my drawing.","Podívejte se na můj obrázek."
"look_6","How do I look?","Jak vypadám?"
"look_7","Look what I did.","Podívej, co jsem udělal."
"look_8","Let's look at that.","Pojďme se na to podívat."
"speak","Speak","Mluvit"
"speak_2","I'm learning how to speak.","Učím se mluvit."
"speak_3","I want to speak.","Chci mluvit."
"speak_4","Can I speak with you?","Můžu s tebou mluvit?"
"speak_5","I like speaking.","Rád mluvím."
"speak_6","I'm using assistive communication app.","Používám pomocnou komunikační aplikaci."
"play","Play","Hrát si"
"play_2","I love playing.","Miluji hraní."
"play_3","Can you play with me?","Můžeš si se mnou hrát?"
"play_4","I want to play with you!","Chci si s tebou hrát!"
"play_5","I want to play with my friends.","Chci si hrát se svými přáteli."
"play_6","I don't want to play with you.","Nechci s tebou hrát."
"outside","Outside","Mimo"
"outside_2","I love going outside.","Rád chodím ven."
"outside_3","I want to go outside.","Chci jít ven."
"outside_4","Is it cold outside?","Je venku zima?"
"outside_5","I don't like outside.","Nemám rád venku."
"outside_6","Can I go outside?","Mohu jít ven?"
"home","Home","Domov"
"home_2","I love my home.","Miluji svůj domov."
"home_3","I want to go home.","Chci jít domů."
"home_4","Where is your home?","Kde je tvůj domov?"
"home_5","Home sweet home.","Domov sladký domov."
"home_6","I'm in the house.","Jsem v domě."
"home_7","I'm not in the house.","Nejsem v domě."
"hurt","Hurt","Zranit"
"hurt_2","I'm hurt.","Jsem zraněný."
"hurt_3","Are you hurt?","Jsi zraněný?"
"hurt_4","Did I hurt you?","Ublížil jsem ti?"
"hurt_5","I didn't mean to hurt you!","Nechtěl jsem ti ublížit!"
"hurt_6","Is it going to hurt?","Bude to bolet?"
"hurt_7","I have a headache.","Bolí mě hlava."
"hurt_8","I have a stomach ache.","Mám bolesti břicha."
"hurt_9","My genitals hurt.","Moje genitálie bolí."
"hurt_10","My foot hurts.","Bolí mě noha."
"feelings","Feelings","Pocity"
"happy","Happy","Šťastný"
"happy_2","I'm happy.","Jsem šťastný."
"happy_3","I feel happy.","Cítím se šťastný."
"happy_4","Do you feel happy?","Cítíš se šťastný?"
"happy_5","I want to feel happy.","Chci se cítit šťastný."
"happy_6","You are making me happy.","Děláte mě šťastným."
"sad","Sad","Smutný"
"sad_2","I'm sad.","Jsem smutný."
"sad_3","I feel sad.","Je mi smutno."
"sad_4","Do you feel sad?","Cítíš se smutně?"
"sad_5","I don't want to feel sad.","Nechci se cítit smutně."
"sad_6","You are making me sad.","Zlobíš mě."
"exhausted","Exhausted","Vyčerpaný"
"exhausted_2","I'm exhausted.","Jsem vyčerpaný."
"exhausted_3","I feel exhausted.","Cítím se vyčerpaná."
"exhausted_4","Do you feel exhausted?","Cítíte se vyčerpaní?"
"exhausted_5","I don't want to be exhausted.","Nechci být vyčerpaný."
"relaxed","Relaxed","Uvolněný"
"relaxed_2","I'm relaxed.","Jsem uvolněný."
"relaxed_3","I feel relaxed.","Cítím se uvolněně."
"relaxed_4","Do you feel relaxed?","Cítíte se uvolněně?"
"relaxed_5","I want to feel relaxed.","Chci se cítit uvolněně."
"in-love","In love","Zamilovaný"
"in-love_2","I'm in love.","Jsem zamilovaný."
"in-love_3","I feel in love.","Zamiloval jsem se."
"in-love_4","Are you in love?","Jsi zamilovaný?"
"in-love_5","I want to fall in love.","Chci se zamilovat."
"in-love_6","Do you love me?","Miluješ mě?"
"stressed","Stressed","Zdůraznil"
"stressed_2","I'm stressed.","Jsem stresovaný."
"stressed_3","I feel stressed.","Cítím se ve stresu."
"stressed_4","Do you feel stressed?","Cítíte se stresovaní?"
"stressed_5","I don't want to feel stressed.","Nechci se cítit stresovaný."
"thankful","Thankful","Vděčný"
"thankful_2","I'm thankful.","Jsem vděčný."
"thankful_3","I feel thankful.","Cítím se vděčný."
"thankful_4","Do you feel thankful?","Cítíš se vděčný?"
"thankful_5","I want to feel thankful.","Chci se cítit vděčný."
"confused","Confused","Zmatený"
"confused_2","I'm confused.","Jsem zmatený."
"confused_3","I feel confused.","Cítím se zmatený."
"confused_4","Do you feel confused?","Cítíte se zmatení?"
"confused_5","You are confusing me.","Mateš mě."
"joyful","Joyful","Rozradostněný"
"joyful_2","I'm joyful.","Jsem radostná."
"joyful_3","I feel joyful.","Cítím se radostně."
"joyful_4","Do you feel joyful?","Cítíš se radostně?"
"joyful_5","I want to feel joyful.","Chci se cítit radostně."
"angry","Angry","Rozzlobený"
"angry_2","I'm angry.","Jsem naštvaný."
"angry_3","I feel angry.","Cítím se naštvaný."
"angry_4","Do you feel angry?","Cítíš se naštvaný?"
"angry_5","I'm angry at you.","Jsem na tebe naštvaný."
"angry_6","You are making me angry.","Rozčiluješ mě."
"smart","Smart","Chytrý"
"smart_2","I'm smart.","Jsem chytrý."
"smart_3","I feel smart.","Cítím se chytře."
"smart_4","Do you feel smart?","Cítíš se chytře?"
"smart_5","Am I smart?","Jsem chytrý?"
"smart_6","You are smart!","Jste chytří!"
"afraid","Afraid","Bojím se"
"afraid_2","I'm afraid.","Bojím se."
"afraid_3","I feel afraid.","Cítím se strach."
"afraid_4","Do you feel afraid?","Máte strach?"
"afraid_5","I don't want to feel afraid.","Nechci se bát."
"afraid_6","You are scaring me.","Děsíš mě."
"ashamed","Ashamed","Zahanbený"
"ashamed_2","I'm ashamed.","Stydím."
"ashamed_3","I feel ashamed.","Cítím se zahanben."
"ashamed_4","Do you feel ashamed?","Cítíte se stydět?"
"ashamed_5","I don't want to feel ashamed.","Nechci se stydět."
"shocked","Shocked","Šokováno"
"shocked_2","I'm shocked.","Jsem šokován."
"shocked_3","I feel shocked.","Cítím se šokován."
"shocked_4","Do you feel shocked?","Cítíte se šokováni?"
"shocked_5","You shocked me.","Šokoval jsi mě."
"sick","Sick","Nemocný"
"sick_2","I'm sick.","Je mi špatně."
"sick_3","I feel sick.","Cítím se špatně."
"sick_4","Do you feel sick?","Je Vám špatně?"
"sick_5","I don't want to be sick.","Nechci být nemocný."
"sick_6","I'm sick of the food.","Je mi špatně z jídla."
"frustrated","Frustrated","Frustrovaný"
"frustrated_2","I'm frustrated.","Jsem frustrovaný."
"frustrated_3","I feel frustrated.","Cítím se frustrovaný."
"frustrated_4","Do you feel frustrated?","Cítíte se frustrovaní?"
"frustrated_5","I don't want to feel frustrated.","Nechci se cítit frustrovaný."
"excited","Excited","Vzrušený"
"excited_2","I'm excited.","Jsem vzrušený."
"excited_3","I feel excited.","Cítím vzrušení."
"excited_4","Do you feel excited?","Cítíte se nadšeni?"
"excited_5","I don't want to feel excited.","Nechci se cítit nadšený."
"nauseated","Nauseated","Nauseating"
"nauseated_2","I'm nauseated.","Jsem nevolný."
"nauseated_3","I feel nauseated.","Cítím se zvraceně."
"nauseated_4","Do you feel nauseated?","Cítíte se zvraceni?"
"nauseated_5","I don't want to feel nauseated.","Nechci se cítit nevolně."
"agitated","Agitated","Rozrušený"
"agitated_2","I'm agitated.","Jsem rozrušený."
"agitated_3","I feel agitated.","Cítím se rozrušený."
"agitated_4","Do you feel agitated?","Cítíte se rozčileni?"
"agitated_5","I don't want to feel agitated.","Nechci se cítit rozrušený."
"food","Food","Jídlo"
"hungry","Hungry","Hladový"
"hungry_2","I'm hungry.","Mám hlad."
"hungry_3","Are you hungry?","Máš hlad?"
"hungry_4","Can you make me food?","Můžeš mi dát jídlo?"
"hungry_5","What is for dinner?","Co je k večeři?"
"thirsty","Thirsty","Žíznivý"
"thirsty_2","I'm thirsty.","Mám žízeň."
"thirsty_3","Can I have some water?","Můžu si dát trochu vody?"
"thirsty_4","Can I have a glass of water?","Mohl bych dostat sklenici vody?"
"thirsty_5","I want something to drink.","Chci něco pít."
"cutlery","Cutlery","Příbory"
"cutlery_2","I need cutlery.","Potřebuji příbory."
"cutlery_3","Help me use cutlery.","Pomozte mi používat příbory."
"cutlery_4","I need a fork.","Potřebuji vidličku."
"cutlery_5","I need a spoon.","Potřebuji lžíci."
"cutlery_6","I need chopsticks.","Potřebuji hůlky."
"cutlery_7","I need a knife.","Potřebuji nůž."
"cutlery_8","I need a napkin.","Potřebuji ubrousek."
"apple","Apple","Jablko"
"apple_2","I like apple.","Mám rád jablko."
"apple_3","I don't like apple.","Nemám rád jablko."
"apple_4","I want to eat an apple.","Chci jíst jablko."
"carrot","Carrot","Mrkev"
"carrot_2","I like carrot.","Líbí se mi mrkev."
"carrot_3","I don't like carrot.","Nemám rád mrkev."
"carrot_4","I want to eat a carrot.","Chci jíst mrkev."
"beans","Beans","Fazole"
"beans_2","I like beans.","Mám rád fazole."
"beans_3","I don't like beans.","Nemám rád fazole."
"beans_4","I want to eat beans.","Chci jíst fazole."
"chicken_5","I want fried chicken.","Chci smažené kuře."
"chicken_6","I want boiled chicken.","Chci vařené kuře."
"chocolate","Chocolate","Čokoláda"
"chocolate_2","I like chocolate.","Mám rád čokoládu."
"chocolate_3","I don't like chocolate.","Nemám rád čokoládu."
"chocolate_4","I want to eat chocolate.","Chci jíst čokoládu."
"chocolate_5","I want dark chocolate.","Chci hořkou čokoládu."
"chocolate_6","I want white chocolate.","Chci bílou čokoládu."
"milk","Milk","Mléko"
"milk_2","I like milk.","Mám rád mléko."
"milk_3","I don't like milk.","Nemám rád mléko."
"milk_4","I want to drink milk.","Chci pít mléko."
"milk_5","Can I have a glass of milk?","Mohu si dát sklenici mléka?"
"sandwich","Sandwich","Sendvič"
"sandwich_2","I like sandwich.","Mám rád sendvič."
"sandwich_3","I don't like sandwich.","Nemám rád sendvič."
"sandwich_4","I want to eat a sandwich.","Chci jíst sendvič."
"sandwich_5","Can you make me a sandwich?","Můžeš mi udělat sendvič?"
"steak","Steak","Steak"
"steak_2","I like steak.","Mám rád steaky."
"steak_3","I don't like steak.","Nemám rád steaky."
"steak_4","I want to eat steak.","Chci jíst steak."
"steak_5","Can you cook steak for me?","Můžeš mi uvařit steak?"
"banana","Banana","Banán"
"banana_2","I like banana.","Mám rád banán."
"banana_3","I don't like banana.","Nemám rád banán."
"banana_4","I want to eat a banana.","Chci jíst banán."
"pie","Pie","Koláč"
"pie_2","I like pie.","Mám rád koláč."
"pie_3","I don't like pie.","Nemám rád koláč."
"pie_4","I want to eat pie.","Chci jíst koláč."
"pie_5","Can you bake a pie for me?","Můžeš mi péct koláč?"
"egg","Egg","Vejce"
"egg_2","I like egg.","Mám rád vejce."
"egg_3","I don't like egg.","Nemám rád vejce."
"egg_4","I want to eat egg.","Chci jíst vejce."
"egg_5","I want fried eggs.","Chci smažená vejce."
"egg_6","I want boiled eggs.","Chci vařená vejce."
"noodles","Noodles","Nudle"
"noodles_2","I like noodles.","Mám rád nudle."
"noodles_3","I don't like noodles.","Nelíbí se mi nudle."
"noodles_4","I want to eat noodles.","Chci jíst nudle."
"noodles_5","Can you cook noodles for me?","Můžeš mi uvařit nudle?"
"salt","Salt","Sůl"
"salt_2","I want salt.","Chci sůl."
"salt_3","Can you pass me the salt?","Můžeš mi podat sůl?"
"salt_4","Food is too salty.","Jídlo je příliš slané."
"salt_5","My food needs some salt.","Moje jídlo potřebuje trochu soli."
"spices","Spices","Koření"
"spices_2","I like spicy food.","Mám rád kořeněné jídlo."
"spices_3","I don't like spicy food.","Nemám rád kořeněné jídlo."
"spices_4","I want paprika.","Chci papriku."
"spices_5","I want black pepper.","Chci černý pepř."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Mám rád pizzu."
"pizza_3","I don't like pizza.","Nemám rád pizzu."
"pizza_4","I want to eat pizza.","Chci jíst pizzu."
"pizza_5","Can you cook pizza for me?","Můžeš pro mě vařit pizzu?"
"pizza_6","Can we order pizza?","Můžeme si objednat pizzu?"
"cheese","Cheese","Sýr"
"cheese_2","I like cheese.","Mám rád sýr."
"cheese_3","I don't like cheese.","Nemám rád sýr."
"cheese_4","I want to eat cheese.","Chci jíst sýr."
"ice-cream","Ice cream","Zmrzlina"
"ice-cream_2","I like ice cream.","Mám rád zmrzlinu."
"ice-cream_3","I don't like ice cream.","Nemám rád zmrzlinu."
"ice-cream_4","I want to eat ice cream.","Chci jíst zmrzlinu."
"ice-cream_5","Can you buy ice cream for me?","Můžeš mi koupit zmrzlinu?"
"tea","Tea","Čaj"
"tea_2","I like tea.","Mám rád čaj."
"tea_3","I don't like tea.","Nemám rád čaj."
"tea_4","I want to drink tea.","Chci pít čaj."
"tea_5","Can you make tea for me?","Můžeš mi připravit čaj?"
"coffee","Coffee","Káva"
"coffee_2","I like coffee.","Mám rád kávu."
"coffee_3","I don't like coffee.","Nemám rád kávu."
"coffee_4","I want to drink coffee.","Chci pít kávu."
"coffee_5","Can you make coffee for me?","Můžeš pro mě udělat kávu?"
"tomato","Tomato","Rajče"
"tomato_2","I like tomato.","Mám rád rajče."
"tomato_3","I don't like tomato.","Rajčata se mi nelíbí."
"tomato_4","I want to eat tomato.","Chci jíst rajče."
"cereal","Cereal","Obiloviny"
"cereal_2","I like cereal.","Mám rád cereálie."
"cereal_3","I don't like cereal.","Nemám rád cereálie."
"cereal_4","I want to eat cereal.","Chci jíst obiloviny."
"cereal_5","Can you make my cereal?","Můžeš vyrobit mou obilovinu?"
"burger","Burger","Hamburger"
"burger_2","I like burger.","Mám rád hamburger."
"burger_3","I don't like burger.","Nemám rád hamburger."
"burger_4","I want to eat burger.","Chci jíst hamburger."
"burger_5","Can you cook burger for me?","Můžeš pro mě vařit hamburger?"
"burger_6","Can we order burger?","Můžeme si objednat hamburger?"
