"activities","Activities","Δραστηριότητες"
"mother_8","Can you help me find my mother?","Μπορείς να με βοηθήσεις να βρω τη μητέρα μου;"
"father","Father","Πατέρας"
"father_2","Daddy!","Πατερούλης!"
"father_3","I love my father.","Αγαπάω τον πατέρα μου."
"father_4","I love you dad.","Σε αγαπάω μπαμπά."
"father_5","I miss my dad.","Μου λείπει ο μπαμπάς μου."
"father_6","Thank you for taking care of me.","Σας ευχαριστώ που με φροντίσατε."
"father_7","He is my dad.","Αυτός είναι ο μπαμπάς μου."
"father_8","Can you help me find my father?","Μπορείς να με βοηθήσεις να βρω τον πατέρα μου;"
"parents","Parents","Γονείς"
"parents_2","I love my parents.","Αγαπώ τους γονείς μου."
"parents_3","I love my parents.","Αγαπώ τους γονείς μου."
"parents_4","I miss my parents.","Μου λείπουν οι γονείς μου."
"parents_5","They are my parents.","Αυτοί είναι οι γονείς μου."
"parents_6","My parents are taking care of me.","Οι γονείς μου με φροντίζουν."
"parents_8","Can you help me find my parents?","Μπορείτε να με βοηθήσετε να βρω τους γονείς μου;"
"grandparents","Grandparents","Παππούς και γιαγιά"
"grandparents_2","I love my grandparents.","Λατρεύω τους παππούδες μου."
"grandparents_3","I love you grandparents.","Σε αγαπώ παππούδες."
"grandparents_4","I miss my grandparents.","Μου λείπουν οι παππούδες μου."
"grandparents_5","They are my grandparents.","Είναι οι παππούδες μου."
"grandparents_6","My grandparents are taking care of me.","Οι παππούδες μου με φροντίζουν."
"grandparents_8","Can you help me find my grandparents?","Μπορείς να με βοηθήσεις να βρω τους παππούδες μου;"
"brother","Brother","Αδελφός"
"brother_2","I love my brother.","Αγαπώ τον αδερφό μου."
"brother_3","I love you brother.","Σε αγαπώ αδερφέ."
"brother_4","I miss my brother.","Μου λείπει ο αδερφός μου."
"brother_5","He is my brother.","Είναι ο αδελφός μου."
"brother_6","My brother is taking care of me.","Ο αδερφός μου με φροντίζει."
"brother_8","Can you help me find my brother?","Μπορείς να με βοηθήσεις να βρω τον αδερφό μου;"
"sister","Sister","Αδελφή"
"sister_2","I love my sister.","Αγαπώ την αδερφή μου."
"sister_3","I love you sister.","Αγαπώ την αδερφή σου."
"sister_4","I miss my sister.","Μου λειπει η αδερφη μου."
"sister_5","She is my sister.","Αυτή είναι η αδερφή μου."
"sister_6","My sister is taking care of me.","Η αδερφή μου με φροντίζει."
"sister_8","Can you help me find my sister?","Μπορείς να με βοηθήσεις να βρω την αδερφή μου;"
"uncle","Uncle","Θείος"
"uncle_2","I love my uncle.","Λατρεύω τον θείο μου."
"uncle_3","I love you uncle.","Σε αγαπώ θείε."
"uncle_4","I miss my uncle.","Μου λείπει ο θείος μου."
"uncle_5","He is my uncle.","Αυτός είναι ο θείος μου."
"uncle_8","Can you help me find my uncle?","Μπορείς να με βοηθήσεις να βρω τον θείο μου;"
"aunt","Aunt","Θεία"
"aunt_2","I love my aunt.","Λατρεύω τη θεία μου."
"aunt_3","I love you aunt.","Σε αγαπώ θεία."
"aunt_4","I miss my aunt.","Μου λείπει η θεία μου."
"aunt_5","She is my aunt.","Είναι η θεία μου."
"aunt_8","Can you help me find my aunt?","Μπορείς να με βοηθήσεις να βρω τη θεία μου;"
"teacher","Teacher","Δάσκαλος"
"teacher_2","I love my teacher.","Λατρεύω τον δάσκαλό μου."
"teacher_3","I love you teacher.","Σ 'αγαπώ δασκάλα."
"teacher_4","I don't like my teacher.","Δεν μου αρέσει ο δάσκαλός μου."
"teacher_5","I miss my teacher.","Μου λείπει ο δάσκαλός μου."
"teacher_6","Thank you for the lesson.","Ευχαριστώ για το μάθημα."
"therapist","Therapist","Θεραπευτής"
"therapist_2","I love my therapist.","Λατρεύω τον θεραπευτή μου."
"therapist_3","I love you therapist.","Σε αγαπώ θεραπευτή."
"therapist_4","I don't like my therapist.","Δεν μου αρέσει ο θεραπευτής μου."
"therapist_5","I miss my therapist.","Μου λείπει ο θεραπευτής μου."
"therapist_6","Thank you for the session.","Ευχαριστώ για τη συνεδρία."
"doctor","Doctor","Γιατρός"
"doctor_2","I love my doctor.","Λατρεύω τον γιατρό μου."
"doctor_3","I love you doctor.","Σ 'αγαπώ γιατρό."
"doctor_4","I don't like my doctor.","Δεν μου αρέσει ο γιατρός μου."
"doctor_5","I miss my doctor.","Μου λείπει ο γιατρός μου."
"doctor_6","Thank you for healing me.","Σας ευχαριστώ που με θεραπεύσατε."
"friends","Friends","Οι φιλοι"
"friends_2","I love my friends.","Αγαπώ τους φίλους μου."
"friends_3","Do you want to be my friend?","Θέλεις να γίνεις φίλος μου?"
"friends_4","I don't like my friends.","Δεν μου αρέσουν οι φίλοι μου."
"friends_5","I miss my friends.","Μου λείπουν οι φίλοι μου."
"friends_6","They are my friends.","Είναι οι φίλοι μου."
"friends_7","Thank you for playing with me.","Σας ευχαριστώ που παίξατε μαζί μου."
"cousins","Cousins","Ξαδερφια"
"cousins_2","I love my cousins.","Λατρεύω τα ξαδέρφια μου."
"cousins_3","I don't have cousins.","Δεν έχω ξαδέλφια."
"cousins_4","I miss my cousins.","Μου λείπουν τα ξαδέρφια μου."
"cousins_5","They are my cousins.","Αυτοί είναι τα ξαδέρφια μου."
"grandmother","Grandmother","Γιαγιά"
"grandmother_2","I love my grandmother.","Λατρεύω τη γιαγιά μου."
"grandmother_3","I love you grandma.","Αγαπώ την γιαγιά σου."
"grandmother_4","I miss my grandma.","Μου λείπει η γιαγιά μου."
"grandmother_5","She is my grandma.","Είναι η γιαγιά μου."
"grandfather","Grandfather","Παππούς"
"grandfather_2","I love my grandfather.","Λατρεύω τον παππού μου."
"grandfather_3","I love you grandpa.","Σε αγαπώ παππού."
"grandfather_4","I miss my grandpa.","Μου λείπει ο παππούς μου."
"grandfather_5","He is my grandpa.","Αυτός είναι ο παππούς μου."
"stepfather","Stepfather","Πατριός"
"stepfather_2","I love my stepfather.","Λατρεύω τον πατριό μου."
"stepfather_3","He is my stepfather.","Είναι ο πατέρας μου."
"stepfather_4","I miss my stepfather.","Μου λείπει ο πατέρας μου."
"stepfather_5","He is my stepfather.","Είναι ο πατέρας μου."
"stepmother","Stepmother","Μητριά"
"stepmother_2","I love my stepmother.","Λατρεύω τη μητριά μου."
"stepmother_3","She is my stepmother.","Είναι η μητριά μου."
"stepmother_4","I miss my stepmother.","Μου λείπει η μητριά μου."
"stepmother_5","She is my stepmother.","Είναι η μητριά μου."
"stepsister","Stepsister","Θετή αδερφή"
"stepsister_2","I love my stepsister.","Λατρεύω τον αδερφό μου."
"stepsister_3","She is my stepsister.","Είναι η αδερφή μου."
"stepsister_4","I miss my stepsister.","Μου λείπει ο αδερφός μου."
"stepsister_5","She is my stepsister.","Είναι η αδερφή μου."
"stepbrother","Stepbrother","Ετεροθαλης αδερφος"
"stepbrother_2","I love my stepbrother.","Λατρεύω τον πατριό μου."
"stepbrother_3","He is my stepbrother.","Είναι ο πατέρας μου."
"stepbrother_4","I miss my stepbrother.","Μου λείπει ο πατέρας μου."
"stepbrother_5","He is my stepbrother.","Είναι ο πατέρας μου."
"half-brother","Half brother","Ετεροθαλής αδελφός"
"half-brother_2","I love my half brother.","Αγαπώ τον αδερφό μου."
"half-brother_3","He is my half brother.","Είναι ο μισός αδερφός μου."
"half-brother_4","I miss my half brother.","Μου λείπει ο μισός αδερφός μου."
"half-brother_5","He is my half brother.","Είναι ο μισός αδερφός μου."
"half-sister","Half sister","Ετεροθαλής αδελφή"
"half-sister_2","I love my half sister.","Λατρεύω τη μισή αδερφή μου."
"half-sister_3","She is my half sister.","Είναι η μισή αδερφή μου."
"half-sister_4","I miss my half sister.","Μου λείπει η μισή αδερφή μου."
"half-sister_5","She is my half sister.","Είναι η μισή αδερφή μου."
"quarantine","Quarantine","Καραντίνα"
"protective-mask","Protective mask","Προστατευτική μάσκα"
"stay-home","Stay home","Μείνε σπίτι"
"toilet-paper","Toilet paper","Χαρτί υγείας"
"sprayer","Sprayer","Ψεκαστήρας"
"disinfectant","Disinfectant","Απολυμαντικό"
"thermometer","Thermometer","Θερμόμετρο"
"coughing","Coughing","Βήχα"
"medical-assistance","Medical assistance","Ιατρική βοήθεια"
"hand-sanitizer","Hand sanitizer","Απολυμαντικό χεριών"
"gloves","Gloves","Γάντια"
"social-distancing","Social distancing","Κοινωνική αποστασιοποίηση"
"mouth-mask","Mouth mask","Στοματική μάσκα"
"pandemic","Pandemic","Πανδημία"
"working-at-home","Working at home","Εργασία στο σπίτι"
"wet-wipes","Wet wipes","Υγρά μαντηλάκια"
"first-aid-kit","First aid kit","Κουτί πρώτων βοηθειών"
"fitness","Fitness","Καταλληλότητα"
"e-learning","E-learning","Ηλεκτρονική μάθηση"
"virus","Virus","Ιός"
"cleaning","Cleaning","Καθάρισμα"
"school","School","Σχολείο"
"desk","Desk","Γραφείο"
"desk_2","Can I use this desk?","Μπορώ να χρησιμοποιήσω αυτό το γραφείο;"
"desk_3","Which desk is mine?","Ποιο γραφείο είναι δικό μου;"
"desk_4","I spilled on my desk.","Χύθηκα στο γραφείο μου."
"desk_5","Don't scratch your desk.","Μην ξύνετε το γραφείο σας."
"chair","Chair","Καρέκλα"
"chair_2","Can I sit with you?","Μπορώ να καθίσω μαζί σου;"
"chair_3","Which chair is mine?","Ποια καρέκλα είναι δική μου;"
"chair_4","Is this chair taken?","Έχει ληφθεί αυτή η καρέκλα;"
"chair_5","I spilled on my chair.","Χύθηκα στην καρέκλα μου."
"book","Book","Βιβλίο"
"book_2","Textbook","Βιβλίο"
"book_3","Workbook","ΤΕΤΡΑΔΙΟ ΕΡΓΑΣΙΩΝ"
"book_4","Reading a book.","Διαβάζοντας ένα βιβλίο."
"book_5","Can I borrow your book?","Μπορώ να δανειστώ το βιβλίο σας;"
"book_6","Which page are we at?","Σε ποια σελίδα είμαστε;"
"book_7","Flip the page.","Αναστρέψτε τη σελίδα."
"book_8","I lost my book.","Έχασα το βιβλίο μου."
"notebook","Notebook","Σημειωματάριο"
"notebook_2","Taking notes.","Κρατάω σημειώσεις."
"notebook_3","I'm taking notes.","Παίρνω σημειώσεις."
"notebook_4","I lost my notebook.","Έχασα το σημειωματάριό μου."
"backpack","Backpack","ΣΑΚΙΔΙΟ ΠΛΑΤΗΣ"
"backpack_2","Carrying my backpack.","Μεταφέροντας το σακίδιο μου."
"backpack_3","Putting my books in my backpack.","Βάζοντας τα βιβλία μου στο σακίδιο μου."
"backpack_4","I need a new backpack.","Χρειάζομαι ένα νέο σακίδιο."
"backpack_5","Thank you for carrying my backpack.","Σας ευχαριστώ που μεταφέρατε το σακίδιο μου."
"backpack_6","I lost my backpack.","Έχασα το σακίδιο μου."
"backpack_7","My backpack is heavy.","Το σακίδιο μου είναι βαρύ."
"blackboard","Blackboard","Μαυροπίνακας"
"blackboard_2","Look at the blackboard.","Κοιτάξτε τον πίνακα."
"blackboard_3","Cleaning the blackboard.","Καθαρισμός του μαυροπίνακα."
"blackboard_4","Solving the problem on the blackboard.","Επίλυση του προβλήματος στον πίνακα."
"blackboard_5","Taking note on the blackboard.","Σημείωση στον πίνακα."
"blackboard_6","Give me a chalk.","Δώσε μου κιμωλία."
"teacher_7","I don't like this topic.","Δεν μου αρέσει αυτό το θέμα."
"teacher_8","Thank you for the lesson.","Ευχαριστώ για το μάθημα."
"school-bus","School bus","Σχολικό λεωφορείο"
"school-bus_2","School bus is coming.","Το σχολικό λεωφορείο έρχεται."
"school-bus_3","Can I sit next to you?","Μπορώ να καθίσω δίπλα σου;"
"school-bus_4","Thank you bus driver!","Ευχαριστώ οδηγό λεωφορείου!"
"school-bus_5","School bus was late.","Το σχολικό λεωφορείο ήταν αργά."
"pencil","Pencil","Μολύβι"
"pencil_2","I'm writing.","Γράφω."
"pencil_3","I'm learning to write.","Μαθαίνω να γράφω."
"pencil_4","I need a new pencil.","Χρειάζομαι ένα νέο μολύβι."
"pencil_5","Can I borrow your pencil?","Μπορώ να δανειστώ το μολύβι σου?"
"pencil_6","I lost my pencil.","Έχασα το μολύβι μου."
"eraser","Eraser","Γόμα"
"eraser_2","I'm erasing.","Διαγράφω."
"eraser_3","I need a new eraser.","Χρειάζομαι μια νέα γόμα."
"eraser_4","Can I borrow your eraser?","Μπορώ να δανειστώ τη γόμα σας;"
"eraser_5","I lost my eraser.","Έχασα τη γόμα μου."
"ruler","Ruler","Κυβερνήτης"
"ruler_2","I'm measuring.","Μετρούν."
"ruler_3","I need a new ruler.","Χρειάζομαι ένα νέο χάρακα."
"ruler_4","Can I borrow your ruler?","Μπορώ να δανειστώ τον κυβερνήτη σας;"
"ruler_5","I lost my ruler.","Έχασα τον χάρακα μου."
"sharpener","Sharpener","Ξύστρα"
"sharpener_2","I'm sharpening my pencil.","Ακονίζω το μολύβι μου."
"sharpener_3","I need a new sharpener.","Χρειάζομαι ένα νέο ξύστρα."
"sharpener_4","Can I borrow your sharpener?","Μπορώ να δανειστώ το ξύστρα σου;"
"sharpener_5","I lost my sharpener.","Έχασα το ξύστρα μου."
"mathematics","Mathematics","Μαθηματικά"
"mathematics_2","I like mathematics.","Μου αρέσουν τα μαθηματικά."
"mathematics_3","I want to study mathematics.","Θέλω να σπουδάσω μαθηματικά."
"mathematics_4","I don't like mathematics.","Δεν μου αρέσουν τα μαθηματικά."
"mathematics_5","When is mathematics class?","Πότε είναι η τάξη των μαθηματικών;"
"mathematics_6","Can you help me with my mathematics homework?","Μπορείς να με βοηθήσεις με τα μαθηματικά μου;"
"literature","Literature","Βιβλιογραφία"
"literature_2","I like literature.","Μου αρέσει η λογοτεχνία."
"literature_3","I want to study literature.","Θέλω να σπουδάσω λογοτεχνία."
"literature_4","I don't like literature.","Δεν μου αρέσει η λογοτεχνία."
"literature_5","When is literature class?","Πότε είναι το μάθημα λογοτεχνίας;"
"literature_6","Can you help me with my literature homework?","Μπορείτε να με βοηθήσετε με τη δουλειά της βιβλιογραφίας μου;"
"science","Science","Επιστήμη"
"science_2","I like science.","Μου αρέσει η επιστήμη."
"science_3","I want to study science.","Θέλω να σπουδάσω επιστήμη."
"science_4","I don't like science.","Δεν μου αρέσει η επιστήμη."
"science_5","When is science class?","Πότε είναι το μάθημα της επιστήμης;"
"science_6","Can you help me with my science homework?","Μπορείτε να με βοηθήσετε με την εργασία μου στην επιστήμη;"
"art-class","Art class","Μάθημα τέχνης"
"art-class_2","I like art class.","Μου αρέσει το μάθημα τέχνης."
"art-class_3","I want to practice art skills.","Θέλω να εξασκήσω τις δεξιότητες τέχνης."
"art-class_4","I don't like art class.","Δεν μου αρέσει το μάθημα τέχνης."
"art-class_5","When is art class?","Πότε είναι το μάθημα τέχνης;"
"art-class_6","Can you help me with my art class homework?","Μπορείτε να με βοηθήσετε με την εργασία μου στην τάξη;"
"music-class","Music class","Τάξη μουσικής"
"music-class_2","I like music class.","Μου αρέσει το μάθημα μουσικής."
"music-class_3","I want to practice music skills.","Θέλω να εξασκήσω μουσικές δεξιότητες."
"music-class_4","I don't like music class.","Δεν μου αρέσει το μάθημα μουσικής."
"music-class_5","When is music class?","Πότε είναι το μάθημα μουσικής;"
"music-class_6","Can you help me with my music class homework?","Μπορείτε να με βοηθήσετε με την εργασία μου στο μάθημα μουσικής;"
"geography","Geography","Γεωγραφία"
"geography_2","I like geography.","Μου αρέσει η γεωγραφία."
"geography_3","I want to study geography.","Θέλω να σπουδάσω γεωγραφία."
"geography_4","I don't like geography.","Δεν μου αρέσει η γεωγραφία."
"geography_5","When is geography?","Πότε είναι η γεωγραφία;"
"geography_6","Can you help me with my geography homework?","Μπορείτε να με βοηθήσετε με την εργασία μου στη γεωγραφία;"
"telescope","Telescope","Τηλεσκόπιο"
"telescope_2","I'm using the telescope.","Χρησιμοποιώ το τηλεσκόπιο."
"telescope_3","I want to use the telescope.","Θέλω να χρησιμοποιήσω το τηλεσκόπιο."
"telescope_4","I want to look at the stars.","Θέλω να κοιτάξω τα αστέρια."
"glue","Glue","Κόλλα"
"glue_2","I'm using glue.","Χρησιμοποιώ κόλλα."
"glue_3","I need a new glue.","Χρειάζομαι μια νέα κόλλα."
"glue_4","Can I borrow your glue?","Μπορώ να δανειστώ την κόλλα σας;"
"glue_5","I lost my glue.","Έχασα την κόλλα μου."
"shapes","Shapes","Σχήματα"
"circle","Circle","Κύκλος"
"circle_2","This is circle shaped.","Αυτό είναι σε σχήμα κύκλου."
"circle_3","Can you teach me how to draw a circle?","Μπορείτε να μου μάθετε πώς να σχεδιάζω έναν κύκλο;"
"triangle","Triangle","Τρίγωνο"
"triangle_2","This is triangle shaped.","Έχει σχήμα τριγώνου."
"triangle_3","Can you teach me how to draw a triangle?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα τρίγωνο;"
"square","Square","τετράγωνο"
"square_2","This is square shaped.","Αυτό είναι τετράγωνο."
"square_3","Can you teach me how to draw a square?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα τετράγωνο;"
"rectangle","Rectangle","Ορθογώνιο παραλληλόγραμμο"
"rectangle_2","This is rectangle shaped.","Έχει σχήμα ορθογωνίου."
"rectangle_3","Can you teach me how to draw a rectangle?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα ορθογώνιο;"
"star","Star","Αστέρι"
"star_2","This is star shaped.","Αυτό έχει σχήμα αστεριού."
"star_3","Can you teach me how to draw a star?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα αστέρι;"
"pentagon","Pentagon","Πεντάγωνο"
"pentagon_2","This is pentagon shaped.","Έχει σχήμα πενταγώνου."
"pentagon_3","Can you teach me how to draw a pentagon?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα πεντάγωνο;"
"hexagon","Hexagon","Εξάγωνο"
"hexagon_2","This is hexagon shaped.","Έχει σχήμα εξαγώνου."
"hexagon_3","Can you teach me how to draw a hexagon?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα εξάγωνο;"
"cross","Cross","Διασχίζω"
"cross_2","This is cross shaped.","Αυτό είναι σταυροειδές."
"cross_3","Can you teach me how to draw a cross?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα σταυρό;"
"ellipse","Ellipse","Ελλειψη"
"ellipse_2","This is ellipse shaped.","Έχει σχήμα έλλειψης."
"ellipse_3","Can you teach me how to draw a ellipse?","Μπορείτε να μου μάθετε πώς να σχεδιάζω μια έλλειψη;"
"arrow","Arrow","Βέλος"
"arrow_2","This is arrow shaped.","Αυτό έχει σχήμα βέλους."
"arrow_3","Can you teach me how to draw a arrow?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα βέλος;"
"crescent","Crescent","Ημισέληνος"
"crescent_2","This is crescent shaped.","Έχει σχήμα ημισελήνου."
"crescent_3","Can you teach me how to draw a crescent?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα μισοφέγγαρο;"
"heart","Heart","Καρδιά"
"heart_2","This is heart shaped.","Αυτό είναι σε σχήμα καρδιάς."
"heart_3","Can you teach me how to draw a heart?","Μπορείτε να μου μάθετε πώς να σχεδιάζω μια καρδιά;"
"rhombus","Rhombus","Ρόμβος"
"rhombus_2","This is rhombus shaped.","Έχει σχήμα ρόμβου."
"rhombus_3","Can you teach me how to draw a rhombus?","Μπορείτε να μου μάθετε πώς να σχεδιάζω έναν ρόμβο;"
"ring","Ring","Δαχτυλίδι"
"ring_2","This is ring shaped.","Αυτό είναι δαχτυλίδι."
"ring_3","Can you teach me how to draw a ring?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα δαχτυλίδι;"
"semicircle","Semicircle","Ημικύκλιο"
"semicircle_2","This is semicircle shaped.","Έχει σχήμα ημικυκλίου."
"semicircle_3","Can you teach me how to draw a semicircle?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ημικύκλιο;"
"trapezoid","Trapezoid","Τραπεζοειδές"
"trapezoid_2","This is trapezoid shaped.","Έχει σχήμα τραπεζοειδούς."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Μπορείτε να μου μάθετε πώς να σχεδιάζω ένα τραπεζοειδές;"
"cube","Cube","Κύβος"
"cube_2","This is cube shaped.","Είναι σε σχήμα κύβου."
"cube_3","Can you teach me how to draw a cube?","Μπορείτε να μου μάθετε πώς να σχεδιάζω έναν κύβο;"
"cylinder","Cylinder","Κύλινδρος"
"cylinder_2","This is cylinder shaped.","Αυτό έχει σχήμα κυλίνδρου."
"cylinder_3","Can you teach me how to draw a cylinder?","Μπορείτε να μου μάθετε πώς να σχεδιάζω έναν κύλινδρο;"