"activities","Activities","क्रियाएँ"
"walking","Walking","चलना"
"walking_2","I like walking","मुझे चलना पसंद है"
"walking_3","I don't like walking","मुझे घूमना पसंद नहीं है"
"walking_4","Do you want to walk together?","क्या आप एक साथ चलना चाहते हैं?"
"running","Running","चल रहा है"
"running_2","I like running.","मुझे दौड़ना पसंद है।"
"running_3","I don't like running.","मुझे दौड़ना पसंद नहीं है।"
"running_4","Do you want to go running?","क्या आप दौड़ते हुए जाना चाहते हैं?"
"talking","Talking","बात कर रहे"
"talking_2","I like talking.","मुझे बात करना पसंद है।"
"talking_3","I don't like talking.","मुझे बात करना पसंद नहीं है।"
"talking_4","Do you want to talk with me?","क्या आप मेरे साथ बात करना चाहते हैं?"
"reading","Reading","पढ़ना"
"reading_2","I like reading.","मुझे पढ़ना पसंद है।"
"reading_3","I don't like reading.","मुझे पढ़ना पसंद नहीं है।"
"reading_4","Do you want to read together?","क्या आप एक साथ पढ़ना चाहते हैं?"
"football","Football","फ़ुटबॉल"
"football_2","I like playing football.","मुझे फुटबॉल खेलना अच्छा लगता है।"
"football_3","I don't like playing football.","मुझे फुटबॉल खेलना पसंद नहीं है।"
"football_4","Do you want to play football?","क्या आप फुटबॉल खेलना चाहते हैं?"
"basketball","Basketball","बास्केटबाल"
"basketball_2","I like playing basketball.","मुझे बास्केटबॉल खेलना पसंद है।"
"basketball_3","I don't like playing basketball.","मुझे बास्केटबॉल खेलना पसंद नहीं है।"
"basketball_4","Do you want to play basketball?","क्या आप बास्केटबॉल खेलना चाहते हैं?"
"swimming","Swimming","तैराकी"
"swimming_2","I like swimming.","मुझे तैरना पसंद है।"
"swimming_3","I don't like swimming.","मुझे तैरना पसंद नहीं है।"
"swimming_4","Do you want to go to swimming?","क्या आप तैराकी में जाना चाहते हैं?"
"painting","Painting","चित्र"
"painting_2","I like painting.","मुझे पेंटिंग पसंद है।"
"painting_3","I don't like painting.","मुझे पेंटिंग पसंद नहीं है।"
"painting_4","Do you want to paint together?","क्या आप एक साथ पेंट करना चाहते हैं?"
"drawing","Drawing","चित्रकारी"
"drawing_2","I like drawing.","मुझे चित्रकला पसंद है।"
"drawing_3","I don't like drawing.","मुझे ड्राइंग पसंद नहीं है।"
"drawing_4","Do you want to draw together?","क्या आप एक साथ आकर्षित करना चाहते हैं?"
"cycling","Cycling","सायक्लिंग"
"cycling_2","I like cycling.","मुझे स्यक्लिंग पसंद है।"
"cycling_3","I don't like cycling.","मुझे साइकिल चलाना पसंद नहीं है।"
"cycling_4","Do you want to go cycling?","क्या आप साइकिल चलाना चाहते हैं?"
"skating","Skating","स्केटिंग"
"skating_2","I like skating.","मुझे स्केटिंग पसंद है।"
"skating_3","I don't like skating.","मुझे स्केटिंग पसंद नहीं है।"
"skating_4","Do you want to go skating?","क्या आप स्केटिंग जाना चाहते हैं?"
"sightseeing","Sightseeing","दर्शनीय स्थलों की यात्रा"
"sightseeing_2","I like sightseeing.","मुझे दर्शनीय स्थल पसंद हैं।"
"sightseeing_3","I don't like sightseeing.","मुझे दर्शनीय स्थल पसंद नहीं हैं।"
"sightseeing_4","Do you want to go for sightseeing?","क्या आप दर्शनीय स्थलों की यात्रा के लिए जाना चाहते हैं?"
"video-games","Video games","वीडियो गेम"
"video-games_2","I like playing video games.","मुझे वीडियो गेम खेलना पसंद है।"
"video-games_3","I don't like playing video games.","मुझे वीडियो गेम खेलना पसंद नहीं है।"
"video-games_4","Do you want to play games?","क्या आप गेम खेलना चाहते हैं?"
"tidying","Tidying","साफ़ कर रही"
"tidying_2","I like tidying my room.","मुझे अपना कमरा टिड्ड करना पसंद है।"
"tidying_3","I don't like tidying my room.","मुझे अपना कमरा ख़राब करना पसंद नहीं है।"
"tidying_4","Can you help me tidy my room?","क्या आप मुझे मेरे कमरे को साफ करने में मदद कर सकते हैं?"
"toys","Toys","खिलौने"
"toys_2","I like toys.","मुझे खिलौने पसंद हैं।"
"toys_3","I don't like toys.","मुझे खिलौने पसंद नहीं हैं।"
"toys_4","Do you want to play with my toys?","क्या आप मेरे खिलौनों से खेलना चाहते हैं?"
"puzzle","Puzzle","पहेली"
"puzzle_2","I like solving puzzle.","मुझे पहेली हल करना पसंद है।"
"puzzle_3","I don't like solving puzzle.","मुझे पहेली हल करना पसंद नहीं है।"
"puzzle_4","Do you want to solve puzzles with me?","क्या आप मेरे साथ पहेलियां सुलझाना चाहते हैं?"
"comics","Comics","कॉमिक्स"
"comics_2","I like reading comics.","मुझे कॉमिक्स पढ़ना पसंद है।"
"comics_3","I don't like reading comics.","मुझे कॉमिक्स पढ़ना पसंद नहीं है।"
"comics_4","Do you want to read comics?","क्या आप कॉमिक्स पढ़ना चाहते हैं?"
"chess","Chess","शतरंज"
"chess_2","I like playing chess.","मुझे शतरंज खेलना पसंद है।"
"chess_3","I don't like playing chess.","मुझे शतरंज खेलना पसंद नहीं है।"
"chess_4","Do you want to play chess with me?","क्या आप मेरे साथ शतरंज खेलना चाहते हैं?"
"using-leeloo","Using Leeloo","लीलू का उपयोग करना"
"using-leeloo_2","I like using leeloo.","मुझे लीलो का उपयोग करना पसंद है।"
"using-leeloo_3","I don't like using leeloo.","मुझे लीलो का उपयोग करना पसंद नहीं है।"
"using-leeloo_4","Can you change card packs on leeloo?","क्या आप लीलो पर कार्ड पैक बदल सकते हैं?"
"texting","Texting","टेक्स्ट संदेश भेजना"
"texting_2","I like texting.","मुझे टेक्सटिंग पसंद है।"
"texting_3","I don't like texting.","मुझे टेक्सटिंग पसंद नहीं है।"
"knitting","Knitting","बुनना"
"knitting_2","I like knitting.","मुझे बुनाई पसंद है।"
"knitting_3","I don't like knitting.","मुझे बुनाई पसंद नहीं है।"
"knitting_4","I want to learn how to knit.","मैं सीखना चाहता हूं कि कैसे बुनना है।"
"bowling","Bowling","बॉलिंग"
"bowling_2","I like bowling.","मुझे गेंदबाजी करना पसंद है।"
"bowling_3","I don't like bowling.","मुझे गेंदबाजी पसंद नहीं है।"
"bowling_4","Do you want to play bowling with me?","क्या आप मेरे साथ गेंदबाजी करना चाहते हैं?"
"watching-tv","Watching TV","टीवी देखना"
"watching-tv_2","I like watching tv.","मुझे टीवी देखना पसंद है।"
"watching-tv_3","I don't like watching tv.","मुझे टीवी देखना पसंद नहीं है।"
"watching-tv_4","Do you want to watch tv?","क्या तुम चित्रपटल देखना चाहते हो?"
"fishing","Fishing","मछली पकड़ना"
"fishing_2","I like fishing.","मुझे मछली पकड़ना पसंद है।"
"fishing_3","I don't like fishing.","मुझे मछली पकड़ना पसंद नहीं है।"
"fishing_4","Do you want to go to fishing?","क्या आप मछली पकड़ने जाना चाहते हैं?"
"exercising","Exercising","व्यायाम"
"exercising_2","I like exercising.","मुझे व्यायाम करना पसंद है।"
"exercising_3","I don't like exercising.","मुझे व्यायाम करना पसंद नहीं है।"
"exercising_4","Do you want to exercise with me?","क्या आप मेरे साथ व्यायाम करना चाहते हैं?"
"tennis","Tennis","टेनिस"
"tennis_2","I like playing tennis.","मुझे टेनिस खेलना पसंद है।"
"tennis_3","I don't like playing tennis.","मुझे टेनिस खेलना पसंद नहीं है।"
"tennis_4","Do you want to play tennis with me?","क्या आप मेरे साथ टेनिस खेलना चाहते हैं?"
"animals","Animals","जानवरों"
"cat","Cat","बिल्ली"
"cat_2","I like cats.","मुझे बिल्लियाँ पसंद हैं।"
"cat_3","I saw a cat.","मैंने एक बिल्ली को देखा।"
"cat_4","What noise does a cat make?","बिल्ली क्या शोर मचाती है?"
"cat_5","Can we get a cat as pet?","क्या हमें पालतू के रूप में एक बिल्ली मिल सकती है?"
"dog","Dog","कुत्ता"
"dog_2","I like dog.","मुझे कुत्ते पसंद है।"
"dog_3","I saw a dog.","मैंने एक कुत्ता देखा।"
"dog_4","What noise does a dog make?","कुत्ता क्या शोर मचाता है?"
"dog_5","Can we get a dog as pet?","क्या हम एक कुत्ते को पालतू के रूप में पा सकते हैं?"
"fish","Fish","मछली"
"fish_2","I like fish.","मुझे मछली पसंद है।"
"fish_3","I saw a fish.","मैंने एक मछली देखी।"
"fish_4","What noise does a fish make?","मछली क्या शोर मचाती है?"
"fish_5","Can we get a fish as pet?","क्या हमें पालतू के रूप में एक मछली मिल सकती है?"
"rabbit","Rabbit","खरगोश"
"rabbit_2","I like rabbits.","मुझे खरगोश पसंद हैं।"
"rabbit_3","I saw a rabbit.","मैंने एक खरगोश को देखा।"
"rabbit_4","What noise does a rabbit make?","एक खरगोश क्या शोर करता है?"
"rabbit_5","Can we get a rabbit as pet?","क्या हम पालतू जानवर के रूप में खरगोश पा सकते हैं?"
"butterfly","Butterfly","तितली"
"butterfly_2","I like butterflies.","मुझे तितलियाँ पसंद हैं।"
"butterfly_3","I saw a butterfly.","मैंने एक तितली को देखा।"
"butterfly_4","What noise does a butterfly make?","तितली क्या शोर मचाती है?"
"kangaroo","Kangaroo","कंगेरू"
"kangaroo_2","I like kangaroos.","मुझे कंगारू पसंद हैं।"
"kangaroo_3","I saw a kangaroo.","मैंने एक कंगारू को देखा।"
"kangaroo_4","What noise does a kangaroo make?","कंगारू क्या शोर मचाता है?"
"turtle","Turtle","कछुए"
"turtle_2","I like turtles.","मुझे कछुए पसंद हैं।"
"turtle_3","I saw a turtle.","मैंने एक कछुआ देखा।"
"turtle_4","What noise does a turtle make?","कछुआ क्या शोर मचाता है?"
"giraffe","Giraffe","जिराफ़"
"giraffe_2","I like giraffes.","मुझे जिराफ पसंद हैं।"
"giraffe_3","I saw a giraffe.","मैंने एक जिराफ को देखा।"
"giraffe_4","What noise does a giraffe make?","जिराफ क्या शोर मचाता है?"
"frog","Frog","मेढक"
"frog_2","I like frogs.","मुझे मेंढक पसंद हैं।"
"frog_3","I saw a frog.","मैंने एक मेंढक को देखा।"
"frog_4","What noise does a frog make?","मेंढक क्या शोर मचाता है?"
"swan","Swan","हंस"
"swan_2","I like swans.","मुझे हंस पसंद है।"
"swan_3","I saw a swan.","मैंने एक हंस को देखा।"
"swan_4","What noise does a swan make?","हंस क्या शोर करता है?"
"spider","Spider","मकड़ी"
"spider_2","I like spiders.","मुझे मकड़ियों पसंद हैं।"
"spider_3","I saw a spider.","मैंने एक मकड़ी देखी।"
"spider_4","What noise does a spider make?","मकड़ी क्या शोर मचाती है?"
"cow","Cow","गाय"
"cow_2","I like cows.","मुझे गाय पसंद हैं।"
"cow_3","I saw a cow.","मैंने एक गाय देखी।"
"cow_4","What noise does a cow make?","गाय क्या शोर मचाती है?"
"duck","Duck","बत्तख"
"duck_2","I like ducks.","मुझे बत्तख पसंद है।"
"duck_3","I saw a duck.","मैंने एक बत्तख को देखा।"
"duck_4","What noise does a duck make?","बत्तख क्या शोर मचाती है?"
"horse","Horse","घोड़ा"
"horse_2","I like horses.","मुझे घोड़े पसंद हैं।"
"horse_3","I saw a horse.","मैंने एक घोड़ा देखा।"
"horse_4","What noise does a horse make?","घोड़ा क्या शोर मचाता है?"
"chicken","Chicken","मुर्गी"
"chicken_2","I like chickens.","मुझे मुर्गियां पसंद हैं।"
"chicken_3","I saw a chicken.","मैंने एक मुर्गी देखी।"
"chicken_4","What noise does a chicken make?","मुर्गी क्या शोर मचाती है?"
"bee","Bee","मधुमक्खी"
"bee_2","I like bees.","मुझे मधुमक्खियां पसंद हैं।"
"bee_3","I saw a bee.","मैंने एक मधुमक्खी को देखा।"
"bee_4","What noise does a bee make?","मधुमक्खी क्या शोर मचाती है?"
"pig","Pig","सूअर"
"pig_2","I like pigs.","मुझे सूअर पसंद हैं।"
"pig_3","I saw a pig.","मैंने एक सुअर को देखा।"
"pig_4","What noise does a pig make?","सुअर क्या शोर मचाता है?"
"dove","Dove","डव"
"dove_2","I like doves.","मुझे कबूतर पसंद हैं।"
"dove_3","I saw a dove.","मैंने एक कबूतर देखा।"
"dove_4","What noise does a dove make?","कबूतर क्या शोर मचाता है?"
"crab","Crab","केकड़ा"
"crab_2","I like crabs.","मुझे केकड़े पसंद हैं।"
"crab_3","I saw a crab.","मैंने एक केकड़ा देखा।"
"crab_4","What noise does a crab make?","एक केकड़ा क्या शोर करता है?"
"penguin","Penguin","पेंगुइन"
"penguin_2","I like penguins.","मुझे पेंगुइन पसंद है।"
"penguin_3","I saw a penguin.","मैंने एक पेंगुइन देखा।"
"penguin_4","What noise does a penguin make?","पेंगुइन क्या शोर मचाता है?"
"elephant","Elephant","हाथी"
"elephant_2","I like elephants.","मुझे हाथी पसंद हैं।"
"elephant_3","I saw an elephant.","मैंने एक हाथी देखा।"
"elephant_4","What noise does an elephant make?","हाथी क्या शोर मचाता है?"
"zebra","Zebra","ज़ेबरा"
"zebra_2","I like zebras.","मुझे ज़ेब्रा पसंद है।"
"zebra_3","I saw a zebra.","मैंने एक ज़ेबरा देखा।"
"zebra_4","What noise does a zebra make?","ज़ेबरा क्या शोर करता है?"
"panda","Panda","पांडा"
"panda_2","I like pandas.","मुझे पांडा पसंद हैं।"
"panda_3","I saw a panda.","मैंने एक पांडा को देखा।"
"panda_4","What noise does a panda make?","एक पांडा क्या शोर मचाता है?"
"monkey","Monkey","बंदर"
"monkey_2","I like monkeys.","मुझे बंदर पसंद हैं।"
"monkey_3","I saw a monkey.","मैंने एक बंदर को देखा।"
"monkey_4","What noise does a monkey make?","बंदर क्या शोर मचाता है?"
"camel","Camel","ऊंट"
"camel_2","I like camels.","मुझे ऊंट पसंद हैं।"
"camel_3","I saw a camel.","मैंने एक ऊंट को देखा।"
"camel_4","What noise does a camel make?","ऊँट किस आवाज में आवाज करता है?"
"mouse","Mouse","चूहा"
"mouse_2","I like mice.","मुझे चूहे पसंद हैं।"
"mouse_3","I saw a mouse.","मैंने एक चूहा देखा।"
"mouse_4","What noise does a mouse make?","माउस क्या शोर करता है?"
"tiger","Tiger","बाघ"
"tiger_2","I like tigers.","मुझे बाघ पसंद हैं।"
"tiger_3","I saw a tiger.","मैंने एक बाघ देखा।"
"tiger_4","What noise does a tiger make?","बाघ क्या शोर मचाता है?"
"jellyfish","Jellyfish","जेलिफ़िश"
"jellyfish_2","I like jellyfishes.","मुझे जेलिफ़िश पसंद है।"
"jellyfish_3","I saw a jellyfish.","मैंने एक जेलिफ़िश देखी।"
"jellyfish_4","What noise does a jellyfish make?","जेलिफ़िश क्या शोर करता है?"
"crocodile","Crocodile","मगरमच्छ"
"crocodile_2","I like crocodiles.","मुझे मगरमच्छ पसंद हैं।"
"crocodile_3","I saw a crocodile.","मैंने एक मगरमच्छ को देखा।"
"crocodile_4","What noise does a crocodile make?","मगरमच्छ क्या शोर करता है?"
"koala","Koala","कोअला"
"koala_2","I like koalas.","मुझे कोलाज पसंद हैं।"
"koala_3","I saw a koala.","मैंने एक कोआला को देखा।"
"koala_4","What noise does a koala make?","कोआला क्या शोर मचाता है?"
"ostrich","Ostrich","शुतुरमुर्ग"
"ostrich_2","I like ostriches.","मुझे शुतुरमुर्ग पसंद हैं।"
"ostrich_3","I saw an ostrich.","मैंने एक शुतुरमुर्ग को देखा।"
"ostrich_4","What noise does an ostrich make?","शुतुरमुर्ग क्या शोर करता है?"
"racoon","Racoon","एक प्रकार का जानवर"
"racoon_2","I like racoons.","मुझे डाकू पसंद हैं।"
"racoon_3","I saw a racoon.","मैंने एक रेसून को देखा।"
"racoon_4","What noise does a racoon make?","एक रेसून कितना शोर करता है?"
"bat","Bat","बल्ला"
"bat_2","I like bats.","मुझे चमगादड़ पसंद हैं।"
"bat_3","I saw a bat.","मैंने एक बल्ला देखा।"
"bat_4","What noise does a bat make?","बल्ले से क्या शोर होता है?"
"eagle","Eagle","ईगल"
"eagle_2","I like eagles.","मुझे चील पसंद है।"
"eagle_3","I saw an eagle.","मैंने एक चील को देखा।"
"eagle_4","What noise does an eagle make?","चील क्या शोर मचाती है?"
"hippopotamus","Hippopotamus","जलहस्ती"
"hippopotamus_2","I like hippopotamus.","मुझे दरियाई घोड़ा पसंद है।"
"hippopotamus_3","I saw a hippopotamus.","मैंने एक दरियाई घोड़ा देखा।"
"hippopotamus_4","What noise does a hippopotamus make?","हिप्पोपोटेमस क्या शोर करता है?"
"seal","Seal","सील"
"seal_2","I like seals.","मुझे सील पसंद है।"
"seal_3","I saw a seal.","मैंने एक मुहर देखी।"
"seal_4","What noise does a seal make?","एक सील क्या शोर करता है?"
"walrus","Walrus","वालरस"
"walrus_2","I like walruses.","मुझे वालरस पसंद हैं।"
"walrus_3","I saw a walrus.","मैंने एक वालरस देखा।"
"walrus_4","What noise does a walrus make?","वालरस क्या शोर मचाता है?"
"seahorse","Seahorse","समुद्री घोड़े"
"seahorse_2","I like seahorses.","मुझे समुद्री घोड़े पसंद हैं।"
"seahorse_3","I saw a seahorse.","मैंने एक सीहोर को देखा।"
"seahorse_4","What noise does a seahorse make?","सीहोर क्या शोर मचाता है?"
"bull","Bull","सांड"
"bull_2","I like bulls.","मुझे बैल पसंद हैं।"
"bull_3","I saw a bull.","मैंने एक सांड देखा।"
"bull_4","What noise does a bull make?","बैल क्या शोर मचाता है?"
"pelican","Pelican","हवासील"
"pelican_2","I like pelicans.","मुझे पेलिकन पसंद हैं।"
"pelican_3","I saw a pelican.","मैंने एक पेलिकन को देखा।"
"pelican_4","What noise does a pelican make?","एक श्रोणि क्या शोर करता है?"
"beaver","Beaver","ऊदबिलाव"
"beaver_2","I like beavers.","मुझे बीवर पसंद है।"
"beaver_3","I saw a beaver.","मैंने एक बीवर को देखा।"
"beaver_4","What noise does a beaver make?","बीवर क्या शोर करता है?"
"goldfish","Goldfish","ज़र्द मछली"
"goldfish_2","I like goldfishes.","मुझे सुनहरी पसंद है।"
"goldfish_3","I saw a goldfish.","मैंने एक सुनहरी मछली देखी।"
"goldfish_4","What noise does a goldfish make?","सुनहरी मछली क्या शोर मचाती है?"
"goldfish_5","Can we get a goldfish as pet?","क्या हम पालतू के रूप में एक सुनहरी मछली प्राप्त कर सकते हैं?"
"rhinoceros","Rhinoceros","गैंडा"
"rhinoceros_2","I like rhinoceros.","मुझे गैंडा पसंद है।"
"rhinoceros_3","I saw a rhinoceros.","मैंने एक गैंडा देखा।"
"rhinoceros_4","What noise does a rhinoceros make?","गैंडा क्या शोर मचाता है?"
"snake","Snake","साँप"
"snake_2","I like snakes.","मुझे सांप पसंद हैं।"
"snake_3","I saw a snake.","मैंने एक सांप को देखा।"
"snake_4","What noise does a snake make?","सांप क्या शोर मचाता है?"
"lion","Lion","सिंह"
"lion_2","I like lions.","मुझे शेर पसंद हैं।"
"lion_3","I saw a lion.","मैंने एक शेर देखा।"
"lion_4","What noise does a lion make?","शेर क्या शोर मचाता है?"
"squid","Squid","स्क्वीड"
"squid_2","I like squids.","मुझे स्क्वीड पसंद है।"
"squid_3","I saw a squid.","मैंने एक विद्रूप देखा।"
"squid_4","What noise does a squid make?","एक व्यंग्य क्या शोर करता है?"
"whale","Whale","व्हेल"
"whale_2","I like whales.","मुझे व्हेल पसंद है।"
"whale_3","I saw a whale.","मैंने एक व्हेल को देखा।"
"whale_4","What noise does a whale make?","व्हेल क्या शोर मचाती है?"
"beetle","Beetle","भृंग"
"beetle_2","I like beetles.","मुझे बीटल पसंद है।"
"beetle_3","I saw a beetle.","मैंने एक बीटल को देखा।"
"beetle_4","What noise does a beetle make?","बीटल क्या शोर करता है?"
"dolphin","Dolphin","डॉल्फिन"
"dolphin_2","I like dolphins.","मुझे डॉल्फिन पसंद हैं।"
"dolphin_3","I saw a dolphin.","मैंने एक डॉल्फिन देखी।"
"dolphin_4","What noise does a dolphin make?","डॉल्फिन क्या शोर करता है?"
"starfish","Starfish","एक प्रकार की मछली जिस को पाँच - सात बाहु के सदृश अंग होते है"
"starfish_2","I like starfishes.","मुझे स्टारफिश पसंद है।"
"starfish_3","I saw a starfish.","मैंने एक स्टारफिश देखी।"
"starfish_4","What noise does a starfish make?","स्टारफिश क्या शोर मचाती है?"
"parakeet","Parakeet","तोता"
"parakeet_2","I like parakeets.","मुझे तोते पसंद हैं।"
"parakeet_3","I saw a parakeet.","मैंने एक तोता देखा।"
"parakeet_4","What noise does a parakeet make?","एक तोता क्या शोर करता है?"
"owl","Owl","उल्लू"
"owl_2","I like owls.","मुझे उल्लू पसंद है।"
"owl_3","I saw an owl.","मैंने एक उल्लू को देखा।"
"owl_4","What noise does an owl make?","उल्लू क्या शोर मचाता है?"
"sheep","Sheep","भेड़"
"sheep_2","I like sheeps.","मुझे भेड़ें पसंद हैं।"
"sheep_3","I saw a sheep.","मैंने एक भेड़ देखी।"
"sheep_4","What noise does a sheep make?","भेड़ क्या शोर मचाती है?"
"clothes","Clothes","वस्त्र"
"pants","Pants","पैंट"
"pants_2","My pants are dirty.","मेरी पैंट गंदी है।"
"pants_3","Can you help me wear my pants?","क्या आप मुझे मेरी पैंट पहनने में मदद कर सकते हैं?"
"shirt","Shirt","कमीज"
"shirt_2","My shirt is dirty.","मेरी कमीज गंदी है।"
"shirt_3","Can you help me wear my shirt?","क्या आप मुझे मेरी शर्ट पहनने में मदद कर सकते हैं?"
"skirt","Skirt","स्कर्ट"
"skirt_2","My skirt is dirty.","मेरी स्कर्ट गंदी है।"
"skirt_3","Can you help me wear my skirt?","क्या आप मेरी स्कर्ट पहनने में मेरी मदद कर सकते हैं?"
"panty","Panty","पैंटी"
"panty_2","My underwear is dirty.","मेरा अंडरवियर गंदा है।"
