"activities","Activities","Tevékenységek"
"walking","Walking","Walking"
"walking_2","I like walking","szeretek sétálni"
"walking_3","I don't like walking","Nem szeretem sétálni"
"walking_4","Do you want to walk together?","Szeretne együtt sétálni?"
"running","Running","Futás"
"running_2","I like running.","Szeretek futni."
"running_3","I don't like running.","Nem szeretem futni."
"running_4","Do you want to go running?","Futni akarsz?"
"talking","Talking","Beszél"
"talking_2","I like talking.","Szeretek beszélni."
"talking_3","I don't like talking.","Nem szeretek beszélni."
"talking_4","Do you want to talk with me?","Akarsz beszélni velem?"
"reading","Reading","Olvasás"
"reading_2","I like reading.","Szeretek olvasni."
"reading_3","I don't like reading.","Nem szeretek olvasni."
"reading_4","Do you want to read together?","Szeretne együtt olvasni?"
"football","Football","Futball"
"football_2","I like playing football.","Szeretek focizni."
"football_3","I don't like playing football.","Nem szeretek focizni."
"football_4","Do you want to play football?","Futballozni akarsz?"
"basketball","Basketball","Kosárlabda"
"basketball_2","I like playing basketball.","Szeretek kosárlabdázni."
"basketball_3","I don't like playing basketball.","Nem szeretem kosárlabdázni."
"basketball_4","Do you want to play basketball?","Kosárlabdázni akarsz?"
"swimming","Swimming","Úszás"
"swimming_2","I like swimming.","Szeretek úszni."
"swimming_3","I don't like swimming.","Nem szeretek úszni."
"swimming_4","Do you want to go to swimming?","Úszni akarsz úszni?"
"painting","Painting","Festés"
"painting_2","I like painting.","Szeretek festeni."
"painting_3","I don't like painting.","Nem szeretem festeni."
"painting_4","Do you want to paint together?","Szeretne együtt festeni?"
"drawing","Drawing","Rajz"
"drawing_2","I like drawing.","Szeretek rajzolni."
"drawing_3","I don't like drawing.","Nem szeretek rajzolni."
"drawing_4","Do you want to draw together?","Szeretne rajzolni?"
"cycling","Cycling","Kerékpározás"
"cycling_2","I like cycling.","Szeretem a kerékpározást."
"cycling_3","I don't like cycling.","Nem szeretem a kerékpározást."
"cycling_4","Do you want to go cycling?","Kerékpározni akarsz?"
"skating","Skating","Korcsolyázás"
"skating_2","I like skating.","Szeretek korcsolyázni."
"skating_3","I don't like skating.","Nem szeretek korcsolyázni."
"skating_4","Do you want to go skating?","Korcsolyázni akarsz?"
"sightseeing","Sightseeing","Városnézés"
"sightseeing_2","I like sightseeing.","Szeretem a városnézést."
"sightseeing_3","I don't like sightseeing.","Nem szeretem a városnézést."
"sightseeing_4","Do you want to go for sightseeing?","Városnézésre vágyik?"
"video-games","Video games","Videójátékok"
"video-games_2","I like playing video games.","Szeretek videojátékokat játszani."
"video-games_3","I don't like playing video games.","Nem szeretem videojátékokat játszani."
"video-games_4","Do you want to play games?","Szeretne játszani?"
"tidying","Tidying","Takarítás"
"tidying_2","I like tidying my room.","Szeretem takarítani a szobámat."
"tidying_3","I don't like tidying my room.","Nem szeretem takarítani a szobámat."
"tidying_4","Can you help me tidy my room?","Tudsz segíteni nekem a szobám takarításában?"
"toys","Toys","Játékok"
"toys_2","I like toys.","Szeretem a játékokat."
"toys_3","I don't like toys.","Nem szeretem a játékokat."
"toys_4","Do you want to play with my toys?","Szeretne játszani a játékommal?"
"puzzle","Puzzle","Kirakós játék"
"puzzle_2","I like solving puzzle.","Szeretem a rejtvényeket megoldani."
"puzzle_3","I don't like solving puzzle.","Nem szeretem a rejtvényeket megoldani."
"puzzle_4","Do you want to solve puzzles with me?","Szeretnél rejtvényeket megoldani velem?"
"comics","Comics","Képregény"
"comics_2","I like reading comics.","Szeretek képregényeket olvasni."
"comics_3","I don't like reading comics.","Nem szeretem a képregényeket olvasni."
"comics_4","Do you want to read comics?","Szeretne olvasni képregényeket?"
"chess","Chess","Sakk"
"chess_2","I like playing chess.","Szeretek sakkozni."
"chess_3","I don't like playing chess.","Nem szeretem sakkozni."
"chess_4","Do you want to play chess with me?","Sakkozni akarsz velem?"
"using-leeloo","Using Leeloo","Leeloo használata"
"using-leeloo_2","I like using leeloo.","Szeretek leeloo-t használni."
"using-leeloo_3","I don't like using leeloo.","Nem szeretem a leeloo használatát."
"using-leeloo_4","Can you change card packs on leeloo?","Meg lehet változtatni a kártyacsomagokat a leeloo-on?"
"texting","Texting","Szövegezés"
"texting_2","I like texting.","Szeretem a sms-t."
"texting_3","I don't like texting.","Nem szeretem a sms-t."
"knitting","Knitting","Kötés"
"knitting_2","I like knitting.","Szeretek kötés."
"knitting_3","I don't like knitting.","Nem szeretek kötés."
"knitting_4","I want to learn how to knit.","Meg akarom tanulni, hogyan kell kötni."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Szeretem a teke."
"bowling_3","I don't like bowling.","Nem szeretem a bowlingot."
"bowling_4","Do you want to play bowling with me?","Szeretnél bowlingozni velem?"
"watching-tv","Watching TV","TV-t nézek"
"watching-tv_2","I like watching tv.","Szeretek tv-t nézni."
"watching-tv_3","I don't like watching tv.","Nem szeretek tévét nézni."
"watching-tv_4","Do you want to watch tv?","TV-t akar nézni?"
"fishing","Fishing","Halászat"
"fishing_2","I like fishing.","Szeretem horgászni."
"fishing_3","I don't like fishing.","Nem szeretem a horgászatot."
"fishing_4","Do you want to go to fishing?","Horgászni akarsz?"
"exercising","Exercising","Testmozgás"
"exercising_2","I like exercising.","Szeretek gyakorolni."
"exercising_3","I don't like exercising.","Nem szeretem gyakorolni."
"exercising_4","Do you want to exercise with me?","Szeretne velem edzni?"
"tennis","Tennis","Tenisz"
"tennis_2","I like playing tennis.","Szeretek teniszezni."
"tennis_3","I don't like playing tennis.","Nem szeretek teniszezni."
"tennis_4","Do you want to play tennis with me?","Szeretnél velem teniszezni?"
"animals","Animals","állatok"
"cat","Cat","Macska"
"cat_2","I like cats.","Szeretem a macskákat."
"cat_3","I saw a cat.","Láttam egy macskát."
"cat_4","What noise does a cat make?","Milyen zajt ad egy macska?"
"cat_5","Can we get a cat as pet?","Lehet-e macskát kedvtelésből tartani?"
"dog","Dog","Kutya"
"dog_2","I like dog.","Szeretem a kutyát."
"dog_3","I saw a dog.","Láttam egy kutyát."
"dog_4","What noise does a dog make?","Milyen zajt ad egy kutya?"
"dog_5","Can we get a dog as pet?","Lehet kutya háziállatként?"
"fish","Fish","Hal"
"fish_2","I like fish.","Szeretem a halat."
"fish_3","I saw a fish.","Láttam egy halat."
"fish_4","What noise does a fish make?","Milyen zajt ad a hal?"
"fish_5","Can we get a fish as pet?","Hozhatunk halot háziállatként?"
"rabbit","Rabbit","Nyúl"
"rabbit_2","I like rabbits.","Szeretem a nyulakat."
"rabbit_3","I saw a rabbit.","Láttam egy nyúlot."
"rabbit_4","What noise does a rabbit make?","Milyen zajt ad a nyúl?"
"rabbit_5","Can we get a rabbit as pet?","Lehet nyúl mint háziállat?"
"butterfly","Butterfly","Pillangó"
"butterfly_2","I like butterflies.","Szeretem a pillangók."
"butterfly_3","I saw a butterfly.","Láttam egy pillangót."
"butterfly_4","What noise does a butterfly make?","Milyen zajt ad egy pillangó?"
"kangaroo","Kangaroo","Kenguru"
"kangaroo_2","I like kangaroos.","Szeretem a kengurut."
"kangaroo_3","I saw a kangaroo.","Láttam egy kenguru."
"kangaroo_4","What noise does a kangaroo make?","Milyen zajt ad egy kenguru?"
"turtle","Turtle","Teknősbéka"
"turtle_2","I like turtles.","Szeretem a teknősöket."
"turtle_3","I saw a turtle.","Láttam egy teknősöt."
"turtle_4","What noise does a turtle make?","Milyen zajt ad egy teknős?"
"giraffe","Giraffe","Zsiráf"
"giraffe_2","I like giraffes.","Szeretem a zsiráfokat."
"giraffe_3","I saw a giraffe.","Láttam egy zsiráfot."
"giraffe_4","What noise does a giraffe make?","Milyen zajt ad egy zsiráf?"
"frog","Frog","Béka"
"frog_2","I like frogs.","Szeretem a békákat."
"frog_3","I saw a frog.","Láttam egy béka."
"frog_4","What noise does a frog make?","Milyen zajt ad a béka?"
"swan","Swan","Hattyú"
"swan_2","I like swans.","Szeretem a hattyúkat."
"swan_3","I saw a swan.","Láttam egy hattyút."
"swan_4","What noise does a swan make?","Milyen zajt ad egy hattyú?"
"spider","Spider","Pók"
"spider_2","I like spiders.","Szeretem a pókokat."
"spider_3","I saw a spider.","Láttam egy pókot."
"spider_4","What noise does a spider make?","Milyen zajt ad a pók?"
"cow","Cow","Tehén"
"cow_2","I like cows.","Szeretem a teheneket."
"cow_3","I saw a cow.","Láttam egy tehén."
"cow_4","What noise does a cow make?","Milyen zajt ad egy tehén?"
"duck","Duck","Kacsa"
"duck_2","I like ducks.","Szeretem a kacsákat."
"duck_3","I saw a duck.","Láttam egy kacsa."
"duck_4","What noise does a duck make?","Milyen zajt ad a kacsa?"
"horse","Horse","Ló"
"horse_2","I like horses.","Szeretem a lovakat."
"horse_3","I saw a horse.","Láttam egy lovat."
"horse_4","What noise does a horse make?","Milyen zajt ad egy ló?"
"chicken","Chicken","Csirke"
"chicken_2","I like chickens.","Szeretem a csirkéket."
"chicken_3","I saw a chicken.","Láttam egy csirkét."
"chicken_4","What noise does a chicken make?","Milyen zajt ad egy csirke?"
"bee","Bee","Méh"
"bee_2","I like bees.","Szeretem a méheket."
"bee_3","I saw a bee.","Láttam egy méheket."
"bee_4","What noise does a bee make?","Milyen zajt ad a méh?"
"pig","Pig","malac"
"pig_2","I like pigs.","Szeretem a sertéseket."
"pig_3","I saw a pig.","Láttam egy disznót."
"pig_4","What noise does a pig make?","Milyen zajt ad egy disznó?"
"dove","Dove","Galamb"
"dove_2","I like doves.","Szeretem a galambok."
"dove_3","I saw a dove.","Láttam egy galambot."
"dove_4","What noise does a dove make?","Milyen zajt ad egy galamb?"
"crab","Crab","Rák"
"crab_2","I like crabs.","Szeretem a rákokat."
"crab_3","I saw a crab.","Láttam egy rákot."
"crab_4","What noise does a crab make?","Milyen zajt ad a rák?"
"penguin","Penguin","Pingvin"
"penguin_2","I like penguins.","Szeretem a pingvineket."
"penguin_3","I saw a penguin.","Láttam egy pingvint."
"penguin_4","What noise does a penguin make?","Milyen zajt ad a pingvin?"
"elephant","Elephant","Elefánt"
"elephant_2","I like elephants.","Szeretem az elefántokat."
"elephant_3","I saw an elephant.","Láttam egy elefántot."
"elephant_4","What noise does an elephant make?","Milyen zajt ad az elefánt?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Szeretem a zebrákat."
"zebra_3","I saw a zebra.","Láttam egy zebrát."
"zebra_4","What noise does a zebra make?","Milyen zajt ad egy zebra?"
"panda","Panda","pandamackó"
"panda_2","I like pandas.","Szeretem a pandákat."
"panda_3","I saw a panda.","Láttam egy pandát."
"panda_4","What noise does a panda make?","Milyen zajt ad a panda?"
"monkey","Monkey","Majom"
"monkey_2","I like monkeys.","Szeretem a majmokat."
"monkey_3","I saw a monkey.","Láttam egy majomot."
"monkey_4","What noise does a monkey make?","Milyen zajt ad a majom?"
"camel","Camel","Teve"
"camel_2","I like camels.","Szeretem a tevék."
"camel_3","I saw a camel.","Láttam egy tevet."
"camel_4","What noise does a camel make?","Milyen zajt ad egy teve?"
"mouse","Mouse","Egér"
"mouse_2","I like mice.","Szeretem az egereket."
"mouse_3","I saw a mouse.","Láttam egy egeret."
"mouse_4","What noise does a mouse make?","Milyen zajt ad az egér?"
"tiger","Tiger","Tigris"
"tiger_2","I like tigers.","Szeretem a tigriseket."
"tiger_3","I saw a tiger.","Láttam egy tigris."
"tiger_4","What noise does a tiger make?","Milyen zajt ad egy tigris?"
"jellyfish","Jellyfish","medúza"
"jellyfish_2","I like jellyfishes.","Szeretem a medúzákat."
"jellyfish_3","I saw a jellyfish.","Láttam egy medúzát."
"jellyfish_4","What noise does a jellyfish make?","Milyen zajt ad a medúza?"
"crocodile","Crocodile","Krokodil"
"crocodile_2","I like crocodiles.","Szeretem a krokodilokat."
"crocodile_3","I saw a crocodile.","Láttam egy krokodilt."
"crocodile_4","What noise does a crocodile make?","Milyen zajt ad egy krokodil?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Szeretem a koalas."
"koala_3","I saw a koala.","Láttam egy koalát."
"koala_4","What noise does a koala make?","Milyen zajt okoz egy koala?"
"ostrich","Ostrich","Strucc"
"ostrich_2","I like ostriches.","Szeretem a struccokat."
"ostrich_3","I saw an ostrich.","Láttam egy struccot."
"ostrich_4","What noise does an ostrich make?","Milyen zajt ad egy strucc?"
"racoon","Racoon","Mosómedve"
"racoon_2","I like racoons.","Szeretem a mosómedveket."
"racoon_3","I saw a racoon.","Láttam egy mosómedve."
"racoon_4","What noise does a racoon make?","Milyen zajt ad egy mosómedve?"
"bat","Bat","Denevér"
"bat_2","I like bats.","Szeretem a denevéreket."
"bat_3","I saw a bat.","Láttam egy denevárt."
"bat_4","What noise does a bat make?","Milyen zajt ad a denevér?"
"eagle","Eagle","Sas"
"eagle_2","I like eagles.","Szeretem a sasokat."
"eagle_3","I saw an eagle.","Láttam egy sasat."
"eagle_4","What noise does an eagle make?","Milyen zajt ad a sas?"
"hippopotamus","Hippopotamus","Víziló"
"hippopotamus_2","I like hippopotamus.","Szeretem a vízilókat."
"hippopotamus_3","I saw a hippopotamus.","Láttam egy vízilókat."
"hippopotamus_4","What noise does a hippopotamus make?","Milyen zajt ad az víziló?"
"seal","Seal","Fóka"
"seal_2","I like seals.","Szeretem a pecséteket."
"seal_3","I saw a seal.","Láttam egy pecsétet."
"seal_4","What noise does a seal make?","Milyen zajt ad a pecsét?"
"walrus","Walrus","Rozmár"
"walrus_2","I like walruses.","Szeretem a zoknit."
"walrus_3","I saw a walrus.","Láttam egy rozmárt."
"walrus_4","What noise does a walrus make?","Milyen zajt ad egy eper?"
"seahorse","Seahorse","csikóhal"
"seahorse_2","I like seahorses.","Szeretem a tengeri lovakat."
"seahorse_3","I saw a seahorse.","Láttam egy csikóhalot."
"seahorse_4","What noise does a seahorse make?","Milyen zajt ad egy csikóhal?"
"bull","Bull","Bika"
"bull_2","I like bulls.","Szeretem a bikákat."
"bull_3","I saw a bull.","Láttam egy bikát."
"bull_4","What noise does a bull make?","Milyen zajt ad a bika?"
"pelican","Pelican","Pelikán"
"pelican_2","I like pelicans.","Szeretem a pelikánokat."
"pelican_3","I saw a pelican.","Láttam egy pelikánt."
"pelican_4","What noise does a pelican make?","Milyen zajt ad egy pelikán?"
"beaver","Beaver","Hód"
"beaver_2","I like beavers.","Szeretem a hódokat."
"beaver_3","I saw a beaver.","Láttam egy hódot."
"beaver_4","What noise does a beaver make?","Milyen zajt ad a hód?"
"goldfish","Goldfish","Aranyhal"
"goldfish_2","I like goldfishes.","Szeretem az aranyhalokat."
"goldfish_3","I saw a goldfish.","Láttam egy aranyhalat."
"goldfish_4","What noise does a goldfish make?","Milyen zajt ad egy aranyhal?"
"goldfish_5","Can we get a goldfish as pet?","Kaphatunk egy aranyhalat háziállatként?"
"rhinoceros","Rhinoceros","Orrszarvú"
"rhinoceros_2","I like rhinoceros.","Szeretem az orrszarvúkat."
"rhinoceros_3","I saw a rhinoceros.","Láttam egy orrszarvút."
"rhinoceros_4","What noise does a rhinoceros make?","Milyen zajt ad az orrszarvú?"
"snake","Snake","Kígyó"
"snake_2","I like snakes.","Szeretem a kígyókat."
"snake_3","I saw a snake.","Láttam egy kígyót."
"snake_4","What noise does a snake make?","Milyen zajt ad egy kígyó?"
"lion","Lion","Oroszlán"
"lion_2","I like lions.","Szeretem az oroszlánokat."
"lion_3","I saw a lion.","Láttam egy oroszlánt."
"lion_4","What noise does a lion make?","Milyen zajt ad az oroszlán?"
"squid","Squid","Tintahal"
"squid_2","I like squids.","Szeretem a tintahalagokat."
"squid_3","I saw a squid.","Láttam egy tintahalat."
"squid_4","What noise does a squid make?","Milyen zajt ad a tintahal?"
"whale","Whale","Bálna"
"whale_2","I like whales.","Szeretem a bálnákat."
"whale_3","I saw a whale.","Láttam egy bálnát."
"whale_4","What noise does a whale make?","Milyen zajt ad a bálna?"
"beetle","Beetle","Bogár"
"beetle_2","I like beetles.","Szeretem a bogarak."
"beetle_3","I saw a beetle.","Láttam egy bogarat."
"beetle_4","What noise does a beetle make?","Milyen zajt ad a bogár?"
"dolphin","Dolphin","Delfin"
"dolphin_2","I like dolphins.","Szeretem a delfineket."
"dolphin_3","I saw a dolphin.","Láttam egy delfint."
"dolphin_4","What noise does a dolphin make?","Milyen zajt ad egy delfin?"
"starfish","Starfish","Tengeri csillag"
"starfish_2","I like starfishes.","Szeretem a tengeri csillagokat."
"starfish_3","I saw a starfish.","Láttam egy tengeri csillagot."
"starfish_4","What noise does a starfish make?","Milyen zajt ad a tengeri csillag?"
"parakeet","Parakeet","Ara papagáj"
"parakeet_2","I like parakeets.","Szeretem a papagájokat."
"parakeet_3","I saw a parakeet.","Láttam egy papagát."
"parakeet_4","What noise does a parakeet make?","Milyen zajt okoz a papagáj?"
"owl","Owl","Bagoly"
"owl_2","I like owls.","Szeretem a baglyokat."
"owl_3","I saw an owl.","Láttam egy baglyot."
"owl_4","What noise does an owl make?","Milyen zajt ad egy bagoly?"
"sheep","Sheep","Juh"
"sheep_2","I like sheeps.","Szeretem a birkák."
"sheep_3","I saw a sheep.","Láttam egy birkát."
"sheep_4","What noise does a sheep make?","Milyen zajt ad a juh?"
"clothes","Clothes","Ruházat"
"pants","Pants","Nadrág"
"pants_2","My pants are dirty.","A nadrágom piszkos."
"pants_3","Can you help me wear my pants?","Tudna segíteni a nadrágom viselésében?"
"shirt","Shirt","Ing"
"shirt_2","My shirt is dirty.","Ingem piszkos."
"shirt_3","Can you help me wear my shirt?","Tudna segíteni az ingem viselésében?"
"skirt","Skirt","Szoknya"
"skirt_2","My skirt is dirty.","A szoknyám piszkos."
"skirt_3","Can you help me wear my skirt?","Tudsz segíteni nekem a szoknyám viselésében?"
"panty","Panty","panty"
"panty_2","My underwear is dirty.","A fehérneműm piszkos."
"panty_3","Can you help me wear my panty?","Tudna segíteni a nadrágom viselésében?"
"jacket","Jacket","dzseki"
"jacket_2","My jacket is dirty.","A kabátom piszkos."
"jacket_3","Can you help me wear my jacket?","Tudna segíteni a kabátom viselésében?"
"tie","Tie","Nyakkendő"
"tie_2","I like wearing tie.","Szeretek nyakkendőt viselni."
"tie_3","Can you help me tie my tie?","Tudsz segíteni a nyakkendőm kötésében?"
"baseball-cap","Baseball cap","Baseball sapka"
"baseball-cap_2","I like wearing baseball cap.","Szeretek baseball sapkát viselni."
"baseball-cap_3","Which baseball cap should I wear?","Melyik baseball sapkát kell viselnem?"
"dress","Dress","Ruha"
"dress_2","My dress is dirty.","A ruhám piszkos."
"dress_3","Can you help me wear my dress?","Tudsz segíteni nekem a ruhám viselésében?"
"shoes","Shoes","cipő"
"shoes_2","My shoes are dirty.","A cipőm piszkos."
"shoes_3","Can you help me wear my shoes?","Tudna segíteni a cipőmben?"
"boots","Boots","Csizma"
"boots_2","My boots are dirty.","A csizmám piszkos."
"boots_3","Can you help me wear my boots?","Tudna segíteni a csizmám viselésében?"
"sneakers","Sneakers","Tornacipő"
"sneakers_2","I want to wear my sneakers.","Viselni akarom a cipőmet."
"sneakers_3","Can you help me wear my sneakers?","Tudna segíteni a cipőm viselésében?"
"slippers","Slippers","Papucs"
"slippers_2","I want to wear my slippers.","Szeretnék viselni a papucsomat."
"slippers_3","Can you help me wear my slippers?","Tudna segíteni a papucs viselésében?"
"belt","Belt","Öv"
"belt_2","I like wearing belt.","Szeretek övet viselni."
"belt_3","Can you help me wear my belt?","Tudna segíteni az öv viselésében?"
"socks","Socks","Zokni"
"socks_2","My socks are dirty.","Zokni piszkos."
"socks_3","Can you help me wear my socks?","Tudna segíteni a zokni viselésében?"
"swimsuit","Swimsuit","Fürdőruha"
"swimsuit_2","I want to wear my swimsuit.","Szeretnék viselni a fürdőruhámat."
"swimsuit_3","Can you help me wear my swimsuit?","Tudsz segíteni a fürdőruhám viselésében?"
"sweater","Sweater","Pulóver"
"sweater_2","My sweater is dirty.","A pulóverm piszkos."
"sweater_3","Can you help me wear my sweater?","Tudsz segíteni nekem a pulóvem viselésében?"
"scarf","Scarf","Sál"
"scarf_2","I like wearing scarf.","Szeretek sálat viselni."
"scarf_3","Can you help me wear my scarf?","Segíthetsz nekem a sálat viselni?"
"denim-shorts","Denim shorts","Farmer rövidnadrág"
"denim-shorts_2","My denim shorts are dirty.","A farmer rövidnadrágom piszkos."
"denim-shorts_3","Can you help me wear my denim shorts?","Tudna segíteni a farmer rövidnadrágom viselésében?"
"hoodies","Hoodies","Kapucnis"
"hoodies_2","I like wearing hoodies.","Szeretek kapucnis pulcsit viselni."
"hoodies_3","Can you help me wear my hoodie?","Tudsz segíteni nekem a kapucnis pulcsom viselésében?"
"swimming-shorts","Swimming shorts","Úszó nadrág"
"swimming-shorts_2","My swimming shorts are dirty.","Az úszási rövidnadrágom piszkos."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Segíthetsz nekem az úszási rövidnadrágomat?"
"bow-tie","Bow tie","Csokornyakkendő"
"bow-tie_2","I like wearing bow tie.","Szeretek csokornyakkendőt viselni."
"bow-tie_3","Can you help me wear my bow tie?","Tudna segíteni a csokornyakkendőm viselésében?"
"leather-jacket","Leather jacket","Bőrkabát"
"leather-jacket_2","I like wearing leather jacket.","Szeretek bőrkabátot viselni."
"leather-jacket_3","Can you help me wear my leather jacket?","Tudna segíteni a bőrdzseki viselésében?"
"bathrobe","Bathrobe","Fürdőköpeny"
"bathrobe_2","I like wearing bathrobe.","Szeretek fürdőköpenyt viselni."
"bathrobe_3","Can you help me wear my bathrobe?","Tudna segíteni a fürdőköpeny viselésében?"
"jumpsuit","Jumpsuit","kezeslábas"
"jumpsuit_2","I like wearing jumpsuit.","Szeretem a felsőruhát viselni."
"jumpsuit_3","Can you help me wear my jumpsuit?","Tudsz segíteni nekem a felsőruhámat?"
"fedora-hat","Fedora hat","Fedora kalap"
"fedora-hat_2","I like wearing fedora hat.","Szeretek fedora kalapot viselni."
"fedora-hat_3","Can you help me wear my fedora hat?","Tudna segíteni nekem a fedora kalap viselésében?"
"t-shirt","T-shirt","póló"
"t-shirt_2","I like wearing t-shirt.","Szeretek pólót viselni."
"t-shirt_3","Can you help me wear my t-shirt?","Tudna segíteni a pólóm viselésében?"
"sleeveless","Sleeveless","Ujjatlan"
"sleeveless_2","I like wearing sleeveless.","Szeretem ujjatlanul viselni."
"sleeveless_3","Can you help me wear my sleeveless?","Tudna segíteni az ujjatlan ruhám viselésében?"
"boxers","Boxers","Boxer"
"boxers_2","I like wearing boxers.","Szeretek bokszolókat viselni."
"boxers_3","Can you help me wear my boxers?","Tudna segíteni, hogy viseljem a bokszereimet?"
"vest","Vest","Mellény"
"vest_2","I like wearing vest.","Szeretem mellényt viselni."
"vest_3","Can you help me wear my vest?","Tudsz segíteni nekem a mellényem viselésében?"
"pamela-hat","Pamela hat","Pamela kalap"
"pamela-hat_2","I like wearing pamela hat.","Szeretek pamela kalapot viselni."
"pamela-hat_3","Can you help me wear my pamela hat?","Tudsz segíteni nekem a pamela kalap viselésében?"
"high-heels","High heels","Magassarkú"
"high-heels_2","I like wearing high heels.","Szeretek magas sarkú cipőt viselni."
"high-heels_3","Can you help me wear my high heels?","Tudna segíteni a magas sarkú cipőm viselésében?"
"overalls","Overalls","Overall"
"overalls_2","I like wearing overalls.","Szeretek overallt viselni."
"overalls_3","Can you help me wear my overalls?","Tudna segíteni az overám viselésében?"
"kimono","Kimono","Kimonó"
"kimono_2","I like wearing kimono.","Szeretek kimono-t viselni."
"kimono_3","Can you help me wear my kimono?","Tudna segíteni nekem a kimonó viselésében?"
"raincoat","Raincoat","Esőkabát"
