"activities","Activities","Tevékenységek"
"raincoat_2","I like wearing raincoat.","Szeretek esőkabátot viselni."
"raincoat_3","Can you help me wear my raincoat?","Tudna segíteni az esőkabát viselésében?"
"bandana","Bandana","Bandanna"
"bandana_2","I like wearing bandana.","Szeretek bandanát viselni."
"bandana_3","Can you help me wear my bandana?","Tudna segíteni a bandanám viselésében?"
"beret","Beret","Svájcisapka"
"beret_2","I like wearing beret.","Szeretek svájcisapkát viselni."
"beret_3","Can you help me wear my beret?","Tudsz segíteni nekem a svájcisapka viselésében?"
"knit-hat","Knit hat","Kötött kalap"
"knit-hat_2","I like wearing knit hat.","Szeretek kötött sapkát viselni."
"knit-hat_3","Can you help me wear my knit hat?","Tudsz segíteni nekem a kötött kalap viselésében?"
"suspenders","Suspenders","Harisnyatartó"
"suspenders_2","I like wearing suspenders.","Szeretek harisnyatartót viselni."
"suspenders_3","Can you help me wear my suspenders?","Tudna segíteni a harisnyatartóm viselésében?"
"mitten","Mitten","Ujjatlan kesztyű"
"mitten_2","I like wearing mitten.","Szeretek kesztyűt viselni."
"mitten_3","Can you help me wear my mitten?","Tudna segíteni az ujjatlan kesztyűmben?"
"suit","Suit","Öltöny"
"suit_2","I like wearing suit.","Szeretek öltönyt viselni."
"suit_3","Can you help me wear my suit?","Tudsz segíteni nekem a ruha viselésében?"
"coat","Coat","Kabát"
"coat_2","I like wearing coat.","Szeretek kabátot viselni."
"coat_3","Can you help me wear my coat?","Tudsz segíteni nekem a kabátam viselésében?"
"trench-coat","Trench coat","Viharkabát"
"trench-coat_2","I like wearing trench coat.","Szeretek árokkabátot viselni."
"trench-coat_3","Can you help me wear my trench coat?","Tudna segíteni az árok kabátom viselésében?"
"colors","Colors","Színek"
"crayons","Crayons","ceruzák"
"crayons_2","I like crayons.","Szeretem a ceruzákat."
"crayons_3","Can you give me crayons?","Adhatsz nekünk ceruzákat?"
"crayons_4","I want to draw using my crayons.","Rajzolni akarok a ceruzáim segítségével."
"red","Red","Piros"
"red_2","It is red.","Ez piros."
"red_3","My favorite color is red.","A kedvenc szinem a piros."
"red_4","Can you give me red paint?","Tudsz adni nekem vörös festéket?"
"blue","Blue","Kék"
"blue_2","It is blue.","Ez kék."
"blue_3","My favorite color is blue.","A kedvenc színem a kék."
"blue_4","Can you give me blue paint?","Tudsz nekem kék festéket adni?"
"orange","Orange","narancssárga"
"orange_2","It is orange color.","Narancssárga színű."
"orange_3","My favorite color is orange.","Kedvenc színem a narancs."
"orange_4","Can you give me orange paint?","Adhat nekem narancssárga festéket?"
"green","Green","Zöld"
"green_2","It is green.","Ez zöld."
"green_3","My favorite color is green.","Kedvenc színem a zöld."
"green_4","Can you give me green paint?","Adhat nekem zöld festéket?"
"yellow","Yellow","Sárga"
"yellow_2","It is yellow.","Ez sárga."
"yellow_3","My favorite color is yellow.","Kedvenc színem a sárga."
"yellow_4","Can you give me yellow paint?","Tudsz nekem sárga festéket adni?"
"purple","Purple","Lila"
"purple_2","It is purple.","Lila."
"purple_3","My favorite color is purple.","A kedvenc színem a lila."
"purple_4","Can you give me purple paint?","Adhatsz nekem lila festéket?"
"pink","Pink","Rózsaszín"
"pink_2","It is pink.","Rózsaszín."
"pink_3","My favorite color is pink.","A kedvenc színem a rózsaszín."
"pink_4","Can you give me pink paint?","Tudsz rózsaszínű festéket adni?"
"brown","Brown","Barna"
"brown_2","It is brown.","Barna."
"brown_3","My favorite color is brown.","Kedvenc színem a barna."
"brown_4","Can you give me brown paint?","Adhatsz nekem barna festéket?"
"black","Black","Fekete"
"black_2","It is black.","Ez fekete."
"black_3","My favorite color is black.","Kedvenc színem a fekete."
"black_4","Can you give me black paint?","Tudsz adni nekem fekete festéket?"
"white","White","fehér"
"white_2","It is white.","Ez fehér."
"white_3","My favorite color is white.","Kedvenc színem a fehér."
"white_4","Can you give me white paint?","Adhat nekem fehér festéket?"
"gray","Gray","szürke"
"gray_2","It is gray.","Szürke."
"gray_3","My favorite color is gray.","Kedvenc színem a szürke."
"gray_4","Can you give me gray paint?","Adhat nekem szürke festéket?"
"transparent","Transparent","Átlátszó"
"transparent_2","It is transparent.","Átlátszó."
"transparent_3","I can see behind transparent color.","Látom az átlátszó szín mögött."
"transparent_4","Can you help me erase?","Segíthetsz törölni?"
"cyan","Cyan","Cián"
"cyan_2","It is cyan.","Ciánkék."
"cyan_3","My favorite color is cyan.","Kedvenc színem a cián."
"cyan_4","Can you give me cyan paint?","Tudsz nekem ciánképet festeni?"
"violet","Violet","Ibolya"
"violet_2","It is violet.","Ibolya."
"violet_3","My favorite color is violet.","Kedvenc színem az ibolya."
"violet_4","Can you give me violet paint?","Adhatsz nekem lila festéket?"
"turquoise","Turquoise","Türkiz"
"turquoise_2","It is turquoise.","Türkiz."
"turquoise_3","My favorite color is turquoise.","Kedvenc színem a türkiz."
"turquoise_4","Can you give me turquoise paint?","Adhat nekem türkiz festéket?"
"lime","Lime","Mész"
"lime_2","It is lime.","Ez mész."
"lime_3","My favorite color is lime.","Kedvenc színem a mész."
"lime_4","Can you give me lime paint?","Tudsz nekem mészfestéket adni?"
"plum","Plum","Szilva"
"plum_2","It is plum.","Szilva."
"plum_3","My favorite color is plum.","Kedvenc színem a szilva."
"plum_4","Can you give me plum paint?","Tudsz nekem szilvafestéket adni?"
"tan","Tan","Cser"
"tan_2","It is tan color.","Barna színű."
"tan_3","My favorite color is tan color.","Kedvenc színem a barnás szín."
"tan_4","Can you give me tan color paint?","Adhatsz nekem barna színű festéket?"
"avocado","Avocado","Avokádó"
"avocado_2","It is avocado color.","Avokádó színű."
"avocado_3","My favorite color is avocado color.","Kedvenc színem az avokádó szín."
"avocado_4","Can you give me avocado color paint?","Tudsz adni nekem avokádó színes festéket?"
"barbie-pink","Barbie pink","Barbie rózsaszín"
"barbie-pink_2","It is barbie pink color.","Barbie rózsaszín."
"barbie-pink_3","My favorite color is barbie pink.","Kedvenc színem a barbie rózsaszín."
"barbie-pink_4","Can you give me barbie pink paint?","Adhatsz nekem barbie rózsaszín festéket?"
"blizzard-blue","Blizzard blue","Hóvihar kék"
"blizzard-blue_2","It is blizzard blue color.","Ez hóvihar színű."
"blizzard-blue_3","My favorite color is blizzard blue color.","Kedvenc színem a hóvihar."
"blizzard-blue_4","Can you give me blizzard blue paint?","Adhat nekem hóvihar kék festéket?"
"conversation","Conversation","Beszélgetés"
"me","Me","Nekem"
"me_2","My name is {name}","A nevem {név}"
"me_3","I'm {name}","{Név} vagyok"
"me_4","Do you know my name?","Tudod a nevem?"
"me_5","What is your name?","Mi a neved?"
"me_6","Nice to meet you!","Örvendek!"
"me_7","Do you like me?","Kedvelsz engem?"
"me_8","Can we be friends?","Lehetünk barátok?"
"me_9","I'm using assistive communication app.","Asszisztens kommunikációs alkalmazást használom."
"me_10","Who are you?","Ki vagy te?"
"hello","Hello","Szia"
"hello_2","Hello.","Szia."
"hello_3","Hi.","Szia."
"hello_4","Greetings.","Üdvözlet."
"hello_5","How are you?","Hogy vagy?"
"hello_6","Nice to meet you!","Örvendek!"
"help","Help","Segítség"
"help_2","Help me.","Segíts."
"help_3","Can you help me?","Tudsz segíteni nekem?"
"help_4","I need help","segítségre van szükségem"
"help_5","Do you need help?","Kell segítség?"
"yes","Yes","Igen"
"yes_2","Yes.","Igen."
"yes_3","Yes please.","Igen, kérem."
"yes_4","Alright.","Rendben."
"yes_5","Agreed.","Egyetért."
"yes_6","I want to.","Akarok."
"yes_7","I would like to.","Szeretnék."
"no","No","Nem"
"no_2","No.","Nem."
"no_3","Nope.","Dehogy."
"no_4","Never.","Soha."
"no_5","I don't want to.","Nem akarom."
"no_6","I don't like it.","Nem tetszik."
"no_7","You don't like it?","Nem tetszik?"
"no_8","Why you don't like it?","Miért nem tetszik?"
"toilet","Toilet","WC"
"toilet_2","I need to go to the toilet.","WC-re kell mennem."
"toilet_3","I need to pee.","Pisilnem kell."
"toilet_4","I need to poop.","Kakilnom kell."
"toilet_5","Can you help me go to the toilet?","Tudsz segíteni a WC-ben?"
"toilet_6","Can you help me clean?","Segíthetsz tisztítani?"
"toilet_7","I peed myself.","Peed magam."
"toilet_8","I pooped myself.","Kicsaptam magam."
"what","What","Mit"
"what_2","What is that?","Mi az?"
"what_3","What does it mean?","Mit jelent?"
"what_4","What do you mean?","Hogy érted?"
"what_5","Can you explain it?","Meg tudod magyarázni?"
"what_6","Can you repeat what you said?","Meg tudja ismételni, amit mondott?"
"what_7","I don't understand.","Nem értem."
"sleep","Sleep","Alvás"
"sleep_2","I want to sleep.","Aludni akarok."
"sleep_3","I don't want to sleep.","Nem akarok aludni."
"sleep_4","I'm tired.","Fáradt vagyok."
"sleep_5","Are you tired?","Fáradt vagy?"
"sleep_6","When am I going to sleep?","Mikor alszok?"
"sleep_7","I want to take a nap.","Le akarok pihenni."
"bath","Bath","Fürdőkád"
"bath_2","I want to take a bath.","Fürdeni akarok."
"bath_3","I like taking a bath.","Szeretek fürödni."
"bath_4","I want to wash my hands.","Meg akarom mosni a kezem."
"bath_5","I want to take a shower.","Zuhanyozni akarok."
"bath_6","I want to clean myself.","Meg akarom tisztítani magam."
"bath_7","Can you help me take a bath?","Tudsz segíteni fürödni?"
"bath_8","I don't want to take a bath.","Nem akarok fürödni."
"listen","Listen","Hallgat"
"listen_2","Listen to me.","Hallgass rám."
"listen_3","Can you listen to me?","Tud hallgatni rám?"
"listen_4","Listen to music.","Zenét hallgat."
"listen_5","Listening to my parents.","A szüleim hallgatása."
"listen_6","Listen to what my application is saying!","Hallgassa meg, mit mond az alkalmazásom!"
"morning","Morning","Reggel"
"morning_2","Good morning.","Jó reggelt kívánok."
"morning_3","I like mornings.","Szeretem a reggeleket."
"morning_4","In the morning.","Reggel."
"morning_5","Morning time.","Reggeli idő."
"morning_6","Is it morning?","Reggel van?"
"night","Night","Éjszaka"
"night_2","Good night!","Jó éjszakát!"
"night_3","I like nights.","Szeretem az éjszakákat."
"night_4","At night.","Éjszaka."
"night_5","Night time.","Éjszakai idő."
"night_6","Is it night?","Éjszaka van?"
"look","Look","Néz"
"look_2","Look at me.","Nézz rám."
"look_3","Look at this.","Ezt nézd."
"look_4","Are you looking?","Nézel?"
"look_5","Look at my drawing.","Nézd meg a rajzomat."
"look_6","How do I look?","Hogy nézek ki?"
"look_7","Look what I did.","Nézd, mit tettem."
"look_8","Let's look at that.","Nézzük meg ezt."
"speak","Speak","Beszél"
"speak_2","I'm learning how to speak.","Megtanulok beszélni."
"speak_3","I want to speak.","Beszélni akarok."
"speak_4","Can I speak with you?","Beszélhetnék veled?"
"speak_5","I like speaking.","Szeretek beszélni."
"speak_6","I'm using assistive communication app.","Asszisztens kommunikációs alkalmazást használom."
"play","Play","Játék"
"play_2","I love playing.","Szeretem játszani."
"play_3","Can you play with me?","Tudsz velem játszani?"
"play_4","I want to play with you!","Játszani akarok veled!"
"play_5","I want to play with my friends.","Szeretnék játszani a barátaimmal."
"play_6","I don't want to play with you.","Nem akarok veled játszani."
"outside","Outside","Kívül"
"outside_2","I love going outside.","Szeretem kimenni."
"outside_3","I want to go outside.","Kint akarok menni."
"outside_4","Is it cold outside?","Hát hideg van?"
"outside_5","I don't like outside.","Nem szeretek kint lenni."
"outside_6","Can I go outside?","Kimenhetek kint?"
"home","Home","itthon"
"home_2","I love my home.","Imádom az otthonom."
"home_3","I want to go home.","Haza akarok menni."
"home_4","Where is your home?","Hol laksz?"
"home_5","Home sweet home.","Otthon, édes otthon."
"home_6","I'm in the house.","A házban vagyok."
"home_7","I'm not in the house.","Nem vagyok a házban."
"hurt","Hurt","Sért"
"hurt_2","I'm hurt.","Megsérültem."
"hurt_3","Are you hurt?","Megsérültél?"
"hurt_4","Did I hurt you?","Megbántottalak?"
"hurt_5","I didn't mean to hurt you!","Nem akartam bántani téged!"
"hurt_6","Is it going to hurt?","Fájni fog?"
"hurt_7","I have a headache.","Fáj a fejem."
"hurt_8","I have a stomach ache.","Fáj a hasam."
"hurt_9","My genitals hurt.","A nemi szervek fáj."
"hurt_10","My foot hurts.","Fáj a lábam."
"feelings","Feelings","érzések"
"happy","Happy","Boldog"
"happy_2","I'm happy.","Boldog vagyok."
"happy_3","I feel happy.","Boldognak érzem magam."
"happy_4","Do you feel happy?","Boldog vagy?"
"happy_5","I want to feel happy.","Boldog akarok lenni."
"happy_6","You are making me happy.","Te boldoggá teszel."
"sad","Sad","Szomorú"
"sad_2","I'm sad.","Szomorú vagyok."
"sad_3","I feel sad.","Szomorúnak érzem magam."
"sad_4","Do you feel sad?","Szomorú vagy?"
"sad_5","I don't want to feel sad.","Nem akarom szomorúnak lenni."
"sad_6","You are making me sad.","Szomorúvá teszel."
"exhausted","Exhausted","Kimerült"
"exhausted_2","I'm exhausted.","Kimerült vagyok."
"exhausted_3","I feel exhausted.","Kimerült vagyok."
"exhausted_4","Do you feel exhausted?","Kimerültnek érzi magát?"
"exhausted_5","I don't want to be exhausted.","Nem akarok kimerülni."
"relaxed","Relaxed","Kipihent"
"relaxed_2","I'm relaxed.","Nyugodt vagyok."
"relaxed_3","I feel relaxed.","Nyugodtan érzem magam."
"relaxed_4","Do you feel relaxed?","Nyugodtan érzi magát?"
"relaxed_5","I want to feel relaxed.","Nyugodni akarok."
"in-love","In love","Szerelmes"
"in-love_2","I'm in love.","Szerelmes vagyok."
"in-love_3","I feel in love.","Szerelmes vagyok."
"in-love_4","Are you in love?","Szerelmes vagy?"
"in-love_5","I want to fall in love.","Szerelmes akarok lenni."
"in-love_6","Do you love me?","Szeretsz?"
"stressed","Stressed","kiemelt"
"stressed_2","I'm stressed.","Stressz vagyok."
"stressed_3","I feel stressed.","Feszültnek érzem magam."
"stressed_4","Do you feel stressed?","Nem érzi magát stresszel?"
"stressed_5","I don't want to feel stressed.","Nem akarom stresszesnek érezni."
"thankful","Thankful","Hálás"
"thankful_2","I'm thankful.","Hálás vagyok."
"thankful_3","I feel thankful.","Hálás vagyok."
"thankful_4","Do you feel thankful?","Hálás vagy?"
"thankful_5","I want to feel thankful.","Szeretnék hálás lenni."
"confused","Confused","Zavaros"
"confused_2","I'm confused.","Össze vagyok zavarodva."
"confused_3","I feel confused.","Zavarban vagyok."
"confused_4","Do you feel confused?","Összezavarod?"
"confused_5","You are confusing me.","Összezavarsz."
"joyful","Joyful","Vidám"
"joyful_2","I'm joyful.","Örülök."
"joyful_3","I feel joyful.","Örülök."
"joyful_4","Do you feel joyful?","Örülök?"
"joyful_5","I want to feel joyful.","Örülni akarok."
"angry","Angry","Mérges"
"angry_2","I'm angry.","Dühös vagyok."
"angry_3","I feel angry.","Mérges vagyok."
"angry_4","Do you feel angry?","Dühös vagy?"
"angry_5","I'm angry at you.","Mérges vagyok rád."
"angry_6","You are making me angry.","Dühös vagy."
"smart","Smart","Okos"
"smart_2","I'm smart.","Okos vagyok."
"smart_3","I feel smart.","Okosnak érzem magam."
"smart_4","Do you feel smart?","Okosnak érzi magát?"
"smart_5","Am I smart?","Okos vagyok?"
"smart_6","You are smart!","Okos vagy!"
"afraid","Afraid","Félsz"
"afraid_2","I'm afraid.","Attól tartok."
"afraid_3","I feel afraid.","Félek."
"afraid_4","Do you feel afraid?","Félsz?"
"afraid_5","I don't want to feel afraid.","Nem akarok félni."
"afraid_6","You are scaring me.","Megijesztesz."
"ashamed","Ashamed","Megszégyenülve"
"ashamed_2","I'm ashamed.","Szégyellem."
"ashamed_3","I feel ashamed.","Én szégyellem magam."
"ashamed_4","Do you feel ashamed?","Szégyelli magát?"
"ashamed_5","I don't want to feel ashamed.","Nem akarok szégyellni."
"shocked","Shocked","Döbbent"
"shocked_2","I'm shocked.","Meg vagyok döbbenve."
"shocked_3","I feel shocked.","Sokkoltam."
"shocked_4","Do you feel shocked?","Döbbenten érzi magát?"
"shocked_5","You shocked me.","Megdöbbent."
"sick","Sick","Beteg"
"sick_2","I'm sick.","Beteg vagyok."
"sick_3","I feel sick.","Rosszul érzem magam."
"sick_4","Do you feel sick?","Rosszul érzed magad?"
"sick_5","I don't want to be sick.","Nem akarok beteg lenni."
"sick_6","I'm sick of the food.","Beteg vagyok az ételtől."
"frustrated","Frustrated","Frusztrált"
"frustrated_2","I'm frustrated.","Frusztrált vagyok."
"frustrated_3","I feel frustrated.","Csalódottnak érzem magam."
"frustrated_4","Do you feel frustrated?","Frusztráltan érzed magad?"
"frustrated_5","I don't want to feel frustrated.","Nem akarom csalódni."
"excited","Excited","Izgatott"
"excited_2","I'm excited.","Izgatott vagyok."
"excited_3","I feel excited.","Izgatott vagyok."
"excited_4","Do you feel excited?","Izgatottan érzi magát?"
"excited_5","I don't want to feel excited.","Nem akarom izgatottan érezni."
"nauseated","Nauseated","hányingere"
"nauseated_2","I'm nauseated.","Hányingert vagyok."
"nauseated_3","I feel nauseated.","Hányinom van."
"nauseated_4","Do you feel nauseated?","Émelyg?"
"nauseated_5","I don't want to feel nauseated.","Nem akarom émelygni."
"agitated","Agitated","izgatott"
"agitated_2","I'm agitated.","Izgatott vagyok."
"agitated_3","I feel agitated.","Izgatottan érzem magam."
"agitated_4","Do you feel agitated?","Izgatottan érzi magát?"
"agitated_5","I don't want to feel agitated.","Nem akarom izgatottan érezni."
"food","Food","Étel"
"hungry","Hungry","Éhes"
"hungry_2","I'm hungry.","Éhes vagyok."
"hungry_3","Are you hungry?","Éhes vagy?"
"hungry_4","Can you make me food?","Tudsz enni?"
"hungry_5","What is for dinner?","Mi van vacsorára?"
"thirsty","Thirsty","Szomjas"
"thirsty_2","I'm thirsty.","Szomjas vagyok."
"thirsty_3","Can I have some water?","Kaphatnék egy kis vizet?"
"thirsty_4","Can I have a glass of water?","Kaphatok egy pohár vizet?"
"thirsty_5","I want something to drink.","Inni akarok valamit."
"cutlery","Cutlery","Evőeszköz"
"cutlery_2","I need cutlery.","Evőeszközre van szükségem."
"cutlery_3","Help me use cutlery.","Segítsen az evőeszközök használatában."
"cutlery_4","I need a fork.","Szükségem van egy villára."
"cutlery_5","I need a spoon.","Szükségem van egy kanálra."
"cutlery_6","I need chopsticks.","Pálcika van szükségem."
"cutlery_7","I need a knife.","Késre van szükségem."
"cutlery_8","I need a napkin.","Szükségem van egy szalvétára."
"apple","Apple","alma"
"apple_2","I like apple.","Szeretem az almát."
"apple_3","I don't like apple.","Nem szeretem az almát."
"apple_4","I want to eat an apple.","Enni akarok egy almát."
"carrot","Carrot","Sárgarépa"
"carrot_2","I like carrot.","Szeretem a sárgarépát."
"carrot_3","I don't like carrot.","Nem szeretem a sárgarépát."
"carrot_4","I want to eat a carrot.","Sárgarépát akarok enni."
"beans","Beans","bab"
"beans_2","I like beans.","Szeretem a babot."
"beans_3","I don't like beans.","Nem szeretem a babot."
"beans_4","I want to eat beans.","Babot akarok enni."
"chicken_5","I want fried chicken.","Sült csirkét akarok."
"chicken_6","I want boiled chicken.","Főzött csirkét akarok."
"chocolate","Chocolate","Csokoládé"
"chocolate_2","I like chocolate.","Szeretem a csokoládét."
"chocolate_3","I don't like chocolate.","Nem szeretem a csokoládét."
"chocolate_4","I want to eat chocolate.","Csokoládét akarok enni."
"chocolate_5","I want dark chocolate.","Sötét csokoládét akarok."
"chocolate_6","I want white chocolate.","Fehér csokoládét akarok."
"milk","Milk","Tej"
"milk_2","I like milk.","Szeretem a tejet."
"milk_3","I don't like milk.","Nem szeretem a tejet."
"milk_4","I want to drink milk.","Inni akarok tejet."
"milk_5","Can I have a glass of milk?","Lehetek egy pohár tejet?"
"sandwich","Sandwich","Szendvics"
"sandwich_2","I like sandwich.","Szeretem a szendvicset."
"sandwich_3","I don't like sandwich.","Nem szeretem a szendvicset."
"sandwich_4","I want to eat a sandwich.","Egy szendvicset akarok enni."
"sandwich_5","Can you make me a sandwich?","Tudsz nekem egy szendvicset készíteni?"
"steak","Steak","Steak"
"steak_2","I like steak.","Tetszik steak."
"steak_3","I don't like steak.","Nem szeretem a steak."
"steak_4","I want to eat steak.","Steakot akarok enni."
"steak_5","Can you cook steak for me?","Tud főzni steak nekem?"
"banana","Banana","Banán"
"banana_2","I like banana.","Szeretem a banánt."
"banana_3","I don't like banana.","Nem szeretem a banánt."
"banana_4","I want to eat a banana.","Banánt akarok enni."
"pie","Pie","Pite"
"pie_2","I like pie.","Szeretem a pitét."
"pie_3","I don't like pie.","Nem szeretem a pitet."
"pie_4","I want to eat pie.","Pitet akarok enni."
"pie_5","Can you bake a pie for me?","Tudsz sütni nekem egy tortát?"
"egg","Egg","Tojás"
"egg_2","I like egg.","Szeretem a tojást."
"egg_3","I don't like egg.","Nem szeretem a tojást."
"egg_4","I want to eat egg.","Tojást akarok enni."
"egg_5","I want fried eggs.","Sült tojást akarok."
"egg_6","I want boiled eggs.","Főtt tojást akarok."
"noodles","Noodles","Tészta"
"noodles_2","I like noodles.","Szeretem a tésztát."
"noodles_3","I don't like noodles.","Nem szeretem a tésztát."
"noodles_4","I want to eat noodles.","Tésztát akarok enni."
"noodles_5","Can you cook noodles for me?","Tud főzni tésztát nekem?"
"salt","Salt","Só"
"salt_2","I want salt.","Sót akarok."
"salt_3","Can you pass me the salt?","Átadhatja nekem a sót?"
"salt_4","Food is too salty.","Az étel túl sós."
"salt_5","My food needs some salt.","Az ételemnek szüksége van némi sóra."
"spices","Spices","fűszerek"
"spices_2","I like spicy food.","Szeretem a fűszeres ételeket."
"spices_3","I don't like spicy food.","Nem szeretem a fűszeres ételeket."
"spices_4","I want paprika.","Paprikát akarok."
"spices_5","I want black pepper.","Fekete borsot akarok."
"pizza","Pizza","pizza"
"pizza_2","I like pizza.","Szeretem a pizzát."
"pizza_3","I don't like pizza.","Nem szeretem a pizzát."
"pizza_4","I want to eat pizza.","Pizzát akarok enni."
"pizza_5","Can you cook pizza for me?","Tudsz nekem pizzát főzni?"
"pizza_6","Can we order pizza?","Megrendelhetünk pizzát?"
"cheese","Cheese","Sajt"
"cheese_2","I like cheese.","Szeretem a sajtot."
"cheese_3","I don't like cheese.","Nem szeretem a sajtot."
"cheese_4","I want to eat cheese.","Sajt akarok enni."
"ice-cream","Ice cream","Jégkrém"
"ice-cream_2","I like ice cream.","Szeretem a jégkrémet."
"ice-cream_3","I don't like ice cream.","Nem szeretem a fagylaltot."
"ice-cream_4","I want to eat ice cream.","Fagylaltot akarok enni."
"ice-cream_5","Can you buy ice cream for me?","Vásárolhat nekem fagylaltot?"
"tea","Tea","Tea"
"tea_2","I like tea.","Szeretem a teát."
"tea_3","I don't like tea.","Nem szeretem a teát."
"tea_4","I want to drink tea.","Teát akarok inni."
"tea_5","Can you make tea for me?","Tudsz teát csinálni nekem?"
"coffee","Coffee","Kávé"
"coffee_2","I like coffee.","Szeretem a kávét."
"coffee_3","I don't like coffee.","Nem szeretem a kávét."
"coffee_4","I want to drink coffee.","Kávét akarok inni."
"coffee_5","Can you make coffee for me?","Készíthet nekem kávét?"
"tomato","Tomato","Paradicsom"
"tomato_2","I like tomato.","Szeretem a paradicsomot."
"tomato_3","I don't like tomato.","Nem szeretem a paradicsomot."
"tomato_4","I want to eat tomato.","Paradicsomot akarok enni."
"cereal","Cereal","Gabona"
"cereal_2","I like cereal.","Szeretem a gabonaféléket."
"cereal_3","I don't like cereal.","Nem szeretem a gabonaféléket."
"cereal_4","I want to eat cereal.","Gabonaféléket akarok enni."
"cereal_5","Can you make my cereal?","Tudod készíteni a gabonaféléket?"
"burger","Burger","Burger"
"burger_2","I like burger.","Szeretem a hamburgert."
