"activities","Activities","Tevékenységek"
"burger_3","I don't like burger.","Nem szeretem a hamburgert."
"burger_4","I want to eat burger.","Hamburgert akarok enni."
"burger_5","Can you cook burger for me?","Tud főzni hamburgert nekem?"
"burger_6","Can we order burger?","Megrendelhetünk hamburgert?"
"french-fries","French fries","sult krumpli"
"french-fries_2","I like french fries.","Szeretem a sült krumplit."
"french-fries_3","I don't like french fries.","Nem szeretem a sült krumplit."
"french-fries_4","I want to eat french fries.","Enni akarok sült krumplit."
"french-fries_5","Can you cook french fries for me?","Főzhetsz nekem hasábburgonyát?"
"french-fries_6","Can we order french fries?","Megrendelhetünk hasábburgonyát?"
"spinach","Spinach","Spenót"
"spinach_2","I like spinach.","Szeretem a spenótot."
"spinach_3","I don't like spinach.","Nem szeretem a spenótot."
"spinach_4","I want to eat spinach.","Spenótot akarok enni."
"rice","Rice","Rizs"
"rice_2","I like rice.","Szeretem a rizst."
"rice_3","I don't like rice.","Nem szeretem a rizst."
"rice_4","I want to eat rice.","Rizst akarok enni."
"rice_5","Can you cook rice for me?","Főzhet nekem rizst?"
"bread","Bread","Kenyér"
"bread_2","I like bread.","Szeretem a kenyeret."
"bread_3","I don't like bread.","Nem szeretem a kenyeret."
"bread_4","I want to eat bread.","Kenyeret akarok enni."
"bread_5","Can you buy some bread?","Lehet vásárolni kenyeret?"
"pasta","Pasta","Tészta"
"pasta_2","I like pasta.","Szeretem a tésztát."
"pasta_3","I don't like pasta.","Nem szeretem a tésztát."
"pasta_4","I want to eat pasta.","Tésztát akarok enni."
"pasta_5","Can you cook pasta for me?","Főzhet nekem tésztát?"
"sauce","Sauce","Szósz"
"sauce_2","I like sauce.","Szeretem a mártást."
"sauce_3","I don't like sauce.","Nem szeretem a mártást."
"sauce_4","I want some sauce.","Szeretnék mártást."
"sauce_5","Can I have ketchup?","Lehetek ketchupot?"
"sauce_6","Can I have mayonnaise?","Lehet majonéz?"
"sauce_7","Can I have mustard?","Lehetek mustárt?"
"sauce_8","Can I have ranch sauce?","Lehetséges ranch szósz?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Szeretem a kebabot."
"kebab_3","I don't like kebab.","Nem szeretem a kebabot."
"kebab_4","I want to eat kebab.","Kebabot akarok enni."
"kebab_5","Can you cook kebab for me?","Tudsz főzni nekem kebabot?"
"kebab_6","Can we order kebab?","Megrendelhetünk kebabot?"
"numbers","Numbers","számok"
"one","One","Egy"
"one_2","One comes before two.","Az egyik kettő előtt jön."
"one_3","One comes after zero.","Az egyik nulla után jön."
"one_4","I want one.","Szeretnék egy."
"two","Two","Két"
"two_2","Two comes before three.","A kettő három előtt jön."
"two_3","Two comes after one.","Két jön az egyik után."
"two_4","I want two.","Kettőt akarok."
"three","Three","Három"
"three_2","Three comes before four.","Három jön négy előtt."
"three_3","Three comes after two.","Három jön kettő után."
"three_4","I want three.","Három akarok."
"four","Four","négy"
"four_2","Four comes before five.","Négy öt előtt jön."
"four_3","Four comes after three.","Négy jön három után."
"four_4","I want four.","Négyet akarok."
"five","Five","Öt"
"five_2","Five comes before six.","Öt érkezik hat előtt."
"five_3","Five comes after four.","Öt jön négy után."
"five_4","I want five.","Öt akarok."
"six","Six","Hat"
"six_2","Six comes before seven.","A hat hét előtt jön."
"six_3","Six comes after five.","Hat öt után jön."
"six_4","I want fix.","Javítást akarok."
"seven","Seven","hét"
"seven_2","Seven comes before eight.","Hét jön nyolc előtt."
"seven_3","Seven comes after six.","Hét jön hat után."
"seven_4","I want seven.","Hétre akarok."
"eight","Eight","Nyolc"
"eight_2","Eight comes before nine.","Nyolc eljön kilenc előtt."
"eight_3","Eight comes after seven.","Nyolc hét után jön."
"eight_4","I want eight.","Nyolcra akarok."
"nine","Nine","Kilenc"
"nine_2","Nine comes before ten.","Kilenc jön tíz előtt."
"nine_3","Nine comes after eight.","Kilenc jön nyolc után."
"nine_4","I want nine.","Kilencre akarok."
"ten","Ten","Tíz"
"ten_2","Ten comes before eleven.","Tíz tizenegy előtt jön."
"ten_3","Ten comes after nine.","Tíz kilenc után jön."
"ten_4","I want ten.","Tízet akarok."
"eleven","Eleven","Tizenegy"
"eleven_2","Eleven comes before thirteen.","Tizenegy tizenhárom előtt jön."
"eleven_3","Eleven comes after ten.","Tizenegy tíz után jön."
"eleven_4","I want eleven.","Tizenegyet akarok."
"twenty","Twenty","Húsz"
"twenty_2","I can count up to twenty.","Számolok akár húsz."
"thirty","Thirty","Harminc"
"thirty_2","I can count up to thirty.","Számíthatok akár harmincra."
"forty","Forty","Negyven"
"forty_2","I can count up to forty.","Számolok akár negyven."
"fifty","Fifty","Ötven"
"fifty_2","I can count up to fifty.","Számolok akár ötvenet."
"hundred","Hundred","Száz"
"hundred_2","I can count up to hundred.","Számolok akár száz."
"thousand","Thousand","Ezer"
"thousand_2","I can count up to thousand.","Számolok akár ezernek."
"calculator","Calculator","Számológép"
"calculator_2","I want to use a calculator.","Számológépet akarok használni."
"calculator_3","Can you teach me how to use a calculator?","Meg tudja tanítani nekem, hogyan kell használni a számológépet?"
"calculator_4","Can I barrow your calculator?","Lóghatom a számológépét?"
"people","People","Emberek"
"mother","Mother","Anya"
"mother_2","Mommy!","Mami!"
"mother_3","I love my mother.","Szeretem az anyámat."
"mother_4","I love you mom.","Szeretlek anya."
"mother_5","I miss my mom.","Hiányzik az anyukám."
"mother_6","Thank you for taking care of me.","Köszönöm, hogy vigyázott rám."
"mother_7","She is my mom.","Ő az édesanyám."
"mother_8","Can you help me find my mother?","Tudna segíteni az anyám megtalálásában?"
"father","Father","Apa"
"father_2","Daddy!","Apu!"
"father_3","I love my father.","Szeretem az apámat."
"father_4","I love you dad.","Szeretlek apa."
"father_5","I miss my dad.","Hiányzik az apukám."
"father_6","Thank you for taking care of me.","Köszönöm, hogy vigyázott rám."
"father_7","He is my dad.","Ő az apukám."
"father_8","Can you help me find my father?","Tudna segíteni az apám megtalálásában?"
"parents","Parents","A szülők"
"parents_2","I love my parents.","Szeretem a szüleimet."
"parents_3","I love my parents.","Szeretem a szüleimet."
"parents_4","I miss my parents.","Hiányzik a szüleim."
"parents_5","They are my parents.","Ők a szüleim."
"parents_6","My parents are taking care of me.","A szüleim törődnek velem."
"parents_8","Can you help me find my parents?","Tudna segíteni a szüleim megtalálásában?"
"grandparents","Grandparents","Nagyszülők"
"grandparents_2","I love my grandparents.","Szeretem a nagyszüleimet."
"grandparents_3","I love you grandparents.","Szeretlek nagyszülők."
"grandparents_4","I miss my grandparents.","Hiányzik a nagyszüleim."
"grandparents_5","They are my grandparents.","Ők a nagyszüleim."
"grandparents_6","My grandparents are taking care of me.","Nagyszüleim vigyáznak rám."
"grandparents_8","Can you help me find my grandparents?","Tudna segíteni a nagyszüleim megtalálásában?"
"brother","Brother","fiú testvér"
"brother_2","I love my brother.","Szeretem a testvéremet."
"brother_3","I love you brother.","Szeretlek testvérem."
"brother_4","I miss my brother.","Hiányzik a bátyám."
"brother_5","He is my brother.","Ő az én testvérem."
"brother_6","My brother is taking care of me.","A bátyám vigyáz rám."
"brother_8","Can you help me find my brother?","Tudna segíteni a testvérem megtalálásában?"
"sister","Sister","lánytestvér"
"sister_2","I love my sister.","Szeretem a nővéremet."
"sister_3","I love you sister.","Szeretlek hugi."
"sister_4","I miss my sister.","Hiányzik a nővérem."
"sister_5","She is my sister.","Ő a nővérem."
"sister_6","My sister is taking care of me.","A nővérem vigyáz rám."
"sister_8","Can you help me find my sister?","Tudna segíteni a nővérem megtalálásában?"
"uncle","Uncle","Nagybácsi"
"uncle_2","I love my uncle.","Szeretem a nagybátyám."
"uncle_3","I love you uncle.","Szeretlek nagybátyám."
"uncle_4","I miss my uncle.","Hiányzik a nagybátyám."
"uncle_5","He is my uncle.","Ő a nagybátyám."
"uncle_8","Can you help me find my uncle?","Tudna segíteni nekem a nagybátyám megtalálásában?"
"aunt","Aunt","Néni"
"aunt_2","I love my aunt.","Imádom a nagynéném."
"aunt_3","I love you aunt.","Szeretlek néni."
"aunt_4","I miss my aunt.","Hiányzik a nagynéném."
"aunt_5","She is my aunt.","Ő a nagynéném."
"aunt_8","Can you help me find my aunt?","Tudna segíteni a nagynéném megtalálásában?"
"teacher","Teacher","Tanár"
"teacher_2","I love my teacher.","Imádom a tanáromat."
"teacher_3","I love you teacher.","Szeretlek tanár."
"teacher_4","I don't like my teacher.","Nem szeretem a tanárt."
"teacher_5","I miss my teacher.","Hiányzik a tanárom."
"teacher_6","Thank you for the lesson.","Köszönöm a leckét."
"therapist","Therapist","gyógyász"
"therapist_2","I love my therapist.","Szeretem a terapeutamat."
"therapist_3","I love you therapist.","Szeretlek terapeuta."
"therapist_4","I don't like my therapist.","Nem szeretem a terapeutamat."
"therapist_5","I miss my therapist.","Hiányzik a terapeutam."
"therapist_6","Thank you for the session.","Köszönöm az ülést."
"doctor","Doctor","Orvos"
"doctor_2","I love my doctor.","Imádom az orvosomat."
"doctor_3","I love you doctor.","Szeretlek orvos."
"doctor_4","I don't like my doctor.","Nem szeretem az orvosomat."
"doctor_5","I miss my doctor.","Hiányzik az orvosom."
"doctor_6","Thank you for healing me.","Köszönöm, hogy meggyógyítottál."
"friends","Friends","barátok"
"friends_2","I love my friends.","Szeretem a barátaimat."
"friends_3","Do you want to be my friend?","Akarsz a barátom lenni?"
"friends_4","I don't like my friends.","Nem szeretem a barátaimat."
"friends_5","I miss my friends.","Hiányoznak a barátaim."
"friends_6","They are my friends.","Ők a barátaim."
"friends_7","Thank you for playing with me.","Köszönöm, hogy velem játszik."
"cousins","Cousins","cousins"
"cousins_2","I love my cousins.","Imádom az unokatestvéreimet."
"cousins_3","I don't have cousins.","Nincsenek unokatestvéreim."
"cousins_4","I miss my cousins.","Hiányzik az unokatestvéreim."
"cousins_5","They are my cousins.","Ők az unokatestvéreim."
"grandmother","Grandmother","Nagymama"
"grandmother_2","I love my grandmother.","Szeretem a nagymamám."
"grandmother_3","I love you grandma.","Szeretlek nagymama."
"grandmother_4","I miss my grandma.","Hiányzik a nagymamám."
"grandmother_5","She is my grandma.","Ő a nagymamám."
"grandfather","Grandfather","Nagyapa"
"grandfather_2","I love my grandfather.","Szeretem a nagyapámat."
"grandfather_3","I love you grandpa.","Szeretlek nagypapa."
"grandfather_4","I miss my grandpa.","Hiányzik a nagyapám."
"grandfather_5","He is my grandpa.","Ő a nagypapa."
"stepfather","Stepfather","Mostohaapa"
"stepfather_2","I love my stepfather.","Szeretem a mostohanapám."
"stepfather_3","He is my stepfather.","Ő a mostohanapám."
"stepfather_4","I miss my stepfather.","Hiányzik a mostohaapám."
"stepfather_5","He is my stepfather.","Ő a mostohanapám."
"stepmother","Stepmother","Mostohaanya"
"stepmother_2","I love my stepmother.","Szeretem a mostohaanyámat."
"stepmother_3","She is my stepmother.","Ő a mostohaanyám."
"stepmother_4","I miss my stepmother.","Hiányzik a mostohaanyám."
"stepmother_5","She is my stepmother.","Ő a mostohaanyám."
"stepsister","Stepsister","Mostohanővér"
"stepsister_2","I love my stepsister.","Imádom mostohanővérem."
"stepsister_3","She is my stepsister.","Ő a mostohanővérem."
"stepsister_4","I miss my stepsister.","Hiányzik mostohanővérem."
"stepsister_5","She is my stepsister.","Ő a mostohanővérem."
"stepbrother","Stepbrother","Mostoha testvér"
"stepbrother_2","I love my stepbrother.","Imádom mostohanyámat."
"stepbrother_3","He is my stepbrother.","Ő a mostohatestvérem."
"stepbrother_4","I miss my stepbrother.","Hiányzik a mostohatestvérem."
"stepbrother_5","He is my stepbrother.","Ő a mostohatestvérem."
"half-brother","Half brother","Féltestvér"
"half-brother_2","I love my half brother.","Szeretem a testvérem."
"half-brother_3","He is my half brother.","Ő a féltestvérem."
"half-brother_4","I miss my half brother.","Hiányzik a testvérem."
"half-brother_5","He is my half brother.","Ő a féltestvérem."
"half-sister","Half sister","Féltestvér"
"half-sister_2","I love my half sister.","Szeretem a testvérem."
"half-sister_3","She is my half sister.","Ő a testvérem."
"half-sister_4","I miss my half sister.","Hiányzik a testvérem."
"half-sister_5","She is my half sister.","Ő a testvérem."
"quarantine","Quarantine","Karantén"
"protective-mask","Protective mask","Védő maszk"
"stay-home","Stay home","Otthon maradni"
"toilet-paper","Toilet paper","Vécé papír"
"sprayer","Sprayer","Permetező"
"disinfectant","Disinfectant","Fertőtlenítő"
"thermometer","Thermometer","Hőmérő"
"coughing","Coughing","Köhögés"
"medical-assistance","Medical assistance","Orvosi ellátás"
"hand-sanitizer","Hand sanitizer","Kézfertőtlenítő"
"gloves","Gloves","kesztyű"
"social-distancing","Social distancing","Társadalmi távolságtartás"
"mouth-mask","Mouth mask","Szájmaszk"
"pandemic","Pandemic","Világjárvány"
"working-at-home","Working at home","Otthon dolgozik"
"wet-wipes","Wet wipes","Nedves törlőkendők"
"first-aid-kit","First aid kit","Elsősegély csomag"
"fitness","Fitness","alkalmasság"
"e-learning","E-learning","E-learning"
"virus","Virus","Vírus"
"cleaning","Cleaning","Tisztítás"
"school","School","Iskola"
"desk","Desk","Asztal"
"desk_2","Can I use this desk?","Használhatom ezt az íróasztalot?"
"desk_3","Which desk is mine?","Melyik asztal van az enyém?"
"desk_4","I spilled on my desk.","Kiömlött az asztalomra."
"desk_5","Don't scratch your desk.","Ne karcolja meg az asztalát."
"chair","Chair","Szék"
"chair_2","Can I sit with you?","Ülhetek veled?"
"chair_3","Which chair is mine?","Melyik szék az enyém?"
"chair_4","Is this chair taken?","Fogják ezt a széket?"
"chair_5","I spilled on my chair.","Kiömlött a székemre."
"book","Book","Könyv"
"book_2","Textbook","Tankönyv"
"book_3","Workbook","Munkafüzet"
"book_4","Reading a book.","Könyvet olvas."
"book_5","Can I borrow your book?","Kölcsönkérhetem a könyved?"
"book_6","Which page are we at?","Melyik oldalon vagyunk?"
"book_7","Flip the page.","Fordítsa meg az oldalt."
"book_8","I lost my book.","Elvesztettem a könyvemet."
"notebook","Notebook","Jegyzetfüzet"
"notebook_2","Taking notes.","Jegyzetel."
"notebook_3","I'm taking notes.","Jegyzeteket készítek."
"notebook_4","I lost my notebook.","Elvesztettem a notebookomat."
"backpack","Backpack","Hátizsák"
"backpack_2","Carrying my backpack.","A hátizsákomat hordom."
"backpack_3","Putting my books in my backpack.","A könyvemet a hátizsákomba helyezem."
"backpack_4","I need a new backpack.","Új hátizsákra van szükségem."
"backpack_5","Thank you for carrying my backpack.","Köszönöm, hogy hordtam a hátizsákomat."
"backpack_6","I lost my backpack.","Elvesztettem a hátizsákomat."
"backpack_7","My backpack is heavy.","A hátizsákom nehéz."
"blackboard","Blackboard","iskolai tábla"
"blackboard_2","Look at the blackboard.","Nézd meg a táblát."
"blackboard_3","Cleaning the blackboard.","A tábla tisztítása."
"blackboard_4","Solving the problem on the blackboard.","A tábla megoldása."
"blackboard_5","Taking note on the blackboard.","Megjegyzés: a táblára."
"blackboard_6","Give me a chalk.","Adj nekem egy krétát."
"teacher_7","I don't like this topic.","Nem szeretem ezt a témát."
"teacher_8","Thank you for the lesson.","Köszönöm a leckét."
"school-bus","School bus","Iskolabusz"
"school-bus_2","School bus is coming.","Iskolabusz jön."
"school-bus_3","Can I sit next to you?","Ülhetek melletted?"
"school-bus_4","Thank you bus driver!","Köszönöm buszsofőr!"
"school-bus_5","School bus was late.","Az iskolabusz késett."
"pencil","Pencil","Ceruza"
"pencil_2","I'm writing.","Írok."
"pencil_3","I'm learning to write.","Tanulok írni."
"pencil_4","I need a new pencil.","Új ceruzára van szükségem."
"pencil_5","Can I borrow your pencil?","Kölcsönkérhetem a ceruzád?"
"pencil_6","I lost my pencil.","Elvesztettem a ceruza."
"eraser","Eraser","Radír"
"eraser_2","I'm erasing.","Kitörölöm."
"eraser_3","I need a new eraser.","Új radírra van szükségem."
"eraser_4","Can I borrow your eraser?","Kölcsön tudom venni a radírot?"
"eraser_5","I lost my eraser.","Elvesztettem a radírot."
"ruler","Ruler","Vonalzó"
"ruler_2","I'm measuring.","Mérlek."
"ruler_3","I need a new ruler.","Új vonalzóra van szükségem."
"ruler_4","Can I borrow your ruler?","Kölcsön tudom venni az uralkodót?"
"ruler_5","I lost my ruler.","Elvesztettem az uralkodómat."
"sharpener","Sharpener","Élesítő"
"sharpener_2","I'm sharpening my pencil.","Élezem a ceruzaomat."
"sharpener_3","I need a new sharpener.","Új hegyezőre van szükségem."
"sharpener_4","Can I borrow your sharpener?","Kölcsön tudom venni a hegyeződet?"
"sharpener_5","I lost my sharpener.","Elvesztettem az élezőm."
"mathematics","Mathematics","Matematika"
"mathematics_2","I like mathematics.","Szeretem a matematikát."
"mathematics_3","I want to study mathematics.","Matematikát akarok tanulni."
"mathematics_4","I don't like mathematics.","Nem szeretem a matematikát."
"mathematics_5","When is mathematics class?","Mikor van a matematika osztály?"
"mathematics_6","Can you help me with my mathematics homework?","Segíthetsz nekem a matematikai házi feladatomban?"
"literature","Literature","Irodalom"
"literature_2","I like literature.","Szeretem az irodalmat."
"literature_3","I want to study literature.","Tanulni akarok irodalmat."
"literature_4","I don't like literature.","Nem szeretem az irodalmat."
"literature_5","When is literature class?","Mikor van az irodalom órája?"
"literature_6","Can you help me with my literature homework?","Segíthet nekem az irodalmi házi feladatomban?"
"science","Science","Tudomány"
"science_2","I like science.","Szeretem a tudományt."
"science_3","I want to study science.","Tudományt akarok tanulni."
"science_4","I don't like science.","Nem szeretem a tudományt."
"science_5","When is science class?","Mikor van a tudományos osztály?"
"science_6","Can you help me with my science homework?","Segíthetsz nekem a tudományos házi feladatomban?"
"art-class","Art class","Rajz óra"
"art-class_2","I like art class.","Szeretem a művészeti órát."
"art-class_3","I want to practice art skills.","A művészeti készségeket akarom gyakorolni."
"art-class_4","I don't like art class.","Nem szeretem a művészeti órát."
"art-class_5","When is art class?","Mikor van a művészeti osztály?"
"art-class_6","Can you help me with my art class homework?","Segíthetsz nekem a művészeti osztály házi feladatában?"
"music-class","Music class","Zene óra"
"music-class_2","I like music class.","Szeretem a zene órát."
"music-class_3","I want to practice music skills.","Gyakorolni szeretnék a zenei készségeket."
"music-class_4","I don't like music class.","Nem szeretem a zene órát."
"music-class_5","When is music class?","Mikor van a zenei osztály?"
"music-class_6","Can you help me with my music class homework?","Segíthetsz nekem a zenei osztály házi feladatomban?"
"geography","Geography","Földrajz"
"geography_2","I like geography.","Szeretem a földrajzot."
"geography_3","I want to study geography.","Földrajzot akarok tanulni."
"geography_4","I don't like geography.","Nem szeretem a földrajzot."
"geography_5","When is geography?","Mikor van a földrajz?"
"geography_6","Can you help me with my geography homework?","Segíthetsz nekem a földrajzi házi feladatomban?"
"telescope","Telescope","Távcső"
"telescope_2","I'm using the telescope.","A távcsövet használom."
"telescope_3","I want to use the telescope.","A távcsövet akarom használni."
"telescope_4","I want to look at the stars.","Nézni akarom a csillagokat."
"glue","Glue","Ragasztó"
"glue_2","I'm using glue.","Ragasztót használok."
"glue_3","I need a new glue.","Új ragasztóra van szükségem."
"glue_4","Can I borrow your glue?","Kölcsön tudom kölcsönözni a ragasztódat?"
"glue_5","I lost my glue.","Elvesztettem a ragasztómat."
"shapes","Shapes","alakzatok"
"circle","Circle","Kör"
"circle_2","This is circle shaped.","Ez kör alakú."
"circle_3","Can you teach me how to draw a circle?","Meg tudnál tanítani egy kör rajzolására?"
"triangle","Triangle","Háromszög"
"triangle_2","This is triangle shaped.","Ez háromszög alakú."
"triangle_3","Can you teach me how to draw a triangle?","Meg tudsz tanítani nekem, hogyan kell rajzolni egy háromszöget?"
"square","Square","Négyzet"
"square_2","This is square shaped.","Ez négyzet alakú."
"square_3","Can you teach me how to draw a square?","Meg tudsz tanítani nekem, hogyan kell rajzolni egy négyzetet?"
"rectangle","Rectangle","Téglalap"
"rectangle_2","This is rectangle shaped.","Ez téglalap alakú."
"rectangle_3","Can you teach me how to draw a rectangle?","Meg tudnál tanítani téglalap rajzolását?"
"star","Star","Csillag"
"star_2","This is star shaped.","Ez csillag alakú."
"star_3","Can you teach me how to draw a star?","Meg tudnál tanítani egy csillag rajzolására?"
"pentagon","Pentagon","Pentagon"
"pentagon_2","This is pentagon shaped.","Ez ötszög alakú."
"pentagon_3","Can you teach me how to draw a pentagon?","Meg tudnál tanítani, hogyan kell rajzolni egy ötszöget?"
"hexagon","Hexagon","Hatszög"
"hexagon_2","This is hexagon shaped.","Ez hatszög alakú."
"hexagon_3","Can you teach me how to draw a hexagon?","Meg tudnál tanítani hatszög rajzolására?"
"cross","Cross","Kereszt"
"cross_2","This is cross shaped.","Ez kereszt alakú."
"cross_3","Can you teach me how to draw a cross?","Meg tudsz tanítani nekem, hogyan kell rajzolni a keresztet?"
"ellipse","Ellipse","Ellipszis"
"ellipse_2","This is ellipse shaped.","Ez ellipszis alakú."
"ellipse_3","Can you teach me how to draw a ellipse?","Meg tudnál tanítani, hogyan kell rajzolni egy ellipszist?"
"arrow","Arrow","Nyíl"
"arrow_2","This is arrow shaped.","Ez nyíl alakú."
"arrow_3","Can you teach me how to draw a arrow?","Meg tudnál tanítani, hogyan kell rajzolni egy nyíl?"
"crescent","Crescent","Félhold"
"crescent_2","This is crescent shaped.","Ez félhold alakú."
"crescent_3","Can you teach me how to draw a crescent?","Meg tudsz tanítani nekem, hogyan kell felhívni a félholdot?"
"heart","Heart","Szív"
"heart_2","This is heart shaped.","Ez szív alakú."
"heart_3","Can you teach me how to draw a heart?","Meg tudsz tanítani nekem, hogyan kell felhívni a szívet?"
"rhombus","Rhombus","Rombusz"
"rhombus_2","This is rhombus shaped.","Ez rombusz alakú."
"rhombus_3","Can you teach me how to draw a rhombus?","Meg tudnál tanítani rombusz rajzolására?"
"ring","Ring","Gyűrű"
"ring_2","This is ring shaped.","Ez gyűrű alakú."
"ring_3","Can you teach me how to draw a ring?","Meg tudnál tanítani, hogyan kell rajzolni egy gyűrűt?"
"semicircle","Semicircle","Félkör"
"semicircle_2","This is semicircle shaped.","Ez félkör alakú."
"semicircle_3","Can you teach me how to draw a semicircle?","Meg tudnád tanítani, hogyan kell rajzolni egy félkört?"
"trapezoid","Trapezoid","trapéz"
"trapezoid_2","This is trapezoid shaped.","Ez trapéz alakú."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Meg tudsz tanítani nekem, hogyan kell rajzolni egy trapézot?"
"cube","Cube","Kocka"
"cube_2","This is cube shaped.","Ez kocka alakú."
"cube_3","Can you teach me how to draw a cube?","Meg tudnál tanítani egy kocka rajzolását?"
"cylinder","Cylinder","Henger"
"cylinder_2","This is cylinder shaped.","Ez henger alakú."
"cylinder_3","Can you teach me how to draw a cylinder?","Meg tudsz tanítani nekem, hogyan kell rajzolni a hengert?"