"activities","Activities","Kegiatan"
"cereal_5","Can you make my cereal?","Bisakah Anda membuat sereal saya?"
"burger","Burger","Burger"
"burger_2","I like burger.","Saya suka burger."
"burger_3","I don't like burger.","Saya tidak suka burger."
"burger_4","I want to eat burger.","Saya ingin makan burger."
"burger_5","Can you cook burger for me?","Bisakah kamu memasak burger untukku?"
"burger_6","Can we order burger?","Bisakah kita memesan burger?"
"french-fries","French fries","kentang goreng"
"french-fries_2","I like french fries.","Aku suka kentang goreng."
"french-fries_3","I don't like french fries.","Saya tidak suka kentang goreng."
"french-fries_4","I want to eat french fries.","Saya ingin makan kentang goreng."
"french-fries_5","Can you cook french fries for me?","Bisakah Anda memasak kentang goreng untuk saya?"
"french-fries_6","Can we order french fries?","Bisakah kita memesan kentang goreng?"
"spinach","Spinach","bayam"
"spinach_2","I like spinach.","Saya suka bayam."
"spinach_3","I don't like spinach.","Saya tidak suka bayam."
"spinach_4","I want to eat spinach.","Saya ingin makan bayam."
"rice","Rice","Nasi"
"rice_2","I like rice.","Saya suka nasi."
"rice_3","I don't like rice.","Saya tidak suka nasi."
"rice_4","I want to eat rice.","Saya ingin makan nasi."
"rice_5","Can you cook rice for me?","Bisakah kamu memasak nasi untukku?"
"bread","Bread","Roti"
"bread_2","I like bread.","Saya suka roti."
"bread_3","I don't like bread.","Saya tidak suka roti."
"bread_4","I want to eat bread.","Saya ingin makan roti."
"bread_5","Can you buy some bread?","Bisakah kamu membeli roti?"
"pasta","Pasta","Semacam spageti"
"pasta_2","I like pasta.","Saya suka pasta."
"pasta_3","I don't like pasta.","Saya tidak suka pasta."
"pasta_4","I want to eat pasta.","Saya ingin makan pasta."
"pasta_5","Can you cook pasta for me?","Bisakah kamu memasak pasta untukku?"
"sauce","Sauce","saus"
"sauce_2","I like sauce.","Saya suka saus."
"sauce_3","I don't like sauce.","Saya tidak suka saus."
"sauce_4","I want some sauce.","Saya mau saus."
"sauce_5","Can I have ketchup?","Bisakah saya memiliki kecap?"
"sauce_6","Can I have mayonnaise?","Bisakah saya makan mayones?"
"sauce_7","Can I have mustard?","Bisakah saya makan mustard?"
"sauce_8","Can I have ranch sauce?","Bisakah saya punya saus peternakan?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Saya suka kebab."
"kebab_3","I don't like kebab.","Saya tidak suka kebab."
"kebab_4","I want to eat kebab.","Saya ingin makan kebab."
"kebab_5","Can you cook kebab for me?","Bisakah kamu memasak kebab untukku?"
"kebab_6","Can we order kebab?","Bisakah kita memesan kebab?"
"numbers","Numbers","Angka"
"one","One","Satu"
"one_2","One comes before two.","Satu datang sebelum dua."
"one_3","One comes after zero.","Satu datang setelah nol."
"one_4","I want one.","Saya ingin satu."
"two","Two","Dua"
"two_2","Two comes before three.","Dua datang sebelum tiga."
"two_3","Two comes after one.","Dua datang setelah satu."
"two_4","I want two.","Saya mau dua."
"three","Three","Tiga"
"three_2","Three comes before four.","Tiga datang sebelum empat."
"three_3","Three comes after two.","Tiga datang setelah dua."
"three_4","I want three.","Saya mau tiga."
"four","Four","Empat"
"four_2","Four comes before five.","Empat datang sebelum lima."
"four_3","Four comes after three.","Empat datang setelah tiga."
"four_4","I want four.","Saya mau empat."
"five","Five","Lima"
"five_2","Five comes before six.","Lima datang sebelum enam."
"five_3","Five comes after four.","Lima datang setelah empat."
"five_4","I want five.","Saya mau lima."
"six","Six","Enam"
"six_2","Six comes before seven.","Enam datang sebelum tujuh."
"six_3","Six comes after five.","Enam datang setelah lima."
"six_4","I want fix.","Saya ingin memperbaikinya."
"seven","Seven","Tujuh"
"seven_2","Seven comes before eight.","Tujuh datang sebelum delapan."
"seven_3","Seven comes after six.","Tujuh datang setelah enam."
"seven_4","I want seven.","Saya mau tujuh."
"eight","Eight","Delapan"
"eight_2","Eight comes before nine.","Delapan datang sebelum sembilan."
"eight_3","Eight comes after seven.","Delapan datang setelah tujuh."
"eight_4","I want eight.","Saya mau delapan."
"nine","Nine","Sembilan"
"nine_2","Nine comes before ten.","Sembilan datang sebelum sepuluh."
"nine_3","Nine comes after eight.","Sembilan datang setelah delapan."
"nine_4","I want nine.","Saya mau sembilan."
"ten","Ten","Sepuluh"
"ten_2","Ten comes before eleven.","Sepuluh datang sebelum sebelas."
"ten_3","Ten comes after nine.","Sepuluh datang setelah sembilan."
"ten_4","I want ten.","Saya mau sepuluh."
"eleven","Eleven","Sebelas"
"eleven_2","Eleven comes before thirteen.","Sebelas datang sebelum tiga belas."
"eleven_3","Eleven comes after ten.","Sebelas datang setelah sepuluh."
"eleven_4","I want eleven.","Saya mau sebelas."
"twenty","Twenty","Dua puluh"
"twenty_2","I can count up to twenty.","Saya bisa menghitung hingga dua puluh."
"thirty","Thirty","Tigapuluh"
"thirty_2","I can count up to thirty.","Saya bisa menghitung hingga tiga puluh."
"forty","Forty","Empatpuluh"
"forty_2","I can count up to forty.","Saya bisa menghitung hingga empat puluh."
"fifty","Fifty","Lima puluh"
"fifty_2","I can count up to fifty.","Saya bisa menghitung hingga lima puluh."
"hundred","Hundred","Ratus"
"hundred_2","I can count up to hundred.","Saya bisa menghitung hingga ratusan."
"thousand","Thousand","Ribu"
"thousand_2","I can count up to thousand.","Saya bisa menghitung hingga ribuan."
"calculator","Calculator","Kalkulator"
"calculator_2","I want to use a calculator.","Saya ingin menggunakan kalkulator."
"calculator_3","Can you teach me how to use a calculator?","Bisakah Anda mengajari saya cara menggunakan kalkulator?"
"calculator_4","Can I barrow your calculator?","Bisakah saya menyimpan kalkulator Anda?"
"people","People","Orang-orang"
"mother","Mother","Ibu"
"mother_2","Mommy!","Mama!"
"mother_3","I love my mother.","Aku sayang ibuku."
"mother_4","I love you mom.","Aku cinta kamu ibu."
"mother_5","I miss my mom.","Aku merindukan ibuku."
"mother_6","Thank you for taking care of me.","Terima kasih telah merawat saya."
"mother_7","She is my mom.","Dia adalah ibuku."
"mother_8","Can you help me find my mother?","Bisakah Anda membantu saya menemukan ibu saya?"
"father","Father","Ayah"
"father_2","Daddy!","Ayah!"
"father_3","I love my father.","Saya mencintai ayah saya."
"father_4","I love you dad.","Saya mencintaimu ayah."
"father_5","I miss my dad.","Saya merindukan ayah saya."
"father_6","Thank you for taking care of me.","Terima kasih telah merawat saya."
"father_7","He is my dad.","Dia ayahku."
"father_8","Can you help me find my father?","Bisakah Anda membantu saya menemukan ayah saya?"
"parents","Parents","Orangtua"
"parents_2","I love my parents.","Saya mencintai orang tua saya."
"parents_3","I love my parents.","Saya mencintai orang tua saya."
"parents_4","I miss my parents.","Saya rindu orang tua saya."
"parents_5","They are my parents.","Mereka adalah orang tua ku."
"parents_6","My parents are taking care of me.","Orang tua saya merawat saya."
"parents_8","Can you help me find my parents?","Bisakah Anda membantu saya menemukan orang tua saya?"
"grandparents","Grandparents","Kakek dan nenek"
"grandparents_2","I love my grandparents.","Saya suka kakek nenek saya."
"grandparents_3","I love you grandparents.","Aku mencintaimu kakek nenek."
"grandparents_4","I miss my grandparents.","Saya merindukan kakek nenek saya."
"grandparents_5","They are my grandparents.","Mereka adalah kakek nenek saya."
"grandparents_6","My grandparents are taking care of me.","Kakek nenek saya merawat saya."
"grandparents_8","Can you help me find my grandparents?","Bisakah Anda membantu saya menemukan kakek nenek saya?"
"brother","Brother","Saudara"
"brother_2","I love my brother.","Aku sayang saudara laki-lakiku."
"brother_3","I love you brother.","Aku cinta kamu saudara"
"brother_4","I miss my brother.","Aku rindu saudaraku."
"brother_5","He is my brother.","Dia adalah saudaraku."
"brother_6","My brother is taking care of me.","Adikku merawatku."
"brother_8","Can you help me find my brother?","Bisakah Anda membantu saya menemukan saudara saya?"
"sister","Sister","Saudara"
"sister_2","I love my sister.","Saya mencintai saudara perempuan saya."
"sister_3","I love you sister.","Aku cinta kamu kakak."
"sister_4","I miss my sister.","Saya rindu saudara perempuan saya."
"sister_5","She is my sister.","Dia adikku."
"sister_6","My sister is taking care of me.","Adikku merawatku."
"sister_8","Can you help me find my sister?","Bisakah Anda membantu saya menemukan saudara perempuan saya?"
"uncle","Uncle","Paman"
"uncle_2","I love my uncle.","Saya suka paman saya."
"uncle_3","I love you uncle.","Aku sayang kamu paman."
"uncle_4","I miss my uncle.","Saya merindukan paman saya."
"uncle_5","He is my uncle.","Dia adalah pamanku."
"uncle_8","Can you help me find my uncle?","Bisakah Anda membantu saya menemukan paman saya?"
"aunt","Aunt","Bibi"
"aunt_2","I love my aunt.","Saya suka bibiku."
"aunt_3","I love you aunt.","Aku mencintaimu bibi."
"aunt_4","I miss my aunt.","Aku rindu bibiku."
"aunt_5","She is my aunt.","Dia Tante ku."
"aunt_8","Can you help me find my aunt?","Bisakah kamu membantuku menemukan bibiku?"
"teacher","Teacher","Guru"
"teacher_2","I love my teacher.","Saya mencintai guruku."
"teacher_3","I love you teacher.","Aku cinta kamu guru."
"teacher_4","I don't like my teacher.","Saya tidak suka guruku."
"teacher_5","I miss my teacher.","Saya rindu guruku."
"teacher_6","Thank you for the lesson.","Terima kasih untuk pelajarannya"
"therapist","Therapist","Dokter"
"therapist_2","I love my therapist.","Saya suka terapis saya."
"therapist_3","I love you therapist.","Aku mencintaimu terapis."
"therapist_4","I don't like my therapist.","Saya tidak suka terapis saya."
"therapist_5","I miss my therapist.","Saya rindu terapis saya."
"therapist_6","Thank you for the session.","Terima kasih untuk sesi ini."
"doctor","Doctor","Dokter"
"doctor_2","I love my doctor.","Saya suka dokter saya."
"doctor_3","I love you doctor.","Aku mencintaimu dokter."
"doctor_4","I don't like my doctor.","Saya tidak suka dokter saya."
"doctor_5","I miss my doctor.","Saya merindukan dokter saya."
"doctor_6","Thank you for healing me.","Terima kasih telah menyembuhkan saya."
"friends","Friends","Teman"
"friends_2","I love my friends.","Aku menyayangi teman-temanku."
"friends_3","Do you want to be my friend?","Maukah kamu jadi temanku?"
"friends_4","I don't like my friends.","Saya tidak suka teman saya."
"friends_5","I miss my friends.","Saya merindukan teman-teman saya."
"friends_6","They are my friends.","Mereka adalah teman-temanku."
"friends_7","Thank you for playing with me.","Terima kasih telah bermain dengan saya."
"cousins","Cousins","Sepupu"
"cousins_2","I love my cousins.","Saya suka sepupu saya."
"cousins_3","I don't have cousins.","Saya tidak punya sepupu."
"cousins_4","I miss my cousins.","Saya merindukan sepupu saya."
"cousins_5","They are my cousins.","Mereka adalah sepupu saya."
"grandmother","Grandmother","Nenek"
"grandmother_2","I love my grandmother.","Saya suka nenek saya."
"grandmother_3","I love you grandma.","Aku sayang kamu nenek."
"grandmother_4","I miss my grandma.","Saya rindu nenek saya."
"grandmother_5","She is my grandma.","Dia adalah nenekku."
"grandfather","Grandfather","Kakek"
"grandfather_2","I love my grandfather.","Saya suka kakek saya."
"grandfather_3","I love you grandpa.","Aku sayang kakek."
"grandfather_4","I miss my grandpa.","Saya rindu kakek saya."
"grandfather_5","He is my grandpa.","Dia adalah kakek saya."
"stepfather","Stepfather","Ayah tiri"
"stepfather_2","I love my stepfather.","Saya suka ayah tiriku."
"stepfather_3","He is my stepfather.","Dia adalah ayah tiriku."
"stepfather_4","I miss my stepfather.","Saya merindukan ayah tiriku."
"stepfather_5","He is my stepfather.","Dia adalah ayah tiriku."
"stepmother","Stepmother","Ibu tiri"
"stepmother_2","I love my stepmother.","Saya suka ibu tiriku."
"stepmother_3","She is my stepmother.","Dia adalah ibu tiriku."
"stepmother_4","I miss my stepmother.","Saya merindukan ibu tiriku."
"stepmother_5","She is my stepmother.","Dia adalah ibu tiriku."
"stepsister","Stepsister","Saudara perempuan tiri"
"stepsister_2","I love my stepsister.","Saya suka saudara tiriku."
"stepsister_3","She is my stepsister.","Dia adalah saudara tiriku."
"stepsister_4","I miss my stepsister.","Saya rindu saudara tiriku."
"stepsister_5","She is my stepsister.","Dia adalah saudara tiriku."
"stepbrother","Stepbrother","Saudara tiri"
"stepbrother_2","I love my stepbrother.","Saya suka saudara tiriku."
"stepbrother_3","He is my stepbrother.","Dia adalah saudara tiriku."
"stepbrother_4","I miss my stepbrother.","Saya merindukan saudara tiriku."
"stepbrother_5","He is my stepbrother.","Dia adalah saudara tiriku."
"half-brother","Half brother","Setengah saudara laki-laki"
"half-brother_2","I love my half brother.","Saya suka saudara tiriku."
"half-brother_3","He is my half brother.","Dia adalah saudara tiriku."
"half-brother_4","I miss my half brother.","Saya merindukan saudara tiriku."
"half-brother_5","He is my half brother.","Dia adalah saudara tiriku."
"half-sister","Half sister","Kakak tiri"
"half-sister_2","I love my half sister.","Saya suka saudara tiriku."
"half-sister_3","She is my half sister.","Dia adalah saudara tiriku."
"half-sister_4","I miss my half sister.","Saya merindukan saudara tiriku."
"half-sister_5","She is my half sister.","Dia adalah saudara tiriku."
"quarantine","Quarantine","Karantina"
"protective-mask","Protective mask","Topeng pelindung"
"stay-home","Stay home","Tinggal di rumah"
"toilet-paper","Toilet paper","Tisu toilet"
"sprayer","Sprayer","Semprotan"
"disinfectant","Disinfectant","Desinfektan"
"thermometer","Thermometer","Termometer"
"coughing","Coughing","Batuk"
"medical-assistance","Medical assistance","Bantuan medis"
"hand-sanitizer","Hand sanitizer","Pensanitasi tangan"
"gloves","Gloves","Sarung tangan"
"social-distancing","Social distancing","Jarak sosial"
"mouth-mask","Mouth mask","Masker mulut"
"pandemic","Pandemic","Pandemi"
"working-at-home","Working at home","Bekerja di rumah"
"wet-wipes","Wet wipes","Tisu basah"
"first-aid-kit","First aid kit","Pertolongan pertama"
"fitness","Fitness","Kebugaran"
"e-learning","E-learning","E-learning"
"virus","Virus","Virus"
"cleaning","Cleaning","Pembersihan"
"school","School","Sekolah"
"desk","Desk","Meja tulis"
"desk_2","Can I use this desk?","Bisakah saya menggunakan meja ini?"
"desk_3","Which desk is mine?","Meja mana milik saya?"
"desk_4","I spilled on my desk.","Saya tumpah di meja saya."
"desk_5","Don't scratch your desk.","Jangan menggaruk meja Anda."
"chair","Chair","Kursi"
"chair_2","Can I sit with you?","Bisakah saya duduk dengan Anda?"
"chair_3","Which chair is mine?","Kursi yang mana milik saya?"
"chair_4","Is this chair taken?","Apakah kursi ini diambil?"
"chair_5","I spilled on my chair.","Saya tumpah di kursi."
"book","Book","Book"
"book_2","Textbook","Buku pelajaran"
"book_3","Workbook","Buku kerja"
"book_4","Reading a book.","Membaca buku."
"book_5","Can I borrow your book?","Bisakah saya meminjam buku Anda?"
"book_6","Which page are we at?","Di halaman mana kita?"
"book_7","Flip the page.","Balik halaman."
"book_8","I lost my book.","Saya kehilangan buku saya."
"notebook","Notebook","Buku catatan"
"notebook_2","Taking notes.","Mencatat."
"notebook_3","I'm taking notes.","Saya mencatat."
"notebook_4","I lost my notebook.","Saya kehilangan buku catatan saya."
"backpack","Backpack","Ransel"
"backpack_2","Carrying my backpack.","Membawa ranselku."
"backpack_3","Putting my books in my backpack.","Menempatkan buku-bukuku di ranselku."
"backpack_4","I need a new backpack.","Saya butuh ransel baru."
"backpack_5","Thank you for carrying my backpack.","Terima kasih telah membawa ransel saya."
"backpack_6","I lost my backpack.","Saya kehilangan ransel saya."
"backpack_7","My backpack is heavy.","Ransel saya berat."
"blackboard","Blackboard","Papan tulis"
"blackboard_2","Look at the blackboard.","Lihatlah papan tulis."
"blackboard_3","Cleaning the blackboard.","Membersihkan papan tulis."
"blackboard_4","Solving the problem on the blackboard.","Memecahkan masalah di papan tulis."
"blackboard_5","Taking note on the blackboard.","Mencatat di papan tulis."
"blackboard_6","Give me a chalk.","Beri aku kapur."
"teacher_7","I don't like this topic.","Saya tidak suka topik ini."
"teacher_8","Thank you for the lesson.","Terima kasih untuk pelajarannya"
"school-bus","School bus","Bus sekolah"
"school-bus_2","School bus is coming.","Bus sekolah akan datang."
"school-bus_3","Can I sit next to you?","Bisakah saya duduk di sebelah Anda?"
"school-bus_4","Thank you bus driver!","Sopir bus terima kasih!"
"school-bus_5","School bus was late.","Bus sekolah terlambat."
"pencil","Pencil","Pensil"
"pencil_2","I'm writing.","Saya sedang menulis."
"pencil_3","I'm learning to write.","Saya sedang belajar menulis."
"pencil_4","I need a new pencil.","Saya perlu pensil baru."
"pencil_5","Can I borrow your pencil?","Bisakah saya meminjam pensil Anda?"
"pencil_6","I lost my pencil.","Saya kehilangan pensil saya."
"eraser","Eraser","Penghapus"
"eraser_2","I'm erasing.","Saya menghapus."
"eraser_3","I need a new eraser.","Saya perlu penghapus baru."
"eraser_4","Can I borrow your eraser?","Bisakah saya meminjam penghapus Anda?"
"eraser_5","I lost my eraser.","Saya kehilangan penghapus saya."
"ruler","Ruler","Penggaris"
"ruler_2","I'm measuring.","Saya mengukur."
"ruler_3","I need a new ruler.","Saya membutuhkan penguasa baru."
"ruler_4","Can I borrow your ruler?","Bisakah saya meminjam penggaris Anda?"
"ruler_5","I lost my ruler.","Saya kehilangan penguasa saya."
"sharpener","Sharpener","Rautan"
"sharpener_2","I'm sharpening my pencil.","Saya mengasah pensil saya."
"sharpener_3","I need a new sharpener.","Saya membutuhkan rautan baru."
"sharpener_4","Can I borrow your sharpener?","Bisakah saya meminjam rautan Anda?"
"sharpener_5","I lost my sharpener.","Saya kehilangan rautan saya."
"mathematics","Mathematics","Matematika"
"mathematics_2","I like mathematics.","Saya suka matematika."
"mathematics_3","I want to study mathematics.","Saya ingin belajar matematika."
"mathematics_4","I don't like mathematics.","Saya tidak suka matematika."
"mathematics_5","When is mathematics class?","Kapan kelas matematika?"
"mathematics_6","Can you help me with my mathematics homework?","Bisakah Anda membantu saya mengerjakan PR matematika?"
"literature","Literature","literatur"
"literature_2","I like literature.","Saya suka sastra."
"literature_3","I want to study literature.","Saya ingin belajar sastra."
"literature_4","I don't like literature.","Saya tidak suka sastra."
"literature_5","When is literature class?","Kapan kelas sastra?"
"literature_6","Can you help me with my literature homework?","Bisakah Anda membantu saya dengan pekerjaan rumah literatur saya?"
"science","Science","Ilmu"
"science_2","I like science.","Saya suka sains."
"science_3","I want to study science.","Saya ingin belajar ilmu."
"science_4","I don't like science.","Saya tidak suka sains."
"science_5","When is science class?","Kapan kelas sains?"
"science_6","Can you help me with my science homework?","Bisakah Anda membantu saya dengan pekerjaan rumah sains saya?"
"art-class","Art class","Kelas seni"
"art-class_2","I like art class.","Saya suka kelas seni."
"art-class_3","I want to practice art skills.","Saya ingin melatih keterampilan seni."
"art-class_4","I don't like art class.","Saya tidak suka kelas seni."
"art-class_5","When is art class?","Kapan kelas seni?"
"art-class_6","Can you help me with my art class homework?","Bisakah Anda membantu saya mengerjakan PR kelas seni?"
"music-class","Music class","Kelas Musik"
"music-class_2","I like music class.","Saya suka kelas musik."
"music-class_3","I want to practice music skills.","Saya ingin berlatih keterampilan musik."
"music-class_4","I don't like music class.","Saya tidak suka kelas musik."
"music-class_5","When is music class?","Kapan kelas musik?"
"music-class_6","Can you help me with my music class homework?","Bisakah Anda membantu saya dengan pekerjaan rumah kelas musik saya?"
"geography","Geography","Geografi"
"geography_2","I like geography.","Saya suka geografi."
"geography_3","I want to study geography.","Saya ingin belajar geografi."
"geography_4","I don't like geography.","Saya tidak suka geografi."
"geography_5","When is geography?","Kapan geografi?"
"geography_6","Can you help me with my geography homework?","Bisakah Anda membantu saya dengan pekerjaan rumah geografi saya?"
"telescope","Telescope","Teleskop"
"telescope_2","I'm using the telescope.","Saya menggunakan teleskop."
"telescope_3","I want to use the telescope.","Saya ingin menggunakan teleskop."
"telescope_4","I want to look at the stars.","Saya ingin melihat bintang-bintang."
"glue","Glue","Lem"
"glue_2","I'm using glue.","Saya menggunakan lem."
"glue_3","I need a new glue.","Saya perlu lem baru."
"glue_4","Can I borrow your glue?","Bisakah saya meminjam lem Anda?"
"glue_5","I lost my glue.","Saya kehilangan lem."
"shapes","Shapes","Bentuk"
"circle","Circle","Lingkaran"
"circle_2","This is circle shaped.","Ini berbentuk lingkaran."
"circle_3","Can you teach me how to draw a circle?","Bisakah Anda mengajari saya cara menggambar lingkaran?"
"triangle","Triangle","Segi tiga"
"triangle_2","This is triangle shaped.","Ini berbentuk segitiga."
"triangle_3","Can you teach me how to draw a triangle?","Bisakah Anda mengajari saya cara menggambar segitiga?"
"square","Square","Kotak"
"square_2","This is square shaped.","Ini berbentuk persegi."
"square_3","Can you teach me how to draw a square?","Bisakah Anda mengajari saya cara menggambar persegi?"
"rectangle","Rectangle","Empat persegi panjang"
"rectangle_2","This is rectangle shaped.","Ini berbentuk persegi panjang."
"rectangle_3","Can you teach me how to draw a rectangle?","Bisakah Anda mengajari saya cara menggambar persegi panjang?"
"star","Star","Bintang"
"star_2","This is star shaped.","Ini berbentuk bintang."
"star_3","Can you teach me how to draw a star?","Bisakah Anda mengajari saya cara menggambar bintang?"
"pentagon","Pentagon","Segi lima"
"pentagon_2","This is pentagon shaped.","Ini berbentuk pentagon."
"pentagon_3","Can you teach me how to draw a pentagon?","Bisakah Anda mengajari saya cara menggambar pentagon?"
"hexagon","Hexagon","Segi enam"
"hexagon_2","This is hexagon shaped.","Ini berbentuk segi enam."
"hexagon_3","Can you teach me how to draw a hexagon?","Bisakah Anda mengajari saya cara menggambar segi enam?"
"cross","Cross","Menyeberang"
"cross_2","This is cross shaped.","Ini berbentuk salib."
"cross_3","Can you teach me how to draw a cross?","Bisakah Anda mengajari saya cara menggambar salib?"
"ellipse","Ellipse","Elips"
"ellipse_2","This is ellipse shaped.","Ini berbentuk elips."
"ellipse_3","Can you teach me how to draw a ellipse?","Bisakah Anda mengajari saya cara menggambar elips?"
"arrow","Arrow","Panah"
"arrow_2","This is arrow shaped.","Ini berbentuk panah."
"arrow_3","Can you teach me how to draw a arrow?","Bisakah Anda mengajari saya cara menggambar panah?"
"crescent","Crescent","Sabit"
"crescent_2","This is crescent shaped.","Ini berbentuk bulan sabit."
"crescent_3","Can you teach me how to draw a crescent?","Bisakah Anda mengajari saya cara menggambar bulan sabit?"
"heart","Heart","Jantung"
"heart_2","This is heart shaped.","Ini berbentuk hati."
"heart_3","Can you teach me how to draw a heart?","Bisakah Anda mengajari saya cara menggambar hati?"
"rhombus","Rhombus","Belah ketupat"
"rhombus_2","This is rhombus shaped.","Ini berbentuk belah ketupat."
"rhombus_3","Can you teach me how to draw a rhombus?","Bisakah Anda mengajari saya cara menggambar belah ketupat?"
"ring","Ring","Cincin"
"ring_2","This is ring shaped.","Ini berbentuk cincin."
"ring_3","Can you teach me how to draw a ring?","Bisakah Anda mengajari saya cara menggambar cincin?"
"semicircle","Semicircle","Setengah lingkaran"
"semicircle_2","This is semicircle shaped.","Ini berbentuk setengah lingkaran."
"semicircle_3","Can you teach me how to draw a semicircle?","Bisakah Anda mengajari saya cara menggambar setengah lingkaran?"
"trapezoid","Trapezoid","Trapesium"
"trapezoid_2","This is trapezoid shaped.","Ini berbentuk trapesium."
"trapezoid_3","Can you teach me how to draw a trapezoid?","Bisakah Anda mengajari saya cara menggambar trapesium?"
"cube","Cube","kubus"
"cube_2","This is cube shaped.","Ini berbentuk kubus."
"cube_3","Can you teach me how to draw a cube?","Bisakah Anda mengajari saya cara menggambar kubus?"
"cylinder","Cylinder","Silinder"
"cylinder_2","This is cylinder shaped.","Ini berbentuk silinder."
"cylinder_3","Can you teach me how to draw a cylinder?","Bisakah Anda mengajari saya cara menggambar silinder?"