"activities","Activities","गतिविधिहरू"
"walking","Walking","हिड्दै"
"walking_2","I like walking","मलाई हिंड्न मन पर्छ"
"walking_3","I don't like walking","मलाई हिंड्न मन परेन"
"walking_4","Do you want to walk together?","के तपाई सँगै हिड्न चाहानुहुन्छ?"
"running","Running","चालु छ"
"running_2","I like running.","मलाई दौडिन मन पर्छ।"
"running_3","I don't like running.","मलाई भाग्न मन पर्दैन।"
"running_4","Do you want to go running?","के तपाई भाग्न चाहानुहुन्छ?"
"talking","Talking","कुरा गर्दै"
"talking_2","I like talking.","मलाई बोल्न मन पर्छ।"
"talking_3","I don't like talking.","मलाई कुरा गर्न मन पर्दैन।"
"talking_4","Do you want to talk with me?","के तपाईं म संग कुरा गर्न चाहानुहुन्छ?"
"reading","Reading","पढ्दै"
"reading_2","I like reading.","मलाई पढ्न मन पर्छ।"
"reading_3","I don't like reading.","मलाई पढ्न मन पर्दैन।"
"reading_4","Do you want to read together?","के तपाई सँगै पढ्न चाहानुहुन्छ?"
"football","Football","फुटबल"
"football_2","I like playing football.","मलाई फुटबल खेल्न मन पर्छ।"
"football_3","I don't like playing football.","मलाई फुटबल खेल्न मनपर्दैन।"
"football_4","Do you want to play football?","के तपाइँ फुटबल खेल्न चाहानुहुन्छ?"
"basketball","Basketball","बास्केटबल"
"basketball_2","I like playing basketball.","मलाई बास्केटबल खेल्न मन पर्छ।"
"basketball_3","I don't like playing basketball.","मलाई बास्केटबल मनपर्दैन।"
"basketball_4","Do you want to play basketball?","के तपाई बास्केटबल खेल्न चाहानुहुन्छ?"
"swimming","Swimming","पौंडी"
"swimming_2","I like swimming.","मलाई पौडी खेल्न मन पर्छ।"
"swimming_3","I don't like swimming.","मलाई पौडी खेल्न मन पर्दैन।"
"swimming_4","Do you want to go to swimming?","के तपाइँ पौडी खेल्न जान चाहानुहुन्छ?"
"painting","Painting","चित्रकारी"
"painting_2","I like painting.","मलाई चित्रकला मन पर्छ"
"painting_3","I don't like painting.","मलाई चित्रकला मन पर्दैन।"
"painting_4","Do you want to paint together?","के तपाई सँगै रंग्न चाहानुहुन्छ?"
"drawing","Drawing","रेखाचित्र"
"drawing_2","I like drawing.","मलाई चित्रकला मन पर्छ।"
"drawing_3","I don't like drawing.","मलाई चित्रकलाइ मन पर्दैन।"
"drawing_4","Do you want to draw together?","के तपाईं सँगै चित्रित गर्न चाहानुहुन्छ?"
"cycling","Cycling","साइक्लि"
"cycling_2","I like cycling.","मलाई साइकल चलाउन मन पर्छ।"
"cycling_3","I don't like cycling.","मलाई साइकल चलाउन मन पराउँदैन।"
"cycling_4","Do you want to go cycling?","के तपाई साइकल चलाउन चाहानुहुन्छ?"
"skating","Skating","स्केटिंग"
"skating_2","I like skating.","मलाई स्केटिंग मन पर्छ।"
"skating_3","I don't like skating.","मलाई स्केटिंग मन पर्दैन।"
"skating_4","Do you want to go skating?","के तपाइँ स्केटि go जान चाहानुहुन्छ?"
"sightseeing","Sightseeing","भ्रमण"
"sightseeing_2","I like sightseeing.","मलाई घुम्न मन पर्छ।"
"sightseeing_3","I don't like sightseeing.","मलाई घुम्न मन परेन।"
"sightseeing_4","Do you want to go for sightseeing?","के तपाई भ्रमण गर्न जान चाहानुहुन्छ?"
"video-games","Video games","भिडियो खेलहरू"
"video-games_2","I like playing video games.","मलाई भिडियो गेमहरू मनपर्दछ।"
"video-games_3","I don't like playing video games.","मलाई भिडियो गेमहरू मनपर्दैन।"
"video-games_4","Do you want to play games?","के तपाइँ खेलहरू खेल्न चाहनुहुन्छ?"
"tidying","Tidying","सावधानी"
"tidying_2","I like tidying my room.","म मेरो कोठा सफा गर्न मनपराउँछु।"
"tidying_3","I don't like tidying my room.","मलाई मेरो कोठा सफा गर्न मनपर्दैन।"
"tidying_4","Can you help me tidy my room?","के तिमी मेरो कोठा सफा गर्न मद्दत गर्न सक्छौ?"
"toys","Toys","खेलौना"
"toys_2","I like toys.","मलाई खेलौना मन पर्छ।"
"toys_3","I don't like toys.","मलाई खेलौना मन पर्दैन।"
"toys_4","Do you want to play with my toys?","के तपाइँ मेरो खेलौनाहरूसँग खेल्न चाहनुहुन्छ?"
"puzzle","Puzzle","पजल"
"puzzle_2","I like solving puzzle.","मलाई पज्जल सुल्झाउन मन पर्छ।"
"puzzle_3","I don't like solving puzzle.","मलाई पज्जल सुल्झाउनु मनपर्दैन।"
"puzzle_4","Do you want to solve puzzles with me?","के तपाईं मसँग पजलहरू समाधान गर्न चाहनुहुन्छ?"
"comics","Comics","हास्य"
"comics_2","I like reading comics.","मलाई कमिक्स पढ्न मन पर्छ।"
"comics_3","I don't like reading comics.","मलाई कमिक्स पढ्न मन पर्दैन।"
"comics_4","Do you want to read comics?","के तपाई कमिकहरू पढ्न चाहानुहुन्छ?"
"chess","Chess","चेस"
"chess_2","I like playing chess.","मलाई चेस खेल्न मन पर्छ।"
"chess_3","I don't like playing chess.","मलाई चेस खेल्ने मन पर्दैन।"
"chess_4","Do you want to play chess with me?","के तिमी मसँग चेस खेल्न चाहन्छौ?"
"using-leeloo","Using Leeloo","Leeloo प्रयोग गर्दै"
"using-leeloo_2","I like using leeloo.","मलाई लेल्लो प्रयोग गर्न मन पर्छ।"
"using-leeloo_3","I don't like using leeloo.","मलाई लेल्लो प्रयोग गर्न मन पर्दैन।"
"using-leeloo_4","Can you change card packs on leeloo?","के तपाई लेलोमा कार्ड प्याकहरू परिवर्तन गर्न सक्नुहुन्छ?"
"texting","Texting","टेक्स्ट गर्दै"
"texting_2","I like texting.","मलाई टेक्स्टिंग मन पर्छ।"
"texting_3","I don't like texting.","मलाई टेक्स्टिंग मन पर्दैन।"
"knitting","Knitting","बुनाई"
"knitting_2","I like knitting.","मलाई बुनाई मन पर्छ।"
"knitting_3","I don't like knitting.","मलाई बुनाई मनपर्दैन।"
"knitting_4","I want to learn how to knit.","म कसरी बुन्ने भन्ने सिक्न चाहन्छु।"
"bowling","Bowling","बलिling"
"bowling_2","I like bowling.","मलाई बलिling मन पर्छ।"
"bowling_3","I don't like bowling.","मलाई बलिling मन पराउँदैन।"
"bowling_4","Do you want to play bowling with me?","के तपाईं मसँग बलिling खेल्न चाहनुहुन्छ?"
"watching-tv","Watching TV","टिभी हेर्दै"
"watching-tv_2","I like watching tv.","मलाई टिभी हेर्न मन पर्छ।"
"watching-tv_3","I don't like watching tv.","मलाई टिभी हेर्न मन पर्दैन।"
"watching-tv_4","Do you want to watch tv?","के तपाई टिभी हेर्न चाहानुहुन्छ?"
"fishing","Fishing","माछा मार्नु"
"fishing_2","I like fishing.","मलाई माछा पक्रन मन पर्छ।"
"fishing_3","I don't like fishing.","मलाई माछा मार्नु मनपर्दैन।"
"fishing_4","Do you want to go to fishing?","के तपाईं माछा मार्न जान चाहानुहुन्छ?"
"exercising","Exercising","व्यायाम गर्दै"
"exercising_2","I like exercising.","मलाई व्यायाम मन पर्छ।"
"exercising_3","I don't like exercising.","मलाई व्यायाम मन पर्दैन।"
"exercising_4","Do you want to exercise with me?","के तिमी मसँग व्यायाम गर्न चाहन्छौ?"
"tennis","Tennis","टेनिस"
"tennis_2","I like playing tennis.","मलाई टेनिस खेल्न मन पर्छ।"
"tennis_3","I don't like playing tennis.","मलाई टेनिस मनपर्दैन।"
"tennis_4","Do you want to play tennis with me?","के तिमी मसँग टेनिस खेल्न चाहन्छौ?"
"animals","Animals","जनावरहरू"
"cat","Cat","बिरालो"
"cat_2","I like cats.","मलाई बिरालो मन पर्छ।"
"cat_3","I saw a cat.","मैले बिरालो देखे"
"cat_4","What noise does a cat make?","बिरालोले के आवाज गर्छ?"
"cat_5","Can we get a cat as pet?","के हामी घरपालुवा जनावरको रूपमा बिरालो पाउन सक्छौ?"
"dog","Dog","कुकुर"
"dog_2","I like dog.","मलाई कुकुर मन पर्छ।"
"dog_3","I saw a dog.","मैले एउटा कुकुर देखे"
"dog_4","What noise does a dog make?","कुकुरले के गर्छ?"
"dog_5","Can we get a dog as pet?","के हामी घरपालुवा जनावरको रूपमा कुकुर पाउन सक्छौ?"
"fish","Fish","माछा"
"fish_2","I like fish.","मलाई माछा मन पर्छ।"
"fish_3","I saw a fish.","मैले माछा देखें"
"fish_4","What noise does a fish make?","माछाले के आवाज निकाल्छ?"
"fish_5","Can we get a fish as pet?","के हामी घरपालुवा जनावरको रूपमा माछा पाउँछौं?"
"rabbit","Rabbit","खरायो"
"rabbit_2","I like rabbits.","मलाई खरायो मन पर्छ।"
"rabbit_3","I saw a rabbit.","मैले एउटा खरायो देखे।"
"rabbit_4","What noise does a rabbit make?","खरायोले के गर्छ?"
"rabbit_5","Can we get a rabbit as pet?","के हामी घरपालुवा जनावरको रूपमा खरायो पाउन सक्छौं?"
"butterfly","Butterfly","तितली"
"butterfly_2","I like butterflies.","मलाई पुतली मन पर्छ।"
"butterfly_3","I saw a butterfly.","मैले पुतली देखें।"
"butterfly_4","What noise does a butterfly make?","पुतलीले कस्तो आवाज निकाल्छ?"
"kangaroo","Kangaroo","Kangaroo"
"kangaroo_2","I like kangaroos.","मलाई कंगारु मन पर्छ।"
"kangaroo_3","I saw a kangaroo.","मैले कang्गारू देखे"
"kangaroo_4","What noise does a kangaroo make?","कang्गारूले कस्तो आवाज निकाल्छ?"
"turtle","Turtle","कछुवा"
"turtle_2","I like turtles.","मलाई कछुवा मन पर्छ।"
"turtle_3","I saw a turtle.","मैले कछुवा देखे।"
"turtle_4","What noise does a turtle make?","कछुवाले के गर्छ?"
"giraffe","Giraffe","जिराफ"
"giraffe_2","I like giraffes.","मलाई जिराफ मन पर्छ।"
"giraffe_3","I saw a giraffe.","मैले जिराफ देखे"
"giraffe_4","What noise does a giraffe make?","जिराफले कस्तो आवाज निकाल्छ?"
"frog","Frog","भ्यागुतो"
"frog_2","I like frogs.","मलाई भ्यागुता मन पर्छ।"
"frog_3","I saw a frog.","मैले भ्यागुता देखेको छु।"
"frog_4","What noise does a frog make?","भ्यागुतोले के गर्छ?"
"swan","Swan","हंस"
"swan_2","I like swans.","मलाई हंस मन पर्छ।"
"swan_3","I saw a swan.","मैले हंस देख्यो।"
"swan_4","What noise does a swan make?","हंसले के गर्छ?"
"spider","Spider","माकुरो"
"spider_2","I like spiders.","मलाई माकुरो मन पर्छ।"
"spider_3","I saw a spider.","मैले एउटा माकुरो देखे।"
"spider_4","What noise does a spider make?","माकुरोले कस्तो आवाज निकाल्छ?"
"cow","Cow","गाई"
"cow_2","I like cows.","मलाई गाई मन पर्छ।"
"cow_3","I saw a cow.","मैले एउटा गाई देखें।"
"cow_4","What noise does a cow make?","गाईले कस्तो आवाज निकाल्छ?"
"duck","Duck","Duck"
"duck_2","I like ducks.","मलाई हाँस्न मन पर्छ"
"duck_3","I saw a duck.","मैले हावामा हेर्दा"
"duck_4","What noise does a duck make?","बतखले कस्तो आवाज निकाल्छ?"
"horse","Horse","घोडा"
"horse_2","I like horses.","मलाई घोडा मन पर्छ।"
"horse_3","I saw a horse.","मैले एउटा घोडा देखें।"
"horse_4","What noise does a horse make?","घोडाले के गर्छ?"
"chicken","Chicken","कुखुरा"
"chicken_2","I like chickens.","मलाई कुखुरा मन पर्छ।"
"chicken_3","I saw a chicken.","मैले कुखुरा देखे"
"chicken_4","What noise does a chicken make?","कुखुराले के गर्छ?"
"bee","Bee","मौरी"
"bee_2","I like bees.","मलाई मौरी लाग्छ।"
"bee_3","I saw a bee.","मैले एउटा मौरी देखें।"
"bee_4","What noise does a bee make?","माहुरीले कस्तो आवाज निकाल्छ?"
"pig","Pig","सुँगुर"
"pig_2","I like pigs.","मलाई सुँगुरहरू मन पर्छ।"
"pig_3","I saw a pig.","मैले एउटा सुँगुर देखें।"
"pig_4","What noise does a pig make?","सुँगुरले कस्तो आवाज निकाल्छ?"
"dove","Dove","डोभ"
"dove_2","I like doves.","मलाई परेवाहरू मन पर्छ।"
"dove_3","I saw a dove.","मैले ढुकुर देखे"
"dove_4","What noise does a dove make?","ढुकुरले के गर्छ?"
"crab","Crab","क्र्याब"
"crab_2","I like crabs.","मलाई केराहरु मन पर्छ।"
"crab_3","I saw a crab.","मैले एउटा क्र्याक देखे"
"crab_4","What noise does a crab make?","एउटा केकडाले के गर्छ?"
"penguin","Penguin","Penguin"
"penguin_2","I like penguins.","मलाई पेन्गुइन मन पर्छ।"
"penguin_3","I saw a penguin.","मैले एउटा पेन्गुइन देखे।"
"penguin_4","What noise does a penguin make?","पेन्गुइनले के गर्छ?"
"elephant","Elephant","हात्ती"
"elephant_2","I like elephants.","मलाई हात्ती मन पर्छ।"
"elephant_3","I saw an elephant.","मैले हात्ती देखे।"
"elephant_4","What noise does an elephant make?","हात्तीले के गर्छ?"
"zebra","Zebra","जेब्रा"
"zebra_2","I like zebras.","मलाई जेब्राज मन पर्छ।"
"zebra_3","I saw a zebra.","मैले एउटा जेब्रा देखे"
"zebra_4","What noise does a zebra make?","जेब्राले कस्तो आवाज निकाल्छ?"
"panda","Panda","पाण्डा"
"panda_2","I like pandas.","मलाई पाण्डा मन पर्छ।"
"panda_3","I saw a panda.","मैले पाण्डा देखे।"
"panda_4","What noise does a panda make?","पान्डाले के गर्छ?"
"monkey","Monkey","बाँदर"
"monkey_2","I like monkeys.","मलाई बाँदरहरू मन पर्छ।"
"monkey_3","I saw a monkey.","मैले एउटा बाँदर देखे।"
"monkey_4","What noise does a monkey make?","बाँदरले के आवाज गर्छ?"
"camel","Camel","ऊँट"
"camel_2","I like camels.","मलाई ऊँट मन पर्छ।"
"camel_3","I saw a camel.","मैले ऊँट देखे।"
"camel_4","What noise does a camel make?","ऊँटले के गर्छ?"
"mouse","Mouse","माउस"
"mouse_2","I like mice.","मलाई चूहों मन पर्छ।"
"mouse_3","I saw a mouse.","मैले एउटा माउस देखे।"
"mouse_4","What noise does a mouse make?","माउसले के आवाज गर्छ?"
"tiger","Tiger","टाइगर"
"tiger_2","I like tigers.","मलाई बाघ मन पर्छ।"
"tiger_3","I saw a tiger.","मैले एउटा बाघ देखेको थिएँ।"
"tiger_4","What noise does a tiger make?","बाघले के गर्छ?"
"jellyfish","Jellyfish","Jellyfish"
"jellyfish_2","I like jellyfishes.","मलाई जेली फिश मन पर्छ।"
"jellyfish_3","I saw a jellyfish.","मैले एक जेली फिश देखे।"
"jellyfish_4","What noise does a jellyfish make?","जेली फिशले के गर्छ?"
"crocodile","Crocodile","गोही"
"crocodile_2","I like crocodiles.","मलाई गोहीहरू मन पर्छ।"
"crocodile_3","I saw a crocodile.","मैले गोहीलाई देखे।"
"crocodile_4","What noise does a crocodile make?","गोहीले के आवाज निकाल्छ?"
"koala","Koala","कोआला"
"koala_2","I like koalas.","मलाई कोआलास मन पर्छ।"
"koala_3","I saw a koala.","मैले कोआला देखे।"
"koala_4","What noise does a koala make?","कोआलाले के गर्छ?"
"ostrich","Ostrich","अस्टीच"
"ostrich_2","I like ostriches.","मलाई शुतुरमुर्ग मन पर्छ।"
"ostrich_3","I saw an ostrich.","मैले शुतुरमुर्ग देखे"
"ostrich_4","What noise does an ostrich make?","शुतुरमुर्गले के गर्छ?"
"racoon","Racoon","राकुन"
"racoon_2","I like racoons.","मलाई राकोन्स मन पर्छ।"
"racoon_3","I saw a racoon.","मैले एक राकेट देखे।"
"racoon_4","What noise does a racoon make?","राकुनले के आवाज गर्छ?"
"bat","Bat","ब्याट"
"bat_2","I like bats.","मलाई ब्याट्स मन पर्छ।"
"bat_3","I saw a bat.","मैले बल्ल देखें।"
"bat_4","What noise does a bat make?","ब्याटले के गर्छ?"
"eagle","Eagle","ईगल"
"eagle_2","I like eagles.","मलाई चील मन पर्छ।"
"eagle_3","I saw an eagle.","मैले एउटा चील देखे।"
"eagle_4","What noise does an eagle make?","चीलले कस्तो आवाज निकाल्छ?"
"hippopotamus","Hippopotamus","हिप्पोपोटामस"
"hippopotamus_2","I like hippopotamus.","मलाई हिप्पोपोटामस मन पर्छ।"
"hippopotamus_3","I saw a hippopotamus.","मैले हिप्पोपोटामस देखेँ।"
"hippopotamus_4","What noise does a hippopotamus make?","हिप्पोपोटामसले कस्तो आवाज निकाल्छ?"
"seal","Seal","सिल"
"seal_2","I like seals.","मलाई सिलहरू मन पर्छ।"
"seal_3","I saw a seal.","मैले एउटा मोहर देखे।"
"seal_4","What noise does a seal make?","छापले के आवाज गर्छ?"
"walrus","Walrus","वालरस"
"walrus_2","I like walruses.","मलाई वालरस मन पर्छ।"
"walrus_3","I saw a walrus.","मैले एक वालरस देखे।"
"walrus_4","What noise does a walrus make?","वालरसले कस्तो आवाज निकाल्छ?"
"seahorse","Seahorse","सिहर्स"
"seahorse_2","I like seahorses.","मलाई समुद्री घोडा मन पर्छ।"
"seahorse_3","I saw a seahorse.","मैले समुद्री समुद्री किनार देखे।"
"seahorse_4","What noise does a seahorse make?","समुद्री घोडाले कस्तो हल्ला गर्छ?"
"bull","Bull","बैल"
"bull_2","I like bulls.","म गोरूहरू मन पराउँछु।"
"bull_3","I saw a bull.","मैले एउटा बैल देखें।"
"bull_4","What noise does a bull make?","साँढेले के गर्छ?"
"pelican","Pelican","पेलिकन"
"pelican_2","I like pelicans.","मलाई पेलिकन मन पर्छ।"
"pelican_3","I saw a pelican.","मैले एउटा पेलिकन देखे।"
"pelican_4","What noise does a pelican make?","पेलिकनले के आवाज निकाल्छ?"
"beaver","Beaver","बीभर"
"beaver_2","I like beavers.","मलाई बेवर्स मन पर्छ।"
"beaver_3","I saw a beaver.","मैले एक बभर देखें।"
"beaver_4","What noise does a beaver make?","बियरले कस्तो आवाज निकाल्छ?"
"goldfish","Goldfish","गोल्डफिश"
"goldfish_2","I like goldfishes.","मलाई सुनका माछा मन पर्छ।"
"goldfish_3","I saw a goldfish.","मैले सुनको माछा देखें।"
"goldfish_4","What noise does a goldfish make?","सुनहरीले के आवाज निकाल्छ?"
"goldfish_5","Can we get a goldfish as pet?","के हामी घरपालुवा जनावरको जस्तो सुनार पाउन सक्छौं?"
"rhinoceros","Rhinoceros","गैंडा"
"rhinoceros_2","I like rhinoceros.","मलाई गैंडा मनपर्छ।"
"rhinoceros_3","I saw a rhinoceros.","मैले एक गैंडा देखे।"
"rhinoceros_4","What noise does a rhinoceros make?","गैंडाले कस्तो आवाज निकाल्छ?"
"snake","Snake","साँप"
"snake_2","I like snakes.","मलाई सर्प मन पर्छ।"
"snake_3","I saw a snake.","मैले एउटा सर्प देखें।"
"snake_4","What noise does a snake make?","सर्पले के गर्छ?"
"lion","Lion","सिंह"
"lion_2","I like lions.","मलाई सिंहहरू मन पर्छ।"
"lion_3","I saw a lion.","मैले सिंह देखें।"
"lion_4","What noise does a lion make?","सिंहले कस्तो आवाज निकाल्छ?"
"squid","Squid","स्क्विड"
"squid_2","I like squids.","मलाई स्क्विड मन पर्छ।"
"squid_3","I saw a squid.","मैले एउटा स्क्विड देखे।"
"squid_4","What noise does a squid make?","एक स्क्विडले कस्तो आवाज गर्छ?"
"whale","Whale","व्हेल"
"whale_2","I like whales.","मलाई व्हेल मन पर्छ।"
"whale_3","I saw a whale.","मैले ह्वेललाई देखे"
"whale_4","What noise does a whale make?","व्हेलले कस्तो आवाज निकाल्छ?"
"beetle","Beetle","बीटल"
"beetle_2","I like beetles.","मलाई बीटलहरू मन पर्छ।"
"beetle_3","I saw a beetle.","मैले बीटल देखे।"
"beetle_4","What noise does a beetle make?","बीटलले के आवाज गर्छ?"
"dolphin","Dolphin","डल्फिन"
"dolphin_2","I like dolphins.","मलाई डल्फिन मन पर्छ।"
"dolphin_3","I saw a dolphin.","मैले एउटा डल्फिन देखे"
"dolphin_4","What noise does a dolphin make?","एक डल्फिनले के गर्छ?"
"starfish","Starfish","स्टारफिस"
"starfish_2","I like starfishes.","मलाई स्टारफिसहरू मन पर्छ।"
"starfish_3","I saw a starfish.","मैले एउटा स्टारफिस देखेको थिएँ।"
"starfish_4","What noise does a starfish make?","एक स्टारफिसले के गर्छ?"
"parakeet","Parakeet","प्याराकीट"
"parakeet_2","I like parakeets.","मलाई प्याराकीट मन पर्छ।"
"parakeet_3","I saw a parakeet.","मैले एउटा प्याराकीट देखें"
"parakeet_4","What noise does a parakeet make?","एक प्याराकीटले कस्तो आवाज गर्छ?"
"owl","Owl","उल्लू"
"owl_2","I like owls.","मलाई उल्लू मन पर्छ।"
"owl_3","I saw an owl.","मैले एउटा उल्लू देखें।"
"owl_4","What noise does an owl make?","उल्लूले के गर्छ?"
"sheep","Sheep","भेडा"
"sheep_2","I like sheeps.","मलाई भेडा मन पर्छ।"
"sheep_3","I saw a sheep.","मैले एउटा भेडा देखें।"
"sheep_4","What noise does a sheep make?","भेडाले कस्तो आवाज निकाल्छ?"
"clothes","Clothes","लुगा"
"pants","Pants","प्यान्ट्स"
"pants_2","My pants are dirty.","मेरो प्यान्ट गन्दा छ।"
"pants_3","Can you help me wear my pants?","के तपाई मलाई मेरो प्यान्ट लगाउन सहयोग गर्न सक्नुहुन्छ?"
"shirt","Shirt","शर्ट"
"shirt_2","My shirt is dirty.","मेरो शर्ट मैला छ।"
"shirt_3","Can you help me wear my shirt?","के तपाईले मेरो शर्ट लगाउन मद्दत गर्न सक्नुहुन्छ?"
"skirt","Skirt","स्कर्ट"
"skirt_2","My skirt is dirty.","मेरो स्कर्ट फोहोर छ।"
"skirt_3","Can you help me wear my skirt?","के तपाइँ मेरो स्कर्ट लगाउन मलाई मद्दत गर्न सक्नुहुन्छ?"
"panty","Panty","प्यान्टी"
"panty_2","My underwear is dirty.","मेरो अंडरवियर फोहोर छ।"
"panty_3","Can you help me wear my panty?","के तपाईले मलाई मेरो प्यान्टी लगाउन मद्दत गर्न सक्नुहुन्छ?"
"jacket","Jacket","ज्याकेट"
"jacket_2","My jacket is dirty.","मेरो ज्याकेट गन्दा छ।"
"jacket_3","Can you help me wear my jacket?","के तपाई मलाई मेरो ज्याकेट लगाउन सहयोग गर्न सक्नुहुन्छ?"
