"activities","Activities","Activiteiten"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Ik draag graag bandana."
"bandana_3","Can you help me wear my bandana?","Kun je me helpen mijn bandana te dragen?"
"beret","Beret","Baret"
"beret_2","I like wearing beret.","Ik draag graag een baret."
"beret_3","Can you help me wear my beret?","Kunt u mij helpen mijn baret te dragen?"
"knit-hat","Knit hat","Gebreide muts"
"knit-hat_2","I like wearing knit hat.","Ik draag graag een gebreide muts."
"knit-hat_3","Can you help me wear my knit hat?","Kun je me helpen mijn gebreide muts te dragen?"
"suspenders","Suspenders","Bretels"
"suspenders_2","I like wearing suspenders.","Ik draag graag bretels."
"suspenders_3","Can you help me wear my suspenders?","Kun je me helpen mijn bretels te dragen?"
"mitten","Mitten","Vuisthandschoen"
"mitten_2","I like wearing mitten.","Ik draag graag wanten."
"mitten_3","Can you help me wear my mitten?","Kun je me helpen mijn want te dragen?"
"suit","Suit","Pak"
"suit_2","I like wearing suit.","Ik draag graag een pak."
"suit_3","Can you help me wear my suit?","Kun je me helpen mijn pak te dragen?"
"coat","Coat","Vacht"
"coat_2","I like wearing coat.","Ik draag graag een jas."
"coat_3","Can you help me wear my coat?","Kun je me helpen mijn jas te dragen?"
"trench-coat","Trench coat","Trenchcoat"
"trench-coat_2","I like wearing trench coat.","Ik draag graag een trenchcoat."
"trench-coat_3","Can you help me wear my trench coat?","Kun je me helpen mijn trenchcoat te dragen?"
"colors","Colors","Kleuren"
"crayons","Crayons","Kleurpotloden"
"crayons_2","I like crayons.","Ik hou van kleurpotloden."
"crayons_3","Can you give me crayons?","Kunt u mij kleurpotloden geven?"
"crayons_4","I want to draw using my crayons.","Ik wil tekenen met mijn kleurpotloden."
"red","Red","Rood"
"red_2","It is red.","Het is rood."
"red_3","My favorite color is red.","Mijn lievelingskleur is rood."
"red_4","Can you give me red paint?","Kunt u mij rode verf geven?"
"blue","Blue","Blauw"
"blue_2","It is blue.","Het is blauw."
"blue_3","My favorite color is blue.","Mijn favoriete kleur is blauw."
"blue_4","Can you give me blue paint?","Kunt u mij blauwe verf geven?"
"orange","Orange","Oranje"
"orange_2","It is orange color.","Het is oranje van kleur."
"orange_3","My favorite color is orange.","Mijn favoriete kleur is oranje."
"orange_4","Can you give me orange paint?","Kunt u mij oranje verf geven?"
"green","Green","Groen"
"green_2","It is green.","Het is groen."
"green_3","My favorite color is green.","Mijn lievelingskleur is groen."
"green_4","Can you give me green paint?","Kunt u mij groene verf geven?"
"yellow","Yellow","Geel"
"yellow_2","It is yellow.","Het is geel."
"yellow_3","My favorite color is yellow.","Mijn favoriete kleur is geel."
"yellow_4","Can you give me yellow paint?","Kunt u mij gele verf geven?"
"purple","Purple","Purper"
"purple_2","It is purple.","Het is paars."
"purple_3","My favorite color is purple.","Mijn favoriete kleur is paars."
"purple_4","Can you give me purple paint?","Kunt u mij paarse verf geven?"
"pink","Pink","Roze"
"pink_2","It is pink.","Het is roze."
"pink_3","My favorite color is pink.","Mijn favoriete kleur is roze."
"pink_4","Can you give me pink paint?","Kunt u mij roze verf geven?"
"brown","Brown","Bruin"
"brown_2","It is brown.","Het is bruin."
"brown_3","My favorite color is brown.","Mijn favoriete kleur is bruin."
"brown_4","Can you give me brown paint?","Kunt u mij bruine verf geven?"
"black","Black","Zwart"
"black_2","It is black.","Het is zwart."
"black_3","My favorite color is black.","Mijn favoriete kleur is zwart."
"black_4","Can you give me black paint?","Kunt u mij zwarte verf geven?"
"white","White","Wit"
"white_2","It is white.","Het is wit."
"white_3","My favorite color is white.","Mijn favoriete kleur is wit."
"white_4","Can you give me white paint?","Kunt u mij witte verf geven?"
"gray","Gray","Grijs"
"gray_2","It is gray.","Hij is grijs."
"gray_3","My favorite color is gray.","Mijn favoriete kleur is grijs."
"gray_4","Can you give me gray paint?","Kunt u mij grijze verf geven?"
"transparent","Transparent","Transparant"
"transparent_2","It is transparent.","Het is transparant."
"transparent_3","I can see behind transparent color.","Ik kan achter transparante kleur zien."
"transparent_4","Can you help me erase?","Kunt u mij helpen wissen?"
"cyan","Cyan","Cyaan"
"cyan_2","It is cyan.","Het is cyaan."
"cyan_3","My favorite color is cyan.","Mijn favoriete kleur is cyaan."
"cyan_4","Can you give me cyan paint?","Kunt u mij cyaanverf geven?"
"violet","Violet","paars"
"violet_2","It is violet.","Het is violet."
"violet_3","My favorite color is violet.","Mijn favoriete kleur is violet."
"violet_4","Can you give me violet paint?","Kunt u mij paarse verf geven?"
"turquoise","Turquoise","Turkoois"
"turquoise_2","It is turquoise.","Het is turkoois."
"turquoise_3","My favorite color is turquoise.","Mijn favoriete kleur is turkoois."
"turquoise_4","Can you give me turquoise paint?","Kunt u mij turkooise verf geven?"
"lime","Lime","Limoen"
"lime_2","It is lime.","Het is limoen."
"lime_3","My favorite color is lime.","Mijn favoriete kleur is limoen."
"lime_4","Can you give me lime paint?","Kunt u mij kalkverf geven?"
"plum","Plum","Pruim"
"plum_2","It is plum.","Het is pruim."
"plum_3","My favorite color is plum.","Mijn favoriete kleur is pruim."
"plum_4","Can you give me plum paint?","Kunt u mij pruimenverf geven?"
"tan","Tan","Bruinen"
"tan_2","It is tan color.","Het is een bruine kleur."
"tan_3","My favorite color is tan color.","Mijn favoriete kleur is een bruine kleur."
"tan_4","Can you give me tan color paint?","Kunt u mij bruine verf geven?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","Het is avocadokleur."
"avocado_3","My favorite color is avocado color.","Mijn favoriete kleur is avocadokleur."
"avocado_4","Can you give me avocado color paint?","Kun je me avocado-kleurverf geven?"
"barbie-pink","Barbie pink","Barbie roze"
"barbie-pink_2","It is barbie pink color.","Het is barbie roze kleur."
"barbie-pink_3","My favorite color is barbie pink.","Mijn favoriete kleur is barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Kunt u mij Barbie roze verf geven?"
"blizzard-blue","Blizzard blue","Blizzard blauw"
"blizzard-blue_2","It is blizzard blue color.","Het is blizzard blauwe kleur."
"blizzard-blue_3","My favorite color is blizzard blue color.","Mijn favoriete kleur is sneeuwstormblauw."
"blizzard-blue_4","Can you give me blizzard blue paint?","Kunt u mij blizzard blauwe verf geven?"
"conversation","Conversation","Gesprek"
"me","Me","Me"
"me_2","My name is {name}","Mijn naam is {name}"
"me_3","I'm {name}","Ik ben {naam}"
"me_4","Do you know my name?","Weet jij mijn naam?"
"me_5","What is your name?","Wat is jouw naam?"
"me_6","Nice to meet you!","Aangenaam kennis te maken!"
"me_7","Do you like me?","Vind je me leuk?"
"me_8","Can we be friends?","Kunnen wij vrienden worden?"
"me_9","I'm using assistive communication app.","Ik gebruik de app voor ondersteunende communicatie."
"me_10","Who are you?","Wie ben je?"
"hello","Hello","Hallo"
"hello_2","Hello.","Hallo."
"hello_3","Hi.","Hoi."
"hello_4","Greetings.","Groeten."
"hello_5","How are you?","Hoe gaat het met je?"
"hello_6","Nice to meet you!","Aangenaam kennis te maken!"
"help","Help","Helpen"
"help_2","Help me.","Help me."
"help_3","Can you help me?","Kun je me helpen?"
"help_4","I need help","ik heb hulp nodig"
"help_5","Do you need help?","Heb je hulp nodig?"
"yes","Yes","Ja"
"yes_2","Yes.","Ja."
"yes_3","Yes please.","Ja graag."
"yes_4","Alright.","Ok."
"yes_5","Agreed.","Akkoord."
"yes_6","I want to.","Ik wil."
"yes_7","I would like to.","Ik zou willen."
"no","No","Nee"
"no_2","No.","Nee."
"no_3","Nope.","Nee."
"no_4","Never.","Nooit."
"no_5","I don't want to.","Ik wil het niet."
"no_6","I don't like it.","Ik hou er niet van."
"no_7","You don't like it?","Vind je het niet leuk?"
"no_8","Why you don't like it?","Waarom vind je het niet leuk?"
"toilet","Toilet","Toilet"
"toilet_2","I need to go to the toilet.","Ik moet naar het toilet."
"toilet_3","I need to pee.","Ik moet plassen."
"toilet_4","I need to poop.","Ik moet poepen."
"toilet_5","Can you help me go to the toilet?","Kunt u mij helpen naar het toilet te gaan?"
"toilet_6","Can you help me clean?","Kun je me helpen schoonmaken?"
"toilet_7","I peed myself.","Ik heb mezelf geplast."
"toilet_8","I pooped myself.","Ik heb gepoept."
"what","What","Wat"
"what_2","What is that?","Wat is dat?"
"what_3","What does it mean?","Wat betekent het?"
"what_4","What do you mean?","Wat bedoelt u?"
"what_5","Can you explain it?","Kan je het verklaren?"
"what_6","Can you repeat what you said?","Kunt u herhalen wat u zei?"
"what_7","I don't understand.","Ik begrijp het niet."
"sleep","Sleep","Slaap"
"sleep_2","I want to sleep.","Ik wil slapen."
"sleep_3","I don't want to sleep.","Ik wil niet slapen."
"sleep_4","I'm tired.","Ik ben moe."
"sleep_5","Are you tired?","Ben je moe?"
"sleep_6","When am I going to sleep?","Wanneer ga ik slapen?"
"sleep_7","I want to take a nap.","Ik wil een dutje doen."
"bath","Bath","Bad"
"bath_2","I want to take a bath.","Ik wil een bad nemen."
"bath_3","I like taking a bath.","Ik neem graag een bad."
"bath_4","I want to wash my hands.","Ik wil mijn handen wassen."
"bath_5","I want to take a shower.","Ik wil een douche nemen."
"bath_6","I want to clean myself.","Ik wil mezelf schoonmaken."
"bath_7","Can you help me take a bath?","Kunt u mij helpen een bad te nemen?"
"bath_8","I don't want to take a bath.","Ik wil geen bad nemen."
"listen","Listen","Luister"
"listen_2","Listen to me.","Luister naar mij."
"listen_3","Can you listen to me?","Kunt u naar mij luisteren?"
"listen_4","Listen to music.","Luisteren naar muziek."
"listen_5","Listening to my parents.","Luisteren naar mijn ouders."
"listen_6","Listen to what my application is saying!","Luister naar wat mijn applicatie zegt!"
"morning","Morning","Ochtend"
"morning_2","Good morning.","Goedemorgen."
"morning_3","I like mornings.","Ik hou van ochtenden."
"morning_4","In the morning.","In de ochtend."
"morning_5","Morning time.","Ochtend tijd."
"morning_6","Is it morning?","Is het ochtend?"
"night","Night","Nacht"
"night_2","Good night!","Goede nacht!"
"night_3","I like nights.","Ik hou van nachten."
"night_4","At night.","'S Nachts."
"night_5","Night time.","Nacht."
"night_6","Is it night?","Is het nacht?"
"look","Look","Kijken"
"look_2","Look at me.","Kijk naar me."
"look_3","Look at this.","Kijk hiernaar."
"look_4","Are you looking?","Bent u op zoek?"
"look_5","Look at my drawing.","Kijk naar mijn tekening."
"look_6","How do I look?","Hoe zie ik eruit?"
"look_7","Look what I did.","Kijk wat ik heb gedaan."
"look_8","Let's look at that.","Laten we daar eens naar kijken."
"speak","Speak","Spreken"
"speak_2","I'm learning how to speak.","Ik leer praten."
"speak_3","I want to speak.","Ik wil spreken."
"speak_4","Can I speak with you?","Kan ik met u spreken?"
"speak_5","I like speaking.","Ik hou van praten."
"speak_6","I'm using assistive communication app.","Ik gebruik de app voor ondersteunende communicatie."
"play","Play","Speel"
"play_2","I love playing.","Ik houd van spelen."
"play_3","Can you play with me?","Kun je met me spelen?"
"play_4","I want to play with you!","Ik wil met je spelen!"
"play_5","I want to play with my friends.","Ik wil met mijn vrienden spelen."
"play_6","I don't want to play with you.","Ik wil niet met je spelen."
"outside","Outside","Buiten"
"outside_2","I love going outside.","Ik ga graag naar buiten."
"outside_3","I want to go outside.","Ik wil naar buiten gaan."
"outside_4","Is it cold outside?","Het is koud buiten?"
"outside_5","I don't like outside.","Ik hou niet van buiten."
"outside_6","Can I go outside?","Mag ik naar buiten?"
"home","Home","Huis"
"home_2","I love my home.","Ik hou van mijn huis."
"home_3","I want to go home.","Ik wil naar huis."
"home_4","Where is your home?","Waar is uw huis?"
"home_5","Home sweet home.","Oost West Thuis Best."
"home_6","I'm in the house.","Ik ben in het huis."
"home_7","I'm not in the house.","Ik ben niet in huis."
"hurt","Hurt","Pijn doen"
"hurt_2","I'm hurt.","Ik ben gewond."
"hurt_3","Are you hurt?","Ben je gewond?"
"hurt_4","Did I hurt you?","Heb ik je pijn gedaan?"
"hurt_5","I didn't mean to hurt you!","Ik wilde je geen pijn doen!"
"hurt_6","Is it going to hurt?","Gaat het pijn doen?"
"hurt_7","I have a headache.","Ik heb hoofdpijn."
"hurt_8","I have a stomach ache.","Ik heb buikpijn."
"hurt_9","My genitals hurt.","Mijn geslachtsdelen doen pijn."
"hurt_10","My foot hurts.","Mijn voet doet pijn."
"feelings","Feelings","Gevoelens"
"happy","Happy","Gelukkig"
"happy_2","I'm happy.","Ik ben gelukkig."
"happy_3","I feel happy.","Ik voel me blij."
"happy_4","Do you feel happy?","Voel je je gelukkig?"
"happy_5","I want to feel happy.","Ik wil me gelukkig voelen."
"happy_6","You are making me happy.","Je maakt me blij."
"sad","Sad","Verdrietig"
"sad_2","I'm sad.","Ik ben verdrietig."
"sad_3","I feel sad.","Ik voel me verdrietig."
"sad_4","Do you feel sad?","Voel je je verdrietig?"
"sad_5","I don't want to feel sad.","Ik wil me niet verdrietig voelen."
"sad_6","You are making me sad.","Je maakt me verdrietig."
"exhausted","Exhausted","Uitgeput"
"exhausted_2","I'm exhausted.","Ik ben uitgeput."
"exhausted_3","I feel exhausted.","Ik voel me uitgeput."
"exhausted_4","Do you feel exhausted?","Voel je je uitgeput?"
"exhausted_5","I don't want to be exhausted.","Ik wil niet uitgeput zijn."
"relaxed","Relaxed","Ontspannen"
"relaxed_2","I'm relaxed.","Ik ben relaxed."
"relaxed_3","I feel relaxed.","Ik voel me relaxed."
"relaxed_4","Do you feel relaxed?","Voel je je ontspannen?"
"relaxed_5","I want to feel relaxed.","Ik wil me ontspannen voelen."
"in-love","In love","Verliefd"
"in-love_2","I'm in love.","Ik ben verliefd."
"in-love_3","I feel in love.","Ik voel me verliefd."
"in-love_4","Are you in love?","Ben jij verliefd?"
"in-love_5","I want to fall in love.","Ik wil verliefd worden."
"in-love_6","Do you love me?","Hou je van mij?"
"stressed","Stressed","Benadrukt"
"stressed_2","I'm stressed.","Ik ben gestrest."
"stressed_3","I feel stressed.","Ik voel me gestrest."
"stressed_4","Do you feel stressed?","Ben je gestrest?"
"stressed_5","I don't want to feel stressed.","Ik wil me niet gestrest voelen."
"thankful","Thankful","Dankbaar"
"thankful_2","I'm thankful.","Ik ben dankbaar."
"thankful_3","I feel thankful.","Ik ben dankbaar."
"thankful_4","Do you feel thankful?","Voel je je dankbaar?"
"thankful_5","I want to feel thankful.","Ik wil me dankbaar voelen."
"confused","Confused","Verward"
"confused_2","I'm confused.","Ik ben verward."
"confused_3","I feel confused.","Ik ben verward."
"confused_4","Do you feel confused?","Voel je je verward?"
"confused_5","You are confusing me.","Je brengt me in de war."
"joyful","Joyful","Blij"
"joyful_2","I'm joyful.","Ik ben blij."
"joyful_3","I feel joyful.","Ik voel me blij."
"joyful_4","Do you feel joyful?","Voel je je blij?"
"joyful_5","I want to feel joyful.","Ik wil me blij voelen."
"angry","Angry","Boos"
"angry_2","I'm angry.","Ik ben boos."
"angry_3","I feel angry.","Ik ben boos."
"angry_4","Do you feel angry?","Ben je boos?"
"angry_5","I'm angry at you.","Ik ben boos op je."
"angry_6","You are making me angry.","Je maakt me boos."
"smart","Smart","Slim"
"smart_2","I'm smart.","Ik ben slim."
"smart_3","I feel smart.","Ik voel me slim."
"smart_4","Do you feel smart?","Voel je je slim?"
"smart_5","Am I smart?","Ben ik slim?"
"smart_6","You are smart!","Jij bent slim!"
"afraid","Afraid","Bang"
"afraid_2","I'm afraid.","Ik ben bang."
"afraid_3","I feel afraid.","Ik ben bang."
"afraid_4","Do you feel afraid?","Ben je bang?"
"afraid_5","I don't want to feel afraid.","Ik wil niet bang zijn."
"afraid_6","You are scaring me.","Je maakt me bang."
"ashamed","Ashamed","Beschaamd"
"ashamed_2","I'm ashamed.","Ik schaam me."
"ashamed_3","I feel ashamed.","Ik schaam me."
"ashamed_4","Do you feel ashamed?","Schaam je je?"
"ashamed_5","I don't want to feel ashamed.","Ik wil me niet schamen."
"shocked","Shocked","Geschokt"
"shocked_2","I'm shocked.","Ik ben geschokt."
"shocked_3","I feel shocked.","Ik ben geschokt."
"shocked_4","Do you feel shocked?","Voel je je geschokt?"
"shocked_5","You shocked me.","Jij verbaasde mij."
"sick","Sick","Ziek"
"sick_2","I'm sick.","Ik ben ziek."
"sick_3","I feel sick.","Ik voel me ziek."
"sick_4","Do you feel sick?","Voel je je ziek?"
"sick_5","I don't want to be sick.","Ik wil niet ziek zijn."
"sick_6","I'm sick of the food.","Ik ben het eten zat."
"frustrated","Frustrated","Gefrustreerd"
"frustrated_2","I'm frustrated.","Ik ben gefrustreerd."
"frustrated_3","I feel frustrated.","Ik voel me gefrustreerd."
"frustrated_4","Do you feel frustrated?","Voel je je gefrustreerd?"
"frustrated_5","I don't want to feel frustrated.","Ik wil me niet gefrustreerd voelen."
"excited","Excited","Opgewonden"
"excited_2","I'm excited.","Ik ben opgewonden."
"excited_3","I feel excited.","Ik ben opgewonden."
"excited_4","Do you feel excited?","Ben je opgewonden?"
"excited_5","I don't want to feel excited.","Ik wil me niet opgewonden voelen."
"nauseated","Nauseated","Misselijk"
"nauseated_2","I'm nauseated.","Ik ben misselijk."
"nauseated_3","I feel nauseated.","Ik voel me misselijk."
"nauseated_4","Do you feel nauseated?","Voel je je misselijk?"
"nauseated_5","I don't want to feel nauseated.","Ik wil me niet misselijk voelen."
"agitated","Agitated","Opgewonden"
"agitated_2","I'm agitated.","Ik ben opgewonden."
"agitated_3","I feel agitated.","Ik voel me opgewonden."
"agitated_4","Do you feel agitated?","Voel je je geagiteerd?"
"agitated_5","I don't want to feel agitated.","Ik wil me niet geagiteerd voelen."
"food","Food","Voedsel"
"hungry","Hungry","Hongerig"
"hungry_2","I'm hungry.","Ik heb honger."
"hungry_3","Are you hungry?","Heb je honger?"
"hungry_4","Can you make me food?","Kun je eten voor me maken?"
"hungry_5","What is for dinner?","Wat eten we vanavond?"
"thirsty","Thirsty","Dorstig"
"thirsty_2","I'm thirsty.","Ik heb dorst."
"thirsty_3","Can I have some water?","Mag ik wat water?"
"thirsty_4","Can I have a glass of water?","Mag ik een glas water?"
"thirsty_5","I want something to drink.","Ik wil iets te drinken."
"cutlery","Cutlery","Bestek"
"cutlery_2","I need cutlery.","Ik heb bestek nodig."
"cutlery_3","Help me use cutlery.","Help me bestek te gebruiken."
"cutlery_4","I need a fork.","Ik heb een vork nodig."
"cutlery_5","I need a spoon.","Ik heb een lepel nodig."
"cutlery_6","I need chopsticks.","Ik heb stokjes nodig."
"cutlery_7","I need a knife.","Ik heb een mes nodig."
"cutlery_8","I need a napkin.","Ik heb een servet nodig."
"apple","Apple","appel"
"apple_2","I like apple.","Ik hou van appel."
"apple_3","I don't like apple.","Ik hou niet van appel."
"apple_4","I want to eat an apple.","Ik wil een appel eten."
"carrot","Carrot","Wortel"
"carrot_2","I like carrot.","Ik hou van wortel."
"carrot_3","I don't like carrot.","Ik hou niet van wortel."
"carrot_4","I want to eat a carrot.","Ik wil een wortel eten."
"beans","Beans","Bonen"
"beans_2","I like beans.","Ik hou van bonen."
"beans_3","I don't like beans.","Ik hou niet van bonen."
"beans_4","I want to eat beans.","Ik wil bonen eten."
"chicken_5","I want fried chicken.","Ik wil gebakken kip."
"chicken_6","I want boiled chicken.","Ik wil gekookte kip."
"chocolate","Chocolate","Chocola"
"chocolate_2","I like chocolate.","Ik houd van chocolade."
"chocolate_3","I don't like chocolate.","Ik hou niet van chocolade."
"chocolate_4","I want to eat chocolate.","Ik wil chocolade eten."
"chocolate_5","I want dark chocolate.","Ik wil pure chocolade."
"chocolate_6","I want white chocolate.","Ik wil witte chocolade."
"milk","Milk","Melk"
"milk_2","I like milk.","Ik hou van melk."
"milk_3","I don't like milk.","Ik hou niet van melk."
"milk_4","I want to drink milk.","Ik wil melk drinken."
"milk_5","Can I have a glass of milk?","Mag ik een glas melk?"
"sandwich","Sandwich","Belegd broodje"
"sandwich_2","I like sandwich.","Ik hou van sandwich."
"sandwich_3","I don't like sandwich.","Ik hou niet van sandwich."
"sandwich_4","I want to eat a sandwich.","Ik wil een broodje eten."
"sandwich_5","Can you make me a sandwich?","Kun je een broodje voor me maken?"
"steak","Steak","Steak"
"steak_2","I like steak.","Ik hou van biefstuk."
"steak_3","I don't like steak.","Ik hou niet van biefstuk."
"steak_4","I want to eat steak.","Ik wil biefstuk eten."
"steak_5","Can you cook steak for me?","Kun je biefstuk voor me koken?"
"banana","Banana","Banaan"
"banana_2","I like banana.","Ik houd van bananen."
"banana_3","I don't like banana.","Ik hou niet van banaan."
"banana_4","I want to eat a banana.","Ik wil een banaan eten."
"pie","Pie","Taart"
"pie_2","I like pie.","Ik hou van taart."
"pie_3","I don't like pie.","Ik hou niet van taart."
"pie_4","I want to eat pie.","Ik wil taart eten."
"pie_5","Can you bake a pie for me?","Kun je een taart voor me bakken?"
"egg","Egg","Ei"
"egg_2","I like egg.","Ik hou van ei."
"egg_3","I don't like egg.","Ik hou niet van ei."
"egg_4","I want to eat egg.","Ik wil ei eten."
"egg_5","I want fried eggs.","Ik wil gebakken eieren."
"egg_6","I want boiled eggs.","Ik wil gekookte eieren."
"noodles","Noodles","Noedels"
"noodles_2","I like noodles.","Ik hou van noodles."
"noodles_3","I don't like noodles.","Ik hou niet van noedels."
"noodles_4","I want to eat noodles.","Ik wil noedels eten."
"noodles_5","Can you cook noodles for me?","Kun je noedels voor me koken?"
"salt","Salt","Zout"
"salt_2","I want salt.","Ik wil zout."
"salt_3","Can you pass me the salt?","Kun je me het zout aangeven?"
"salt_4","Food is too salty.","Eten is te zout."
"salt_5","My food needs some salt.","Mijn eten heeft wat zout nodig."
"spices","Spices","Specerijen"
"spices_2","I like spicy food.","Ik hou van pittig eten."
"spices_3","I don't like spicy food.","Ik hou niet van pittig eten."
"spices_4","I want paprika.","Ik wil paprika."
"spices_5","I want black pepper.","Ik wil zwarte peper."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Ik hou van pizza."
"pizza_3","I don't like pizza.","Ik hou niet van pizza."
"pizza_4","I want to eat pizza.","Ik wil pizza eten."
"pizza_5","Can you cook pizza for me?","Kun je pizza voor me koken?"
"pizza_6","Can we order pizza?","Kunnen we pizza bestellen?"
"cheese","Cheese","Kaas"
"cheese_2","I like cheese.","Ik hou van kaas."
"cheese_3","I don't like cheese.","Ik hou niet van kaas."
"cheese_4","I want to eat cheese.","Ik wil kaas eten."
"ice-cream","Ice cream","Ijsje"
"ice-cream_2","I like ice cream.","Ik hou van ijs."
"ice-cream_3","I don't like ice cream.","Ik hou niet van ijs."
"ice-cream_4","I want to eat ice cream.","Ik wil ijs eten."
"ice-cream_5","Can you buy ice cream for me?","Kun je voor mij ijs kopen?"
"tea","Tea","Thee"
"tea_2","I like tea.","Ik houd van thee."
"tea_3","I don't like tea.","Ik hou niet van thee."
"tea_4","I want to drink tea.","Ik wil thee drinken."
"tea_5","Can you make tea for me?","Kun je thee voor me zetten?"
"coffee","Coffee","Koffie"
"coffee_2","I like coffee.","Ik hou van koffie."
"coffee_3","I don't like coffee.","Ik hou niet van koffie."
"coffee_4","I want to drink coffee.","Ik wil koffie drinken."
"coffee_5","Can you make coffee for me?","Kun je koffie voor me zetten?"
"tomato","Tomato","Tomaat"
"tomato_2","I like tomato.","Ik hou van tomaat."
"tomato_3","I don't like tomato.","Ik hou niet van tomaat."
"tomato_4","I want to eat tomato.","Ik wil tomaat eten."
"cereal","Cereal","Graan"
"cereal_2","I like cereal.","Ik hou van granen."
"cereal_3","I don't like cereal.","Ik hou niet van granen."
