"activities","Activities","Atividades"
"walking","Walking","Caminhada"
"walking_2","I like walking","eu gosto de caminhar"
"walking_3","I don't like walking","Eu não gosto de andar"
"walking_4","Do you want to walk together?","Você quer andar junto?"
"running","Running","Corrida"
"running_2","I like running.","Eu gosto de correr."
"running_3","I don't like running.","Eu não gosto de correr"
"running_4","Do you want to go running?","Você quer ir correndo?"
"talking","Talking","Falando"
"talking_2","I like talking.","Eu gosto de conversar."
"talking_3","I don't like talking.","Eu não gosto de conversar"
"talking_4","Do you want to talk with me?","Você quer falar comigo?"
"reading","Reading","Lendo"
"reading_2","I like reading.","Eu gosto de ler."
"reading_3","I don't like reading.","Eu não gosto de ler"
"reading_4","Do you want to read together?","Você quer ler juntos?"
"football","Football","Futebol"
"football_2","I like playing football.","Eu gosto de jogar futebol."
"football_3","I don't like playing football.","Eu não gosto de jogar futebol."
"football_4","Do you want to play football?","Você quer jogar futebol?"
"basketball","Basketball","Basquetebol"
"basketball_2","I like playing basketball.","Eu gosto de jogar basquete."
"basketball_3","I don't like playing basketball.","Eu não gosto de jogar basquete."
"basketball_4","Do you want to play basketball?","Você quer jogar basquete?"
"swimming","Swimming","Natação"
"swimming_2","I like swimming.","Eu gosto de nadar."
"swimming_3","I don't like swimming.","Eu não gosto de nadar"
"swimming_4","Do you want to go to swimming?","Você quer nadar?"
"painting","Painting","Pintura"
"painting_2","I like painting.","Eu gosto de pintar."
"painting_3","I don't like painting.","Eu não gosto de pintar"
"painting_4","Do you want to paint together?","Você quer pintar juntos?"
"drawing","Drawing","Desenhando"
"drawing_2","I like drawing.","Eu gosto de desenhar."
"drawing_3","I don't like drawing.","Eu não gosto de desenhar"
"drawing_4","Do you want to draw together?","Você quer desenhar juntos?"
"cycling","Cycling","Ciclismo"
"cycling_2","I like cycling.","Eu gosto de andar de bicicleta."
"cycling_3","I don't like cycling.","Eu não gosto de andar de bicicleta."
"cycling_4","Do you want to go cycling?","Você quer andar de bicicleta?"
"skating","Skating","Patinação"
"skating_2","I like skating.","Eu gosto de patinar"
"skating_3","I don't like skating.","Eu não gosto de patinar."
"skating_4","Do you want to go skating?","Você quer andar de skate?"
"sightseeing","Sightseeing","Passeios turísticos"
"sightseeing_2","I like sightseeing.","Eu gosto de passear"
"sightseeing_3","I don't like sightseeing.","Eu não gosto de passear."
"sightseeing_4","Do you want to go for sightseeing?","Você quer ir para passear?"
"video-games","Video games","Videogames"
"video-games_2","I like playing video games.","Eu gosto de jogar videogames."
"video-games_3","I don't like playing video games.","Eu não gosto de jogar videogame."
"video-games_4","Do you want to play games?","Você quer jogar?"
"tidying","Tidying","Arrumar"
"tidying_2","I like tidying my room.","Eu gosto de arrumar meu quarto."
"tidying_3","I don't like tidying my room.","Não gosto de arrumar meu quarto."
"tidying_4","Can you help me tidy my room?","Você pode me ajudar a arrumar meu quarto?"
"toys","Toys","Brinquedos"
"toys_2","I like toys.","Eu gosto de brinquedos"
"toys_3","I don't like toys.","Eu não gosto de brinquedos"
"toys_4","Do you want to play with my toys?","Você quer brincar com meus brinquedos?"
"puzzle","Puzzle","Enigma"
"puzzle_2","I like solving puzzle.","Eu gosto de resolver quebra-cabeças."
"puzzle_3","I don't like solving puzzle.","Eu não gosto de resolver quebra-cabeças."
"puzzle_4","Do you want to solve puzzles with me?","Você quer resolver quebra-cabeças comigo?"
"comics","Comics","Histórias em quadrinhos"
"comics_2","I like reading comics.","Eu gosto de ler quadrinhos."
"comics_3","I don't like reading comics.","Eu não gosto de ler quadrinhos."
"comics_4","Do you want to read comics?","Você quer ler quadrinhos?"
"chess","Chess","Xadrez"
"chess_2","I like playing chess.","Eu gosto de jogar xadrez."
"chess_3","I don't like playing chess.","Eu não gosto de jogar xadrez."
"chess_4","Do you want to play chess with me?","Você quer jogar xadrez comigo?"
"using-leeloo","Using Leeloo","Usando Leeloo"
"using-leeloo_2","I like using leeloo.","Eu gosto de usar leeloo."
"using-leeloo_3","I don't like using leeloo.","Eu não gosto de usar leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Você pode mudar os pacotes de cartas no leeloo?"
"texting","Texting","Mensagens de texto"
"texting_2","I like texting.","Eu gosto de mandar mensagens."
"texting_3","I don't like texting.","Eu não gosto de mandar mensagens."
"knitting","Knitting","Tricô"
"knitting_2","I like knitting.","Eu gosto de tricô."
"knitting_3","I don't like knitting.","Eu não gosto de tricô."
"knitting_4","I want to learn how to knit.","Eu quero aprender a tricotar."
"bowling","Bowling","Boliche"
"bowling_2","I like bowling.","Eu gosto de boliche."
"bowling_3","I don't like bowling.","Eu não gosto de boliche."
"bowling_4","Do you want to play bowling with me?","Você quer jogar boliche comigo?"
"watching-tv","Watching TV","Assistindo TV"
"watching-tv_2","I like watching tv.","Eu gosto de assistir TV."
"watching-tv_3","I don't like watching tv.","Eu não gosto de assistir tv."
"watching-tv_4","Do you want to watch tv?","Você quer assistir TV?"
"fishing","Fishing","pescaria"
"fishing_2","I like fishing.","Eu gosto de pescar"
"fishing_3","I don't like fishing.","Eu não gosto de pescar"
"fishing_4","Do you want to go to fishing?","Você quer ir pescar?"
"exercising","Exercising","Exercício"
"exercising_2","I like exercising.","Eu gosto de exercitar"
"exercising_3","I don't like exercising.","Eu não gosto de exercitar"
"exercising_4","Do you want to exercise with me?","Você quer se exercitar comigo?"
"tennis","Tennis","tênis"
"tennis_2","I like playing tennis.","Eu gosto de jogar tênis."
"tennis_3","I don't like playing tennis.","Eu não gosto de jogar tênis."
"tennis_4","Do you want to play tennis with me?","Você quer jogar tênis comigo?"
"animals","Animals","Animais"
"cat","Cat","Gato"
"cat_2","I like cats.","Eu gosto de gatos."
"cat_3","I saw a cat.","Eu vi um gato"
"cat_4","What noise does a cat make?","Que barulho faz um gato?"
"cat_5","Can we get a cat as pet?","Podemos ter um gato como animal de estimação?"
"dog","Dog","Cão"
"dog_2","I like dog.","Eu gosto de cachorro."
"dog_3","I saw a dog.","Eu vi um cachorro"
"dog_4","What noise does a dog make?","Que barulho faz um cachorro?"
"dog_5","Can we get a dog as pet?","Podemos ter um cachorro como animal de estimação?"
"fish","Fish","Peixe"
"fish_2","I like fish.","Eu gosto de peixe."
"fish_3","I saw a fish.","Eu vi um peixe"
"fish_4","What noise does a fish make?","Que barulho faz um peixe?"
"fish_5","Can we get a fish as pet?","Podemos pegar um peixe como animal de estimação?"
"rabbit","Rabbit","Coelho"
"rabbit_2","I like rabbits.","Eu gosto de coelhos."
"rabbit_3","I saw a rabbit.","Eu vi um coelho."
"rabbit_4","What noise does a rabbit make?","Que barulho faz um coelho?"
"rabbit_5","Can we get a rabbit as pet?","Podemos ter um coelho como animal de estimação?"
"butterfly","Butterfly","Borboleta"
"butterfly_2","I like butterflies.","Eu gosto de borboletas"
"butterfly_3","I saw a butterfly.","Eu vi uma borboleta"
"butterfly_4","What noise does a butterfly make?","Que barulho faz uma borboleta?"
"kangaroo","Kangaroo","Canguru"
"kangaroo_2","I like kangaroos.","Eu gosto de cangurus."
"kangaroo_3","I saw a kangaroo.","Eu vi um canguru."
"kangaroo_4","What noise does a kangaroo make?","Que barulho faz um canguru?"
"turtle","Turtle","Tartaruga"
"turtle_2","I like turtles.","Eu gosto de tartarugas."
"turtle_3","I saw a turtle.","Eu vi uma tartaruga."
"turtle_4","What noise does a turtle make?","Que barulho faz uma tartaruga?"
"giraffe","Giraffe","Girafa"
"giraffe_2","I like giraffes.","Eu gosto de girafas."
"giraffe_3","I saw a giraffe.","Eu vi uma girafa."
"giraffe_4","What noise does a giraffe make?","Que barulho faz uma girafa?"
"frog","Frog","Rã"
"frog_2","I like frogs.","Eu gosto de sapos."
"frog_3","I saw a frog.","Eu vi um sapo."
"frog_4","What noise does a frog make?","Que barulho faz um sapo?"
"swan","Swan","Cisne"
"swan_2","I like swans.","Eu gosto de cisnes."
"swan_3","I saw a swan.","Eu vi um cisne."
"swan_4","What noise does a swan make?","Que barulho faz um cisne?"
"spider","Spider","Aranha"
"spider_2","I like spiders.","Eu gosto de aranhas."
"spider_3","I saw a spider.","Eu vi uma aranha."
"spider_4","What noise does a spider make?","Que barulho faz uma aranha?"
"cow","Cow","Vaca"
"cow_2","I like cows.","Eu gosto de vacas"
"cow_3","I saw a cow.","Eu vi uma vaca"
"cow_4","What noise does a cow make?","Que barulho faz uma vaca?"
"duck","Duck","Pato"
"duck_2","I like ducks.","Eu gosto de patos."
"duck_3","I saw a duck.","Eu vi um pato."
"duck_4","What noise does a duck make?","Que barulho faz um pato?"
"horse","Horse","Cavalo"
"horse_2","I like horses.","Eu gosto de cavalos."
"horse_3","I saw a horse.","Eu vi um cavalo"
"horse_4","What noise does a horse make?","Que barulho faz um cavalo?"
"chicken","Chicken","Frango"
"chicken_2","I like chickens.","Eu gosto de galinhas."
"chicken_3","I saw a chicken.","Eu vi uma galinha"
"chicken_4","What noise does a chicken make?","Que barulho faz uma galinha?"
"bee","Bee","Abelha"
"bee_2","I like bees.","Eu gosto de abelhas"
"bee_3","I saw a bee.","Eu vi uma abelha."
"bee_4","What noise does a bee make?","Que barulho faz uma abelha?"
"pig","Pig","Porco"
"pig_2","I like pigs.","Eu gosto de porcos"
"pig_3","I saw a pig.","Eu vi um porco."
"pig_4","What noise does a pig make?","Que barulho faz um porco?"
"dove","Dove","Pomba"
"dove_2","I like doves.","Eu gosto de pombas."
"dove_3","I saw a dove.","Eu vi uma pomba."
"dove_4","What noise does a dove make?","Que barulho faz uma pomba?"
"crab","Crab","Caranguejo"
"crab_2","I like crabs.","Eu gosto de caranguejos."
"crab_3","I saw a crab.","Eu vi um caranguejo."
"crab_4","What noise does a crab make?","Que barulho faz um caranguejo?"
"penguin","Penguin","Pinguim"
"penguin_2","I like penguins.","Eu gosto de pinguins."
"penguin_3","I saw a penguin.","Eu vi um pinguim."
"penguin_4","What noise does a penguin make?","Que barulho faz um pinguim?"
"elephant","Elephant","Elefante"
"elephant_2","I like elephants.","Eu gosto de elefantes."
"elephant_3","I saw an elephant.","Eu vi um elefante."
"elephant_4","What noise does an elephant make?","Que barulho faz um elefante?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Eu gosto de zebras."
"zebra_3","I saw a zebra.","Eu vi uma zebra."
"zebra_4","What noise does a zebra make?","Que barulho faz uma zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Eu gosto de pandas."
"panda_3","I saw a panda.","Eu vi um panda."
"panda_4","What noise does a panda make?","Que barulho faz um panda?"
"monkey","Monkey","Macaco"
"monkey_2","I like monkeys.","Eu gosto de macacos."
"monkey_3","I saw a monkey.","Eu vi um macaco."
"monkey_4","What noise does a monkey make?","Que barulho faz um macaco?"
"camel","Camel","Camelo"
"camel_2","I like camels.","Eu gosto de camelos"
"camel_3","I saw a camel.","Eu vi um camelo."
"camel_4","What noise does a camel make?","Que barulho faz um camelo?"
"mouse","Mouse","Rato"
"mouse_2","I like mice.","Eu gosto de ratos"
"mouse_3","I saw a mouse.","Eu vi um rato."
"mouse_4","What noise does a mouse make?","Que barulho faz um mouse?"
"tiger","Tiger","Tigre"
"tiger_2","I like tigers.","Eu gosto de tigres"
"tiger_3","I saw a tiger.","Eu vi um tigre."
"tiger_4","What noise does a tiger make?","Que barulho faz um tigre?"
"jellyfish","Jellyfish","Medusa"
"jellyfish_2","I like jellyfishes.","Eu gosto de água-vivas."
"jellyfish_3","I saw a jellyfish.","Eu vi uma água-viva."
"jellyfish_4","What noise does a jellyfish make?","Que barulho faz uma água-viva?"
"crocodile","Crocodile","Crocodilo"
"crocodile_2","I like crocodiles.","Eu gosto de crocodilos."
"crocodile_3","I saw a crocodile.","Eu vi um crocodilo."
"crocodile_4","What noise does a crocodile make?","Que barulho faz um crocodilo?"
"koala","Koala","Coala"
"koala_2","I like koalas.","Eu gosto de coalas."
"koala_3","I saw a koala.","Eu vi um coala."
"koala_4","What noise does a koala make?","Que barulho faz um coala?"
"ostrich","Ostrich","Avestruz"
"ostrich_2","I like ostriches.","Eu gosto de avestruzes."
"ostrich_3","I saw an ostrich.","Eu vi um avestruz."
"ostrich_4","What noise does an ostrich make?","Que barulho faz um avestruz?"
"racoon","Racoon","Guaxinim"
"racoon_2","I like racoons.","Eu gosto de guaxinins."
"racoon_3","I saw a racoon.","Eu vi um guaxinim."
"racoon_4","What noise does a racoon make?","Que barulho faz um guaxinim?"
"bat","Bat","Bastão"
"bat_2","I like bats.","Eu gosto de morcegos."
"bat_3","I saw a bat.","Eu vi um morcego."
"bat_4","What noise does a bat make?","Que barulho faz um morcego?"
"eagle","Eagle","Águia"
"eagle_2","I like eagles.","Eu gosto de águias"
"eagle_3","I saw an eagle.","Eu vi uma águia."
"eagle_4","What noise does an eagle make?","Que barulho faz uma águia?"
"hippopotamus","Hippopotamus","Hipopótamo"
"hippopotamus_2","I like hippopotamus.","Eu gosto de hipopótamo."
"hippopotamus_3","I saw a hippopotamus.","Eu vi um hipopótamo."
"hippopotamus_4","What noise does a hippopotamus make?","Que barulho faz um hipopótamo?"
"seal","Seal","Foca"
"seal_2","I like seals.","Eu gosto de focas."
"seal_3","I saw a seal.","Eu vi um selo."
"seal_4","What noise does a seal make?","Que barulho faz um selo?"
"walrus","Walrus","Morsa"
"walrus_2","I like walruses.","Eu gosto de morsas."
"walrus_3","I saw a walrus.","Eu vi uma morsa."
"walrus_4","What noise does a walrus make?","Que barulho faz uma morsa?"
"seahorse","Seahorse","Cavalo-marinho"
"seahorse_2","I like seahorses.","Eu gosto de cavalos-marinhos."
"seahorse_3","I saw a seahorse.","Eu vi um cavalo marinho."
"seahorse_4","What noise does a seahorse make?","Que barulho faz um cavalo-marinho?"
"bull","Bull","Touro"
"bull_2","I like bulls.","Eu gosto de touros."
"bull_3","I saw a bull.","Eu vi um touro."
"bull_4","What noise does a bull make?","Que barulho faz um touro?"
"pelican","Pelican","Pelicano"
"pelican_2","I like pelicans.","Eu gosto de pelicanos."
"pelican_3","I saw a pelican.","Eu vi um pelicano."
"pelican_4","What noise does a pelican make?","Que barulho faz um pelicano?"
"beaver","Beaver","Castor"
"beaver_2","I like beavers.","Eu gosto de castores."
"beaver_3","I saw a beaver.","Eu vi um castor."
"beaver_4","What noise does a beaver make?","Que barulho faz um castor?"
"goldfish","Goldfish","Peixinho"
"goldfish_2","I like goldfishes.","Eu gosto de peixes dourados."
"goldfish_3","I saw a goldfish.","Eu vi um peixe dourado."
"goldfish_4","What noise does a goldfish make?","Que barulho faz um peixe dourado?"
"goldfish_5","Can we get a goldfish as pet?","Podemos obter um peixe dourado como animal de estimação?"
"rhinoceros","Rhinoceros","Rinoceronte"
"rhinoceros_2","I like rhinoceros.","Eu gosto de rinoceronte."
"rhinoceros_3","I saw a rhinoceros.","Eu vi um rinoceronte."
"rhinoceros_4","What noise does a rhinoceros make?","Que barulho faz um rinoceronte?"
"snake","Snake","Serpente"
"snake_2","I like snakes.","Eu gosto de cobras."
"snake_3","I saw a snake.","Eu vi uma cobra."
"snake_4","What noise does a snake make?","Que barulho faz uma cobra?"
"lion","Lion","Leão"
"lion_2","I like lions.","Eu gosto de leões."
"lion_3","I saw a lion.","Eu vi um leão"
"lion_4","What noise does a lion make?","Que barulho faz um leão?"
"squid","Squid","Lula"
"squid_2","I like squids.","Eu gosto de lulas."
"squid_3","I saw a squid.","Eu vi uma lula."
"squid_4","What noise does a squid make?","Que barulho faz uma lula?"
"whale","Whale","Baleia"
"whale_2","I like whales.","Eu gosto de baleias."
"whale_3","I saw a whale.","Eu vi uma baleia."
"whale_4","What noise does a whale make?","Que barulho faz uma baleia?"
"beetle","Beetle","Besouro"
"beetle_2","I like beetles.","Eu gosto de besouros."
"beetle_3","I saw a beetle.","Eu vi um besouro."
"beetle_4","What noise does a beetle make?","Que barulho faz um besouro?"
"dolphin","Dolphin","Golfinho"
"dolphin_2","I like dolphins.","Eu gosto de golfinhos"
"dolphin_3","I saw a dolphin.","Eu vi um golfinho."
"dolphin_4","What noise does a dolphin make?","Que barulho faz um golfinho?"
"starfish","Starfish","Estrela do Mar"
"starfish_2","I like starfishes.","Eu gosto de estrelas do mar."
"starfish_3","I saw a starfish.","Eu vi uma estrela do mar."
"starfish_4","What noise does a starfish make?","Que barulho faz uma estrela do mar?"
"parakeet","Parakeet","Periquito"
"parakeet_2","I like parakeets.","Eu gosto de periquitos."
"parakeet_3","I saw a parakeet.","Eu vi um periquito."
"parakeet_4","What noise does a parakeet make?","Que barulho faz um periquito?"
"owl","Owl","Coruja"
"owl_2","I like owls.","Eu gosto de corujas."
"owl_3","I saw an owl.","Eu vi uma coruja."
"owl_4","What noise does an owl make?","Que barulho faz uma coruja?"
"sheep","Sheep","Ovelha"
"sheep_2","I like sheeps.","Eu gosto de ovelhas."
"sheep_3","I saw a sheep.","Eu vi uma ovelha."
"sheep_4","What noise does a sheep make?","Que barulho faz uma ovelha?"
"clothes","Clothes","Roupas"
"pants","Pants","calça"
"pants_2","My pants are dirty.","Minhas calças estão sujas."
"pants_3","Can you help me wear my pants?","Você pode me ajudar a usar minhas calças?"
"shirt","Shirt","Camisa"
"shirt_2","My shirt is dirty.","Minha camisa está suja."
"shirt_3","Can you help me wear my shirt?","Você pode me ajudar a usar minha camisa?"
"skirt","Skirt","Saia"
"skirt_2","My skirt is dirty.","Minha saia está suja."
"skirt_3","Can you help me wear my skirt?","Você pode me ajudar a usar minha saia?"
"panty","Panty","Calcinha"
"panty_2","My underwear is dirty.","Minha calcinha está suja."
"panty_3","Can you help me wear my panty?","Você pode me ajudar a usar minha calcinha?"
"jacket","Jacket","Jaqueta"
"jacket_2","My jacket is dirty.","Minha jaqueta está suja."
"jacket_3","Can you help me wear my jacket?","Você pode me ajudar a usar minha jaqueta?"
"tie","Tie","Gravata"
"tie_2","I like wearing tie.","Eu gosto de usar gravata."
"tie_3","Can you help me tie my tie?","Você pode me ajudar a amarrar minha gravata?"
"baseball-cap","Baseball cap","Boné de baseball"
"baseball-cap_2","I like wearing baseball cap.","Eu gosto de usar boné de beisebol."
"baseball-cap_3","Which baseball cap should I wear?","Qual boné de beisebol devo usar?"
"dress","Dress","Vestir"
"dress_2","My dress is dirty.","Meu vestido está sujo."
"dress_3","Can you help me wear my dress?","Você pode me ajudar a usar meu vestido?"
"shoes","Shoes","sapatos"
"shoes_2","My shoes are dirty.","Meus sapatos estão sujos."
"shoes_3","Can you help me wear my shoes?","Você pode me ajudar a usar meus sapatos?"
"boots","Boots","Chuteiras"
"boots_2","My boots are dirty.","Minhas botas estão sujas."
"boots_3","Can you help me wear my boots?","Você pode me ajudar a usar minhas botas?"
"sneakers","Sneakers","Tênis"
"sneakers_2","I want to wear my sneakers.","Eu quero usar meu tênis."
"sneakers_3","Can you help me wear my sneakers?","Você pode me ajudar a usar meus tênis?"
"slippers","Slippers","Chinelos"
"slippers_2","I want to wear my slippers.","Eu quero usar meus chinelos."
"slippers_3","Can you help me wear my slippers?","Você pode me ajudar a usar meus chinelos?"
"belt","Belt","Cinto"
"belt_2","I like wearing belt.","Eu gosto de usar cinto."
"belt_3","Can you help me wear my belt?","Você pode me ajudar a usar meu cinto?"
"socks","Socks","Meias"
"socks_2","My socks are dirty.","Minhas meias estão sujas."
"socks_3","Can you help me wear my socks?","Você pode me ajudar a usar minhas meias?"
"swimsuit","Swimsuit","roupa de banho"
"swimsuit_2","I want to wear my swimsuit.","Eu quero usar meu maiô."
"swimsuit_3","Can you help me wear my swimsuit?","Você pode me ajudar a usar meu maiô?"
"sweater","Sweater","Suéter"
"sweater_2","My sweater is dirty.","Meu suéter está sujo."
"sweater_3","Can you help me wear my sweater?","Você pode me ajudar a usar meu suéter?"
"scarf","Scarf","Cachecol"
"scarf_2","I like wearing scarf.","Eu gosto de usar cachecol."
"scarf_3","Can you help me wear my scarf?","Você pode me ajudar a usar meu cachecol?"
"denim-shorts","Denim shorts","Shorts jeans"
"denim-shorts_2","My denim shorts are dirty.","Meus shorts jeans estão sujos."
"denim-shorts_3","Can you help me wear my denim shorts?","Você pode me ajudar a usar meu shorts jeans?"
"hoodies","Hoodies","Moletons"
"hoodies_2","I like wearing hoodies.","Eu gosto de usar capuz."
"hoodies_3","Can you help me wear my hoodie?","Você pode me ajudar a usar meu capuz?"
"swimming-shorts","Swimming shorts","Calções de banho"
"swimming-shorts_2","My swimming shorts are dirty.","Meu calção de banho está sujo."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Você pode me ajudar a usar meu calção de banho?"
"bow-tie","Bow tie","Gravata-borboleta"
"bow-tie_2","I like wearing bow tie.","Eu gosto de usar gravata borboleta."
"bow-tie_3","Can you help me wear my bow tie?","Você pode me ajudar a usar minha gravata borboleta?"
"leather-jacket","Leather jacket","Jaqueta de couro"
"leather-jacket_2","I like wearing leather jacket.","Eu gosto de usar jaqueta de couro."
"leather-jacket_3","Can you help me wear my leather jacket?","Você pode me ajudar a usar minha jaqueta de couro?"
"bathrobe","Bathrobe","Roupão de banho"
"bathrobe_2","I like wearing bathrobe.","Eu gosto de usar roupão de banho."
"bathrobe_3","Can you help me wear my bathrobe?","Você pode me ajudar a usar meu roupão de banho?"
"jumpsuit","Jumpsuit","Macacão"
"jumpsuit_2","I like wearing jumpsuit.","Eu gosto de usar macacão."
"jumpsuit_3","Can you help me wear my jumpsuit?","Você pode me ajudar a usar meu macacão?"
"fedora-hat","Fedora hat","Chapéu Fedora"
"fedora-hat_2","I like wearing fedora hat.","Eu gosto de usar chapéu fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Você pode me ajudar a usar meu chapéu fedora?"
"t-shirt","T-shirt","camiseta"
"t-shirt_2","I like wearing t-shirt.","Eu gosto de usar camiseta."
"t-shirt_3","Can you help me wear my t-shirt?","Você pode me ajudar a usar minha camiseta?"
"sleeveless","Sleeveless","Sem mangas"
"sleeveless_2","I like wearing sleeveless.","Eu gosto de usar sem mangas."
"sleeveless_3","Can you help me wear my sleeveless?","Você pode me ajudar a usar minha sem mangas?"
"boxers","Boxers","Boxers"
"boxers_2","I like wearing boxers.","Eu gosto de usar boxers."
"boxers_3","Can you help me wear my boxers?","Você pode me ajudar a usar minha cueca?"
"vest","Vest","Colete"
"vest_2","I like wearing vest.","Eu gosto de usar colete."
"vest_3","Can you help me wear my vest?","Você pode me ajudar a usar meu colete?"
"pamela-hat","Pamela hat","Chapéu Pamela"
"pamela-hat_2","I like wearing pamela hat.","Eu gosto de usar chapéu pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Você pode me ajudar a usar meu chapéu pamela?"
"high-heels","High heels","Salto alto"
"high-heels_2","I like wearing high heels.","Eu gosto de usar salto alto."
"high-heels_3","Can you help me wear my high heels?","Você pode me ajudar a usar meus sapatos de salto alto?"
"overalls","Overalls","Macacões"
"overalls_2","I like wearing overalls.","Eu gosto de usar macacão."
"overalls_3","Can you help me wear my overalls?","Você pode me ajudar a usar meu macacão?"
"kimono","Kimono","Quimono"
"kimono_2","I like wearing kimono.","Eu gosto de usar quimono."
"kimono_3","Can you help me wear my kimono?","Você pode me ajudar a usar meu quimono?"
"raincoat","Raincoat","Capa de chuva"
"raincoat_2","I like wearing raincoat.","Eu gosto de usar capa de chuva."
"raincoat_3","Can you help me wear my raincoat?","Você pode me ajudar a usar minha capa de chuva?"
"bandana","Bandana","Bandana"
