"activities","Activities","verksamhet"
"walking","Walking","Gående"
"walking_2","I like walking","jag gillar att gå"
"walking_3","I don't like walking","Jag gillar inte att gå"
"walking_4","Do you want to walk together?","Vill du gå tillsammans?"
"running","Running","Löpning"
"running_2","I like running.","Jag gillar att springa."
"running_3","I don't like running.","Jag gillar inte att springa."
"running_4","Do you want to go running?","Vill du springa?"
"talking","Talking","Talande"
"talking_2","I like talking.","Jag gillar att prata."
"talking_3","I don't like talking.","Jag gillar inte att prata."
"talking_4","Do you want to talk with me?","Vill du prata med mig?"
"reading","Reading","Läsning"
"reading_2","I like reading.","Jag gillar att läsa."
"reading_3","I don't like reading.","Jag gillar inte att läsa."
"reading_4","Do you want to read together?","Vill du läsa tillsammans?"
"football","Football","Fotboll"
"football_2","I like playing football.","Jag gillar att spela fotboll."
"football_3","I don't like playing football.","Jag gillar inte att spela fotboll."
"football_4","Do you want to play football?","Vill du spela fotboll?"
"basketball","Basketball","Basketboll"
"basketball_2","I like playing basketball.","Jag gillar att spela basket."
"basketball_3","I don't like playing basketball.","Jag gillar inte att spela basket."
"basketball_4","Do you want to play basketball?","Vill du spela basket?"
"swimming","Swimming","Simning"
"swimming_2","I like swimming.","Jag gillar simning."
"swimming_3","I don't like swimming.","Jag gillar inte att simma."
"swimming_4","Do you want to go to swimming?","Vill du bada?"
"painting","Painting","Målning"
"painting_2","I like painting.","Jag gillar att måla."
"painting_3","I don't like painting.","Jag gillar inte att måla."
"painting_4","Do you want to paint together?","Vill du måla tillsammans?"
"drawing","Drawing","Teckning"
"drawing_2","I like drawing.","Jag gillar att rita."
"drawing_3","I don't like drawing.","Jag gillar inte att rita."
"drawing_4","Do you want to draw together?","Vill du dra tillsammans?"
"cycling","Cycling","Cykling"
"cycling_2","I like cycling.","Jag gillar att cykla."
"cycling_3","I don't like cycling.","Jag gillar inte att cykla."
"cycling_4","Do you want to go cycling?","Vill du cykla?"
"skating","Skating","Skridskoåkning"
"skating_2","I like skating.","Jag gillar skridskoåkning."
"skating_3","I don't like skating.","Jag gillar inte skridskoåkning."
"skating_4","Do you want to go skating?","Vill du åka skridskor?"
"sightseeing","Sightseeing","Sightseeing"
"sightseeing_2","I like sightseeing.","Jag gillar sightseeing."
"sightseeing_3","I don't like sightseeing.","Jag gillar inte sightseeing."
"sightseeing_4","Do you want to go for sightseeing?","Vill du åka på sightseeing?"
"video-games","Video games","Videospel"
"video-games_2","I like playing video games.","Jag gillar att spela videospel."
"video-games_3","I don't like playing video games.","Jag gillar inte att spela videospel."
"video-games_4","Do you want to play games?","Vill du spela spel?"
"tidying","Tidying","städa"
"tidying_2","I like tidying my room.","Jag gillar att städa mitt rum."
"tidying_3","I don't like tidying my room.","Jag gillar inte att städa mitt rum."
"tidying_4","Can you help me tidy my room?","Kan du hjälpa mig att städa mitt rum?"
"toys","Toys","leksaker"
"toys_2","I like toys.","Jag gillar leksaker."
"toys_3","I don't like toys.","Jag gillar inte leksaker."
"toys_4","Do you want to play with my toys?","Vill du leka med mina leksaker?"
"puzzle","Puzzle","Pussel"
"puzzle_2","I like solving puzzle.","Jag gillar att lösa pussel."
"puzzle_3","I don't like solving puzzle.","Jag gillar inte att lösa pussel."
"puzzle_4","Do you want to solve puzzles with me?","Vill du lösa pussel med mig?"
"comics","Comics","Serier"
"comics_2","I like reading comics.","Jag gillar att läsa serier."
"comics_3","I don't like reading comics.","Jag gillar inte att läsa serier."
"comics_4","Do you want to read comics?","Vill du läsa serier?"
"chess","Chess","Schack"
"chess_2","I like playing chess.","Jag gillar att spela schack."
"chess_3","I don't like playing chess.","Jag gillar inte att spela schack."
"chess_4","Do you want to play chess with me?","Vill du spela schack med mig?"
"using-leeloo","Using Leeloo","Använda Leeloo"
"using-leeloo_2","I like using leeloo.","Jag gillar att använda leeloo."
"using-leeloo_3","I don't like using leeloo.","Jag gillar inte att använda leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Kan du byta kortpaket på leeloo?"
"texting","Texting","textning"
"texting_2","I like texting.","Jag gillar att skicka text."
"texting_3","I don't like texting.","Jag gillar inte SMS."
"knitting","Knitting","Stickning"
"knitting_2","I like knitting.","Jag gillar att sticka."
"knitting_3","I don't like knitting.","Jag gillar inte att sticka."
"knitting_4","I want to learn how to knit.","Jag vill lära mig att sticka."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Jag gillar bowling."
"bowling_3","I don't like bowling.","Jag gillar inte bowling."
"bowling_4","Do you want to play bowling with me?","Vill du spela bowling med mig?"
"watching-tv","Watching TV","Tittar på tv"
"watching-tv_2","I like watching tv.","Jag gillar att titta på tv."
"watching-tv_3","I don't like watching tv.","Jag gillar inte att titta på tv."
"watching-tv_4","Do you want to watch tv?","Vill du titta på tv?"
"fishing","Fishing","Fiske"
"fishing_2","I like fishing.","Jag gillar att fiska."
"fishing_3","I don't like fishing.","Jag gillar inte fiske."
"fishing_4","Do you want to go to fishing?","Vill du fiska?"
"exercising","Exercising","utövar"
"exercising_2","I like exercising.","Jag gillar att träna."
"exercising_3","I don't like exercising.","Jag gillar inte att träna."
"exercising_4","Do you want to exercise with me?","Vill du träna med mig?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Jag gillar att spela tennis."
"tennis_3","I don't like playing tennis.","Jag gillar inte att spela tennis."
"tennis_4","Do you want to play tennis with me?","Vill du spela tennis med mig?"
"animals","Animals","djur"
"cat","Cat","Katt"
"cat_2","I like cats.","Jag gillar katter."
"cat_3","I saw a cat.","Jag såg en katt."
"cat_4","What noise does a cat make?","Vilket ljud gör en katt?"
"cat_5","Can we get a cat as pet?","Kan vi få en katt som husdjur?"
"dog","Dog","Hund"
"dog_2","I like dog.","Jag gillar hund."
"dog_3","I saw a dog.","Jag såg en hund."
"dog_4","What noise does a dog make?","Vilket ljud gör en hund?"
"dog_5","Can we get a dog as pet?","Kan vi få en hund som husdjur?"
"fish","Fish","Fisk"
"fish_2","I like fish.","Jag tycker om fisk."
"fish_3","I saw a fish.","Jag såg en fisk."
"fish_4","What noise does a fish make?","Vilket ljud gör en fisk?"
"fish_5","Can we get a fish as pet?","Kan vi få en fisk som husdjur?"
"rabbit","Rabbit","Kanin"
"rabbit_2","I like rabbits.","Jag gillar kaniner."
"rabbit_3","I saw a rabbit.","Jag såg en kanin."
"rabbit_4","What noise does a rabbit make?","Vilket ljud gör en kanin?"
"rabbit_5","Can we get a rabbit as pet?","Kan vi få en kanin som husdjur?"
"butterfly","Butterfly","Fjäril"
"butterfly_2","I like butterflies.","Jag gillar fjärilar."
"butterfly_3","I saw a butterfly.","Jag såg en fjäril."
"butterfly_4","What noise does a butterfly make?","Vilket ljud gör en fjäril?"
"kangaroo","Kangaroo","Känguru"
"kangaroo_2","I like kangaroos.","Jag gillar känguruer."
"kangaroo_3","I saw a kangaroo.","Jag såg en känguru."
"kangaroo_4","What noise does a kangaroo make?","Vilket ljud gör en känguru?"
"turtle","Turtle","Sköldpadda"
"turtle_2","I like turtles.","Jag gillar sköldpaddor."
"turtle_3","I saw a turtle.","Jag såg en sköldpadda."
"turtle_4","What noise does a turtle make?","Vilket ljud gör en sköldpadda?"
"giraffe","Giraffe","Giraff"
"giraffe_2","I like giraffes.","Jag gillar giraffer."
"giraffe_3","I saw a giraffe.","Jag såg en giraff."
"giraffe_4","What noise does a giraffe make?","Vilket ljud gör en giraff?"
"frog","Frog","Groda"
"frog_2","I like frogs.","Jag gillar grodor."
"frog_3","I saw a frog.","Jag såg en groda."
"frog_4","What noise does a frog make?","Vilket ljud gör en groda?"
"swan","Swan","Svan"
"swan_2","I like swans.","Jag gillar svanar."
"swan_3","I saw a swan.","Jag såg en svan."
"swan_4","What noise does a swan make?","Vilket ljud gör en svan?"
"spider","Spider","Spindel"
"spider_2","I like spiders.","Jag gillar spindlar."
"spider_3","I saw a spider.","Jag såg en spindel."
"spider_4","What noise does a spider make?","Vilket ljud gör en spindel?"
"cow","Cow","Ko"
"cow_2","I like cows.","Jag gillar kor."
"cow_3","I saw a cow.","Jag såg en ko."
"cow_4","What noise does a cow make?","Vilket ljud gör en ko?"
"duck","Duck","Anka"
"duck_2","I like ducks.","Jag gillar ankor."
"duck_3","I saw a duck.","Jag såg en anka."
"duck_4","What noise does a duck make?","Vilket ljud gör en anka?"
"horse","Horse","Häst"
"horse_2","I like horses.","Jag gillar hästar."
"horse_3","I saw a horse.","Jag såg en häst."
"horse_4","What noise does a horse make?","Vilket ljud gör en häst?"
"chicken","Chicken","Kyckling"
"chicken_2","I like chickens.","Jag gillar kycklingar."
"chicken_3","I saw a chicken.","Jag såg en kyckling."
"chicken_4","What noise does a chicken make?","Vilket ljud gör en kyckling?"
"bee","Bee","Bi"
"bee_2","I like bees.","Jag gillar bin."
"bee_3","I saw a bee.","Jag såg ett bi."
"bee_4","What noise does a bee make?","Vilket ljud gör ett bi?"
"pig","Pig","Gris"
"pig_2","I like pigs.","Jag gillar svin."
"pig_3","I saw a pig.","Jag såg en gris."
"pig_4","What noise does a pig make?","Vilket ljud gör en gris?"
"dove","Dove","Duva"
"dove_2","I like doves.","Jag gillar duvor."
"dove_3","I saw a dove.","Jag såg en duva."
"dove_4","What noise does a dove make?","Vilket ljud gör en duva?"
"crab","Crab","krabba"
"crab_2","I like crabs.","Jag gillar krabbor."
"crab_3","I saw a crab.","Jag såg en krabba."
"crab_4","What noise does a crab make?","Vilket ljud gör en krabba?"
"penguin","Penguin","Pingvin"
"penguin_2","I like penguins.","Jag gillar pingviner."
"penguin_3","I saw a penguin.","Jag såg en pingvin."
"penguin_4","What noise does a penguin make?","Vilket ljud gör en pingvin?"
"elephant","Elephant","Elefant"
"elephant_2","I like elephants.","Jag gillar elefanter."
"elephant_3","I saw an elephant.","Jag såg en elefant."
"elephant_4","What noise does an elephant make?","Vilket ljud gör en elefant?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Jag gillar sebraer."
"zebra_3","I saw a zebra.","Jag såg en sebra."
"zebra_4","What noise does a zebra make?","Vilket ljud gör en sebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Jag gillar pandor."
"panda_3","I saw a panda.","Jag såg en panda."
"panda_4","What noise does a panda make?","Vilket ljud gör en panda?"
"monkey","Monkey","Apa"
"monkey_2","I like monkeys.","Jag gillar apor."
"monkey_3","I saw a monkey.","Jag såg en apa."
"monkey_4","What noise does a monkey make?","Vilket ljud gör en apa?"
"camel","Camel","Kamel"
"camel_2","I like camels.","Jag gillar kameler."
"camel_3","I saw a camel.","Jag såg en kamel."
"camel_4","What noise does a camel make?","Vilket ljud gör en kamel?"
"mouse","Mouse","Mus"
"mouse_2","I like mice.","Jag gillar möss."
"mouse_3","I saw a mouse.","Jag såg en mus."
"mouse_4","What noise does a mouse make?","Vilket ljud gör en mus?"
"tiger","Tiger","Tiger"
"tiger_2","I like tigers.","Jag gillar tigrar."
"tiger_3","I saw a tiger.","Jag såg en tiger."
"tiger_4","What noise does a tiger make?","Vilket ljud gör en tiger?"
"jellyfish","Jellyfish","Manet"
"jellyfish_2","I like jellyfishes.","Jag gillar maneter."
"jellyfish_3","I saw a jellyfish.","Jag såg en manet."
"jellyfish_4","What noise does a jellyfish make?","Vilket ljud gör en manet?"
"crocodile","Crocodile","Krokodil"
"crocodile_2","I like crocodiles.","Jag gillar krokodiler."
"crocodile_3","I saw a crocodile.","Jag såg en krokodil."
"crocodile_4","What noise does a crocodile make?","Vilket ljud gör en krokodil?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Jag gillar koalor."
"koala_3","I saw a koala.","Jag såg en koala."
"koala_4","What noise does a koala make?","Vilket ljud gör en koala?"
"ostrich","Ostrich","Struts"
"ostrich_2","I like ostriches.","Jag gillar strutsar."
"ostrich_3","I saw an ostrich.","Jag såg en struts."
"ostrich_4","What noise does an ostrich make?","Vilket ljud gör en struts?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Jag gillar racoons."
"racoon_3","I saw a racoon.","Jag såg en racoon."
"racoon_4","What noise does a racoon make?","Vilket ljud gör en racoon?"
"bat","Bat","fladdermus"
"bat_2","I like bats.","Jag gillar fladdermöss."
"bat_3","I saw a bat.","Jag såg en fladdermus."
"bat_4","What noise does a bat make?","Vilket ljud gör en fladdermus?"
"eagle","Eagle","Örn"
"eagle_2","I like eagles.","Jag gillar örnar."
"eagle_3","I saw an eagle.","Jag såg en örn."
"eagle_4","What noise does an eagle make?","Vilket ljud gör en örn?"
"hippopotamus","Hippopotamus","Flodhäst"
"hippopotamus_2","I like hippopotamus.","Jag gillar flodhäst."
"hippopotamus_3","I saw a hippopotamus.","Jag såg en flodhäst."
"hippopotamus_4","What noise does a hippopotamus make?","Vilket ljud gör en flodhäst?"
"seal","Seal","Täta"
"seal_2","I like seals.","Jag gillar sälar."
"seal_3","I saw a seal.","Jag såg en säl."
"seal_4","What noise does a seal make?","Vilket ljud gör en tätning?"
"walrus","Walrus","Valross"
"walrus_2","I like walruses.","Jag gillar valrossar."
"walrus_3","I saw a walrus.","Jag såg en valross."
"walrus_4","What noise does a walrus make?","Vilket ljud gör en valross?"
"seahorse","Seahorse","Sjöhäst"
"seahorse_2","I like seahorses.","Jag gillar sjöhästar."
"seahorse_3","I saw a seahorse.","Jag såg en sjöhäst."
"seahorse_4","What noise does a seahorse make?","Vilket ljud gör en sjöhäst?"
"bull","Bull","Tjur"
"bull_2","I like bulls.","Jag gillar tjurar."
"bull_3","I saw a bull.","Jag såg en tjur."
"bull_4","What noise does a bull make?","Vilket ljud gör en tjur?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Jag gillar pelikaner."
"pelican_3","I saw a pelican.","Jag såg en pelikan."
"pelican_4","What noise does a pelican make?","Vilket ljud gör en pelikan?"
"beaver","Beaver","Bäver"
"beaver_2","I like beavers.","Jag gillar bäver."
"beaver_3","I saw a beaver.","Jag såg en bäver."
"beaver_4","What noise does a beaver make?","Vilket ljud gör en bäver?"
"goldfish","Goldfish","Guldfisk"
"goldfish_2","I like goldfishes.","Jag gillar guldfiskar."
"goldfish_3","I saw a goldfish.","Jag såg en guldfisk."
"goldfish_4","What noise does a goldfish make?","Vilket ljud gör en guldfisk?"
"goldfish_5","Can we get a goldfish as pet?","Kan vi få en guldfisk som husdjur?"
"rhinoceros","Rhinoceros","Noshörning"
"rhinoceros_2","I like rhinoceros.","Jag gillar noshörning."
"rhinoceros_3","I saw a rhinoceros.","Jag såg en noshörning."
"rhinoceros_4","What noise does a rhinoceros make?","Vilket ljud gör en noshörning?"
"snake","Snake","Orm"
"snake_2","I like snakes.","Jag gillar ormar."
"snake_3","I saw a snake.","Jag såg en orm."
"snake_4","What noise does a snake make?","Vilket ljud gör en orm?"
"lion","Lion","Lion"
"lion_2","I like lions.","Jag gillar lejon."
"lion_3","I saw a lion.","Jag såg ett lejon."
"lion_4","What noise does a lion make?","Vilket ljud gör en lejon?"
"squid","Squid","Bläckfisk"
"squid_2","I like squids.","Jag gillar bläckfiskar."
"squid_3","I saw a squid.","Jag såg en bläckfisk."
"squid_4","What noise does a squid make?","Vilket ljud gör en bläckfisk?"
"whale","Whale","Val"
"whale_2","I like whales.","Jag gillar valar."
"whale_3","I saw a whale.","Jag såg en val."
"whale_4","What noise does a whale make?","Vilket ljud gör en val?"
"beetle","Beetle","Skalbagge"
"beetle_2","I like beetles.","Jag gillar skalbaggar."
"beetle_3","I saw a beetle.","Jag såg en skalbagge."
"beetle_4","What noise does a beetle make?","Vilket ljud gör en skalbagge?"
"dolphin","Dolphin","Delfin"
"dolphin_2","I like dolphins.","Jag gillar delfiner."
"dolphin_3","I saw a dolphin.","Jag såg en delfin."
"dolphin_4","What noise does a dolphin make?","Vilket ljud gör en delfin?"
"starfish","Starfish","Sjöstjärna"
"starfish_2","I like starfishes.","Jag gillar sjöstjärnor."
"starfish_3","I saw a starfish.","Jag såg en sjöstjärna."
"starfish_4","What noise does a starfish make?","Vilket ljud gör en sjöstjärna?"
"parakeet","Parakeet","Parakit"
"parakeet_2","I like parakeets.","Jag gillar parakiter."
"parakeet_3","I saw a parakeet.","Jag såg en parakiter."
"parakeet_4","What noise does a parakeet make?","Vilket ljud gör en parakit?"
"owl","Owl","Uggla"
"owl_2","I like owls.","Jag gillar ugglor."
"owl_3","I saw an owl.","Jag såg en uggla."
"owl_4","What noise does an owl make?","Vilket ljud gör en uggla?"
"sheep","Sheep","Får"
"sheep_2","I like sheeps.","Jag gillar får."
"sheep_3","I saw a sheep.","Jag såg ett får."
"sheep_4","What noise does a sheep make?","Vilket ljud gör ett får?"
"clothes","Clothes","Kläder"
"pants","Pants","Byxor"
"pants_2","My pants are dirty.","Mina byxor är smutsiga."
"pants_3","Can you help me wear my pants?","Kan du hjälpa mig att bära mina byxor?"
"shirt","Shirt","Skjorta"
"shirt_2","My shirt is dirty.","Min skjorta är smutsig."
"shirt_3","Can you help me wear my shirt?","Kan du hjälpa mig att bära min skjorta?"
"skirt","Skirt","Kjol"
"skirt_2","My skirt is dirty.","Min kjol är smutsig."
"skirt_3","Can you help me wear my skirt?","Kan du hjälpa mig att bära min kjol?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Min underkläder är smutsig."
"panty_3","Can you help me wear my panty?","Kan du hjälpa mig att bära trosan?"
"jacket","Jacket","Jacka"
"jacket_2","My jacket is dirty.","Min jacka är smutsig."
"jacket_3","Can you help me wear my jacket?","Kan du hjälpa mig att bära min jacka?"
"tie","Tie","Slips"
"tie_2","I like wearing tie.","Jag gillar att bära slips."
"tie_3","Can you help me tie my tie?","Kan du hjälpa mig att knyta mitt slips?"
"baseball-cap","Baseball cap","Basebollkeps"
"baseball-cap_2","I like wearing baseball cap.","Jag gillar att bära baseballmössa."
"baseball-cap_3","Which baseball cap should I wear?","Vilket baseballlock ska jag bära?"
"dress","Dress","Klänning"
"dress_2","My dress is dirty.","Min klänning är smutsig."
"dress_3","Can you help me wear my dress?","Kan du hjälpa mig att bära min klänning?"
"shoes","Shoes","Skor"
"shoes_2","My shoes are dirty.","Mina skor är smutsiga."
"shoes_3","Can you help me wear my shoes?","Kan du hjälpa mig att bära mina skor?"
"boots","Boots","stövlar"
"boots_2","My boots are dirty.","Mina stövlar är smutsiga."
"boots_3","Can you help me wear my boots?","Kan du hjälpa mig att bära mina stövlar?"
"sneakers","Sneakers","gymnastikskor"
"sneakers_2","I want to wear my sneakers.","Jag vill bära mina sneakers."
"sneakers_3","Can you help me wear my sneakers?","Kan du hjälpa mig att bära mina sneakers?"
"slippers","Slippers","Tofflor"
"slippers_2","I want to wear my slippers.","Jag vill ha mina tofflor."
"slippers_3","Can you help me wear my slippers?","Kan du hjälpa mig att bära mina tofflor?"
"belt","Belt","Bälte"
"belt_2","I like wearing belt.","Jag gillar att bära bälte."
"belt_3","Can you help me wear my belt?","Kan du hjälpa mig att bära mitt bälte?"
"socks","Socks","Strumpor"
"socks_2","My socks are dirty.","Mina strumpor är smutsiga."
"socks_3","Can you help me wear my socks?","Kan du hjälpa mig att bära mina strumpor?"
"swimsuit","Swimsuit","Baddräkt"
"swimsuit_2","I want to wear my swimsuit.","Jag vill ha min baddräkt."
"swimsuit_3","Can you help me wear my swimsuit?","Kan du hjälpa mig att bära min baddräkt?"
"sweater","Sweater","Tröja"
"sweater_2","My sweater is dirty.","Min tröja är smutsig."
"sweater_3","Can you help me wear my sweater?","Kan du hjälpa mig att bära min tröja?"
"scarf","Scarf","Scarf"
"scarf_2","I like wearing scarf.","Jag gillar att ha på mig halsduk."
"scarf_3","Can you help me wear my scarf?","Kan du hjälpa mig att bära min halsduk?"
"denim-shorts","Denim shorts","Jeansshorts"
"denim-shorts_2","My denim shorts are dirty.","Mina jeans-shorts är smutsiga."
"denim-shorts_3","Can you help me wear my denim shorts?","Kan du hjälpa mig att bära mina jeansbyxor?"
"hoodies","Hoodies","hoodies"
"hoodies_2","I like wearing hoodies.","Jag gillar att bära hoodies."
"hoodies_3","Can you help me wear my hoodie?","Kan du hjälpa mig att bära min hoodie?"
"swimming-shorts","Swimming shorts","Badbyxor"
"swimming-shorts_2","My swimming shorts are dirty.","Mina badshorts är smutsiga."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Kan du hjälpa mig att bära mina badbyxor?"
"bow-tie","Bow tie","Fluga"
"bow-tie_2","I like wearing bow tie.","Jag gillar att bära slips."
"bow-tie_3","Can you help me wear my bow tie?","Kan du hjälpa mig att bära mitt fluga?"
"leather-jacket","Leather jacket","Läderjacka"
"leather-jacket_2","I like wearing leather jacket.","Jag gillar att bära läderjacka."
"leather-jacket_3","Can you help me wear my leather jacket?","Kan du hjälpa mig att bära min skinnjacka?"
"bathrobe","Bathrobe","Badrock"
"bathrobe_2","I like wearing bathrobe.","Jag gillar att ha badrock."
"bathrobe_3","Can you help me wear my bathrobe?","Kan du hjälpa mig att bära min badrock?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Jag gillar att ha på mig jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Kan du hjälpa mig att bära min jumpsuit?"
"fedora-hat","Fedora hat","Fedora hatt"
"fedora-hat_2","I like wearing fedora hat.","Jag gillar att ha på mig fedorahatt."
"fedora-hat_3","Can you help me wear my fedora hat?","Kan du hjälpa mig att bära min fedorahatt?"
"t-shirt","T-shirt","T-shirt"
"t-shirt_2","I like wearing t-shirt.","Jag gillar att bära t-shirt."
"t-shirt_3","Can you help me wear my t-shirt?","Kan du hjälpa mig att bära min t-shirt?"
"sleeveless","Sleeveless","Ärmlös"
"sleeveless_2","I like wearing sleeveless.","Jag gillar att ha ärmlös."
"sleeveless_3","Can you help me wear my sleeveless?","Kan du hjälpa mig att bära min ärmlösa?"
"boxers","Boxers","Boxers"
"boxers_2","I like wearing boxers.","Jag gillar att bära boxare."
"boxers_3","Can you help me wear my boxers?","Kan du hjälpa mig att bära mina boxare?"
"vest","Vest","Väst"
"vest_2","I like wearing vest.","Jag gillar att bära väst."
"vest_3","Can you help me wear my vest?","Kan du hjälpa mig att bära min väst?"
"pamela-hat","Pamela hat","Pamela hatt"
"pamela-hat_2","I like wearing pamela hat.","Jag gillar att bära pamela hatt."
"pamela-hat_3","Can you help me wear my pamela hat?","Kan du hjälpa mig att bära min pamela hatt?"
"high-heels","High heels","Högklackat"
"high-heels_2","I like wearing high heels.","Jag gillar att ha höga klackar."
"high-heels_3","Can you help me wear my high heels?","Kan du hjälpa mig att bära mina höga klackar?"
"overalls","Overalls","Overall"
"overalls_2","I like wearing overalls.","Jag gillar att ha overall."
"overalls_3","Can you help me wear my overalls?","Kan du hjälpa mig att bära mina overallar?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Jag gillar att bära kimono."
"kimono_3","Can you help me wear my kimono?","Kan du hjälpa mig att bära min kimono?"
"raincoat","Raincoat","regnkappa"
"raincoat_2","I like wearing raincoat.","Jag gillar att ha regnrock."
