"activities","Activities","Діяльності"
"walking","Walking","Ходьба"
"walking_2","I like walking","Мені подобається гуляти"
"walking_3","I don't like walking","Мені не подобається гуляти"
"walking_4","Do you want to walk together?","Ви хочете гуляти разом?"
"running","Running","Біг"
"running_2","I like running.","Мені подобається бігати."
"running_3","I don't like running.","Мені не подобається бігати."
"running_4","Do you want to go running?","Ви хочете бігти?"
"talking","Talking","Розмови"
"talking_2","I like talking.","Мені подобається розмовляти."
"talking_3","I don't like talking.","Мені не подобається говорити."
"talking_4","Do you want to talk with me?","Ви хочете поговорити зі мною?"
"reading","Reading","Читання"
"reading_2","I like reading.","Я люблю читати."
"reading_3","I don't like reading.","Мені не подобається читати."
"reading_4","Do you want to read together?","Ви хочете читати разом?"
"football","Football","Футбол"
"football_2","I like playing football.","Мені подобається грати у футбол."
"football_3","I don't like playing football.","Мені не подобається грати у футбол."
"football_4","Do you want to play football?","Ви хочете пограти у футбол?"
"basketball","Basketball","Баскетбол"
"basketball_2","I like playing basketball.","Мені подобається грати в баскетбол."
"basketball_3","I don't like playing basketball.","Мені не подобається грати в баскетбол."
"basketball_4","Do you want to play basketball?","Ви хочете пограти в баскетбол?"
"swimming","Swimming","Плавання"
"swimming_2","I like swimming.","Я люблю плавати."
"swimming_3","I don't like swimming.","Я не люблю плавання."
"swimming_4","Do you want to go to swimming?","Ви хочете плавати?"
"painting","Painting","Живопис"
"painting_2","I like painting.","Мені подобається живопис."
"painting_3","I don't like painting.","Я не люблю малювати."
"painting_4","Do you want to paint together?","Ви хочете малювати разом?"
"drawing","Drawing","Малювання"
"drawing_2","I like drawing.","Мені подобається малювати."
"drawing_3","I don't like drawing.","Мені не подобається малювати."
"drawing_4","Do you want to draw together?","Ви хочете малювати разом?"
"cycling","Cycling","Велоспорт"
"cycling_2","I like cycling.","Мені подобається їзда на велосипеді."
"cycling_3","I don't like cycling.","Я не люблю їздити на велосипеді."
"cycling_4","Do you want to go cycling?","Ви хочете їздити на велосипеді?"
"skating","Skating","Катання на ковзанах"
"skating_2","I like skating.","Мені подобається катання на ковзанах."
"skating_3","I don't like skating.","Я не люблю ковзани."
"skating_4","Do you want to go skating?","Ви хочете кататися на ковзанах?"
"sightseeing","Sightseeing","Екскурсії"
"sightseeing_2","I like sightseeing.","Мені подобаються екскурсії."
"sightseeing_3","I don't like sightseeing.","Мені не подобаються екскурсії."
"sightseeing_4","Do you want to go for sightseeing?","Ви хочете відвідати екскурсії?"
"video-games","Video games","Відео ігри"
"video-games_2","I like playing video games.","Мені подобається грати у відеоігри."
"video-games_3","I don't like playing video games.","Мені не подобається грати у відеоігри."
"video-games_4","Do you want to play games?","Ви хочете пограти в ігри?"
"tidying","Tidying","Прибирання"
"tidying_2","I like tidying my room.","Мені подобається прибирати свою кімнату."
"tidying_3","I don't like tidying my room.","Мені не подобається прибирати свою кімнату."
"tidying_4","Can you help me tidy my room?","Чи можете ви допомогти мені привести в порядок свою кімнату?"
"toys","Toys","Іграшки"
"toys_2","I like toys.","Мені подобаються іграшки."
"toys_3","I don't like toys.","Я не люблю іграшки."
"toys_4","Do you want to play with my toys?","Ви хочете пограти з моїми іграшками?"
"puzzle","Puzzle","Головоломка"
"puzzle_2","I like solving puzzle.","Мені подобається розгадування головоломки."
"puzzle_3","I don't like solving puzzle.","Мені не подобається розгадувати головоломки."
"puzzle_4","Do you want to solve puzzles with me?","Ви хочете розгадувати загадки зі мною?"
"comics","Comics","Комікси"
"comics_2","I like reading comics.","Мені подобається читати комікси."
"comics_3","I don't like reading comics.","Мені не подобається читати комікси."
"comics_4","Do you want to read comics?","Ви хочете читати комікси?"
"chess","Chess","Шахи"
"chess_2","I like playing chess.","Мені подобається грати в шахи."
"chess_3","I don't like playing chess.","Мені не подобається грати в шахи."
"chess_4","Do you want to play chess with me?","Хочеш зі мною грати в шахи?"
"using-leeloo","Using Leeloo","Використання Leeloo"
"using-leeloo_2","I like using leeloo.","Мені подобається використовувати лелу."
"using-leeloo_3","I don't like using leeloo.","Мені не подобається використовувати лелу."
"using-leeloo_4","Can you change card packs on leeloo?","Чи можете ви змінити пакети карт на leeloo?"
"texting","Texting","Текстові повідомлення"
"texting_2","I like texting.","Мені подобається текстові повідомлення."
"texting_3","I don't like texting.","Мені не подобається текстові повідомлення."
"knitting","Knitting","В'язання"
"knitting_2","I like knitting.","Мені подобається в'язання."
"knitting_3","I don't like knitting.","Мені не подобається в'язання."
"knitting_4","I want to learn how to knit.","Я хочу навчитися в’язати."
"bowling","Bowling","Боулінг"
"bowling_2","I like bowling.","Мені подобається боулінг."
"bowling_3","I don't like bowling.","Мені не подобається боулінг."
"bowling_4","Do you want to play bowling with me?","Ви хочете пограти зі мною в боулінг?"
"watching-tv","Watching TV","Перегляд телевізора"
"watching-tv_2","I like watching tv.","Мені подобається дивитися телевізор."
"watching-tv_3","I don't like watching tv.","Мені не подобається дивитися телевізор."
"watching-tv_4","Do you want to watch tv?","Ви хочете дивитись телевізор?"
"fishing","Fishing","Риболовля"
"fishing_2","I like fishing.","Мені подобається рибалка."
"fishing_3","I don't like fishing.","Я не люблю риболовлю."
"fishing_4","Do you want to go to fishing?","Ви хочете піти на риболовлю?"
"exercising","Exercising","Вправа"
"exercising_2","I like exercising.","Мені подобається займатися фізичними вправами."
"exercising_3","I don't like exercising.","Мені не подобається займатися фізичними вправами."
"exercising_4","Do you want to exercise with me?","Ви хочете займатися зі мною?"
"tennis","Tennis","Теніс"
"tennis_2","I like playing tennis.","Мені подобається грати в теніс."
"tennis_3","I don't like playing tennis.","Мені не подобається грати в теніс."
"tennis_4","Do you want to play tennis with me?","Ви хочете зі мною пограти в теніс?"
"animals","Animals","Тварини"
"cat","Cat","Кіт"
"cat_2","I like cats.","Я люблю котів."
"cat_3","I saw a cat.","Я побачив кота."
"cat_4","What noise does a cat make?","Який шум видає кішка?"
"cat_5","Can we get a cat as pet?","Чи можемо ми завести кота домашньою твариною?"
"dog","Dog","Собака"
"dog_2","I like dog.","Мені подобається собака."
"dog_3","I saw a dog.","Я побачив собаку."
"dog_4","What noise does a dog make?","Який шум видає собака?"
"dog_5","Can we get a dog as pet?","Чи можемо ми придбати собаку як домашню тварину?"
"fish","Fish","Риба"
"fish_2","I like fish.","Мені подобається риба."
"fish_3","I saw a fish.","Я побачив рибу."
"fish_4","What noise does a fish make?","Який шум видає риба?"
"fish_5","Can we get a fish as pet?","Чи можемо ми придбати рибу як домашню тварину?"
"rabbit","Rabbit","Кролик"
"rabbit_2","I like rabbits.","Мені подобаються кролики."
"rabbit_3","I saw a rabbit.","Я побачив кролика."
"rabbit_4","What noise does a rabbit make?","Який шум видає кролик?"
"rabbit_5","Can we get a rabbit as pet?","Чи можемо ми придбати кролика як домашнього улюбленця?"
"butterfly","Butterfly","Метелик"
"butterfly_2","I like butterflies.","Мені подобаються метелики."
"butterfly_3","I saw a butterfly.","Я побачив метелика."
"butterfly_4","What noise does a butterfly make?","Який шум видає метелик?"
"kangaroo","Kangaroo","Кенгуру"
"kangaroo_2","I like kangaroos.","Мені подобаються кенгуру."
"kangaroo_3","I saw a kangaroo.","Я побачив кенгуру."
"kangaroo_4","What noise does a kangaroo make?","Який шум видає кенгуру?"
"turtle","Turtle","Черепаха"
"turtle_2","I like turtles.","Мені подобаються черепахи."
"turtle_3","I saw a turtle.","Я побачив черепаху."
"turtle_4","What noise does a turtle make?","Який шум видає черепаха?"
"giraffe","Giraffe","Жирафа"
"giraffe_2","I like giraffes.","Мені подобаються жирафи."
"giraffe_3","I saw a giraffe.","Я побачив жирафа."
"giraffe_4","What noise does a giraffe make?","Який шум видає жирафа?"
"frog","Frog","Жаба"
"frog_2","I like frogs.","Мені подобаються жаби."
"frog_3","I saw a frog.","Я побачив жабу."
"frog_4","What noise does a frog make?","Який шум видає жаба?"
"swan","Swan","Лебідь"
"swan_2","I like swans.","Мені подобаються лебеді."
"swan_3","I saw a swan.","Я побачив лебедя."
"swan_4","What noise does a swan make?","Який шум видає лебідь?"
"spider","Spider","Павук"
"spider_2","I like spiders.","Мені подобаються павуки."
"spider_3","I saw a spider.","Я побачив павука."
"spider_4","What noise does a spider make?","Який шум видає павук?"
"cow","Cow","Корова"
"cow_2","I like cows.","Мені подобаються корови."
"cow_3","I saw a cow.","Я побачив корову."
"cow_4","What noise does a cow make?","Який шум видає корова?"
"duck","Duck","Качка"
"duck_2","I like ducks.","Мені подобаються качки."
"duck_3","I saw a duck.","Я побачив качку."
"duck_4","What noise does a duck make?","Який шум видає качка?"
"horse","Horse","Кінь"
"horse_2","I like horses.","Мені подобаються коні."
"horse_3","I saw a horse.","Я побачив коня."
"horse_4","What noise does a horse make?","Який шум видає кінь?"
"chicken","Chicken","Курка"
"chicken_2","I like chickens.","Мені подобаються кури."
"chicken_3","I saw a chicken.","Я побачив курку."
"chicken_4","What noise does a chicken make?","Який шум видає курка?"
"bee","Bee","Бджола"
"bee_2","I like bees.","Мені подобаються бджоли."
"bee_3","I saw a bee.","Я побачив бджолу."
"bee_4","What noise does a bee make?","Який шум видає бджола?"
"pig","Pig","Свиня"
"pig_2","I like pigs.","Мені подобаються свині."
"pig_3","I saw a pig.","Я побачив свиню."
"pig_4","What noise does a pig make?","Який шум видає свиня?"
"dove","Dove","Голуб"
"dove_2","I like doves.","Мені подобаються голуби."
"dove_3","I saw a dove.","Я побачив голуба."
"dove_4","What noise does a dove make?","Який шум видає голуб?"
"crab","Crab","Краб"
"crab_2","I like crabs.","Мені подобаються краби."
"crab_3","I saw a crab.","Я побачив краба."
"crab_4","What noise does a crab make?","Який шум видає краб?"
"penguin","Penguin","Пінгвін"
"penguin_2","I like penguins.","Мені подобаються пінгвіни."
"penguin_3","I saw a penguin.","Я побачив пінгвіна."
"penguin_4","What noise does a penguin make?","Який шум видає пінгвін?"
"elephant","Elephant","Слон"
"elephant_2","I like elephants.","Мені подобаються слони."
"elephant_3","I saw an elephant.","Я побачив слона."
"elephant_4","What noise does an elephant make?","Який шум видає слон?"
"zebra","Zebra","Зебра"
"zebra_2","I like zebras.","Мені подобаються зебри."
"zebra_3","I saw a zebra.","Я побачив зебру."
"zebra_4","What noise does a zebra make?","Який шум видає зебра?"
"panda","Panda","Панда"
"panda_2","I like pandas.","Мені подобаються панди."
"panda_3","I saw a panda.","Я побачив панду."
"panda_4","What noise does a panda make?","Який шум видає панда?"
"monkey","Monkey","Мавпа"
"monkey_2","I like monkeys.","Мені подобаються мавпи."
"monkey_3","I saw a monkey.","Я побачив мавпу."
"monkey_4","What noise does a monkey make?","Який шум видає мавпа?"
"camel","Camel","Верблюд"
"camel_2","I like camels.","Мені подобаються верблюди."
"camel_3","I saw a camel.","Я побачив верблюда."
"camel_4","What noise does a camel make?","Який шум видає верблюд?"
"mouse","Mouse","Миша"
"mouse_2","I like mice.","Мені подобаються миші."
"mouse_3","I saw a mouse.","Я побачив мишку."
"mouse_4","What noise does a mouse make?","Який шум видає миша?"
"tiger","Tiger","Тигр"
"tiger_2","I like tigers.","Мені подобаються тигри."
"tiger_3","I saw a tiger.","Я побачив тигра."
"tiger_4","What noise does a tiger make?","Який шум видає тигр?"
"jellyfish","Jellyfish","Медузи"
"jellyfish_2","I like jellyfishes.","Мені подобаються медузи."
"jellyfish_3","I saw a jellyfish.","Я побачив медузу."
"jellyfish_4","What noise does a jellyfish make?","Який шум видає медуза?"
"crocodile","Crocodile","Крокодил"
"crocodile_2","I like crocodiles.","Мені подобаються крокодили."
"crocodile_3","I saw a crocodile.","Я побачив крокодила."
"crocodile_4","What noise does a crocodile make?","Який шум видає крокодил?"
"koala","Koala","Коала"
"koala_2","I like koalas.","Мені подобаються коали."
"koala_3","I saw a koala.","Я побачив коалу."
"koala_4","What noise does a koala make?","Який шум видає коала?"
"ostrich","Ostrich","Страус"
"ostrich_2","I like ostriches.","Мені подобаються страуси."
"ostrich_3","I saw an ostrich.","Я побачив страуса."
"ostrich_4","What noise does an ostrich make?","Який шум видає страус?"
"racoon","Racoon","Єнот"
"racoon_2","I like racoons.","Мені подобаються єноти."
"racoon_3","I saw a racoon.","Я побачив єнота."
"racoon_4","What noise does a racoon make?","Який шум видає єнот?"
"bat","Bat","Кажан"
"bat_2","I like bats.","Мені подобаються кажани."
"bat_3","I saw a bat.","Я побачив кажана."
"bat_4","What noise does a bat make?","Який шум видає кажан?"
"eagle","Eagle","Орел"
"eagle_2","I like eagles.","Мені подобаються орли."
"eagle_3","I saw an eagle.","Я побачив орла."
"eagle_4","What noise does an eagle make?","Який шум видає орел?"
"hippopotamus","Hippopotamus","Бегемот"
"hippopotamus_2","I like hippopotamus.","Мені подобається гіпопотам."
"hippopotamus_3","I saw a hippopotamus.","Я побачив бегемота."
"hippopotamus_4","What noise does a hippopotamus make?","Який шум видає гіпопотам?"
"seal","Seal","Печатка"
"seal_2","I like seals.","Мені подобаються тюлені."
"seal_3","I saw a seal.","Я побачив печатку."
"seal_4","What noise does a seal make?","Який шум видає пломба?"
"walrus","Walrus","Морж"
"walrus_2","I like walruses.","Мені подобаються моржі."
"walrus_3","I saw a walrus.","Я побачив морж."
"walrus_4","What noise does a walrus make?","Який шум видає морж?"
"seahorse","Seahorse","Морський коник"
"seahorse_2","I like seahorses.","Мені подобаються морські коні."
"seahorse_3","I saw a seahorse.","Я побачив морського коня."
"seahorse_4","What noise does a seahorse make?","Який шум видає морський коник?"
"bull","Bull","Бик"
"bull_2","I like bulls.","Мені подобаються бики."
"bull_3","I saw a bull.","Я побачив бика."
"bull_4","What noise does a bull make?","Який шум видає бик?"
"pelican","Pelican","Пелікан"
"pelican_2","I like pelicans.","Мені подобаються пелікани."
"pelican_3","I saw a pelican.","Я побачив пелікана."
"pelican_4","What noise does a pelican make?","Який шум видає пелікан?"
"beaver","Beaver","Бобр"
"beaver_2","I like beavers.","Мені подобаються бобри."
"beaver_3","I saw a beaver.","Я побачив бобра."
"beaver_4","What noise does a beaver make?","Який шум видає бобр?"
"goldfish","Goldfish","Золота рибка"
"goldfish_2","I like goldfishes.","Мені подобаються золоті рибки."
"goldfish_3","I saw a goldfish.","Я побачив золоту рибку."
"goldfish_4","What noise does a goldfish make?","Який шум видає золота рибка?"
"goldfish_5","Can we get a goldfish as pet?","Чи можемо ми придбати золоту рибку як домашню тварину?"
"rhinoceros","Rhinoceros","Носоріг"
"rhinoceros_2","I like rhinoceros.","Мені подобаються носороги."
"rhinoceros_3","I saw a rhinoceros.","Я побачив носорога."
"rhinoceros_4","What noise does a rhinoceros make?","Який шум видає носоріг?"
"snake","Snake","Змія"
"snake_2","I like snakes.","Мені подобаються змії."
"snake_3","I saw a snake.","Я побачив змію."
"snake_4","What noise does a snake make?","Який шум видає змія?"
"lion","Lion","Лев"
"lion_2","I like lions.","Мені подобаються леви."
"lion_3","I saw a lion.","Я побачив лева."
"lion_4","What noise does a lion make?","Який шум видає лев?"
"squid","Squid","Кальмар"
"squid_2","I like squids.","Мені подобаються кальмари."
"squid_3","I saw a squid.","Я побачив кальмара."
"squid_4","What noise does a squid make?","Який шум видає кальмар?"
"whale","Whale","Кит"
"whale_2","I like whales.","Мені подобаються кити."
"whale_3","I saw a whale.","Я побачив кита."
"whale_4","What noise does a whale make?","Який шум видає кит?"
"beetle","Beetle","Жук"
"beetle_2","I like beetles.","Мені подобаються жуки."
"beetle_3","I saw a beetle.","Побачила жука."
"beetle_4","What noise does a beetle make?","Який шум видає жук?"
"dolphin","Dolphin","Дельфін"
"dolphin_2","I like dolphins.","Мені подобаються дельфіни."
"dolphin_3","I saw a dolphin.","Я побачив дельфіна."
"dolphin_4","What noise does a dolphin make?","Який шум видає дельфін?"
"starfish","Starfish","Морська зірка"
"starfish_2","I like starfishes.","Мені подобаються зірки."
"starfish_3","I saw a starfish.","Побачила зірку."
"starfish_4","What noise does a starfish make?","Який шум видає зірка?"
"parakeet","Parakeet","Папуга"
"parakeet_2","I like parakeets.","Мені подобаються папуги."
"parakeet_3","I saw a parakeet.","Я побачив папугу."
"parakeet_4","What noise does a parakeet make?","Який шум видає папуга?"
"owl","Owl","Сова"
"owl_2","I like owls.","Мені подобаються сови."
"owl_3","I saw an owl.","Я побачив сову."
"owl_4","What noise does an owl make?","Який шум видає сова?"
"sheep","Sheep","Вівці"
"sheep_2","I like sheeps.","Мені подобаються вівці."
"sheep_3","I saw a sheep.","Я бачив вівцю."
"sheep_4","What noise does a sheep make?","Який шум видає вівця?"
"clothes","Clothes","Одяг"
"pants","Pants","Штани"
"pants_2","My pants are dirty.","У мене штани брудні."
"pants_3","Can you help me wear my pants?","Чи можете ви допомогти мені носити штани?"
"shirt","Shirt","Сорочка"
"shirt_2","My shirt is dirty.","Моя сорочка брудна."
"shirt_3","Can you help me wear my shirt?","Чи можете ви допомогти мені носити сорочку?"
"skirt","Skirt","Спідниця"
"skirt_2","My skirt is dirty.","Моя спідниця брудна."
"skirt_3","Can you help me wear my skirt?","Чи можете ви допомогти мені носити спідницю?"
"panty","Panty","Трусики"
"panty_2","My underwear is dirty.","Моя білизна брудна."
"panty_3","Can you help me wear my panty?","Чи можете ви допомогти мені носити труси?"
"jacket","Jacket","Куртка"
"jacket_2","My jacket is dirty.","Моя куртка брудна."
"jacket_3","Can you help me wear my jacket?","Ви можете допомогти мені носити свою куртку?"
"tie","Tie","Краватка"
"tie_2","I like wearing tie.","Мені подобається носити краватку."
"tie_3","Can you help me tie my tie?","Чи можете ви допомогти мені зав'язати свою краватку?"
"baseball-cap","Baseball cap","Бейсболка"
"baseball-cap_2","I like wearing baseball cap.","Мені подобається носити бейсболку."
"baseball-cap_3","Which baseball cap should I wear?","Яку бейсболку потрібно носити?"
"dress","Dress","Плаття"
"dress_2","My dress is dirty.","Моє плаття брудне."
"dress_3","Can you help me wear my dress?","Чи можете ви допомогти мені носити мою сукню?"
"shoes","Shoes","Взуття"
"shoes_2","My shoes are dirty.","Моє взуття брудне."
"shoes_3","Can you help me wear my shoes?","Чи можете ви допомогти мені носити взуття?"
"boots","Boots","Чоботи"
"boots_2","My boots are dirty.","Мої черевики брудні."
"boots_3","Can you help me wear my boots?","Чи можете ви допомогти мені носити черевики?"
"sneakers","Sneakers","Кросівки"
"sneakers_2","I want to wear my sneakers.","Я хочу носити кросівки."
"sneakers_3","Can you help me wear my sneakers?","Чи можете ви допомогти мені носити кросівки?"
"slippers","Slippers","Тапочки"
"slippers_2","I want to wear my slippers.","Я хочу носити тапочки."
"slippers_3","Can you help me wear my slippers?","Чи можете ви допомогти мені носити тапочки?"
"belt","Belt","Пояс"
"belt_2","I like wearing belt.","Мені подобається носити пояс."
"belt_3","Can you help me wear my belt?","Чи можете ви допомогти мені носити пояс?"
"socks","Socks","Шкарпетки"
"socks_2","My socks are dirty.","Мої шкарпетки брудні."
"socks_3","Can you help me wear my socks?","Чи можете ви допомогти мені носити шкарпетки?"
"swimsuit","Swimsuit","Купальник"
"swimsuit_2","I want to wear my swimsuit.","Я хочу носити купальник."
"swimsuit_3","Can you help me wear my swimsuit?","Чи можете ви допомогти мені носити купальник?"
"sweater","Sweater","Светр"
"sweater_2","My sweater is dirty.","Мій светр брудний."
"sweater_3","Can you help me wear my sweater?","Чи можете ви мені допомогти носити светр?"
"scarf","Scarf","Шарф"
"scarf_2","I like wearing scarf.","Мені подобається носити шарф."
"scarf_3","Can you help me wear my scarf?","Чи можете ви допомогти мені носити шарф?"
"denim-shorts","Denim shorts","Джинсові шорти"
"denim-shorts_2","My denim shorts are dirty.","Мої джинсові шорти брудні."
"denim-shorts_3","Can you help me wear my denim shorts?","Чи можете ви допомогти мені носити свої джинсові шорти?"
"hoodies","Hoodies","Толстовки"
"hoodies_2","I like wearing hoodies.","Мені подобається носити толстовки."
"hoodies_3","Can you help me wear my hoodie?","Чи можете ви допомогти мені носити балахон?"
"swimming-shorts","Swimming shorts","Плавальні шорти"
"swimming-shorts_2","My swimming shorts are dirty.","Мої шорти для плавання брудні."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Чи можете ви допомогти мені носити свої плавальні шорти?"
"bow-tie","Bow tie","Краватка-бантик"
"bow-tie_2","I like wearing bow tie.","Мені подобається носити краватку-бабочку."
"bow-tie_3","Can you help me wear my bow tie?","Чи можете ви допомогти мені носити краватку?"
"leather-jacket","Leather jacket","Шкіряна куртка"
"leather-jacket_2","I like wearing leather jacket.","Мені подобається носити шкіряну куртку."
"leather-jacket_3","Can you help me wear my leather jacket?","Чи можете ви допомогти мені носити мою шкіряну куртку?"
"bathrobe","Bathrobe","Халат"
"bathrobe_2","I like wearing bathrobe.","Мені подобається носити халат."
"bathrobe_3","Can you help me wear my bathrobe?","Ви можете допомогти мені носити халат?"
"jumpsuit","Jumpsuit","Комбінезон"
"jumpsuit_2","I like wearing jumpsuit.","Мені подобається носити комбінезон."
"jumpsuit_3","Can you help me wear my jumpsuit?","Чи можете ви допомогти мені носити свій комбінезон?"
"fedora-hat","Fedora hat","Шапка Федора"
"fedora-hat_2","I like wearing fedora hat.","Мені подобається носити шапку Fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Чи можете ви допомогти мені носити шапку Fedora?"
"t-shirt","T-shirt","Футболка"
"t-shirt_2","I like wearing t-shirt.","Мені подобається носити футболку."
"t-shirt_3","Can you help me wear my t-shirt?","Чи можете ви допомогти мені носити мою футболку?"
"sleeveless","Sleeveless","Без рукавів"
"sleeveless_2","I like wearing sleeveless.","Мені подобається носити без рукавів."
"sleeveless_3","Can you help me wear my sleeveless?","Чи можете ви допомогти мені носити без рукавів?"
"boxers","Boxers","Боксери"
"boxers_2","I like wearing boxers.","Мені подобається носити боксери."
"boxers_3","Can you help me wear my boxers?","Чи можете ви допомогти мені носити свої боксери?"
"vest","Vest","Жилет"
"vest_2","I like wearing vest.","Мені подобається носити жилет."
"vest_3","Can you help me wear my vest?","Чи можете ви допомогти мені носити жилет?"
"pamela-hat","Pamela hat","Шапка Памела"
"pamela-hat_2","I like wearing pamela hat.","Мені подобається носити шапку Памела."
"pamela-hat_3","Can you help me wear my pamela hat?","Чи можете ви допомогти мені носити шапку «памела»?"
"high-heels","High heels","Високі підбори"
"high-heels_2","I like wearing high heels.","Мені подобається носити високі підбори."
"high-heels_3","Can you help me wear my high heels?","Чи можете ви допомогти мені носити високі підбори?"
"overalls","Overalls","Комбінезон"
"overalls_2","I like wearing overalls.","Мені подобається носити комбінезон."
"overalls_3","Can you help me wear my overalls?","Чи можете ви допомогти мені носити комбінезон?"
"kimono","Kimono","Кімоно"
"kimono_2","I like wearing kimono.","Мені подобається носити кімоно."
"kimono_3","Can you help me wear my kimono?","Чи можете ви допомогти мені носити своє кімоно?"
"raincoat","Raincoat","Плащ"
