"activities","Activities","Hoạt động"
"walking","Walking","Đi dạo"
"walking_2","I like walking","tôi thích đi bộ"
"walking_3","I don't like walking","Tôi không thích đi bộ"
"walking_4","Do you want to walk together?","Bạn có muốn đi bộ cùng nhau không?"
"running","Running","Đang chạy"
"running_2","I like running.","Tôi thích chạy."
"running_3","I don't like running.","Tôi không thích chạy bộ."
"running_4","Do you want to go running?","Bạn có muốn đi chạy không?"
"talking","Talking","Đang nói"
"talking_2","I like talking.","Tôi thích nói chuyện"
"talking_3","I don't like talking.","Tôi không thích nói chuyện."
"talking_4","Do you want to talk with me?","Bạn có muốn nói chuyện với tôi không?"
"reading","Reading","đọc hiểu"
"reading_2","I like reading.","Tôi thích đọc."
"reading_3","I don't like reading.","Tôi không thích đọc sách."
"reading_4","Do you want to read together?","Bạn có muốn đọc cùng nhau không?"
"football","Football","Bóng đá"
"football_2","I like playing football.","Tôi thích chơi bóng đá."
"football_3","I don't like playing football.","Tôi không thích chơi bóng đá."
"football_4","Do you want to play football?","Bạn có muốn chơi bóng đá không?"
"basketball","Basketball","Bóng rổ"
"basketball_2","I like playing basketball.","Tôi thích chơi bóng rổ."
"basketball_3","I don't like playing basketball.","Tôi không thích chơi bóng rổ."
"basketball_4","Do you want to play basketball?","Bạn có muốn chơi bóng rổ?"
"swimming","Swimming","Bơi lội"
"swimming_2","I like swimming.","Tôi thích bơi lội."
"swimming_3","I don't like swimming.","Tôi không thích bơi lội."
"swimming_4","Do you want to go to swimming?","Bạn có muốn đi bơi không?"
"painting","Painting","Bức vẽ"
"painting_2","I like painting.","Tôi thích vẽ."
"painting_3","I don't like painting.","Tôi không thích vẽ tranh."
"painting_4","Do you want to paint together?","Bạn có muốn vẽ cùng nhau không?"
"drawing","Drawing","Đang vẽ"
"drawing_2","I like drawing.","Tôi thích vẽ."
"drawing_3","I don't like drawing.","Tôi không thích vẽ."
"drawing_4","Do you want to draw together?","Bạn có muốn vẽ cùng nhau không?"
"cycling","Cycling","Đạp xe"
"cycling_2","I like cycling.","Tôi thích đi xe đạp."
"cycling_3","I don't like cycling.","Tôi không thích đi xe đạp."
"cycling_4","Do you want to go cycling?","Bạn có muốn đi xe đạp không?"
"skating","Skating","trượt băng"
"skating_2","I like skating.","Tôi thích trượt băng."
"skating_3","I don't like skating.","Tôi không thích trượt băng."
"skating_4","Do you want to go skating?","Bạn có muốn đi trượt băng?"
"sightseeing","Sightseeing","Tham quan"
"sightseeing_2","I like sightseeing.","Tôi thích tham quan."
"sightseeing_3","I don't like sightseeing.","Tôi không thích tham quan."
"sightseeing_4","Do you want to go for sightseeing?","Bạn có muốn đi tham quan không?"
"video-games","Video games","Trò chơi điện tử"
"video-games_2","I like playing video games.","Tôi thích chơi trò chơi điện tử."
"video-games_3","I don't like playing video games.","Tôi không thích chơi trò chơi điện tử."
"video-games_4","Do you want to play games?","Bạn có muốn chơi game không?"
"tidying","Tidying","Thu dọn"
"tidying_2","I like tidying my room.","Tôi thích dọn dẹp phòng của tôi."
"tidying_3","I don't like tidying my room.","Tôi không thích dọn dẹp phòng của tôi."
"tidying_4","Can you help me tidy my room?","Bạn có thể giúp tôi dọn phòng của tôi?"
"toys","Toys","Đồ chơi"
"toys_2","I like toys.","Tôi thích đồ chơi."
"toys_3","I don't like toys.","Tôi không thích đồ chơi."
"toys_4","Do you want to play with my toys?","Bạn có muốn chơi với đồ chơi của tôi?"
"puzzle","Puzzle","Câu đố"
"puzzle_2","I like solving puzzle.","Tôi thích giải câu đố."
"puzzle_3","I don't like solving puzzle.","Tôi không thích giải câu đố."
"puzzle_4","Do you want to solve puzzles with me?","Bạn có muốn giải câu đố với tôi không?"
"comics","Comics","Truyện tranh"
"comics_2","I like reading comics.","Tôi thích đọc truyện tranh"
"comics_3","I don't like reading comics.","Tôi không thích đọc truyện tranh."
"comics_4","Do you want to read comics?","Bạn có muốn đọc truyện tranh không?"
"chess","Chess","Cờ vua"
"chess_2","I like playing chess.","Tôi thích chơi cờ"
"chess_3","I don't like playing chess.","Tôi không thích chơi cờ."
"chess_4","Do you want to play chess with me?","Bạn có muốn chơi cờ với tôi không?"
"using-leeloo","Using Leeloo","Sử dụng Leeloo"
"using-leeloo_2","I like using leeloo.","Tôi thích sử dụng leeloo."
"using-leeloo_3","I don't like using leeloo.","Tôi không thích sử dụng leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Bạn có thể thay đổi gói thẻ trên leeloo?"
"texting","Texting","Việc nhắn tin"
"texting_2","I like texting.","Tôi thích nhắn tin."
"texting_3","I don't like texting.","Tôi không thích nhắn tin."
"knitting","Knitting","Đan"
"knitting_2","I like knitting.","Tôi thích đan."
"knitting_3","I don't like knitting.","Tôi không thích đan."
"knitting_4","I want to learn how to knit.","Tôi muốn học cách đan."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Tôi thích chơi bowling"
"bowling_3","I don't like bowling.","Tôi không thích chơi bowling."
"bowling_4","Do you want to play bowling with me?","Bạn có muốn chơi bowling với tôi không?"
"watching-tv","Watching TV","Xem TV"
"watching-tv_2","I like watching tv.","Tôi thích xem TV."
"watching-tv_3","I don't like watching tv.","Tôi không thích xem tv."
"watching-tv_4","Do you want to watch tv?","Bạn có muốn xem tv không?"
"fishing","Fishing","Đánh bắt cá"
"fishing_2","I like fishing.","Tôi thích câu cá."
"fishing_3","I don't like fishing.","Tôi không thích câu cá."
"fishing_4","Do you want to go to fishing?","Bạn có muốn đi câu cá không?"
"exercising","Exercising","Bài tập"
"exercising_2","I like exercising.","Tôi thích tập thể dục."
"exercising_3","I don't like exercising.","Tôi không thích tập thể dục."
"exercising_4","Do you want to exercise with me?","Bạn có muốn tập thể dục với tôi không?"
"tennis","Tennis","Quần vợt"
"tennis_2","I like playing tennis.","Tôi thích chơi tennis."
"tennis_3","I don't like playing tennis.","Tôi không thích chơi tennis."
"tennis_4","Do you want to play tennis with me?","Bạn có muốn chơi tennis với tôi không?"
"animals","Animals","Động vật"
"cat","Cat","Con mèo"
"cat_2","I like cats.","Tôi thích mèo."
"cat_3","I saw a cat.","Tôi thấy một con mèo."
"cat_4","What noise does a cat make?","Con mèo tạo ra tiếng động gì?"
"cat_5","Can we get a cat as pet?","Chúng ta có thể có được một con mèo làm thú cưng?"
"dog","Dog","Chó"
"dog_2","I like dog.","Tôi thích chó."
"dog_3","I saw a dog.","Tôi thấy một con chó."
"dog_4","What noise does a dog make?","Con chó làm tiếng ồn gì?"
"dog_5","Can we get a dog as pet?","Chúng ta có thể có được một con chó làm thú cưng?"
"fish","Fish","Cá"
"fish_2","I like fish.","Tôi thích cá."
"fish_3","I saw a fish.","Tôi thấy một con cá."
"fish_4","What noise does a fish make?","Con cá tạo ra tiếng động gì?"
"fish_5","Can we get a fish as pet?","Chúng ta có thể có được một con cá như thú cưng?"
"rabbit","Rabbit","Con thỏ"
"rabbit_2","I like rabbits.","Tôi thích thỏ."
"rabbit_3","I saw a rabbit.","Tôi thấy một con thỏ."
"rabbit_4","What noise does a rabbit make?","Con thỏ tạo ra tiếng động gì?"
"rabbit_5","Can we get a rabbit as pet?","Chúng ta có thể lấy một con thỏ làm thú cưng không?"
"butterfly","Butterfly","Bươm bướm"
"butterfly_2","I like butterflies.","Tôi thích những con bướm."
"butterfly_3","I saw a butterfly.","Tôi thấy một con bướm."
"butterfly_4","What noise does a butterfly make?","Con bướm tạo ra tiếng động gì?"
"kangaroo","Kangaroo","Con chuột túi"
"kangaroo_2","I like kangaroos.","Tôi thích kanguru."
"kangaroo_3","I saw a kangaroo.","Tôi thấy một con chuột túi."
"kangaroo_4","What noise does a kangaroo make?","Con chuột túi gây ra tiếng ồn gì?"
"turtle","Turtle","Rùa"
"turtle_2","I like turtles.","Tôi thích rùa."
"turtle_3","I saw a turtle.","Tôi thấy một con rùa."
"turtle_4","What noise does a turtle make?","Con rùa tạo ra tiếng động gì?"
"giraffe","Giraffe","Hươu cao cổ"
"giraffe_2","I like giraffes.","Tôi thích hươu cao cổ."
"giraffe_3","I saw a giraffe.","Tôi thấy một con hươu cao cổ."
"giraffe_4","What noise does a giraffe make?","Con hươu cao cổ tạo ra tiếng động gì?"
"frog","Frog","Ếch"
"frog_2","I like frogs.","Tôi thích ếch."
"frog_3","I saw a frog.","Tôi thấy một con ếch."
"frog_4","What noise does a frog make?","Con ếch tạo ra tiếng động gì?"
"swan","Swan","Thiên nga"
"swan_2","I like swans.","Tôi thích thiên nga."
"swan_3","I saw a swan.","Tôi thấy một con thiên nga."
"swan_4","What noise does a swan make?","Một con thiên nga làm cho tiếng ồn là gì?"
"spider","Spider","Nhện"
"spider_2","I like spiders.","Tôi thích nhện."
"spider_3","I saw a spider.","Tôi thấy một con nhện."
"spider_4","What noise does a spider make?","Con nhện tạo ra tiếng động gì?"
"cow","Cow","Bò"
"cow_2","I like cows.","Tôi thích bò."
"cow_3","I saw a cow.","Tôi thấy một con bò."
"cow_4","What noise does a cow make?","Con bò tạo ra tiếng động gì?"
"duck","Duck","Con vịt"
"duck_2","I like ducks.","Tôi thích vịt."
"duck_3","I saw a duck.","Tôi thấy một con vịt."
"duck_4","What noise does a duck make?","Con vịt tạo ra tiếng động gì?"
"horse","Horse","Con ngựa"
"horse_2","I like horses.","Tôi thích ngựa."
"horse_3","I saw a horse.","Tôi thấy một con ngựa."
"horse_4","What noise does a horse make?","Con ngựa tạo ra tiếng động gì?"
"chicken","Chicken","Thịt gà"
"chicken_2","I like chickens.","Tôi thích gà"
"chicken_3","I saw a chicken.","Tôi thấy một con gà."
"chicken_4","What noise does a chicken make?","Một con gà làm cho tiếng ồn là gì?"
"bee","Bee","Con ong"
"bee_2","I like bees.","Tôi thích ong."
"bee_3","I saw a bee.","Tôi thấy một con ong."
"bee_4","What noise does a bee make?","Con ong tạo ra tiếng động gì?"
"pig","Pig","Con lợn"
"pig_2","I like pigs.","Tôi thích lợn."
"pig_3","I saw a pig.","Tôi thấy một con lợn."
"pig_4","What noise does a pig make?","Con lợn tạo ra tiếng động gì?"
"dove","Dove","Bồ câu"
"dove_2","I like doves.","Tôi thích chim bồ câu."
"dove_3","I saw a dove.","Tôi thấy một con chim bồ câu."
"dove_4","What noise does a dove make?","Dove tạo ra tiếng ồn gì?"
"crab","Crab","Cua"
"crab_2","I like crabs.","Tôi thích cua."
"crab_3","I saw a crab.","Tôi thấy một con cua."
"crab_4","What noise does a crab make?","Con cua tạo ra tiếng ồn gì?"
"penguin","Penguin","chim cánh cụt"
"penguin_2","I like penguins.","Tôi thích chim cánh cụt."
"penguin_3","I saw a penguin.","Tôi thấy một con chim cánh cụt."
"penguin_4","What noise does a penguin make?","Chim cánh cụt tạo ra tiếng động gì?"
"elephant","Elephant","Con voi"
"elephant_2","I like elephants.","Tôi thích voi."
"elephant_3","I saw an elephant.","Tôi thấy một con voi."
"elephant_4","What noise does an elephant make?","Con voi tạo ra tiếng động gì?"
"zebra","Zebra","Ngựa rằn"
"zebra_2","I like zebras.","Tôi thích ngựa vằn."
"zebra_3","I saw a zebra.","Tôi thấy một con ngựa vằn."
"zebra_4","What noise does a zebra make?","Ngựa vằn tạo ra tiếng ồn gì?"
"panda","Panda","gấu trúc"
"panda_2","I like pandas.","Tôi thích nhũng chú gấu trúc."
"panda_3","I saw a panda.","Tôi thấy một con gấu trúc."
"panda_4","What noise does a panda make?","Một con gấu trúc làm cho tiếng ồn là gì?"
"monkey","Monkey","Con khỉ"
"monkey_2","I like monkeys.","Tôi thích những chú khỉ."
"monkey_3","I saw a monkey.","Tôi thấy một con khỉ."
"monkey_4","What noise does a monkey make?","Con khỉ tạo ra tiếng động gì?"
"camel","Camel","Lạc đà"
"camel_2","I like camels.","Tôi thích lạc đà."
"camel_3","I saw a camel.","Tôi thấy một con lạc đà."
"camel_4","What noise does a camel make?","Con lạc đà tạo ra tiếng động gì?"
"mouse","Mouse","Chuột"
"mouse_2","I like mice.","Tôi thích chuột."
"mouse_3","I saw a mouse.","Tôi thấy một con chuột."
"mouse_4","What noise does a mouse make?","Con chuột tạo ra tiếng ồn gì?"
"tiger","Tiger","con hổ"
"tiger_2","I like tigers.","Tôi thích hổ."
"tiger_3","I saw a tiger.","Tôi thấy một con hổ."
"tiger_4","What noise does a tiger make?","Con hổ tạo ra tiếng động gì?"
"jellyfish","Jellyfish","Con sứa"
"jellyfish_2","I like jellyfishes.","Tôi thích sứa."
"jellyfish_3","I saw a jellyfish.","Tôi thấy một con sứa."
"jellyfish_4","What noise does a jellyfish make?","Một con sứa gây ra tiếng ồn gì?"
"crocodile","Crocodile","Cá sấu"
"crocodile_2","I like crocodiles.","Tôi thích cá sấu."
"crocodile_3","I saw a crocodile.","Tôi thấy một con cá sấu."
"crocodile_4","What noise does a crocodile make?","Con cá sấu tạo ra tiếng động gì?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Tôi thích gấu túi."
"koala_3","I saw a koala.","Tôi thấy một con gấu túi."
"koala_4","What noise does a koala make?","Koala tạo ra tiếng ồn gì?"
"ostrich","Ostrich","Đà điểu"
"ostrich_2","I like ostriches.","Tôi thích đà điểu."
"ostrich_3","I saw an ostrich.","Tôi thấy một con đà điểu."
"ostrich_4","What noise does an ostrich make?","Con đà điểu tạo ra tiếng động gì?"
"racoon","Racoon","Trường đua"
"racoon_2","I like racoons.","Tôi thích racoons."
"racoon_3","I saw a racoon.","Tôi đã nhìn thấy một cây vợt."
"racoon_4","What noise does a racoon make?","Một tiếng ồn làm cho một racoon?"
"bat","Bat","Con dơi"
"bat_2","I like bats.","Tôi thích dơi."
"bat_3","I saw a bat.","Tôi thấy một con dơi."
"bat_4","What noise does a bat make?","Một con dơi làm ồn gì?"
"eagle","Eagle","chim ưng"
"eagle_2","I like eagles.","Tôi thích đại bàng."
"eagle_3","I saw an eagle.","Tôi thấy một con đại bàng."
"eagle_4","What noise does an eagle make?","Con đại bàng tạo ra tiếng động gì?"
"hippopotamus","Hippopotamus","Hà mã"
"hippopotamus_2","I like hippopotamus.","Tôi thích hà mã."
"hippopotamus_3","I saw a hippopotamus.","Tôi thấy một con hà mã."
"hippopotamus_4","What noise does a hippopotamus make?","Con hà mã tạo ra tiếng ồn gì?"
"seal","Seal","Niêm phong"
"seal_2","I like seals.","Tôi thích hải cẩu."
"seal_3","I saw a seal.","Tôi thấy một con dấu."
"seal_4","What noise does a seal make?","Một con dấu làm cho tiếng ồn là gì?"
"walrus","Walrus","Quả óc chó"
"walrus_2","I like walruses.","Tôi thích hải mã."
"walrus_3","I saw a walrus.","Tôi thấy một con hải mã."
"walrus_4","What noise does a walrus make?","Một con hải mã làm cho tiếng ồn là gì?"
"seahorse","Seahorse","Cá ngựa"
"seahorse_2","I like seahorses.","Tôi thích cá ngựa."
"seahorse_3","I saw a seahorse.","Tôi thấy một con cá ngựa."
"seahorse_4","What noise does a seahorse make?","Tiếng cá ngựa tạo ra tiếng động gì?"
"bull","Bull","Bò đực"
"bull_2","I like bulls.","Tôi thích những con bò đực."
"bull_3","I saw a bull.","Tôi thấy một con bò."
"bull_4","What noise does a bull make?","Một con bò làm cho tiếng ồn là gì?"
"pelican","Pelican","Bồ nông"
"pelican_2","I like pelicans.","Tôi thích bồ nông."
"pelican_3","I saw a pelican.","Tôi thấy một con bồ nông."
"pelican_4","What noise does a pelican make?","Một con bồ nông làm cho tiếng ồn là gì?"
"beaver","Beaver","Hải ly"
"beaver_2","I like beavers.","Tôi thích đèn hiệu."
"beaver_3","I saw a beaver.","Tôi thấy một con hải ly."
"beaver_4","What noise does a beaver make?","Một con hải ly làm cho tiếng ồn là gì?"
"goldfish","Goldfish","Cá vàng"
"goldfish_2","I like goldfishes.","Tôi thích cá vàng."
"goldfish_3","I saw a goldfish.","Tôi thấy một con cá vàng."
"goldfish_4","What noise does a goldfish make?","Con cá vàng tạo ra tiếng ồn gì?"
"goldfish_5","Can we get a goldfish as pet?","Chúng ta có thể có được một con cá vàng làm thú cưng không?"
"rhinoceros","Rhinoceros","Tê giác"
"rhinoceros_2","I like rhinoceros.","Tôi thích tê giác."
"rhinoceros_3","I saw a rhinoceros.","Tôi thấy một con tê giác."
"rhinoceros_4","What noise does a rhinoceros make?","Một con tê giác tạo ra tiếng ồn gì?"
"snake","Snake","Con rắn"
"snake_2","I like snakes.","Tôi thích rắn."
"snake_3","I saw a snake.","Tôi thấy một con rắn."
"snake_4","What noise does a snake make?","Con rắn tạo ra tiếng động gì?"
"lion","Lion","sư tử"
"lion_2","I like lions.","Tôi thích sư tử."
"lion_3","I saw a lion.","Tôi thấy một con sư tử."
"lion_4","What noise does a lion make?","Con sư tử gây ra tiếng động gì?"
"squid","Squid","Mực ống"
"squid_2","I like squids.","Tôi thích mực."
"squid_3","I saw a squid.","Tôi thấy một con mực."
"squid_4","What noise does a squid make?","Một con mực làm cho tiếng ồn là gì?"
"whale","Whale","Cá voi"
"whale_2","I like whales.","Tôi thích cá voi."
"whale_3","I saw a whale.","Tôi thấy một con cá voi."
"whale_4","What noise does a whale make?","Một con cá voi làm cho tiếng ồn là gì?"
"beetle","Beetle","Bọ cánh cứng"
"beetle_2","I like beetles.","Tôi thích bọ cánh cứng."
"beetle_3","I saw a beetle.","Tôi thấy một con bọ cánh cứng."
"beetle_4","What noise does a beetle make?","Con bọ làm tiếng ồn gì?"
"dolphin","Dolphin","Cá heo"
"dolphin_2","I like dolphins.","Tôi thích cá heo."
"dolphin_3","I saw a dolphin.","Tôi thấy một con cá heo."
"dolphin_4","What noise does a dolphin make?","Cá heo tạo ra tiếng động gì?"
"starfish","Starfish","sao biển"
"starfish_2","I like starfishes.","Tôi thích sao biển."
"starfish_3","I saw a starfish.","Tôi thấy một con sao biển."
"starfish_4","What noise does a starfish make?","Con sao biển tạo ra tiếng ồn gì?"
"parakeet","Parakeet","Vẹt đuôi dài"
"parakeet_2","I like parakeets.","Tôi thích vẹt đuôi dài."
"parakeet_3","I saw a parakeet.","Tôi thấy một con vẹt."
"parakeet_4","What noise does a parakeet make?","Một con vẹt làm cho tiếng ồn là gì?"
"owl","Owl","Cú"
"owl_2","I like owls.","Tôi thích cú."
"owl_3","I saw an owl.","Tôi thấy một con cú."
"owl_4","What noise does an owl make?","Một con cú làm cho tiếng ồn là gì?"
"sheep","Sheep","Cừu"
"sheep_2","I like sheeps.","Tôi thích cừu."
"sheep_3","I saw a sheep.","Tôi thấy một con cừu."
"sheep_4","What noise does a sheep make?","Con cừu tạo ra tiếng động gì?"
"clothes","Clothes","Quần áo"
"pants","Pants","Quân dai"
"pants_2","My pants are dirty.","Quần của tôi bị bẩn."
"pants_3","Can you help me wear my pants?","Bạn có thể giúp tôi mặc quần của tôi?"
"shirt","Shirt","Áo sơ mi"
"shirt_2","My shirt is dirty.","Áo tôi bẩn."
"shirt_3","Can you help me wear my shirt?","Bạn có thể giúp tôi mặc áo sơ mi của tôi?"
"skirt","Skirt","Váy"
"skirt_2","My skirt is dirty.","Váy của tôi bẩn."
"skirt_3","Can you help me wear my skirt?","Bạn có thể giúp tôi mặc váy của tôi?"
"panty","Panty","Quần lót"
"panty_2","My underwear is dirty.","Đồ lót của tôi bẩn."
"panty_3","Can you help me wear my panty?","Bạn có thể giúp tôi mặc quần lót của tôi?"
"jacket","Jacket","Áo khoác"
"jacket_2","My jacket is dirty.","Áo khoác của tôi bẩn."
"jacket_3","Can you help me wear my jacket?","Bạn có thể giúp tôi mặc áo khoác của tôi?"
"tie","Tie","Cà vạt"
"tie_2","I like wearing tie.","Tôi thích đeo cà vạt."
"tie_3","Can you help me tie my tie?","Bạn có thể giúp tôi thắt cà vạt của tôi?"
"baseball-cap","Baseball cap","Mũ bóng chày"
"baseball-cap_2","I like wearing baseball cap.","Tôi thích đội mũ bóng chày."
"baseball-cap_3","Which baseball cap should I wear?","Nên đội mũ bóng chày nào?"
"dress","Dress","Trang phục"
"dress_2","My dress is dirty.","Váy của tôi bẩn."
"dress_3","Can you help me wear my dress?","Bạn có thể giúp tôi mặc váy của tôi?"
"shoes","Shoes","Giày dép"
"shoes_2","My shoes are dirty.","Giày của tôi bị bẩn."
"shoes_3","Can you help me wear my shoes?","Bạn có thể giúp tôi mang giày của tôi?"
"boots","Boots","Giày ống"
"boots_2","My boots are dirty.","Giày của tôi bị bẩn."
"boots_3","Can you help me wear my boots?","Bạn có thể giúp tôi mang giày của tôi?"
"sneakers","Sneakers","Giày thể thao"
"sneakers_2","I want to wear my sneakers.","Tôi muốn mang giày thể thao của tôi."
"sneakers_3","Can you help me wear my sneakers?","Bạn có thể giúp tôi mang giày thể thao của tôi?"
"slippers","Slippers","Dép đi trong nhà"
"slippers_2","I want to wear my slippers.","Tôi muốn mang dép của tôi."
"slippers_3","Can you help me wear my slippers?","Bạn có thể giúp tôi mang dép của tôi?"
"belt","Belt","Thắt lưng"
"belt_2","I like wearing belt.","Tôi thích đeo thắt lưng."
"belt_3","Can you help me wear my belt?","Bạn có thể giúp tôi đeo thắt lưng của tôi?"
"socks","Socks","Vớ"
"socks_2","My socks are dirty.","Vớ của tôi bẩn."
"socks_3","Can you help me wear my socks?","Bạn có thể giúp tôi mang vớ của tôi?"
"swimsuit","Swimsuit","Đồ bơi"
"swimsuit_2","I want to wear my swimsuit.","Tôi muốn mặc đồ bơi của tôi."
"swimsuit_3","Can you help me wear my swimsuit?","Bạn có thể giúp tôi mặc đồ bơi của tôi?"
"sweater","Sweater","Áo len"
"sweater_2","My sweater is dirty.","Áo len của tôi bẩn."
"sweater_3","Can you help me wear my sweater?","Bạn có thể giúp tôi mặc áo len của tôi?"
"scarf","Scarf","Khăn quàng cổ"
"scarf_2","I like wearing scarf.","Tôi thích đeo khăn quàng cổ."
"scarf_3","Can you help me wear my scarf?","Bạn có thể giúp tôi đeo khăn quàng cổ của tôi?"
"denim-shorts","Denim shorts","Quần short denim"
"denim-shorts_2","My denim shorts are dirty.","Quần short denim của tôi bị bẩn."
"denim-shorts_3","Can you help me wear my denim shorts?","Bạn có thể giúp tôi mặc quần short denim của tôi?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","Tôi thích mặc áo hoodie."
"hoodies_3","Can you help me wear my hoodie?","Bạn có thể giúp tôi mặc áo hoodie của tôi?"
"swimming-shorts","Swimming shorts","Quần bơi"
"swimming-shorts_2","My swimming shorts are dirty.","Quần bơi của tôi bị bẩn."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Bạn có thể giúp tôi mặc quần bơi của tôi?"
"bow-tie","Bow tie","Cà vạt nơ"
"bow-tie_2","I like wearing bow tie.","Tôi thích đeo nơ."
"bow-tie_3","Can you help me wear my bow tie?","Bạn có thể giúp tôi đeo cà vạt nơ của tôi?"
"leather-jacket","Leather jacket","Áo khoác da"
"leather-jacket_2","I like wearing leather jacket.","Tôi thích mặc áo khoác da."
"leather-jacket_3","Can you help me wear my leather jacket?","Bạn có thể giúp tôi mặc áo khoác da của tôi?"
"bathrobe","Bathrobe","Áo choàng tắm"
"bathrobe_2","I like wearing bathrobe.","Tôi thích mặc áo choàng tắm."
"bathrobe_3","Can you help me wear my bathrobe?","Bạn có thể giúp tôi mặc áo choàng tắm của tôi?"
"jumpsuit","Jumpsuit","Bộ đồ liền thân"
"jumpsuit_2","I like wearing jumpsuit.","Tôi thích mặc jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Bạn có thể giúp tôi mặc jumpsuit của tôi?"
"fedora-hat","Fedora hat","mũ phớt"
"fedora-hat_2","I like wearing fedora hat.","Tôi thích đội mũ fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Bạn có thể giúp tôi đội mũ fedora của tôi?"
"t-shirt","T-shirt","Áo thun"
"t-shirt_2","I like wearing t-shirt.","Tôi thích mặc áo phông."
"t-shirt_3","Can you help me wear my t-shirt?","Bạn có thể giúp tôi mặc áo phông của tôi?"
"sleeveless","Sleeveless","Tay áo"
"sleeveless_2","I like wearing sleeveless.","Tôi thích mặc áo không tay."
"sleeveless_3","Can you help me wear my sleeveless?","Bạn có thể giúp tôi mặc áo không tay?"
"boxers","Boxers","Võ sĩ"
"boxers_2","I like wearing boxers.","Tôi thích mặc võ sĩ."
"boxers_3","Can you help me wear my boxers?","Bạn có thể giúp tôi mặc võ sĩ của tôi?"
"vest","Vest","Áo vest"
"vest_2","I like wearing vest.","Tôi thích mặc vest."
"vest_3","Can you help me wear my vest?","Bạn có thể giúp tôi mặc vest của tôi?"
"pamela-hat","Pamela hat","Mũ Pamela"
"pamela-hat_2","I like wearing pamela hat.","Tôi thích đội mũ pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Bạn có thể giúp tôi đội mũ pamela của tôi?"
"high-heels","High heels","Cao gót"
"high-heels_2","I like wearing high heels.","Tôi thích đi giày cao gót."
"high-heels_3","Can you help me wear my high heels?","Bạn có thể giúp tôi đi giày cao gót của tôi?"
"overalls","Overalls","Quần yếm"
"overalls_2","I like wearing overalls.","Tôi thích mặc áo liền quần."
"overalls_3","Can you help me wear my overalls?","Bạn có thể giúp tôi mặc áo liền quần?"
"kimono","Kimono","Áo kimono"
"kimono_2","I like wearing kimono.","Tôi thích mặc kimono."
"kimono_3","Can you help me wear my kimono?","Bạn có thể giúp tôi mặc kimono của tôi?"
"raincoat","Raincoat","Áo mưa"
"raincoat_2","I like wearing raincoat.","Tôi thích mặc áo mưa."
"raincoat_3","Can you help me wear my raincoat?","Bạn có thể giúp tôi mặc áo mưa của tôi?"
