"activities","Activities","Hoạt động"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Tôi thích mặc bandana."
"bandana_3","Can you help me wear my bandana?","Bạn có thể giúp tôi mặc bandana của tôi?"
"beret","Beret","Mũ nồi"
"beret_2","I like wearing beret.","Tôi thích mặc mũ nồi."
"beret_3","Can you help me wear my beret?","Bạn có thể giúp tôi mặc mũ nồi của tôi?"
"knit-hat","Knit hat","Mũ đan"
"knit-hat_2","I like wearing knit hat.","Tôi thích đội mũ đan."
"knit-hat_3","Can you help me wear my knit hat?","Bạn có thể giúp tôi đội mũ đan của tôi?"
"suspenders","Suspenders","Đình chỉ"
"suspenders_2","I like wearing suspenders.","Tôi thích mặc treo."
"suspenders_3","Can you help me wear my suspenders?","Bạn có thể giúp tôi mặc treo của tôi?"
"mitten","Mitten","Chuột"
"mitten_2","I like wearing mitten.","Tôi thích mặc găng tay."
"mitten_3","Can you help me wear my mitten?","Bạn có thể giúp tôi mặc con chuột của tôi?"
"suit","Suit","Bộ đồ"
"suit_2","I like wearing suit.","Tôi thích mặc bộ đồ."
"suit_3","Can you help me wear my suit?","Bạn có thể giúp tôi mặc bộ đồ của tôi?"
"coat","Coat","Áo choàng ngoài"
"coat_2","I like wearing coat.","Tôi thích mặc áo khoác."
"coat_3","Can you help me wear my coat?","Bạn có thể giúp tôi mặc áo khoác của tôi?"
"trench-coat","Trench coat","Áo choàng"
"trench-coat_2","I like wearing trench coat.","Tôi thích mặc trench coat."
"trench-coat_3","Can you help me wear my trench coat?","Bạn có thể giúp tôi mặc áo khoác của tôi?"
"colors","Colors","Màu sắc"
"crayons","Crayons","bút chì màu"
"crayons_2","I like crayons.","Tôi thích bút chì màu."
"crayons_3","Can you give me crayons?","Bạn có thể cho tôi bút chì màu?"
"crayons_4","I want to draw using my crayons.","Tôi muốn vẽ bằng bút màu của tôi."
"red","Red","Màu đỏ"
"red_2","It is red.","Nó màu đỏ"
"red_3","My favorite color is red.","Màu sắc yêu thích của tôi là màu đỏ."
"red_4","Can you give me red paint?","Bạn có thể cho tôi sơn đỏ?"
"blue","Blue","Màu xanh da trời"
"blue_2","It is blue.","Nó có màu xanh"
"blue_3","My favorite color is blue.","Màu sắc yêu thích của tôi là màu xanh."
"blue_4","Can you give me blue paint?","Bạn có thể cho tôi sơn màu xanh?"
"orange","Orange","trái cam"
"orange_2","It is orange color.","Đó là màu cam."
"orange_3","My favorite color is orange.","Màu sắc yêu thích của tôi là màu cam."
"orange_4","Can you give me orange paint?","Bạn có thể cho tôi sơn màu cam?"
"green","Green","màu xanh lá"
"green_2","It is green.","Nó là màu xanh lá cây."
"green_3","My favorite color is green.","Màu sắc yêu thích của tôi là màu xanh lá cây."
"green_4","Can you give me green paint?","Bạn có thể cho tôi sơn màu xanh lá cây?"
"yellow","Yellow","Màu vàng"
"yellow_2","It is yellow.","Nó màu vàng."
"yellow_3","My favorite color is yellow.","Màu sắc yêu thích của tôi là màu vàng."
"yellow_4","Can you give me yellow paint?","Bạn có thể cho tôi sơn màu vàng?"
"purple","Purple","Màu tím"
"purple_2","It is purple.","Nó màu Tím."
"purple_3","My favorite color is purple.","Màu sắc yêu thích của tôi là màu tím."
"purple_4","Can you give me purple paint?","Bạn có thể cho tôi sơn màu tím?"
"pink","Pink","Hồng"
"pink_2","It is pink.","Nó là màu hồng."
"pink_3","My favorite color is pink.","Màu yêu thích của tôi là màu hồng."
"pink_4","Can you give me pink paint?","Bạn có thể cho tôi sơn màu hồng?"
"brown","Brown","nâu"
"brown_2","It is brown.","No co mau nâu."
"brown_3","My favorite color is brown.","Màu sắc yêu thích của tôi là màu nâu."
"brown_4","Can you give me brown paint?","Bạn có thể cho tôi sơn màu nâu?"
"black","Black","Đen"
"black_2","It is black.","Nó màu đen."
"black_3","My favorite color is black.","Màu yêu thích của tôi là màu đen."
"black_4","Can you give me black paint?","Bạn có thể cho tôi sơn màu đen?"
"white","White","trắng"
"white_2","It is white.","Nó màu trắng."
"white_3","My favorite color is white.","Màu sắc yêu thích của tôi là màu trắng."
"white_4","Can you give me white paint?","Bạn có thể cho tôi sơn trắng?"
"gray","Gray","Xám"
"gray_2","It is gray.","Nó có màu xám."
"gray_3","My favorite color is gray.","Màu sắc yêu thích của tôi là màu xám."
"gray_4","Can you give me gray paint?","Bạn có thể cho tôi sơn màu xám?"
"transparent","Transparent","Trong suốt"
"transparent_2","It is transparent.","Nó là minh bạch."
"transparent_3","I can see behind transparent color.","Tôi có thể thấy đằng sau màu trong suốt."
"transparent_4","Can you help me erase?","Bạn có thể giúp tôi xóa?"
"cyan","Cyan","Lục lam"
"cyan_2","It is cyan.","Nó màu lục lam."
"cyan_3","My favorite color is cyan.","Màu sắc yêu thích của tôi là màu lục lam."
"cyan_4","Can you give me cyan paint?","Bạn có thể cho tôi sơn màu lục lam?"
"violet","Violet","màu tím"
"violet_2","It is violet.","Nó có màu tím."
"violet_3","My favorite color is violet.","Màu sắc yêu thích của tôi là màu tím."
"violet_4","Can you give me violet paint?","Bạn có thể cho tôi sơn màu tím?"
"turquoise","Turquoise","Ngọc lam"
"turquoise_2","It is turquoise.","Nó là màu ngọc lam."
"turquoise_3","My favorite color is turquoise.","Màu sắc yêu thích của tôi là màu ngọc lam."
"turquoise_4","Can you give me turquoise paint?","Bạn có thể cho tôi sơn màu ngọc lam?"
"lime","Lime","Vôi"
"lime_2","It is lime.","Đó là vôi."
"lime_3","My favorite color is lime.","Màu sắc yêu thích của tôi là vôi."
"lime_4","Can you give me lime paint?","Bạn có thể cho tôi sơn vôi?"
"plum","Plum","Mận"
"plum_2","It is plum.","Đó là mận."
"plum_3","My favorite color is plum.","Màu sắc yêu thích của tôi là mận."
"plum_4","Can you give me plum paint?","Bạn có thể cho tôi sơn mận?"
"tan","Tan","Tân"
"tan_2","It is tan color.","Đó là màu tan."
"tan_3","My favorite color is tan color.","Màu sắc yêu thích của tôi là màu nâu."
"tan_4","Can you give me tan color paint?","Bạn có thể cho tôi sơn màu nâu?"
"avocado","Avocado","Trái bơ"
"avocado_2","It is avocado color.","Đó là màu bơ."
"avocado_3","My favorite color is avocado color.","Màu sắc yêu thích của tôi là màu bơ."
"avocado_4","Can you give me avocado color paint?","Bạn có thể cho tôi sơn màu bơ?"
"barbie-pink","Barbie pink","Barbie màu hồng"
"barbie-pink_2","It is barbie pink color.","Đó là màu hồng barbie."
"barbie-pink_3","My favorite color is barbie pink.","Màu sắc yêu thích của tôi là màu hồng barbie."
"barbie-pink_4","Can you give me barbie pink paint?","Bạn có thể cho tôi sơn màu hồng barbie?"
"blizzard-blue","Blizzard blue","Bão tuyết"
"blizzard-blue_2","It is blizzard blue color.","Đó là màu xanh bão tuyết."
"blizzard-blue_3","My favorite color is blizzard blue color.","Màu sắc yêu thích của tôi là màu xanh bão tuyết."
"blizzard-blue_4","Can you give me blizzard blue paint?","Bạn có thể cho tôi sơn màu xanh bão tuyết?"
"conversation","Conversation","Cuộc hội thoại"
"me","Me","Tôi"
"me_2","My name is {name}","Tên tôi là {name}"
"me_3","I'm {name}","Tôi là {name}"
"me_4","Do you know my name?","Bạn có biết tên tôi không?"
"me_5","What is your name?","Tên của bạn là gì?"
"me_6","Nice to meet you!","Rất vui được gặp bạn!"
"me_7","Do you like me?","Bạn có thích tôi không?"
"me_8","Can we be friends?","Chúng ta có thể là bạn không?"
"me_9","I'm using assistive communication app.","Tôi đang sử dụng ứng dụng giao tiếp hỗ trợ."
"me_10","Who are you?","Bạn là ai?"
"hello","Hello","xin chào"
"hello_2","Hello.","Xin chào."
"hello_3","Hi.","Chào."
"hello_4","Greetings.","Lời chào hỏi."
"hello_5","How are you?","Bạn khỏe không?"
"hello_6","Nice to meet you!","Rất vui được gặp bạn!"
"help","Help","Cứu giúp"
"help_2","Help me.","Giúp tôi."
"help_3","Can you help me?","Bạn có thể giúp tôi được không?"
"help_4","I need help","tôi cần giúp đỡ"
"help_5","Do you need help?","Bạn cần giúp đỡ?"
"yes","Yes","Đúng"
"yes_2","Yes.","Đúng."
"yes_3","Yes please.","Vâng, làm ơn."
"yes_4","Alright.","Ổn thỏa."
"yes_5","Agreed.","Đã đồng ý."
"yes_6","I want to.","Tôi muốn."
"yes_7","I would like to.","Tôi muốn."
"no","No","Không"
"no_2","No.","Không."
"no_3","Nope.","Không."
"no_4","Never.","Không bao giờ."
"no_5","I don't want to.","Tôi không muốn."
"no_6","I don't like it.","Tôi không thích nó."
"no_7","You don't like it?","Bạn không thích nó?"
"no_8","Why you don't like it?","Tại sao bạn không thích nó?"
"toilet","Toilet","Phòng vệ sinh"
"toilet_2","I need to go to the toilet.","Tôi cần phải đi vào nhà vệ sinh."
"toilet_3","I need to pee.","Tôi cần đi tiểu."
"toilet_4","I need to poop.","Tôi cần ị."
"toilet_5","Can you help me go to the toilet?","Bạn có thể giúp tôi đi vệ sinh?"
"toilet_6","Can you help me clean?","Bạn có thể giúp tôi làm sạch?"
"toilet_7","I peed myself.","Tôi tự vỗ về mình."
"toilet_8","I pooped myself.","Tôi tự dằn mình."
"what","What","Gì"
"what_2","What is that?","Đó là gì?"
"what_3","What does it mean?","Nó có nghĩa là gì?"
"what_4","What do you mean?","Ý anh là gì?"
"what_5","Can you explain it?","Bạn có thể giải thích nó được không?"
"what_6","Can you repeat what you said?","Bạn có thể lặp lại những gì bạn nói?"
"what_7","I don't understand.","Tôi không hiểu"
"sleep","Sleep","Ngủ"
"sleep_2","I want to sleep.","Tôi muốn đi ngủ."
"sleep_3","I don't want to sleep.","Tôi không muốn ngủ"
"sleep_4","I'm tired.","Tôi mệt."
"sleep_5","Are you tired?","Bạn có mệt không?"
"sleep_6","When am I going to sleep?","Khi nào tôi đi ngủ"
"sleep_7","I want to take a nap.","Tôi muốn chợp mắt một lúc."
"bath","Bath","Bồn tắm"
"bath_2","I want to take a bath.","Tôi muốn đi tắm."
"bath_3","I like taking a bath.","Tôi thích tắm"
"bath_4","I want to wash my hands.","Tôi muốn rửa tay."
"bath_5","I want to take a shower.","Tôi muốn có một vòi sen."
"bath_6","I want to clean myself.","Tôi muốn làm sạch bản thân mình."
"bath_7","Can you help me take a bath?","Bạn có thể giúp tôi tắm?"
"bath_8","I don't want to take a bath.","Tôi không muốn đi tắm."
"listen","Listen","Nghe"
"listen_2","Listen to me.","Lắng nghe tôi."
"listen_3","Can you listen to me?","Bạn có thể nghe thấy tôi không?"
"listen_4","Listen to music.","Nghe nhạc."
"listen_5","Listening to my parents.","Lắng nghe bố mẹ."
"listen_6","Listen to what my application is saying!","Hãy lắng nghe những gì ứng dụng của tôi đang nói!"
"morning","Morning","Buổi sáng"
"morning_2","Good morning.","Buổi sáng tốt lành."
"morning_3","I like mornings.","Tôi thích buổi sáng."
"morning_4","In the morning.","Vào buổi sáng."
"morning_5","Morning time.","Thời gian buổi sáng."
"morning_6","Is it morning?","Có phải buổi sáng không?"
"night","Night","Đêm"
"night_2","Good night!","Chúc ngủ ngon!"
"night_3","I like nights.","Tôi thích đêm."
"night_4","At night.","Vào ban đêm."
"night_5","Night time.","Ban đêm."
"night_6","Is it night?","Có phải là đêm không"
"look","Look","Nhìn"
"look_2","Look at me.","Hãy nhìn tôi"
"look_3","Look at this.","Nhìn này"
"look_4","Are you looking?","Bạn đang tìm kiếm?"
"look_5","Look at my drawing.","Nhìn vào bản vẽ của tôi."
"look_6","How do I look?","Tôi trông như thế nào?"
"look_7","Look what I did.","Hãy nhìn những gì tôi đã làm."
"look_8","Let's look at that.","Hãy nhìn vào đó."
"speak","Speak","Nói"
"speak_2","I'm learning how to speak.","Tôi đang học cách nói."
"speak_3","I want to speak.","Tôi muốn nói."
"speak_4","Can I speak with you?","Tôi có thể nói với bạn không?"
"speak_5","I like speaking.","Tôi thích nói"
"speak_6","I'm using assistive communication app.","Tôi đang sử dụng ứng dụng giao tiếp hỗ trợ."
"play","Play","Chơi"
"play_2","I love playing.","Tôi thích chơi."
"play_3","Can you play with me?","Bạn có thể chơi với tôi không?"
"play_4","I want to play with you!","Tôi muốn chơi với bạn!"
"play_5","I want to play with my friends.","Tôi muốn chơi với bạn bè của tôi."
"play_6","I don't want to play with you.","Tôi không muốn chơi với bạn."
"outside","Outside","Ở ngoài"
"outside_2","I love going outside.","Tôi thích đi ra ngoài."
"outside_3","I want to go outside.","Tôi muốn đi ra ngoài."
"outside_4","Is it cold outside?","Ngoài trời lạnh?"
"outside_5","I don't like outside.","Tôi không thích bên ngoài."
"outside_6","Can I go outside?","Tôi có thể ra ngoài không?"
"home","Home","Trang Chủ"
"home_2","I love my home.","Tôi yêu tổ ấm của tôi."
"home_3","I want to go home.","Tôi muốn về nhà."
"home_4","Where is your home?","Nhà bạn ở đâu?"
"home_5","Home sweet home.","Ngôi nhà thân yêu."
"home_6","I'm in the house.","Tôi đang ở trong nhà"
"home_7","I'm not in the house.","Tôi không ở trong nhà."
"hurt","Hurt","Đau"
"hurt_2","I'm hurt.","Tôi đang đau."
"hurt_3","Are you hurt?","Bạn đang bị tổn thương?"
"hurt_4","Did I hurt you?","Tôi đã làm tổn thương bạn?"
"hurt_5","I didn't mean to hurt you!","Tôi không có ý làm tổn thương bạn!"
"hurt_6","Is it going to hurt?","Nó sẽ bị tổn thương?"
"hurt_7","I have a headache.","Tôi bị đau đầu."
"hurt_8","I have a stomach ache.","Tôi bị đau bao tử."
"hurt_9","My genitals hurt.","Bộ phận sinh dục của tôi bị tổn thương."
"hurt_10","My foot hurts.","Chân tôi bị đau."
"feelings","Feelings","Cảm xúc"
"happy","Happy","Vui mừng"
"happy_2","I'm happy.","Tôi đang hạnh phúc."
"happy_3","I feel happy.","Tôi cảm thấy hạnh phúc."
"happy_4","Do you feel happy?","Bạn có cảm thấy hạnh phúc không?"
"happy_5","I want to feel happy.","Tôi muốn cảm thấy hạnh phúc."
"happy_6","You are making me happy.","Bạn đang làm cho tôi hạnh phúc."
"sad","Sad","Buồn"
"sad_2","I'm sad.","Tôi buồn."
"sad_3","I feel sad.","Tôi cảm thấy buồn."
"sad_4","Do you feel sad?","Bạn có thấy buồn không"
"sad_5","I don't want to feel sad.","Tôi không muốn cảm thấy buồn."
"sad_6","You are making me sad.","Bạn đang làm tôi buồn."
"exhausted","Exhausted","Kiệt sức"
"exhausted_2","I'm exhausted.","Tôi kiệt sức rồi."
"exhausted_3","I feel exhausted.","Tôi cảm thấy kiệt sức."
"exhausted_4","Do you feel exhausted?","Bạn có cảm thấy kiệt sức?"
"exhausted_5","I don't want to be exhausted.","Tôi không muốn kiệt sức."
"relaxed","Relaxed","Thư giãn"
"relaxed_2","I'm relaxed.","Tôi đang thư giãn."
"relaxed_3","I feel relaxed.","Tôi cảm thấy thoải mái."
"relaxed_4","Do you feel relaxed?","Bạn có cảm thấy thư giãn không?"
"relaxed_5","I want to feel relaxed.","Tôi muốn cảm thấy thư giãn."
"in-love","In love","Đang yêu"
"in-love_2","I'm in love.","Tôi đang yêu."
"in-love_3","I feel in love.","Tôi cảm thấy trong tình yêu."
"in-love_4","Are you in love?","Có phải bạn đang yêu?"
"in-love_5","I want to fall in love.","Tôi muốn yêu."
"in-love_6","Do you love me?","Bạn có yêu tôi không?"
"stressed","Stressed","Căng thẳng"
"stressed_2","I'm stressed.","Tôi bị căng thẳng."
"stressed_3","I feel stressed.","Tôi cảm thấy căng thẳng."
"stressed_4","Do you feel stressed?","Bạn có cảm thấy căng thẳng không?"
"stressed_5","I don't want to feel stressed.","Tôi không muốn cảm thấy căng thẳng."
"thankful","Thankful","Biết ơn"
"thankful_2","I'm thankful.","Tôi biết ơn."
"thankful_3","I feel thankful.","Tôi cảm thấy biết ơn."
"thankful_4","Do you feel thankful?","Bạn có cảm thấy biết ơn không?"
"thankful_5","I want to feel thankful.","Tôi muốn cảm thấy biết ơn."
"confused","Confused","Bối rối"
"confused_2","I'm confused.","Tôi bối rối."
"confused_3","I feel confused.","Tôi cảm thấy bối rối."
"confused_4","Do you feel confused?","Bạn có cảm thấy bối rối?"
"confused_5","You are confusing me.","Bạn đang làm tôi bối rối."
"joyful","Joyful","Hân hoan"
"joyful_2","I'm joyful.","Tôi rất vui"
"joyful_3","I feel joyful.","Tôi cảm thấy vui mừng."
"joyful_4","Do you feel joyful?","Bạn có cảm thấy vui không?"
"joyful_5","I want to feel joyful.","Tôi muốn cảm thấy vui vẻ."
"angry","Angry","Bực bội"
"angry_2","I'm angry.","Tôi đang tức giận."
"angry_3","I feel angry.","Tôi cảm thấy tức giận."
"angry_4","Do you feel angry?","Bạn có cảm thấy tức giận không?"
"angry_5","I'm angry at you.","Tôi giận bạn."
"angry_6","You are making me angry.","Bạn đang làm cho tôi tức giận."
"smart","Smart","Thông minh"
"smart_2","I'm smart.","Tôi thông minh."
"smart_3","I feel smart.","Tôi cảm thấy thông minh."
"smart_4","Do you feel smart?","Bạn có cảm thấy thông minh không?"
"smart_5","Am I smart?","Tôi có thông minh không?"
"smart_6","You are smart!","Bạn thật thông minh!"
"afraid","Afraid","Sợ"
"afraid_2","I'm afraid.","Tôi sợ."
"afraid_3","I feel afraid.","Tôi cảm thấy sợ hãi."
"afraid_4","Do you feel afraid?","Bạn có cảm thấy sợ không?"
"afraid_5","I don't want to feel afraid.","Tôi không muốn cảm thấy sợ hãi."
"afraid_6","You are scaring me.","Bạn đang làm tôi sợ đấy."
"ashamed","Ashamed","Hổ thẹn"
"ashamed_2","I'm ashamed.","Tôi xấu hổ."
"ashamed_3","I feel ashamed.","Tôi cảm thây xâu hổ."
"ashamed_4","Do you feel ashamed?","Bạn có cảm thấy xấu hổ?"
"ashamed_5","I don't want to feel ashamed.","Tôi không muốn cảm thấy xấu hổ."
"shocked","Shocked","Sốc"
"shocked_2","I'm shocked.","Tôi bị sốc."
"shocked_3","I feel shocked.","Tôi cảm thấy sốc."
"shocked_4","Do you feel shocked?","Bạn có cảm thấy sốc không?"
"shocked_5","You shocked me.","Bạn làm tôi sốc."
"sick","Sick","Đau ốm"
"sick_2","I'm sick.","Tôi bị ốm."
"sick_3","I feel sick.","Tôi cảm thấy bệnh."
"sick_4","Do you feel sick?","Bạn có cảm thấy mệt không?"
"sick_5","I don't want to be sick.","Tôi không muốn bị bệnh."
"sick_6","I'm sick of the food.","Tôi phát ngán với thức ăn."
"frustrated","Frustrated","Bực bội"
"frustrated_2","I'm frustrated.","Tôi thất vọng."
"frustrated_3","I feel frustrated.","Tôi cảm thấy thất vọng."
"frustrated_4","Do you feel frustrated?","Bạn có cảm thấy thất vọng?"
"frustrated_5","I don't want to feel frustrated.","Tôi không muốn cảm thấy thất vọng."
"excited","Excited","Bị kích thích"
"excited_2","I'm excited.","Tôi rất phấn khích."
"excited_3","I feel excited.","Tôi thấy phấn khởi."
"excited_4","Do you feel excited?","Bạn có cảm thấy phấn khích không?"
"excited_5","I don't want to feel excited.","Tôi không muốn cảm thấy phấn khích."
"nauseated","Nauseated","Buồn nôn"
"nauseated_2","I'm nauseated.","Tôi buồn nôn."
"nauseated_3","I feel nauseated.","Tôi cảm thấy buồn nôn."
"nauseated_4","Do you feel nauseated?","Bạn có thấy buồn nôn không?"
"nauseated_5","I don't want to feel nauseated.","Tôi không muốn cảm thấy buồn nôn."
"agitated","Agitated","Kích động"
"agitated_2","I'm agitated.","Tôi kích động."
"agitated_3","I feel agitated.","Tôi cảm thấy kích động."
"agitated_4","Do you feel agitated?","Bạn có cảm thấy kích động?"
"agitated_5","I don't want to feel agitated.","Tôi không muốn cảm thấy kích động."
"food","Food","Món ăn"
"hungry","Hungry","Đói bụng"
"hungry_2","I'm hungry.","Tôi đói."
"hungry_3","Are you hungry?","Bạn có đói không?"
"hungry_4","Can you make me food?","Bạn có thể làm cho tôi thức ăn?"
"hungry_5","What is for dinner?","Có gì cho bữa tối?"
"thirsty","Thirsty","Khát nước"
"thirsty_2","I'm thirsty.","Tôi khát nước."
"thirsty_3","Can I have some water?","Tôi có thể có một ít nước không?"
"thirsty_4","Can I have a glass of water?","Cho tôi xin ly nước?"
"thirsty_5","I want something to drink.","Tôi muốn chút gì đó để uống."
"cutlery","Cutlery","Dao kéo"
"cutlery_2","I need cutlery.","Tôi cần dao kéo."
"cutlery_3","Help me use cutlery.","Giúp tôi sử dụng dao kéo."
"cutlery_4","I need a fork.","Tôi cần một cái nĩa."
"cutlery_5","I need a spoon.","Tôi cần một cái muỗng."
"cutlery_6","I need chopsticks.","Tôi cần đũa."
"cutlery_7","I need a knife.","Tôi cần một con dao."
"cutlery_8","I need a napkin.","Tôi cần một cái khăn ăn."
"apple","Apple","táo"
"apple_2","I like apple.","Tôi thích táo."
"apple_3","I don't like apple.","Tôi không thích táo."
"apple_4","I want to eat an apple.","Tôi muốn ăn một quả táo."
"carrot","Carrot","Cà rốt"
"carrot_2","I like carrot.","Tôi thích cà rốt."
"carrot_3","I don't like carrot.","Tôi không thích cà rốt."
"carrot_4","I want to eat a carrot.","Tôi muốn ăn một củ cà rốt."
"beans","Beans","Đậu"
"beans_2","I like beans.","Tôi thích đậu"
"beans_3","I don't like beans.","Tôi không thích đậu."
"beans_4","I want to eat beans.","Tôi muốn ăn đậu"
"chicken_5","I want fried chicken.","Tôi muốn gà rán."
"chicken_6","I want boiled chicken.","Tôi muốn gà luộc."
"chocolate","Chocolate","Sô cô la"
"chocolate_2","I like chocolate.","Tôi thích sô cô la."
"chocolate_3","I don't like chocolate.","Tôi không thích sô cô la."
"chocolate_4","I want to eat chocolate.","Tôi muốn ăn sô-cô-la."
"chocolate_5","I want dark chocolate.","Tôi muốn sô cô la đen."
"chocolate_6","I want white chocolate.","Tôi muốn sô cô la trắng."
"milk","Milk","Sữa"
"milk_2","I like milk.","Tôi thích sữa."
"milk_3","I don't like milk.","Tôi không thích sữa."
"milk_4","I want to drink milk.","Tôi muốn uống sữa."
"milk_5","Can I have a glass of milk?","Tôi có thể có một ly sữa?"
"sandwich","Sandwich","Bánh mì sandwich"
"sandwich_2","I like sandwich.","Tôi thích bánh sandwich."
"sandwich_3","I don't like sandwich.","Tôi không thích bánh sandwich."
"sandwich_4","I want to eat a sandwich.","Tôi muốn ăn một chiếc bánh sandwich."
"sandwich_5","Can you make me a sandwich?","Bạn có thể làm cho tôi một chiếc bánh sandwich?"
"steak","Steak","Miếng bò hầm"
"steak_2","I like steak.","Tôi thích bít tết."
"steak_3","I don't like steak.","Tôi không thích bít tết."
"steak_4","I want to eat steak.","Tôi muốn ăn bít tết."
"steak_5","Can you cook steak for me?","Bạn có thể nấu bít tết cho tôi?"
"banana","Banana","Trái chuối"
"banana_2","I like banana.","Tôi thích chuối."
"banana_3","I don't like banana.","Tôi không thích chuối."
"banana_4","I want to eat a banana.","Tôi muốn ăn một quả chuối."
"pie","Pie","Bánh"
"pie_2","I like pie.","Tôi thích bánh."
"pie_3","I don't like pie.","Tôi không thích bánh."
"pie_4","I want to eat pie.","Tôi muốn ăn bánh"
"pie_5","Can you bake a pie for me?","Bạn có thể nướng một chiếc bánh cho tôi?"
"egg","Egg","Trứng"
"egg_2","I like egg.","Tôi thích trứng."
"egg_3","I don't like egg.","Tôi không thích trứng."
"egg_4","I want to eat egg.","Tôi muốn ăn trứng."
"egg_5","I want fried eggs.","Tôi muốn trứng chiên."
"egg_6","I want boiled eggs.","Tôi muốn trứng luộc."
"noodles","Noodles","Mì"
"noodles_2","I like noodles.","Tôi thích mì."
"noodles_3","I don't like noodles.","Tôi không thích mì."
"noodles_4","I want to eat noodles.","Tôi muốn ăn mì"
"noodles_5","Can you cook noodles for me?","Bạn có thể nấu mì cho tôi?"
"salt","Salt","Muối"
"salt_2","I want salt.","Tôi muốn muối."
"salt_3","Can you pass me the salt?","Bạn có thể đưa cho tôi hộp muối được không?"
"salt_4","Food is too salty.","Thức ăn quá mặn."
"salt_5","My food needs some salt.","Thức ăn của tôi cần một chút muối."
"spices","Spices","Gia vị"
"spices_2","I like spicy food.","Tôi thích đồ ăn cay."
"spices_3","I don't like spicy food.","Tôi không thích đồ ăn cay."
"spices_4","I want paprika.","Tôi muốn ớt bột."
"spices_5","I want black pepper.","Tôi muốn tiêu đen."
"pizza","Pizza","pizza"
"pizza_2","I like pizza.","Tôi thích bánh pizza."
"pizza_3","I don't like pizza.","Tôi không thích pizza."
"pizza_4","I want to eat pizza.","Tôi muốn ăn pizza."
"pizza_5","Can you cook pizza for me?","Bạn có thể nấu pizza cho tôi?"
"pizza_6","Can we order pizza?","Chúng ta có thể đặt bánh pizza không?"
"cheese","Cheese","Phô mai"
"cheese_2","I like cheese.","Tôi thích phô mát."
"cheese_3","I don't like cheese.","Tôi không thích phô mai."
"cheese_4","I want to eat cheese.","Tôi muốn ăn pho mát."
"ice-cream","Ice cream","Kem"
"ice-cream_2","I like ice cream.","Tôi thích kem."
"ice-cream_3","I don't like ice cream.","Tôi không thích kem."
"ice-cream_4","I want to eat ice cream.","Tôi muốn ăn kem."
"ice-cream_5","Can you buy ice cream for me?","Bạn có thể mua kem cho tôi không?"
"tea","Tea","Trà"
"tea_2","I like tea.","Tôi thích trà."
"tea_3","I don't like tea.","Tôi không thích trà."
"tea_4","I want to drink tea.","Tôi muốn uống trà."
"tea_5","Can you make tea for me?","Bạn có thể pha trà cho tôi không?"
"coffee","Coffee","Cà phê"
"coffee_2","I like coffee.","Tôi thích cà phê."
"coffee_3","I don't like coffee.","Tôi không thích cà phê."
"coffee_4","I want to drink coffee.","Tôi muốn uống cà phê."
"coffee_5","Can you make coffee for me?","Bạn có thể pha cà phê cho tôi không?"
"tomato","Tomato","Cà chua"
"tomato_2","I like tomato.","Tôi thích cà chua."
"tomato_3","I don't like tomato.","Tôi không thích cà chua."
"tomato_4","I want to eat tomato.","Tôi muốn ăn cà chua."
"cereal","Cereal","Ngũ cốc"
"cereal_2","I like cereal.","Tôi thích ngũ cốc."
