"activities","Activities","活动项目"
"bandana_3","Can you help me wear my bandana?","你能帮我戴头巾吗？"
"beret","Beret","贝雷帽"
"beret_2","I like wearing beret.","我喜欢戴贝雷帽。"
"beret_3","Can you help me wear my beret?","你能帮我戴贝雷帽吗？"
"knit-hat","Knit hat","针织帽"
"knit-hat_2","I like wearing knit hat.","我喜欢戴针织帽。"
"knit-hat_3","Can you help me wear my knit hat?","你能帮我戴上针织帽吗？"
"suspenders","Suspenders","吊带"
"suspenders_2","I like wearing suspenders.","我喜欢穿吊带裤。"
"suspenders_3","Can you help me wear my suspenders?","你能帮我穿我的吊带裤吗？"
"mitten","Mitten","手套"
"mitten_2","I like wearing mitten.","我喜欢戴手套。"
"mitten_3","Can you help me wear my mitten?","你能帮我戴手套吗？"
"suit","Suit","适合"
"suit_2","I like wearing suit.","我喜欢穿西装。"
"suit_3","Can you help me wear my suit?","你能帮我穿西服吗？"
"coat","Coat","涂层"
"coat_2","I like wearing coat.","我喜欢穿外套。"
"coat_3","Can you help me wear my coat?","你能帮我穿外套吗？"
"trench-coat","Trench coat","风衣"
"trench-coat_2","I like wearing trench coat.","我喜欢穿风衣。"
"trench-coat_3","Can you help me wear my trench coat?","你能帮我穿风衣吗？"
"colors","Colors","色彩"
"crayons","Crayons","蜡笔"
"crayons_2","I like crayons.","我喜欢蜡笔。"
"crayons_3","Can you give me crayons?","你能给我蜡笔吗？"
"crayons_4","I want to draw using my crayons.","我想用蜡笔画画。"
"red","Red","红色"
"red_2","It is red.","它是红色的。"
"red_3","My favorite color is red.","我最喜欢的颜色是红色。"
"red_4","Can you give me red paint?","你能给我红色油漆吗？"
"blue","Blue","蓝色"
"blue_2","It is blue.","它是蓝色的。"
"blue_3","My favorite color is blue.","我最喜欢的颜色是蓝色的。"
"blue_4","Can you give me blue paint?","你能给我蓝色的油漆吗？"
"orange","Orange","橙子"
"orange_2","It is orange color.","它是橙色的。"
"orange_3","My favorite color is orange.","我最喜欢的颜色是橙色。"
"orange_4","Can you give me orange paint?","你能给我橙色油漆吗？"
"green","Green","绿色"
"green_2","It is green.","它是绿色的。"
"green_3","My favorite color is green.","我最喜欢的颜色是绿色。"
"green_4","Can you give me green paint?","你能给我绿色油漆吗？"
"yellow","Yellow","黄色"
"yellow_2","It is yellow.","它是黄色的。"
"yellow_3","My favorite color is yellow.","我最喜欢的颜色是黄色。"
"yellow_4","Can you give me yellow paint?","你能给我黄色油漆吗？"
"purple","Purple","紫色"
"purple_2","It is purple.","它是紫色的。"
"purple_3","My favorite color is purple.","我最喜欢的颜色是紫色。"
"purple_4","Can you give me purple paint?","你能给我紫色油漆吗？"
"pink","Pink","粉"
"pink_2","It is pink.","它是粉红色的。"
"pink_3","My favorite color is pink.","我最喜欢的颜色是粉色。"
"pink_4","Can you give me pink paint?","你能给我粉红色的油漆吗？"
"brown","Brown","棕色"
"brown_2","It is brown.","它是棕色的。"
"brown_3","My favorite color is brown.","我最喜欢的颜色是棕色。"
"brown_4","Can you give me brown paint?","你能给我棕色油漆吗？"
"black","Black","黑色"
"black_2","It is black.","它是黑色的。"
"black_3","My favorite color is black.","我最喜欢的颜色是黑色。"
"black_4","Can you give me black paint?","你能给我黑漆吗？"
"white","White","白色"
"white_2","It is white.","它是白色的。"
"white_3","My favorite color is white.","我最喜欢的颜色是白色。"
"white_4","Can you give me white paint?","你能给我白色油漆吗？"
"gray","Gray","灰色"
"gray_2","It is gray.","它是灰色的。"
"gray_3","My favorite color is gray.","我最喜欢的颜色是灰色。"
"gray_4","Can you give me gray paint?","你能给我灰色油漆吗？"
"transparent","Transparent","透明"
"transparent_2","It is transparent.","它是透明的。"
"transparent_3","I can see behind transparent color.","我可以看到透明的颜色。"
"transparent_4","Can you help me erase?","你能帮我擦除吗？"
"cyan","Cyan","青色"
"cyan_2","It is cyan.","它是青色的。"
"cyan_3","My favorite color is cyan.","我最喜欢的颜色是青色。"
"cyan_4","Can you give me cyan paint?","能给我青色的油漆吗？"
"violet","Violet","紫色"
"violet_2","It is violet.","它是紫色的。"
"violet_3","My favorite color is violet.","我最喜欢的颜色是紫色。"
"violet_4","Can you give me violet paint?","你能给我紫色油漆吗？"
"turquoise","Turquoise","绿松石"
"turquoise_2","It is turquoise.","是青绿色。"
"turquoise_3","My favorite color is turquoise.","我最喜欢的颜色是青绿色。"
"turquoise_4","Can you give me turquoise paint?","你能给我绿松石漆吗？"
"lime","Lime","酸橙"
"lime_2","It is lime.","是石灰。"
"lime_3","My favorite color is lime.","我最喜欢的颜色是石灰。"
"lime_4","Can you give me lime paint?","你能给我石灰漆吗？"
"plum","Plum","李子"
"plum_2","It is plum.","是李子。"
"plum_3","My favorite color is plum.","我最喜欢的颜色是李子。"
"plum_4","Can you give me plum paint?","你能给我梅花油漆吗？"
"tan","Tan","黄褐色"
"tan_2","It is tan color.","它是棕褐色。"
"tan_3","My favorite color is tan color.","我最喜欢的颜色是棕褐色。"
"tan_4","Can you give me tan color paint?","你能给我棕褐色的油漆吗？"
"avocado","Avocado","鳄梨"
"avocado_2","It is avocado color.","它是鳄梨色。"
"avocado_3","My favorite color is avocado color.","我最喜欢的颜色是鳄梨色。"
"avocado_4","Can you give me avocado color paint?","可以给我鳄梨色漆吗？"
"barbie-pink","Barbie pink","芭比娃娃pink"
"barbie-pink_2","It is barbie pink color.","它是芭比粉红色。"
"barbie-pink_3","My favorite color is barbie pink.","我最喜欢的颜色是芭比粉红色。"
"barbie-pink_4","Can you give me barbie pink paint?","你能给我芭比粉红色的油漆吗？"
"blizzard-blue","Blizzard blue","暴风雪蓝"
"blizzard-blue_2","It is blizzard blue color.","它是暴风雪蓝色。"
"blizzard-blue_3","My favorite color is blizzard blue color.","我最喜欢的颜色是暴风雪蓝色。"
"blizzard-blue_4","Can you give me blizzard blue paint?","你能给我暴风雪蓝色的油漆吗？"
"conversation","Conversation","会话"
"me","Me","我"
"me_2","My name is {name}","我叫{name}"
"me_3","I'm {name}","我是{name}"
"me_4","Do you know my name?","你知道我的名字吗？"
"me_5","What is your name?","你叫什么名字？"
"me_6","Nice to meet you!","很高兴见到你！"
"me_7","Do you like me?","你喜欢我吗？"
"me_8","Can we be friends?","我们能成为朋友吗？"
"me_9","I'm using assistive communication app.","我正在使用辅助通信应用程序。"
"me_10","Who are you?","你是谁？"
"hello","Hello","你好"
"hello_2","Hello.","你好。"
"hello_3","Hi.","你好"
"hello_4","Greetings.","问候。"
"hello_5","How are you?","你好吗？"
"hello_6","Nice to meet you!","很高兴见到你！"
"help","Help","帮帮我"
"help_2","Help me.","帮我。"
"help_3","Can you help me?","你能帮助我吗？"
"help_4","I need help","我需要帮助"
"help_5","Do you need help?","你需要帮助吗？"
"yes","Yes","是"
"yes_2","Yes.","是。"
"yes_3","Yes please.","是的，请。"
"yes_4","Alright.","好的。"
"yes_5","Agreed.","同意"
"yes_6","I want to.","我想要。"
"yes_7","I would like to.","我想要。"
"no","No","没有"
"no_2","No.","没有。"
"no_3","Nope.","不。"
"no_4","Never.","决不。"
"no_5","I don't want to.","我不想"
"no_6","I don't like it.","我不喜欢"
"no_7","You don't like it?","你不喜欢吗"
"no_8","Why you don't like it?","你为什么不喜欢它？"
"toilet","Toilet","厕所"
"toilet_2","I need to go to the toilet.","我需要去厕所。"
"toilet_3","I need to pee.","我需要撒尿。"
"toilet_4","I need to poop.","我需要大便"
"toilet_5","Can you help me go to the toilet?","你能帮我上厕所吗？"
"toilet_6","Can you help me clean?","你能帮我打扫吗？"
"toilet_7","I peed myself.","我撒尿"
"toilet_8","I pooped myself.","我大便了"
"what","What","什么"
"what_2","What is that?","那是什么？"
"what_3","What does it mean?","这是什么意思？"
"what_4","What do you mean?","你什么意思？"
"what_5","Can you explain it?","你能解释一下吗？"
"what_6","Can you repeat what you said?","你能再说一次吗？"
"what_7","I don't understand.","我不明白"
"sleep","Sleep","睡觉"
"sleep_2","I want to sleep.","我想睡觉。"
"sleep_3","I don't want to sleep.","我不想睡觉"
"sleep_4","I'm tired.","我累了。"
"sleep_5","Are you tired?","你累了吗？"
"sleep_6","When am I going to sleep?","我什么时候睡觉？"
"sleep_7","I want to take a nap.","我想睡个午觉。"
"bath","Bath","浴"
"bath_2","I want to take a bath.","我想洗个澡。"
"bath_3","I like taking a bath.","我喜欢洗澡。"
"bath_4","I want to wash my hands.","我要洗手。"
"bath_5","I want to take a shower.","我想去冲个澡。"
"bath_6","I want to clean myself.","我要打扫自己。"
"bath_7","Can you help me take a bath?","你能帮我洗个澡吗？"
"bath_8","I don't want to take a bath.","我不想洗澡。"
"listen","Listen","听"
"listen_2","Listen to me.","听我说。"
"listen_3","Can you listen to me?","你能听我说话吗？"
"listen_4","Listen to music.","听音乐。"
"listen_5","Listening to my parents.","听我的父母。"
"listen_6","Listen to what my application is saying!","听我的应用程序在说什么！"
"morning","Morning","早上"
"morning_2","Good morning.","早上好。"
"morning_3","I like mornings.","我喜欢早晨。"
"morning_4","In the morning.","在早上。"
"morning_5","Morning time.","上午的时间。"
"morning_6","Is it morning?","是早上吗"
"night","Night","晚"
"night_2","Good night!","晚安！"
"night_3","I like nights.","我喜欢夜晚。"
"night_4","At night.","在晚上。"
"night_5","Night time.","晚上的时间。"
"night_6","Is it night?","是晚上吗？"
"look","Look","看"
"look_2","Look at me.","看着我。"
"look_3","Look at this.","看这个。"
"look_4","Are you looking?","你是不是在寻找？"
"look_5","Look at my drawing.","看我的画。"
"look_6","How do I look?","我看起来怎么样？"
"look_7","Look what I did.","看看我做了什么。"
"look_8","Let's look at that.","让我们看看。"
"speak","Speak","说话"
"speak_2","I'm learning how to speak.","我正在学习怎么说。"
"speak_3","I want to speak.","我想说话。"
"speak_4","Can I speak with you?","我可以和你说话吗？"
"speak_5","I like speaking.","我喜欢说话。"
"speak_6","I'm using assistive communication app.","我正在使用辅助通信应用程序。"
"play","Play","玩"
"play_2","I love playing.","我喜欢玩。"
"play_3","Can you play with me?","你能和我一起玩吗？"
"play_4","I want to play with you!","我想和你一起玩！"
"play_5","I want to play with my friends.","我想和我的朋友一起玩。"
"play_6","I don't want to play with you.","我不想和你一起玩。"
"outside","Outside","外"
"outside_2","I love going outside.","我喜欢出门。"
"outside_3","I want to go outside.","我要出去"
"outside_4","Is it cold outside?","外面很冷？"
"outside_5","I don't like outside.","我不喜欢外面"
"outside_6","Can I go outside?","我可以出去吗"
"home","Home","家"
"home_2","I love my home.","我爱我的家。"
"home_3","I want to go home.","我想回家。"
"home_4","Where is your home?","你家在哪里？"
"home_5","Home sweet home.","家，甜蜜的家。"
"home_6","I'm in the house.","我在屋子里"
"home_7","I'm not in the house.","我不在屋子里"
"hurt","Hurt","伤害"
"hurt_2","I'm hurt.","我很伤心。"
"hurt_3","Are you hurt?","你受伤了吗？"
"hurt_4","Did I hurt you?","我伤害到你了吗？"
"hurt_5","I didn't mean to hurt you!","我不是故意要伤害你的！"
"hurt_6","Is it going to hurt?","会疼吗？"
"hurt_7","I have a headache.","我头疼。"
"hurt_8","I have a stomach ache.","我肚子疼。"
"hurt_9","My genitals hurt.","我的生殖器受伤了。"
"hurt_10","My foot hurts.","我的脚好痛。"
"feelings","Feelings","情怀"
"happy","Happy","快乐"
"happy_2","I'm happy.","我很高兴。"
"happy_3","I feel happy.","我感到开心。"
"happy_4","Do you feel happy?","你开心吗"
"happy_5","I want to feel happy.","我想开心。"
"happy_6","You are making me happy.","你让我开心。"
"sad","Sad","伤心"
"sad_2","I'm sad.","我伤心。"
"sad_3","I feel sad.","我很难过。"
"sad_4","Do you feel sad?","你会难过吗"
"sad_5","I don't want to feel sad.","我不想伤心"
"sad_6","You are making me sad.","你让我难过。"
"exhausted","Exhausted","累"
"exhausted_2","I'm exhausted.","我精疲力尽了。"
"exhausted_3","I feel exhausted.","我好累"
"exhausted_4","Do you feel exhausted?","你感到精疲力尽吗？"
"exhausted_5","I don't want to be exhausted.","我不想精疲力尽。"
"relaxed","Relaxed","轻松"
"relaxed_2","I'm relaxed.","我很放松。"
"relaxed_3","I feel relaxed.","我很放松"
"relaxed_4","Do you feel relaxed?","你感到放松吗？"
"relaxed_5","I want to feel relaxed.","我想放松一下。"
"in-love","In love","恋爱"
"in-love_2","I'm in love.","我恋爱了。"
"in-love_3","I feel in love.","我感到爱。"
"in-love_4","Are you in love?","你在恋爱吗？"
"in-love_5","I want to fall in love.","我想谈恋爱。"
"in-love_6","Do you love me?","你爱我吗？"
"stressed","Stressed","强调"
"stressed_2","I'm stressed.","我很紧张。"
"stressed_3","I feel stressed.","我感到压力很大。"
"stressed_4","Do you feel stressed?","你有压力吗？"
"stressed_5","I don't want to feel stressed.","我不想感到压力。"
"thankful","Thankful","感激不尽"
"thankful_2","I'm thankful.","我很感激。"
"thankful_3","I feel thankful.","我很感激"
"thankful_4","Do you feel thankful?","你感到感恩吗？"
"thankful_5","I want to feel thankful.","我要感到感激。"
"confused","Confused","困惑"
"confused_2","I'm confused.","我糊涂了。"
"confused_3","I feel confused.","我感到困惑。"
"confused_4","Do you feel confused?","你感到困惑吗？"
"confused_5","You are confusing me.","你让我很烦。"
"joyful","Joyful","快乐"
"joyful_2","I'm joyful.","我很高兴"
"joyful_3","I feel joyful.","我感到很高兴。"
"joyful_4","Do you feel joyful?","你感到快乐吗？"
"joyful_5","I want to feel joyful.","我想感到快乐。"
"angry","Angry","愤怒"
"angry_2","I'm angry.","我生气。"
"angry_3","I feel angry.","我很生气。"
"angry_4","Do you feel angry?","你生气吗"
"angry_5","I'm angry at you.","我生你的气"
"angry_6","You are making me angry.","你让我生气。"
"smart","Smart","聪明"
"smart_2","I'm smart.","我很聪明。"
"smart_3","I feel smart.","我很聪明"
"smart_4","Do you feel smart?","你觉得聪明吗？"
"smart_5","Am I smart?","我聪明吗？"
"smart_6","You are smart!","你很聪明！"
"afraid","Afraid","害怕"
"afraid_2","I'm afraid.","我耽心。"
"afraid_3","I feel afraid.","我很害怕"
"afraid_4","Do you feel afraid?","你感到害怕吗？"
"afraid_5","I don't want to feel afraid.","我不想害怕。"
"afraid_6","You are scaring me.","你吓到我了"
"ashamed","Ashamed","羞愧"
"ashamed_2","I'm ashamed.","我很惭愧。"
"ashamed_3","I feel ashamed.","我感到惭愧。"
"ashamed_4","Do you feel ashamed?","你感到羞耻吗？"
"ashamed_5","I don't want to feel ashamed.","我不想感到羞耻。"
"shocked","Shocked","震惊了"
"shocked_2","I'm shocked.","我感到震惊。"
"shocked_3","I feel shocked.","我感到震惊。"
"shocked_4","Do you feel shocked?","你感到震惊吗？"
"shocked_5","You shocked me.","吓死我了"
"sick","Sick","生病"
"sick_2","I'm sick.","我病了。"
"sick_3","I feel sick.","我觉得恶心。"
"sick_4","Do you feel sick?","你觉得不舒服吗？"
"sick_5","I don't want to be sick.","我不想生病"
"sick_6","I'm sick of the food.","我厌倦了食物。"
"frustrated","Frustrated","沮丧的"
"frustrated_2","I'm frustrated.","我很沮丧。"
"frustrated_3","I feel frustrated.","我感到沮丧。"
"frustrated_4","Do you feel frustrated?","你感到沮丧吗？"
"frustrated_5","I don't want to feel frustrated.","我不想感到沮丧。"
"excited","Excited","激动的"
"excited_2","I'm excited.","我很兴奋。"
"excited_3","I feel excited.","我觉得很兴奋。"
"excited_4","Do you feel excited?","你感到兴奋吗？"
"excited_5","I don't want to feel excited.","我不想感到兴奋。"
"nauseated","Nauseated","恶心的"
"nauseated_2","I'm nauseated.","我好恶心。"
"nauseated_3","I feel nauseated.","我感到恶心。"
"nauseated_4","Do you feel nauseated?","你感到恶心吗？"
"nauseated_5","I don't want to feel nauseated.","我不想感到恶心。"
"agitated","Agitated","激动"
"agitated_2","I'm agitated.","我很激动"
"agitated_3","I feel agitated.","我感到不安。"
"agitated_4","Do you feel agitated?","你感到烦躁吗？"
"agitated_5","I don't want to feel agitated.","我不想感到烦躁。"
"food","Food","餐饮"
"hungry","Hungry","饥饿"
"hungry_2","I'm hungry.","我饿了。"
"hungry_3","Are you hungry?","你饿了吗？"
"hungry_4","Can you make me food?","你能给我做饭吗？"
"hungry_5","What is for dinner?","晚饭吃什么？"
"thirsty","Thirsty","渴"
"thirsty_2","I'm thirsty.","我口渴。"
"thirsty_3","Can I have some water?","我可以要些水吗？"
"thirsty_4","Can I have a glass of water?","可以给我一杯水吗？"
"thirsty_5","I want something to drink.","我要喝点东西。"
"cutlery","Cutlery","刀具"
"cutlery_2","I need cutlery.","我需要餐具。"
"cutlery_3","Help me use cutlery.","帮我用餐具。"
"cutlery_4","I need a fork.","我需要叉子。"
"cutlery_5","I need a spoon.","我需要汤匙。"
"cutlery_6","I need chopsticks.","我需要筷子。"
"cutlery_7","I need a knife.","我需要一把刀。"
"cutlery_8","I need a napkin.","我需要餐巾纸。"
"apple","Apple","苹果"
"apple_2","I like apple.","我喜欢苹果。"
"apple_3","I don't like apple.","我不喜欢苹果。"
"apple_4","I want to eat an apple.","我想吃一个苹果。"
"carrot","Carrot","胡萝卜"
"carrot_2","I like carrot.","我喜欢胡萝卜。"
"carrot_3","I don't like carrot.","我不喜欢胡萝卜。"
"carrot_4","I want to eat a carrot.","我想吃胡萝卜。"
"beans","Beans","豆子"
"beans_2","I like beans.","我喜欢豆子。"
"beans_3","I don't like beans.","我不喜欢豆子。"
"beans_4","I want to eat beans.","我要吃豆子。"
"chicken_5","I want fried chicken.","我要炸鸡。"
"chicken_6","I want boiled chicken.","我要煮鸡。"
"chocolate","Chocolate","巧克力"
"chocolate_2","I like chocolate.","我喜欢巧克力。"
"chocolate_3","I don't like chocolate.","我不喜欢巧克力。"
"chocolate_4","I want to eat chocolate.","我想吃巧克力。"
"chocolate_5","I want dark chocolate.","我要黑巧克力。"
"chocolate_6","I want white chocolate.","我要白巧克力。"
"milk","Milk","牛奶"
"milk_2","I like milk.","我喜欢牛奶。"
"milk_3","I don't like milk.","我不喜欢牛奶。"
"milk_4","I want to drink milk.","我想喝牛奶。"
"milk_5","Can I have a glass of milk?","我可以喝一杯牛奶吗？"
"sandwich","Sandwich","三明治"
"sandwich_2","I like sandwich.","我喜欢三明治。"
"sandwich_3","I don't like sandwich.","我不喜欢三明治。"
"sandwich_4","I want to eat a sandwich.","我想吃一个三明治。"
"sandwich_5","Can you make me a sandwich?","你能给我做一个三明治吗？"
"steak","Steak","牛扒"
"steak_2","I like steak.","我喜欢牛排。"
"steak_3","I don't like steak.","我不喜欢牛排。"
"steak_4","I want to eat steak.","我想吃牛排。"
"steak_5","Can you cook steak for me?","你能帮我煮牛排吗？"
"banana","Banana","香蕉"
"banana_2","I like banana.","我喜欢香蕉。"
"banana_3","I don't like banana.","我不喜欢香蕉。"
"banana_4","I want to eat a banana.","我想吃一根香蕉。"
"pie","Pie","馅饼"
"pie_2","I like pie.","我喜欢派。"
"pie_3","I don't like pie.","我不喜欢馅饼。"
"pie_4","I want to eat pie.","我想吃馅饼。"
"pie_5","Can you bake a pie for me?","你能帮我烤馅饼吗？"
"egg","Egg","蛋"
"egg_2","I like egg.","我喜欢鸡蛋。"
"egg_3","I don't like egg.","我不喜欢鸡蛋。"
"egg_4","I want to eat egg.","我想吃鸡蛋。"
"egg_5","I want fried eggs.","我要煎鸡蛋。"
"egg_6","I want boiled eggs.","我要煮鸡蛋。"
"noodles","Noodles","面条"
"noodles_2","I like noodles.","我喜欢面条。"
"noodles_3","I don't like noodles.","我不喜欢面条。"
"noodles_4","I want to eat noodles.","我想吃面条。"
"noodles_5","Can you cook noodles for me?","你能帮我煮面条吗？"
"salt","Salt","盐"
"salt_2","I want salt.","我要盐。"
"salt_3","Can you pass me the salt?","你可以把盐递给我吗？"
"salt_4","Food is too salty.","食物太咸。"
"salt_5","My food needs some salt.","我的食物需要一些盐。"
"spices","Spices","香料"
"spices_2","I like spicy food.","我喜欢辛辣的食物。"
"spices_3","I don't like spicy food.","我不喜欢辛辣的食物。"
"spices_4","I want paprika.","我要辣椒粉。"
"spices_5","I want black pepper.","我要黑胡椒。"
"pizza","Pizza","比萨"
"pizza_2","I like pizza.","我喜欢披萨。"
"pizza_3","I don't like pizza.","我不喜欢披萨。"
"pizza_4","I want to eat pizza.","我想吃披萨。"
"pizza_5","Can you cook pizza for me?","你能帮我煮比萨吗？"
"pizza_6","Can we order pizza?","我们可以点比萨吗？"
"cheese","Cheese","起司"
"cheese_2","I like cheese.","我喜欢奶酪。"
"cheese_3","I don't like cheese.","我不喜欢奶酪。"
"cheese_4","I want to eat cheese.","我想吃奶酪。"
"ice-cream","Ice cream","冰淇淋"
"ice-cream_2","I like ice cream.","我喜欢冰淇淋。"
"ice-cream_3","I don't like ice cream.","我不喜欢冰淇淋。"
"ice-cream_4","I want to eat ice cream.","我想吃冰淇淋。"
"ice-cream_5","Can you buy ice cream for me?","你能给我买冰淇淋吗？"
"tea","Tea","茶"
"tea_2","I like tea.","我喜欢茶。"
"tea_3","I don't like tea.","我不喜欢喝茶"
"tea_4","I want to drink tea.","我要喝茶。"
"tea_5","Can you make tea for me?","你可以帮我泡茶吗？"
"coffee","Coffee","咖啡"
"coffee_2","I like coffee.","我喜欢咖啡。"
"coffee_3","I don't like coffee.","我不喜欢咖啡。"
"coffee_4","I want to drink coffee.","我想喝咖啡。"
"coffee_5","Can you make coffee for me?","你能帮我煮咖啡吗？"
"tomato","Tomato","番茄"
"tomato_2","I like tomato.","我喜欢番茄。"
"tomato_3","I don't like tomato.","我不喜欢番茄。"
"tomato_4","I want to eat tomato.","我想吃番茄。"
"cereal","Cereal","谷类"
"cereal_2","I like cereal.","我喜欢谷物。"
"cereal_3","I don't like cereal.","我不喜欢麦片。"
